RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL RNDS
1,0,01958,Dan Pohl,46
2,0,01042,Paul Azinger,44
3,0,01378,David Frost,42
4,0,01926,Steve Pate,41
5,0,01527,Scott Hoch,40
5,0,02241,Bobby Wadkins,40
7,0,01633,Tom Kite,39
7,0,01783,Mark McCumber,39
9,0,01226,Fred Couples,38
9,0,01996,Mike Reid,38
11,0,02100,Tim Simpson,37
11,0,02104,Jeff Sluman,37
13,0,01361,Dan Forsman,36
13,0,01725,John Mahaffey,36
13,0,02146,Payne Stewart,36
16,0,01161,Mark Calcavecchia,35
16,0,01457,Jay Haas,35
16,0,01846,Jodie Mudd,35
16,0,01960,Don Pooley,35
20,0,02023,Clarence Rose,34
20,0,02101,Joey Sindelar,34
20,0,02159,Curtis Strange,34
23,0,01072,Chip Beck,33
23,0,01203,Russ Cochran,33
23,0,01235,Ben Crenshaw,33
23,0,01599,Steve Jones,33
23,0,02170,Hal Sutton,33
28,0,01157,Tom Byrum,32
28,0,01390,Buddy Gardner,32
28,0,02049,Gene Sauers,32
31,0,01060,Dave Barr,31
31,0,01156,Curt Byrum,31
31,0,01200,Keith Clearwater,31
31,0,01303,Bob Eastwood,31
31,0,01706,Davis Love III,31
31,0,01968,Nick Price,31
31,0,02033,Dave Rummells,31
31,0,02225,Howard Twitty,31
31,0,02255,Denis Watson,31
31,0,02294,Willie Wood,31
41,0,01098,Jay Don Blake,30
41,0,01823,Larry Mize,30
41,0,02099,Scott Simpson,30
41,0,02267,D.A. Weibring,30
45,0,01468,Gary Hallberg,29
45,0,01771,Blaine McCallister,29
45,0,01998,Jack Renner,29
48,0,01093,Ronnie Black,28
48,0,01150,George Burns,28
48,0,01284,Mike Donald,28
48,0,01887,Mark O'Meara,28
48,0,01891,David Ogrin,28
48,0,01943,Chris Perry,28
54,0,01329,Brad Faxon,27
54,0,01444,Ken Green,27
54,0,01928,Corey Pavin,27
54,0,02133,Craig Stadler,27
54,0,02242,Lanny Wadkins,27
59,0,01096,Phil Blackmar,26
59,0,01219,John Cook,26
59,0,01414,Bob Gilder,26
59,0,01682,Wayne Levi,26
59,0,02223,Bob Tway,26
64,0,01288,Ed Dougherty,25
64,0,01549,Mike Hulbert,25
64,0,01701,Bob Lohr,25
64,0,01736,Roger Maltbie,25
64,0,02256,Tom Watson,25
69,0,01006,John Adams,24
69,0,01346,Ed Fiori,24
69,0,01418,Bill Glasson,24
69,0,01639,Kenny Knox,24
69,0,01755,Dick Mast,24
69,0,01876,Greg Norman,24
69,0,02190,Doug Tewell,24
69,0,02321,Fuzzy Zoeller,24
77,0,01197,Bobby Clampett,23
77,0,01559,Hale Irwin,23
77,0,01715,Mark Lye,23
77,0,01782,Mike McCullough,23
77,0,01797,Rocco Mediate,23
77,0,01864,Larry Nelson,23
77,0,01877,Tim Norris,23
77,0,01975,Tom Purtzer,23
77,0,02279,Mark Wiebe,23
86,0,01313,Steve Elkington,22
86,0,01723,Andrew Magee,22
86,0,01884,Mac O'Grady,22
86,0,02007,Larry Rinker,22
86,0,02094,Tony Sills,22
86,0,02160,Ron Streck,22
92,0,01175,Jim Carter,21
92,0,01355,Raymond Floyd,21
92,0,01475,Donnie Hammond,21
92,0,01690,Bruce Lietzke,21
92,0,02118,J.C. Snead,21
92,0,02167,Mike Sullivan,21
92,0,02322,Richard Zokol,21
99,0,01469,Dan Halldorson,20
99,0,01557,John Inman,20
99,0,01945,Kenny Perry,20
102,0,01282,Trevor Dodds,19
102,0,01305,Danny Edwards,19
102,0,01495,Morris Hatalsky,19
102,0,01569,Peter Jacobsen,19
102,0,01571,Barry Jaeckel,19
102,0,01666,Bernhard Langer,19
102,0,01837,Gil Morgan,19
102,0,02041,Bill Sander,19
102,0,02126,Bruce Soulsby,19
102,0,02180,Harry Taylor,19
102,0,02195,Leonard Thompson,19
113,0,01103,Charles Bolling,18
113,0,01168,David Canipe,18
113,0,01499,Mark Hayes,18
113,0,01790,Pat McGowan,18
113,0,01892,Aki Ohmachi,18
113,0,01952,Billy Pierot,18
113,0,02087,Don Shirey Jr.,18
113,0,02303,Robert Wrenn,18
121,0,01037,Dewey Arnette,17
121,0,01135,Ken Brown,17
121,0,01248,Rick Dalpos,17
121,0,01261,Jay Delsing,17
121,0,01310,Dave Eichelberger,17
121,0,01984,Sam Randolph,17
121,0,02246,Duffy Waldorf,17
128,0,01061,Ray Barr Jr.,16
128,0,01179,Antonio Cerda,16
128,0,01196,Brian Claar,16
128,0,01214,Frank Conner,16
128,0,01306,David Edwards,16
128,0,01385,Jim Gallagher Jr.,16
128,0,01501,Vance Heafner,16
128,0,01522,Lon Hinkle,16
128,0,01717,Sandy Lyle,16
128,0,02016,Bill Rogers,16
128,0,02090,Tom Sieckmann,16
128,0,02148,Ray Stewart,16
128,0,02244,Fred Wadsworth,16
141,0,01132,Mark Brooks,15
141,0,01323,Brad Fabel,15
141,0,01648,Billy Kratzert,15
141,0,01935,Calvin Peete,15
141,0,02010,Loren Roberts,15
146,0,01129,Bill Britton,14
146,0,01162,Rex Caldwell,14
146,0,01201,Lennie Clements,14
146,0,01206,Bobby Cole,14
146,0,01278,Andy Dillard,14
146,0,01443,Hubert Green,14
146,0,01938,David Peoples,14
153,0,01425,Ernie Gonzalez,13
153,0,01861,Jim Nelford,13
153,0,02111,Mike Smith,13
153,0,02229,Brett Upper,13
157,0,01039,Perry Arthur,12
157,0,01051,Seve Ballesteros,12
157,0,01192,T.C. Chen,12
157,0,01513,Denny Hepler,12
157,0,01851,Bob Murphy,12
157,0,01878,Andy North,12
157,0,02152,Dave Stockton,12
157,0,02239,Scott Verplank,12
165,0,01077,Mike Bender,11
165,0,01446,Brad Greer,11
165,0,01641,Gary Koch,11
165,0,01777,John McComish,11
165,0,01871,Mike Nicolette,11
170,0,01068,Andy Bean,10
170,0,01331,Rick Fehr,10
170,0,01436,David Graham,10
170,0,01448,Tony Grimes,10
170,0,01815,Johnny Miller,10
170,0,01858,Tommy Nakajima,10
170,0,02196,Robert Thompson,10
170,0,02217,Dennis Trixler,10
178,0,01030,Isao Aoki,9
178,0,01584,Doug Johnson,9
178,0,02067,Ted Schulz,9
178,0,02098,Jim Simons,9
178,0,02224,Greg Twiggs,9
183,0,01392,Tom Garner,8
183,0,01687,Jeff Lewis,8
183,0,01964,Greg Powers,8
183,0,02213,Lee Trevino,8
187,0,01326,Nick Faldo,7
187,0,01435,Wayne Grady,7
187,0,01654,Gary Krueger,7
190,0,01127,Danny Briggs,6
190,0,01205,Jim Colbert,6
190,0,01477,Phillip Hancock,6
190,0,01534,John Horne,6
190,0,01941,Tom Pernice Jr.,6
190,0,01949,Mark Pfeil,6
190,0,02201,Jim Thorpe,6
190,0,02317,Larry Ziegler,6
198,0,01412,Gibby Gilbert,5
198,0,01438,Lou Graham,5
198,0,01526,David Hobby,5
198,0,01593,Philip Jonas,5
198,0,01662,Greg Ladehoff,5
198,0,01676,Ted Lehmann,5
198,0,01707,Steve Lowery,5
198,0,02083,Tom Shaw,5
198,0,02287,Jim Wilson,5
207,0,01033,George Archer,4
207,0,01095,Woody Blackburn,4
207,0,01556,Joe Inman,4
207,0,01779,Gary McCord,4
