RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,START TOURNAMENT ID
1,0,01633,Tom Kite,32,1988240
2,0,01418,Bill Glasson,14,1989170
3,0,01701,Bob Lohr,13,1989260
3,0,02133,Craig Stadler,13,1989160
5,0,01326,Nick Faldo,12,1989090
6,0,01876,Greg Norman,11,1989170
6,0,02159,Curtis Strange,11,1989170
8,0,01599,Steve Jones,10,1989230
9,0,01666,Bernhard Langer,9,1989090
10,0,01435,Wayne Grady,8,1989280
10,0,01869,Jack Nicklaus,8,1989110
10,0,02100,Tim Simpson,8,1989330
10,0,02104,Jeff Sluman,8,1989260
10,0,02146,Payne Stewart,8,1989250
15,0,01823,Larry Mize,7,1989340
15,0,02241,Bobby Wadkins,7,1989360
17,0,01051,Seve Ballesteros,6,1989120
17,0,01129,Bill Britton,6,1989390
17,0,01203,Russ Cochran,6,1989360
17,0,01475,Donnie Hammond,6,1989390
17,0,01928,Corey Pavin,6,1989350
17,0,01941,Tom Pernice Jr.,6,1989380
17,0,01945,Kenny Perry,6,1989330
17,0,02010,Loren Roberts,6,1989380
25,0,01072,Chip Beck,5,1989340
25,0,01133,Billy Ray Brown,5,1989350
25,0,01198,Howard Clark,5,1987150
25,0,01284,Mike Donald,5,1989410
25,0,01320,Bob Estes,5,1989390
25,0,01355,Raymond Floyd,5,1989250
25,0,01559,Hale Irwin,5,1989320
25,0,01639,Kenny Knox,5,1989400
25,0,01943,Chris Perry,5,1989400
25,0,02101,Joey Sindelar,5,1989380
25,0,02271,Wayne Westner,5,1988360
25,0,02300,Ian Woosnam,5,1989130
37,0,01030,Isao Aoki,4,1989250
37,0,01331,Rick Fehr,4,1989400
37,0,01457,Jay Haas,4,1989390
37,0,01887,Mark O'Meara,4,1989370
37,0,01992,Don Reese,4,1989410
37,0,01996,Mike Reid,4,1989370
37,0,02033,Dave Rummells,4,1989410
37,0,02180,Harry Taylor,4,1989140
37,0,02196,Robert Thompson,4,1989390
46,0,01014,Fulton Allem,3,1989380
46,0,01042,Paul Azinger,3,1989430
46,0,01098,Jay Don Blake,3,1989420
46,0,01143,Brad Bryant,3,1989420
46,0,01179,Antonio Cerda,3,1988480
46,0,01256,Rodger Davis,3,1988140
46,0,01261,Jay Delsing,3,1989410
46,0,01390,Buddy Gardner,3,1989410
46,0,01414,Bob Gilder,3,1989420
46,0,01569,Peter Jacobsen,3,1989400
46,0,01682,Wayne Levi,3,1989430
46,0,01706,Davis Love III,3,1989420
46,0,02049,Gene Sauers,3,1989410
46,0,02084,Bob Shearer,3,1984320
46,0,02090,Tom Sieckmann,3,1989390
46,0,02094,Tony Sills,3,1989420
46,0,02223,Bob Tway,3,1989410
46,0,02242,Lanny Wadkins,3,1989390
46,0,02256,Tom Watson,3,1989340
46,0,02321,Fuzzy Zoeller,3,1989390
66,0,01024,Billy Andrade,2,1989430
66,0,01060,Dave Barr,2,1989430
66,0,01065,Beau Baugh,2,1988480
66,0,01161,Mark Calcavecchia,2,1989400
66,0,01192,T.C. Chen,2,1989150
66,0,01196,Brian Claar,2,1989400
66,0,01226,Fred Couples,2,1989440
66,0,01249,John Daly,2,1989330
66,0,01364,Peter Fowler,2,1984340
66,0,01378,David Frost,2,1989420
66,0,01381,Fred Funk,2,1989430
66,0,01443,Hubert Green,2,1989430
66,0,06284,Jim Hallet,2,1989420
66,0,01495,Morris Hatalsky,2,1989430
66,0,01522,Lon Hinkle,2,1989430
66,0,01549,Mike Hulbert,2,1989440
66,0,01556,Joe Inman,2,1987430
66,0,01597,Grier Jones,2,1984400
66,0,01725,John Mahaffey,2,1989440
66,0,01771,Blaine McCallister,2,1989440
66,0,01783,Mark McCumber,2,1989370
66,0,01790,Pat McGowan,2,1989420
66,0,01793,Mac McLendon,2,1980430
66,0,01837,Gil Morgan,2,1989430
66,0,01866,Jack Newton,2,1982420
66,0,01926,Steve Pate,2,1989430
66,0,02029,Hugh Royer,2,1988410
66,0,02067,Ted Schulz,2,1989440
66,0,02087,Don Shirey Jr.,2,1989430
66,0,02091,Charles Sifford,2,1983020
66,0,02105,Bob Smith,2,1985280
66,0,02246,Duffy Waldorf,2,1989430
66,0,02279,Mark Wiebe,2,1989430
66,0,02303,Robert Wrenn,2,1989430
