RANK,MOVEMENT,PLAYER_ID,PLAYER,BEST STREAK
1,0,01129,Bill Britton,8
1,0,01457,Jay Haas,8
1,0,01507,Webb Heintzelman,8
1,0,01599,Steve Jones,8
1,0,02133,Craig Stadler,8
6,0,01320,Bob Estes,7
6,0,01385,Jim Gallagher Jr.,7
6,0,01639,Kenny Knox,7
6,0,01783,Mark McCumber,7
6,0,02094,Tony Sills,7
6,0,02246,Duffy Waldorf,7
12,0,01042,Paul Azinger,6
12,0,01098,Jay Don Blake,6
12,0,01306,David Edwards,6
12,0,01310,Dave Eichelberger,6
12,0,01557,John Inman,6
12,0,01682,Wayne Levi,6
12,0,01717,Sandy Lyle,6
12,0,01887,Mark O'Meara,6
12,0,02033,Dave Rummells,6
12,0,02104,Jeff Sluman,6
12,0,02186,Brian Tennyson,6
12,0,02321,Fuzzy Zoeller,6
24,0,01068,Andy Bean,5
24,0,01156,Curt Byrum,5
24,0,01157,Tom Byrum,5
24,0,01175,Jim Carter,5
24,0,01200,Keith Clearwater,5
24,0,01203,Russ Cochran,5
24,0,01326,Nick Faldo,5
24,0,01378,David Frost,5
24,0,01414,Bob Gilder,5
24,0,01444,Ken Green,5
24,0,01569,Peter Jacobsen,5
24,0,01706,Davis Love III,5
24,0,01707,Steve Lowery,5
24,0,01723,Andrew Magee,5
24,0,01771,Blaine McCallister,5
24,0,01790,Pat McGowan,5
24,0,01846,Jodie Mudd,5
24,0,01938,David Peoples,5
24,0,01968,Nick Price,5
24,0,01996,Mike Reid,5
24,0,02067,Ted Schulz,5
24,0,02087,Don Shirey Jr.,5
24,0,02090,Tom Sieckmann,5
24,0,02101,Joey Sindelar,5
24,0,02170,Hal Sutton,5
24,0,02223,Bob Tway,5
24,0,02303,Robert Wrenn,5
51,0,01006,John Adams,4
51,0,01030,Isao Aoki,4
51,0,01035,Tommy Armour III,4
51,0,01039,Perry Arthur,4
51,0,01060,Dave Barr,4
51,0,01093,Ronnie Black,4
51,0,01106,Jim Booros,4
51,0,01133,Billy Ray Brown,4
51,0,01143,Brad Bryant,4
51,0,01154,Bill Buttner,4
51,0,01161,Mark Calcavecchia,4
51,0,01201,Lennie Clements,4
51,0,01224,Jeff Coston,4
51,0,01261,Jay Delsing,4
51,0,01307,Joel Edwards,4
51,0,01313,Steve Elkington,4
51,0,01329,Brad Faxon,4
51,0,01331,Rick Fehr,4
51,0,01355,Raymond Floyd,4
51,0,01381,Fred Funk,4
51,0,01390,Buddy Gardner,4
51,0,01443,Hubert Green,4
51,0,01475,Donnie Hammond,4
51,0,01499,Mark Hayes,4
51,0,01522,Lon Hinkle,4
51,0,01527,Scott Hoch,4
51,0,01533,P.H. Horgan III,4
51,0,01549,Mike Hulbert,4
51,0,01550,Ed Humenik,4
51,0,01559,Hale Irwin,4
51,0,01633,Tom Kite,4
51,0,01690,Bruce Lietzke,4
51,0,01725,John Mahaffey,4
51,0,01736,Roger Maltbie,4
51,0,01797,Rocco Mediate,4
51,0,01815,Johnny Miller,4
51,0,01864,Larry Nelson,4
51,0,01928,Corey Pavin,4
51,0,01931,Rick Pearson,4
51,0,01958,Dan Pohl,4
51,0,01975,Tom Purtzer,4
51,0,01992,Don Reese,4
51,0,02010,Loren Roberts,4
51,0,02041,Bill Sander,4
51,0,02049,Gene Sauers,4
51,0,02100,Tim Simpson,4
51,0,02118,J.C. Snead,4
51,0,02146,Payne Stewart,4
51,0,02159,Curtis Strange,4
51,0,02160,Ron Streck,4
51,0,02180,Harry Taylor,4
51,0,02222,Billy Tuten,4
51,0,02225,Howard Twitty,4
51,0,02230,Stan Utley,4
51,0,02241,Bobby Wadkins,4
51,0,02242,Lanny Wadkins,4
51,0,02279,Mark Wiebe,4
51,0,02322,Richard Zokol,4
109,0,01014,Fulton Allem,3
109,0,01024,Billy Andrade,3
109,0,01061,Ray Barr Jr.,3
109,0,01072,Chip Beck,3
109,0,01078,Jim Benepe,3
109,0,01096,Phil Blackmar,3
109,0,01112,Charlie Bowles,3
109,0,01132,Mark Brooks,3
109,0,01151,Clark Burroughs,3
109,0,01162,Rex Caldwell,3
109,0,01168,David Canipe,3
109,0,01179,Antonio Cerda,3
109,0,01191,Barry Cheesman,3
109,0,01197,Bobby Clampett,3
109,0,01219,John Cook,3
109,0,01226,Fred Couples,3
109,0,01235,Ben Crenshaw,3
109,0,01249,John Daly,3
109,0,01282,Trevor Dodds,3
109,0,01284,Mike Donald,3
109,0,01303,Bob Eastwood,3
109,0,01323,Brad Fabel,3
109,0,01346,Ed Fiori,3
109,0,01361,Dan Forsman,3
109,0,01388,Robert Gamez,3
109,0,01418,Bill Glasson,3
109,0,01435,Wayne Grady,3
109,0,01468,Gary Hallberg,3
109,0,06284,Jim Hallet,3
109,0,01489,Steve Hart,3
109,0,01495,Morris Hatalsky,3
109,0,01641,Gary Koch,3
109,0,01662,Greg Ladehoff,3
109,0,01666,Bernhard Langer,3
109,0,01701,Bob Lohr,3
109,0,01715,Mark Lye,3
109,0,01755,Dick Mast,3
109,0,01766,Billy Mayfair,3
109,0,01773,Ronnie McCann,3
109,0,01777,John McComish,3
109,0,01779,Gary McCord,3
109,0,01823,Larry Mize,3
109,0,01826,Brian Mogg,3
109,0,01837,Gil Morgan,3
109,0,01869,Jack Nicklaus,3
109,0,01876,Greg Norman,3
109,0,01877,Tim Norris,3
109,0,01891,David Ogrin,3
109,0,01926,Steve Pate,3
109,0,01941,Tom Pernice Jr.,3
109,0,01943,Chris Perry,3
109,0,01945,Kenny Perry,3
109,0,01952,Billy Pierot,3
109,0,01960,Don Pooley,3
109,0,01970,Bob Proben,3
109,0,01984,Sam Randolph,3
109,0,02007,Larry Rinker,3
109,0,02023,Clarence Rose,3
109,0,02095,Larry Silveira,3
109,0,02099,Scott Simpson,3
109,0,02148,Ray Stewart,3
109,0,02167,Mike Sullivan,3
109,0,02185,Lance Ten Broeck,3
109,0,02190,Doug Tewell,3
109,0,02195,Leonard Thompson,3
109,0,02196,Robert Thompson,3
109,0,02201,Jim Thorpe,3
109,0,02239,Scott Verplank,3
109,0,02256,Tom Watson,3
178,0,01011,Rafael Alarcon,2
178,0,01033,George Archer,2
178,0,01037,Dewey Arnette,2
178,0,01047,Carl Baker,2
178,0,01049,Ian Baker-Finch,2
178,0,01051,Seve Ballesteros,2
178,0,01086,Roy Biancalana,2
178,0,01150,George Burns,2
178,0,01158,George Cadle,2
178,0,01196,Brian Claar,2
178,0,01248,Rick Dalpos,2
178,0,01268,Jim Dent,2
178,0,01288,Ed Dougherty,2
178,0,01305,Danny Edwards,2
178,0,01342,Forrest Fezler,2
178,0,01374,Robin Freeman,2
178,0,01408,Kelly Gibson,2
178,0,01409,Rick Gibson,2
178,0,01425,Ernie Gonzalez,2
178,0,01436,David Graham,2
178,0,01469,Dan Halldorson,2
178,0,01487,Jeff Hart,2
178,0,01510,Nolan Henke,2
178,0,01553,John Huston,2
178,0,01564,David Jackson,2
178,0,01571,Barry Jaeckel,2
178,0,01614,Jack Kay Jr.,2
178,0,01626,Karl Kimball,2
178,0,01648,Billy Kratzert,2
178,0,01658,Masanobu Kumura,2
178,0,01685,J.L. Lewis,2
178,0,01782,Mike McCullough,2
178,0,01858,Tommy Nakajima,2
178,0,01884,Mac O'Grady,2
178,0,06373,José María Olazábal,2
178,0,01906,Masashi Jumbo Ozaki,2
178,0,01935,Calvin Peete,2
178,0,01971,Dillard Pruitt,2
178,0,02175,Kazunari Takahashi,2
178,0,02213,Lee Trevino,2
178,0,02217,Dennis Trixler,2
178,0,02224,Greg Twiggs,2
178,0,02257,Brian Watts,2
178,0,02261,Doug Weaver,2
178,0,02267,D.A. Weibring,2
178,0,02271,Wayne Westner,2
178,0,02292,Bob Wolcott,2
178,0,02300,Ian Woosnam,2
