RANK,MOVEMENT,PLAYER_ID,PLAYER,CAREER BEST STREAK,BEST YTD STREAK
1,0,01958,Dan Pohl,19,0
2,0,01346,Ed Fiori,17,4
2,0,01475,Donnie Hammond,17,5
2,0,01736,Roger Maltbie,17,4
5,0,01444,Ken Green,16,6
5,0,01771,Blaine McCallister,16,16
5,0,01926,Steve Pate,16,9
8,0,01527,Scott Hoch,15,7
8,0,01633,Tom Kite,15,7
10,0,02104,Jeff Sluman,14,6
10,0,02146,Payne Stewart,14,6
12,0,01042,Paul Azinger,13,9
12,0,01162,Rex Caldwell,13,0
12,0,01390,Buddy Gardner,13,5
12,0,01666,Bernhard Langer,13,1
12,0,01783,Mark McCumber,13,13
12,0,01887,Mark O'Meara,13,13
12,0,01935,Calvin Peete,13,3
12,0,01996,Mike Reid,13,8
12,0,02033,Dave Rummells,13,5
12,0,02090,Tom Sieckmann,13,6
12,0,02094,Tony Sills,13,4
12,0,02101,Joey Sindelar,13,4
12,0,02159,Curtis Strange,13,8
12,0,02167,Mike Sullivan,13,6
26,0,01060,Dave Barr,12,9
26,0,01132,Mark Brooks,12,12
26,0,01305,Danny Edwards,12,1
26,0,01329,Brad Faxon,12,5
26,0,01457,Jay Haas,12,4
26,0,01641,Gary Koch,12,4
26,0,02010,Loren Roberts,12,12
26,0,02099,Scott Simpson,12,5
26,0,02133,Craig Stadler,12,5
26,0,02186,Brian Tennyson,12,7
26,0,02223,Bob Tway,12,8
26,0,02321,Fuzzy Zoeller,12,5
38,0,01072,Chip Beck,11,6
38,0,01150,George Burns,11,3
38,0,01175,Jim Carter,11,5
38,0,01355,Raymond Floyd,11,3
38,0,01690,Bruce Lietzke,11,10
38,0,01725,John Mahaffey,11,7
38,0,01928,Corey Pavin,11,8
38,0,01960,Don Pooley,11,8
38,0,01968,Nick Price,11,11
38,0,01975,Tom Purtzer,11,5
38,0,02023,Clarence Rose,11,3
38,0,02098,Jim Simons,11,0
38,0,02100,Tim Simpson,11,7
38,0,02170,Hal Sutton,11,9
38,0,02201,Jim Thorpe,11,11
