RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE
1,0,06090,Jim McGovern,18
2,0,01024,Billy Andrade,12
2,0,06124,Patrick Burke,12
2,0,01495,Morris Hatalsky,12
2,0,02279,Mark Wiebe,12
6,0,06034,Marco Dawson,11
6,0,02195,Leonard Thompson,11
6,0,02255,Denis Watson,11
9,0,01096,Phil Blackmar,10
9,0,01129,Bill Britton,10
9,0,01196,Brian Claar,10
9,0,01226,Fred Couples,10
9,0,01303,Bob Eastwood,10
9,0,06575,Dudley Hart,10
9,0,01550,Ed Humenik,10
9,0,01569,Peter Jacobsen,10
9,0,06128,Steve Lamontagne,10
9,0,01682,Wayne Levi,10
9,0,08973,Wayne Riley,10
9,0,02067,Ted Schulz,10
9,0,02135,Mike Standly,10
9,0,02225,Howard Twitty,10
23,0,01093,Ronnie Black,9
23,0,01139,Olin Browne,9
23,0,01150,George Burns,9
23,0,01157,Tom Byrum,9
23,0,01168,David Canipe,9
23,0,01185,Brandel Chamblee,9
23,0,01200,Keith Clearwater,9
23,0,01203,Russ Cochran,9
23,0,01261,Jay Delsing,9
23,0,01288,Ed Dougherty,9
23,0,01331,Rick Fehr,9
23,0,01378,David Frost,9
23,0,01457,Jay Haas,9
23,0,01549,Mike Hulbert,9
23,0,01553,John Huston,9
23,0,01639,Kenny Knox,9
23,0,01964,Greg Powers,9
23,0,01996,Mike Reid,9
23,0,02094,Tony Sills,9
23,0,02104,Jeff Sluman,9
23,0,02131,Mike Springer,9
23,0,02148,Ray Stewart,9
23,0,02214,Kirk Triplett,9
23,0,02246,Duffy Waldorf,9
23,0,02303,Robert Wrenn,9
48,0,01023,Jerry Anderson,8
48,0,01035,Tommy Armour III,8
48,0,01051,Seve Ballesteros,8
48,0,01072,Chip Beck,8
48,0,01098,Jay Don Blake,8
48,0,01106,Jim Booros,8
48,0,01132,Mark Brooks,8
48,0,01133,Billy Ray Brown,8
48,0,01214,Frank Conner,8
48,0,06150,Carl Cooper,8
48,0,01235,Ben Crenshaw,8
48,0,01242,Rod Curl,8
48,0,01306,David Edwards,8
48,0,06484,Dow Finsterwald Jr,8
48,0,01374,Robin Freeman,8
48,0,01376,Bob Friend,8
48,0,01381,Fred Funk,8
48,0,01385,Jim Gallagher Jr.,8
48,0,06044,Scott Gump,8
48,0,01468,Gary Hallberg,8
48,0,01493,Mike Harwood,8
48,0,01527,Scott Hoch,8
48,0,06561,Doug Hoskins,8
48,0,01557,John Inman,8
48,0,06012,Greg Kraft,8
48,0,01724,Jeff Maggert,8
48,0,01736,Roger Maltbie,8
48,0,01779,Gary McCord,8
48,0,01810,Phil Mickelson,8
48,0,01837,Gil Morgan,8
48,0,01891,David Ogrin,8
48,0,06373,José María Olazábal,8
48,0,01926,Steve Pate,8
48,0,01928,Corey Pavin,8
