RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF HOLES
1,0,01971,Dillard Pruitt,12
2,0,01226,Fred Couples,11
3,0,01715,Mark Lye,10
4,0,01014,Fulton Allem,9
4,0,01361,Dan Forsman,9
4,0,01510,Nolan Henke,9
4,0,01682,Wayne Levi,9
4,0,01823,Larry Mize,9
4,0,02225,Howard Twitty,9
10,0,06142,Mitch Adcock,8
10,0,01161,Mark Calcavecchia,8
10,0,01306,David Edwards,8
10,0,01408,Kelly Gibson,8
10,0,01469,Dan Halldorson,8
10,0,01549,Mike Hulbert,8
10,0,01550,Ed Humenik,8
10,0,01577,Lee Janzen,8
10,0,06128,Steve Lamontagne,8
10,0,01706,Davis Love III,8
10,0,02007,Larry Rinker,8
10,0,02033,Dave Rummells,8
10,0,02111,Mike Smith,8
10,0,02159,Curtis Strange,8
10,0,02303,Robert Wrenn,8
25,0,01006,John Adams,7
25,0,01024,Billy Andrade,7
25,0,01042,Paul Azinger,7
25,0,01093,Ronnie Black,7
25,0,01143,Brad Bryant,7
25,0,01214,Frank Conner,7
25,0,01219,John Cook,7
25,0,06150,Carl Cooper,7
25,0,01331,Rick Fehr,7
25,0,01378,David Frost,7
25,0,01385,Jim Gallagher Jr.,7
25,0,01414,Bob Gilder,7
25,0,01444,Ken Green,7
25,0,01468,Gary Hallberg,7
25,0,06332,Neal Lancaster,7
25,0,01690,Bruce Lietzke,7
25,0,01717,Sandy Lyle,7
25,0,01724,Jeff Maggert,7
25,0,01810,Phil Mickelson,7
25,0,01887,Mark O'Meara,7
25,0,01891,David Ogrin,7
25,0,01920,Craig Parry,7
25,0,01934,Dave Peege,7
25,0,01943,Chris Perry,7
25,0,02067,Ted Schulz,7
25,0,02090,Tom Sieckmann,7
25,0,02256,Tom Watson,7
52,0,01049,Ian Baker-Finch,6
52,0,01060,Dave Barr,6
52,0,01072,Chip Beck,6
52,0,01095,Woody Blackburn,6
52,0,01096,Phil Blackmar,6
52,0,01139,Olin Browne,6
52,0,06124,Patrick Burke,6
52,0,01156,Curt Byrum,6
52,0,01157,Tom Byrum,6
52,0,07569,Mark Carnevale,6
52,0,01200,Keith Clearwater,6
52,0,01203,Russ Cochran,6
52,0,01249,John Daly,6
52,0,06034,Marco Dawson,6
52,0,01313,Steve Elkington,6
52,0,01323,Brad Fabel,6
52,0,01353,Bruce Fleisher,6
52,0,01376,Bob Friend,6
52,0,01381,Fred Funk,6
52,0,01388,Robert Gamez,6
52,0,01390,Buddy Gardner,6
52,0,01457,Jay Haas,6
52,0,01493,Mike Harwood,6
52,0,01559,Hale Irwin,6
52,0,01633,Tom Kite,6
52,0,08277,Greg Lesher,6
52,0,01736,Roger Maltbie,6
52,0,01748,Doug Martin,6
52,0,01755,Dick Mast,6
52,0,01771,Blaine McCallister,6
52,0,06090,Jim McGovern,6
52,0,01928,Corey Pavin,6
52,0,01945,Kenny Perry,6
52,0,01978,Fran Quinn,6
52,0,06040,John Ross,6
52,0,02095,Larry Silveira,6
52,0,02101,Joey Sindelar,6
52,0,02104,Jeff Sluman,6
52,0,02167,Mike Sullivan,6
52,0,02195,Leonard Thompson,6
52,0,02223,Bob Tway,6
52,0,02241,Bobby Wadkins,6
52,0,02242,Lanny Wadkins,6
52,0,06072,Greg Whisman,6
52,0,02279,Mark Wiebe,6
52,0,02321,Fuzzy Zoeller,6
98,0,06197,Michael Allen,5
98,0,01023,Jerry Anderson,5
98,0,01098,Jay Don Blake,5
98,0,01132,Mark Brooks,5
98,0,01181,Jon Chaffee,5
98,0,01196,Brian Claar,5
98,0,01261,Jay Delsing,5
98,0,01284,Mike Donald,5
98,0,09011,David Duval,5
98,0,01320,Bob Estes,5
98,0,01355,Raymond Floyd,5
98,0,01374,Robin Freeman,5
98,0,06284,Jim Hallet,5
98,0,01475,Donnie Hammond,5
98,0,06575,Dudley Hart,5
98,0,01495,Morris Hatalsky,5
98,0,01522,Lon Hinkle,5
98,0,01527,Scott Hoch,5
98,0,01553,John Huston,5
98,0,01557,John Inman,5
98,0,01677,Tom Lehman,5
98,0,01678,Bob Lendzion,5
98,0,01701,Bob Lohr,5
98,0,01707,Steve Lowery,5
