RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,TOTAL DRV RANK,GIR RANK
1,0,02321,Fuzzy Zoeller,5,4,1
2,0,01968,Nick Price,8,2,6
3,0,01418,Bill Glasson,9,7,2
4,0,01837,Gil Morgan,11,3,8
5,0,01876,Greg Norman,17,1,16
6,0,01771,Blaine McCallister,19,5,14
7,0,01958,Dan Pohl,20,17,3
8,0,01042,Paul Azinger,21,9,12
9,0,01690,Bruce Lietzke,28,11,17
10,0,01724,Jeff Maggert,31,6,25
10,0,02146,Payne Stewart,31,13,18
12,0,01783,Mark McCumber,34,14,20
13,0,01938,David Peoples,38,25,13
14,0,01633,Tom Kite,41,19,22
15,0,01971,Dillard Pruitt,44,35,9
16,0,01569,Peter Jacobsen,48,12,36
16,0,01797,Rocco Mediate,48,16,32
18,0,01313,Steve Elkington,50,26,24
19,0,01475,Donnie Hammond,52,18,34
19,0,02133,Craig Stadler,52,23,29
21,0,01945,Kenny Perry,56,14,42
22,0,01677,Tom Lehman,58,28,30
23,0,01219,John Cook,60,55,5
24,0,01331,Rick Fehr,61,28,33
25,0,01527,Scott Hoch,65,58,7
26,0,01320,Bob Estes,67,23,44
27,0,01306,David Edwards,69,65,4
27,0,01723,Andrew Magee,69,28,41
29,0,01014,Fulton Allem,71,22,49
29,0,01060,Dave Barr,71,60,11
31,0,01682,Wayne Levi,72,19,53
32,0,01823,Larry Mize,76,21,55
33,0,01550,Ed Humenik,79,33,46
34,0,01559,Hale Irwin,80,43,37
35,0,01766,Billy Mayfair,82,67,15
36,0,01203,Russ Cochran,84,44,40
37,0,01928,Corey Pavin,85,75,10
38,0,01457,Jay Haas,90,71,19
38,0,02100,Tim Simpson,90,69,21
40,0,06044,Scott Gump,91,26,65
41,0,02101,Joey Sindelar,92,39,53
42,0,06090,Jim McGovern,94,10,84
43,0,01887,Mark O'Meara,98,47,51
44,0,01706,Davis Love III,101,53,48
45,0,01201,Lennie Clements,106,79,27
46,0,02190,Doug Tewell,107,39,68
47,0,01381,Fred Funk,109,70,39
48,0,02033,Dave Rummells,110,50,60
49,0,01361,Dan Forsman,112,67,45
49,0,02010,Loren Roberts,112,86,26
49,0,02256,Tom Watson,112,8,104
52,0,02159,Curtis Strange,113,55,58
53,0,01388,Robert Gamez,114,33,81
53,0,01553,John Huston,114,79,35
55,0,01132,Mark Brooks,115,53,62
56,0,01707,Steve Lowery,122,66,56
57,0,01648,Billy Kratzert,125,102,23
57,0,02246,Duffy Waldorf,125,47,78
59,0,02267,D.A. Weibring,126,58,68
60,0,01226,Fred Couples,132,94,38
61,0,01385,Jim Gallagher Jr.,135,88,47
61,0,01975,Tom Purtzer,135,51,84
63,0,01196,Brian Claar,136,75,61
63,0,01810,Phil Mickelson,136,60,76
65,0,01890,Brett Ogle,138,64,74
66,0,01510,Nolan Henke,139,39,100
67,0,06086,Russell Beiersdorf,140,57,83
67,0,01200,Keith Clearwater,140,88,52
67,0,02245,Grant Waite,140,45,95
70,0,07569,Mark Carnevale,143,35,108
70,0,01725,John Mahaffey,143,100,43
70,0,02225,Howard Twitty,143,32,111
73,0,01408,Kelly Gibson,144,31,113
73,0,01891,David Ogrin,144,113,31
75,0,01378,David Frost,146,79,67
75,0,02214,Kirk Triplett,146,96,50
77,0,01619,Skip Kendall,149,39,110
77,0,06136,Mike Schuchart,149,60,89
77,0,02180,Harry Taylor,149,121,28
80,0,01577,Lee Janzen,153,79,74
81,0,01006,John Adams,156,77,79
81,0,01143,Brad Bryant,156,85,71
83,0,06617,Brian Henninger,158,37,121
83,0,02279,Mark Wiebe,158,51,107
85,0,01607,Brian Kamm,161,88,73
86,0,06575,Dudley Hart,163,93,70
87,0,06643,Paul Goydos,169,45,124
88,0,01414,Bob Gilder,172,73,99
89,0,06124,Patrick Burke,173,47,126
89,0,02224,Greg Twiggs,173,109,64
91,0,02218,Ted Tryba,175,63,112
92,0,01185,Brandel Chamblee,176,110,66
92,0,01353,Bruce Fleisher,176,99,77
94,0,06006,JC Anderson,177,88,89
94,0,01191,Barry Cheesman,177,79,98
96,0,01701,Bob Lohr,178,96,82
96,0,02135,Mike Standly,178,77,101
98,0,01846,Jodie Mudd,183,38,145
99,0,01288,Ed Dougherty,191,111,80
100,0,06332,Neal Lancaster,195,132,63
101,0,01261,Jay Delsing,198,84,114
101,0,06128,Steve Lamontagne,198,102,96
103,0,01346,Ed Fiori,199,105,94
104,0,02242,Lanny Wadkins,201,142,59
105,0,01098,Jay Don Blake,203,146,57
105,0,02131,Mike Springer,203,88,115
107,0,01920,Craig Parry,206,72,134
107,0,02049,Gene Sauers,206,74,132
109,0,01035,Tommy Armour III,209,105,104
109,0,01864,Larry Nelson,209,121,88
111,0,01564,David Jackson,210,94,116
111,0,02099,Scott Simpson,210,117,93
113,0,01129,Bill Britton,217,100,117
114,0,01307,Joel Edwards,221,135,86
115,0,01926,Steve Pate,224,152,72
116,0,01093,Ronnie Black,226,134,92
117,0,01072,Chip Beck,236,117,119
117,0,06034,Marco Dawson,236,139,97
119,0,01161,Mark Calcavecchia,240,137,103
120,0,01157,Tom Byrum,241,98,143
120,0,01736,Roger Maltbie,241,154,87
122,0,01096,Phil Blackmar,243,104,139
123,0,01024,Billy Andrade,245,108,137
123,0,02104,Jeff Sluman,245,115,130
125,0,02111,Mike Smith,246,124,122
126,0,02090,Tom Sieckmann,249,126,123
126,0,02201,Jim Thorpe,249,158,91
128,0,01249,John Daly,250,86,164
129,0,06566,Jaime Gomez,255,117,138
129,0,01946,Peter Persons,255,146,109
131,0,08045,Perry Moss,260,143,117
132,0,01444,Ken Green,263,157,106
133,0,06197,Michael Allen,266,111,155
134,0,01049,Ian Baker-Finch,270,121,149
134,0,10195,Tim Conley,270,137,133
136,0,06599,John Elliott,275,105,170
137,0,01549,Mike Hulbert,277,176,101
138,0,01197,Bobby Clampett,279,159,120
138,0,01715,Mark Lye,279,155,124
138,0,10795,Neale Smith,279,113,166
138,0,02217,Dennis Trixler,279,126,153
142,0,01116,Michael Bradley,280,139,141
142,0,01495,Morris Hatalsky,280,124,156
142,0,02067,Ted Schulz,280,133,147
145,0,01533,P.H. Horgan III,281,146,135
146,0,02241,Bobby Wadkins,283,126,157
147,0,05319,Gene Jones,286,146,140
148,0,01557,John Inman,288,130,158
149,0,02206,David Toms,292,151,141
150,0,01284,Mike Donald,293,165,128
150,0,01469,Dan Halldorson,293,143,150
150,0,06401,Marty Schiene,293,115,178
150,0,02303,Robert Wrenn,293,130,163
154,0,02322,Richard Zokol,294,143,151
155,0,01374,Robin Freeman,295,152,143
156,0,02007,Larry Rinker,296,160,136
157,0,06144,John Dowdall,298,117,181
158,0,02170,Hal Sutton,303,175,128
159,0,06058,John Flannery,309,178,131
160,0,01323,Brad Fabel,310,183,127
161,0,01934,Dave Peege,314,129,185
162,0,02294,Willie Wood,317,171,146
163,0,01443,Hubert Green,318,135,183
163,0,01468,Gary Hallberg,318,141,177
163,0,06012,Greg Kraft,318,170,148
166,0,01435,Wayne Grady,323,172,151
167,0,02298,Jim Woodward,325,166,159
168,0,01218,Jeff Cook,327,162,165
168,0,02185,Lance Ten Broeck,327,160,167
170,0,08553,Lee Porter,330,150,180
171,0,08759,Tad Rhyan,334,164,170
172,0,01282,Trevor Dodds,335,173,162
173,0,01235,Ben Crenshaw,338,166,172
173,0,10207,Jimmy Johnston,338,163,175
175,0,06284,Jim Hallet,339,185,154
175,0,01930,Eddie Pearce,339,166,173
177,0,01329,Brad Faxon,340,179,161
178,0,01068,Andy Bean,341,155,186
179,0,01849,Bill Murchison,344,184,160
180,0,01390,Buddy Gardner,349,181,168
181,0,06589,Jeff Woodland,350,174,176
182,0,01755,Dick Mast,351,177,174
183,0,01761,Len Mattiace,353,169,184
184,0,02223,Bob Tway,356,187,169
185,0,02255,Denis Watson,360,181,179
186,0,06247,David Delong,367,179,188
187,0,01248,Rick Dalpos,371,189,182
188,0,01659,Massy Kuramoto,372,185,187
189,0,06691,Greg Cesario,377,188,189
