RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,01633,Tom Kite,29.00,29,1
2,0,01331,Rick Fehr,32.00,32,1
2,0,01385,Jim Gallagher Jr.,32.00,32,1
2,0,06332,Neal Lancaster,32.00,32,1
2,0,01682,Wayne Levi,32.00,32,1
2,0,01771,Blaine McCallister,32.00,32,1
2,0,02131,Mike Springer,32.00,32,1
8,0,01035,Tommy Armour III,33.00,33,1
8,0,01200,Keith Clearwater,33.00,33,1
8,0,01284,Mike Donald,33.00,33,1
8,0,01353,Bruce Fleisher,33.00,33,1
8,0,01408,Kelly Gibson,33.00,33,1
8,0,01527,Scott Hoch,33.00,33,1
8,0,01706,Davis Love III,33.00,33,1
8,0,01928,Corey Pavin,33.00,33,1
8,0,02099,Scott Simpson,33.00,33,1
8,0,02218,Ted Tryba,33.00,33,1
18,0,01129,Bill Britton,34.00,34,1
18,0,01201,Lennie Clements,34.00,34,1
18,0,01374,Robin Freeman,34.00,34,1
18,0,01418,Bill Glasson,34.00,34,1
18,0,01475,Donnie Hammond,34.00,34,1
18,0,01533,P.H. Horgan III,34.00,34,1
18,0,10207,Jimmy Johnston,34.00,34,1
18,0,01701,Bob Lohr,34.00,34,1
18,0,01837,Gil Morgan,34.00,34,1
18,0,02135,Mike Standly,34.00,34,1
18,0,02159,Curtis Strange,34.00,34,1
18,0,02180,Harry Taylor,34.00,34,1
18,0,02217,Dennis Trixler,34.00,34,1
31,0,01196,Brian Claar,35.00,35,1
31,0,01219,John Cook,35.00,35,1
31,0,01261,Jay Delsing,35.00,35,1
31,0,01306,David Edwards,35.00,35,1
31,0,01307,Joel Edwards,35.00,35,1
31,0,01313,Steve Elkington,35.00,35,1
31,0,01510,Nolan Henke,35.00,35,1
31,0,01550,Ed Humenik,35.00,35,1
31,0,01846,Jodie Mudd,35.00,35,1
31,0,01887,Mark O'Meara,35.00,35,1
31,0,01926,Steve Pate,35.00,35,1
31,0,01946,Peter Persons,35.00,35,1
31,0,08759,Tad Rhyan,35.00,35,1
31,0,02133,Craig Stadler,35.00,35,1
31,0,02224,Greg Twiggs,35.00,35,1
31,0,02321,Fuzzy Zoeller,35.00,35,1
47,0,01093,Ronnie Black,36.00,36,1
47,0,06044,Scott Gump,36.00,36,1
47,0,01457,Jay Haas,36.00,36,1
47,0,06617,Brian Henninger,36.00,36,1
47,0,01564,David Jackson,36.00,36,1
47,0,02100,Tim Simpson,36.00,36,1
47,0,02170,Hal Sutton,36.00,36,1
47,0,02242,Lanny Wadkins,36.00,36,1
47,0,02245,Grant Waite,36.00,36,1
56,0,06086,Russell Beiersdorf,37.00,37,1
56,0,01288,Ed Dougherty,37.00,37,1
56,0,01320,Bob Estes,37.00,37,1
56,0,06058,John Flannery,37.00,37,1
56,0,01381,Fred Funk,37.00,37,1
56,0,01388,Robert Gamez,37.00,37,1
56,0,01553,John Huston,37.00,37,1
56,0,01557,John Inman,37.00,37,1
56,0,01619,Skip Kendall,37.00,37,1
56,0,01677,Tom Lehman,37.00,37,1
56,0,02033,Dave Rummells,37.00,37,1
56,0,02146,Payne Stewart,37.00,37,1
68,0,01006,John Adams,38.00,38,1
68,0,01014,Fulton Allem,38.00,38,1
68,0,01226,Fred Couples,38.00,38,1
68,0,06566,Jaime Gomez,38.00,38,1
68,0,06643,Paul Goydos,38.00,38,1
68,0,01707,Steve Lowery,38.00,38,1
68,0,02104,Jeff Sluman,38.00,38,1
75,0,01569,Peter Jacobsen,39.00,39,1
