RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,01633,Tom Kite,62.00,62,1
2,0,01385,Jim Gallagher Jr.,63.00,63,1
3,0,01200,Keith Clearwater,64.00,64,1
4,0,06332,Neal Lancaster,66.00,66,1
4,0,01771,Blaine McCallister,66.00,66,1
4,0,02099,Scott Simpson,66.00,66,1
7,0,01331,Rick Fehr,67.00,67,1
7,0,01527,Scott Hoch,67.00,67,1
7,0,01706,Davis Love III,67.00,67,1
7,0,01928,Corey Pavin,67.00,67,1
7,0,02131,Mike Springer,67.00,67,1
7,0,02217,Dennis Trixler,67.00,67,1
7,0,02321,Fuzzy Zoeller,67.00,67,1
14,0,01035,Tommy Armour III,68.00,68,1
14,0,01129,Bill Britton,68.00,68,1
14,0,01284,Mike Donald,68.00,68,1
14,0,01457,Jay Haas,68.00,68,1
18,0,01261,Jay Delsing,69.00,69,1
18,0,06617,Brian Henninger,69.00,69,1
18,0,10207,Jimmy Johnston,69.00,69,1
18,0,01682,Wayne Levi,69.00,69,1
18,0,01846,Jodie Mudd,69.00,69,1
18,0,01926,Steve Pate,69.00,69,1
18,0,02135,Mike Standly,69.00,69,1
18,0,02180,Harry Taylor,69.00,69,1
18,0,02218,Ted Tryba,69.00,69,1
27,0,01093,Ronnie Black,70.00,70,1
27,0,01353,Bruce Fleisher,70.00,70,1
27,0,01408,Kelly Gibson,70.00,70,1
27,0,01418,Bill Glasson,70.00,70,1
27,0,01475,Donnie Hammond,70.00,70,1
27,0,01550,Ed Humenik,70.00,70,1
27,0,01701,Bob Lohr,70.00,70,1
27,0,08759,Tad Rhyan,70.00,70,1
27,0,02159,Curtis Strange,70.00,70,1
27,0,02224,Greg Twiggs,70.00,70,1
27,0,02245,Grant Waite,70.00,70,1
38,0,01006,John Adams,71.00,71,1
38,0,01201,Lennie Clements,71.00,71,1
38,0,01219,John Cook,71.00,71,1
38,0,01320,Bob Estes,71.00,71,1
38,0,01510,Nolan Henke,71.00,71,1
38,0,01553,John Huston,71.00,71,1
38,0,01887,Mark O'Meara,71.00,71,1
38,0,01946,Peter Persons,71.00,71,1
38,0,02100,Tim Simpson,71.00,71,1
38,0,02170,Hal Sutton,71.00,71,1
38,0,02242,Lanny Wadkins,71.00,71,1
49,0,06086,Russell Beiersdorf,72.00,72,1
49,0,01226,Fred Couples,72.00,72,1
49,0,01307,Joel Edwards,72.00,72,1
49,0,01313,Steve Elkington,72.00,72,1
49,0,01557,John Inman,72.00,72,1
49,0,01564,David Jackson,72.00,72,1
49,0,01677,Tom Lehman,72.00,72,1
49,0,01837,Gil Morgan,72.00,72,1
49,0,02133,Craig Stadler,72.00,72,1
49,0,02146,Payne Stewart,72.00,72,1
59,0,01288,Ed Dougherty,73.00,73,1
59,0,01306,David Edwards,73.00,73,1
59,0,01381,Fred Funk,73.00,73,1
59,0,01388,Robert Gamez,73.00,73,1
59,0,01619,Skip Kendall,73.00,73,1
59,0,01707,Steve Lowery,73.00,73,1
59,0,02033,Dave Rummells,73.00,73,1
66,0,06058,John Flannery,74.00,74,1
66,0,01374,Robin Freeman,74.00,74,1
66,0,06044,Scott Gump,74.00,74,1
66,0,01533,P.H. Horgan III,74.00,74,1
70,0,01196,Brian Claar,75.00,75,1
70,0,06643,Paul Goydos,75.00,75,1
72,0,06566,Jaime Gomez,76.00,76,1
72,0,01569,Peter Jacobsen,76.00,76,1
74,0,01014,Fulton Allem,77.00,77,1
74,0,02104,Jeff Sluman,77.00,77,1
