RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES/EAGLES,# HOLES
1,0,01226,Fred Couples,23.99,285,1188
2,0,01887,Mark O'Meara,23.47,338,1440
3,0,01329,Brad Faxon,22.76,336,1476
4,0,01876,Greg Norman,22.55,207,918
5,0,01864,Larry Nelson,22.51,308,1368
6,0,09011,David Duval,22.29,298,1337
7,0,01706,Davis Love III,22.22,320,1440
8,0,01837,Gil Morgan,22.13,243,1098
9,0,01577,Lee Janzen,22.04,365,1656
10,0,01724,Jeff Maggert,21.79,357,1638
10,0,06567,Vijay Singh,21.79,353,1620
12,0,06613,Tommy Tolles,21.64,370,1710
13,0,01161,Mark Calcavecchia,21.63,401,1854
13,0,01326,Nick Faldo,21.63,218,1008
15,0,06034,Marco Dawson,21.58,338,1566
16,0,01553,John Huston,21.56,326,1512
17,0,06527,Steve Stricker,21.54,318,1476
18,0,02146,Payne Stewart,21.52,337,1566
19,0,08931,Glen Day,21.47,344,1602
20,0,01388,Robert Gamez,21.33,288,1350
21,0,12660,Jesper Parnevik,21.32,261,1224
22,0,02256,Tom Watson,21.30,207,972
23,0,01116,Michael Bradley,21.26,333,1566
24,0,01945,Kenny Perry,21.12,308,1458
25,0,01810,Phil Mickelson,21.07,292,1386
26,0,01527,Scott Hoch,21.06,364,1728
27,0,06522,Ernie Els,21.03,246,1170
28,0,10585,Scott McCarron,20.93,324,1548
29,0,01408,Kelly Gibson,20.91,429,2052
30,0,01006,John Adams,20.87,293,1404
31,0,01891,David Ogrin,20.81,382,1836
32,0,01042,Paul Azinger,20.78,288,1386
33,0,01132,Mark Brooks,20.74,377,1818
34,0,01040,Emlyn Aubrey,20.69,216,1044
35,0,01905,Joe Ozaki,20.59,252,1224
36,0,07867,Woody Austin,20.47,431,2106
36,0,01457,Jay Haas,20.47,328,1602
38,0,01510,Nolan Henke,20.45,294,1438
39,0,01677,Tom Lehman,20.39,290,1422
40,0,06012,Greg Kraft,20.37,297,1458
41,0,12782,Tim Herron,20.33,366,1800
41,0,02170,Hal Sutton,20.33,322,1584
43,0,01385,Jim Gallagher Jr.,20.32,267,1314
43,0,02214,Kirk Triplett,20.32,267,1314
45,0,20259,Hisayuki Sasaki,20.31,234,1152
46,0,10860,Justin Leonard,20.30,369,1818
47,0,01975,Tom Purtzer,20.28,303,1494
48,0,01682,Wayne Levi,20.27,259,1278
49,0,01823,Larry Mize,20.24,266,1314
50,0,01599,Steve Jones,20.21,302,1494
51,0,08337,Mike Heinen,20.12,344,1710
52,0,01098,Jay Don Blake,20.09,329,1638
53,0,01331,Rick Fehr,20.05,267,1332
54,0,01219,John Cook,20.04,321,1602
55,0,01378,David Frost,20.03,256,1278
56,0,02186,Brian Tennyson,20.00,270,1350
57,0,01096,Phil Blackmar,19.98,338,1692
58,0,01920,Craig Parry,19.96,291,1458
59,0,01203,Russ Cochran,19.95,298,1494
60,0,10809,Jim Furyk,19.94,359,1800
61,0,01958,Dan Pohl,19.92,208,1044
61,0,02321,Fuzzy Zoeller,19.92,190,954
63,0,01723,Andrew Magee,19.88,272,1368
64,0,01093,Ronnie Black,19.87,304,1530
64,0,01761,Len Mattiace,19.87,304,1530
66,0,07087,Hugh Royer III,19.84,325,1638
67,0,01201,Lennie Clements,19.81,296,1494
68,0,01549,Mike Hulbert,19.80,335,1692
69,0,02206,David Toms,19.79,317,1602
70,0,06214,Guy Boros,19.77,331,1674
70,0,01323,Brad Fabel,19.77,306,1548
72,0,02246,Duffy Waldorf,19.65,237,1206
73,0,01175,Jim Carter,19.63,378,1926
74,0,02104,Jeff Sluman,19.62,374,1906
75,0,01943,Chris Perry,19.61,240,1224
76,0,01024,Billy Andrade,19.60,307,1566
77,0,06036,Scott Dunlap,19.58,282,1440
78,0,01797,Rocco Mediate,19.57,243,1242
