RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,DISTANCE RANK,ACCURACY RANK
1,0,06621,Joe Durant,68,43,25
2,0,02170,Hal Sutton,75,57,18
3,0,02245,Grant Waite,79,16,63
4,0,01945,Kenny Perry,80,23,57
5,0,01157,Tom Byrum,85,73,12
6,0,01418,Bill Glasson,89,3,86
7,0,01677,Tom Lehman,95,55,40
8,0,01797,Rocco Mediate,96,46,50
9,0,01968,Nick Price,98,94,4
10,0,08793,Tiger Woods,99,2,97
11,0,01161,Mark Calcavecchia,101,14,87
11,0,09011,David Duval,101,12,89
13,0,10962,Bradley Hughes,105,31,74
14,0,02246,Duffy Waldorf,106,15,91
15,0,06643,Paul Goydos,108,77,31
16,0,12645,Brent Geiberger,109,24,85
17,0,01876,Greg Norman,110,75,35
18,0,20098,Stuart Appleby,116,17,99
19,0,01633,Tom Kite,117,72,45
20,0,01766,Billy Mayfair,118,86,32
21,0,01706,Davis Love III,120,4,116
22,0,01334,Keith Fergus,121,49,72
23,0,01457,Jay Haas,123,81,42
24,0,01810,Phil Mickelson,125,5,120
25,0,11032,Frank Lickliter II,131,94,37
26,0,10457,Frank Nobilo,132,59,73
27,0,19881,Robert Damron,133,68,65
28,0,01619,Skip Kendall,134,100,34
29,0,01133,Billy Ray Brown,139,83,56
29,0,01226,Fred Couples,139,8,131
31,0,01577,Lee Janzen,141,59,82
32,0,01035,Tommy Armour III,144,46,98
32,0,02133,Craig Stadler,144,100,44
34,0,01042,Paul Azinger,145,46,99
34,0,01724,Jeff Maggert,145,125,20
36,0,01388,Robert Gamez,146,35,111
37,0,08375,Paul Stankowski,148,21,127
37,0,02223,Bob Tway,148,64,84
39,0,07003,David Berganio Jr.,149,31,118
39,0,10809,Jim Furyk,149,144,5
39,0,01723,Andrew Magee,149,41,108
42,0,02023,Clarence Rose,151,121,30
43,0,01326,Nick Faldo,156,150,6
44,0,01175,Jim Carter,157,131,26
44,0,12782,Tim Herron,157,13,144
44,0,01599,Steve Jones,157,18,139
47,0,01139,Olin Browne,158,148,10
48,0,02256,Tom Watson,159,104,55
48,0,02321,Fuzzy Zoeller,159,144,15
50,0,01313,Steve Elkington,160,79,81
51,0,06617,Brian Henninger,161,26,135
51,0,01975,Tom Purtzer,161,22,139
51,0,02214,Kirk Triplett,161,137,24
54,0,01707,Steve Lowery,162,20,142
55,0,01475,Donnie Hammond,163,71,92
55,0,10585,Scott McCarron,163,7,156
57,0,20229,Stewart Cink,164,68,96
57,0,01569,Peter Jacobsen,164,88,76
59,0,06090,Jim McGovern,165,70,95
60,0,01381,Fred Funk,166,164,2
60,0,06044,Scott Gump,166,147,19
62,0,06567,Vijay Singh,167,9,158
63,0,07363,Craig Bowden,168,140,28
63,0,01408,Kelly Gibson,168,11,157
63,0,02101,Joey Sindelar,168,102,66
66,0,02159,Curtis Strange,170,137,33
67,0,08931,Glen Day,171,129,42
68,0,02279,Mark Wiebe,172,92,80
69,0,02104,Jeff Sluman,173,103,70
70,0,06124,Patrick Burke,174,123,51
70,0,02218,Ted Tryba,174,37,137
72,0,10837,Kevin Burton,176,116,60
72,0,06315,Pete Jordan,176,123,53
74,0,08553,Lee Porter,177,125,52
75,0,06522,Ernie Els,178,52,126
75,0,01527,Scott Hoch,178,161,17
75,0,02146,Payne Stewart,178,57,121
78,0,01361,Dan Forsman,180,56,124
79,0,06575,Dudley Hart,182,67,115
80,0,01533,P.H. Horgan III,183,96,87
80,0,01771,Blaine McCallister,183,142,41
80,0,01823,Larry Mize,183,180,3
83,0,01553,John Huston,184,83,101
83,0,01920,Craig Parry,184,125,59
85,0,01098,Jay Don Blake,185,81,104
85,0,01143,Brad Bryant,185,75,110
87,0,01219,John Cook,186,132,54
87,0,07465,Hideki Kase,186,19,167
89,0,07267,Allen Doyle,187,186,1
90,0,01014,Fulton Allem,189,175,14
90,0,12387,Michael Christie,189,27,162
92,0,01006,John Adams,190,9,181
92,0,01203,Russ Cochran,190,62,128
94,0,06613,Tommy Tolles,193,33,160
95,0,10207,Jimmy Johnston,194,92,102
96,0,01249,John Daly,195,1,194
96,0,01487,Jeff Hart,195,179,16
96,0,07101,Dave Stockton Jr.,195,30,165
96,0,02242,Lanny Wadkins,195,157,38
100,0,01306,David Edwards,196,189,7
100,0,01353,Bruce Fleisher,196,183,13
102,0,20099,Doug Barron,197,119,78
103,0,08547,John Maginnes,198,177,21
103,0,01748,Doug Martin,198,187,11
103,0,02166,Chip Sullivan,198,5,193
106,0,12826,Paul Claxton,199,163,36
106,0,01320,Bob Estes,199,116,83
106,0,01374,Robin Freeman,199,44,155
106,0,02010,Loren Roberts,199,191,8
106,0,02135,Mike Standly,199,61,138
111,0,01331,Rick Fehr,201,139,62
111,0,02267,D.A. Weibring,201,162,39
113,0,01323,Brad Fabel,203,154,49
113,0,07235,John Morse,203,194,9
113,0,01960,Don Pooley,203,176,27
113,0,02095,Larry Silveira,203,25,178
117,0,01261,Jay Delsing,205,37,168
117,0,01864,Larry Nelson,205,53,152
119,0,01941,Tom Pernice Jr.,207,35,172
120,0,01510,Nolan Henke,210,135,75
120,0,01891,David Ogrin,210,141,69
122,0,21007,Gabriel Hjertstedt,211,88,123
122,0,06515,Shaun Micheel,211,29,182
122,0,12660,Jesper Parnevik,211,108,103
122,0,02226,Tray Tyner,211,188,23
126,0,01996,Mike Reid,212,190,22
127,0,01489,Steve Hart,214,185,29
127,0,02049,Gene Sauers,214,121,93
129,0,06034,Marco Dawson,215,27,188
129,0,01385,Jim Gallagher Jr.,215,45,170
131,0,01185,Brandel Chamblee,217,83,134
131,0,07749,Brett Quigley,217,37,180
133,0,01116,Michael Bradley,219,42,177
133,0,01682,Wayne Levi,219,173,46
135,0,10569,Mike Brisky,220,159,61
135,0,10860,Justin Leonard,220,172,48
135,0,06595,Kevin Sutherland,220,111,109
138,0,06036,Scott Dunlap,221,96,125
139,0,10963,Jimmy Green,222,111,111
140,0,02206,David Toms,223,50,173
141,0,06527,Steve Stricker,225,34,191
142,0,08075,Jerry Kelly,227,108,119
143,0,01096,Phil Blackmar,232,40,192
143,0,01761,Len Mattiace,232,86,146
143,0,10213,Dicky Pride,232,165,67
146,0,01943,Chris Perry,233,143,90
147,0,06144,John Dowdall,234,157,77
148,0,01093,Ronnie Black,235,74,161
148,0,02008,Lee Rinker,235,156,79
148,0,06581,David Sutherland,235,96,139
151,0,01040,Emlyn Aubrey,236,178,58
151,0,10505,Shane Bertsch,236,115,121
151,0,01444,Ken Green,236,65,171
154,0,01288,Ed Dougherty,238,88,150
154,0,05466,Jack O'Keefe,238,106,132
156,0,10875,Todd Demsey,240,53,187
156,0,08265,Eric Johnson,240,51,189
158,0,01346,Ed Fiori,242,195,47
158,0,01717,Sandy Lyle,242,79,163
160,0,07867,Woody Austin,246,99,147
161,0,01024,Billy Andrade,247,104,143
162,0,07087,Hugh Royer III,248,63,185
163,0,01905,Joe Ozaki,250,120,130
164,0,06214,Guy Boros,251,146,105
165,0,01196,Brian Claar,254,148,106
165,0,08339,Spike McRoy,254,160,94
167,0,06332,Neal Lancaster,255,77,178
167,0,08385,Omar Uresti,255,184,71
169,0,01201,Lennie Clements,256,192,64
169,0,20158,Anthony Rodriguez,256,66,190
171,0,08537,J.P. Hayes,261,132,129
171,0,01928,Corey Pavin,261,193,68
173,0,02115,Taylor Smith,263,88,175
174,0,06012,Greg Kraft,268,114,154
174,0,12663,Phil Tataurangi,268,132,136
176,0,01926,Steve Pate,271,107,164
177,0,01132,Mark Brooks,277,170,107
178,0,02292,Bob Wolcott,286,135,151
179,0,02294,Willie Wood,287,173,114
180,0,06132,Sonny Skinner,293,182,111
181,0,02225,Howard Twitty,294,108,186
