RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,02256,Tom Watson,34.27,514,15
2,0,01196,Brian Claar,34.39,619,18
3,0,10860,Justin Leonard,34.54,967,28
4,0,01226,Fred Couples,34.60,519,15
5,0,01968,Nick Price,34.67,520,15
6,0,01960,Don Pooley,34.68,659,19
7,0,10809,Jim Furyk,34.77,904,26
7,0,01527,Scott Hoch,34.77,765,22
9,0,09011,David Duval,34.82,975,28
10,0,01381,Fred Funk,34.85,1150,33
11,0,08793,Tiger Woods,34.86,732,21
12,0,02146,Payne Stewart,34.87,802,23
13,0,01706,Davis Love III,34.88,837,24
14,0,06613,Tommy Tolles,34.92,838,24
15,0,01203,Russ Cochran,34.93,1013,29
16,0,01457,Jay Haas,35.00,805,23
17,0,02214,Kirk Triplett,35.08,877,25
18,0,01201,Lennie Clements,35.11,983,28
18,0,01320,Bob Estes,35.11,667,19
18,0,01905,Joe Ozaki,35.11,667,19
21,0,06595,Kevin Sutherland,35.12,913,26
22,0,01943,Chris Perry,35.13,1089,31
22,0,01996,Mike Reid,35.13,843,24
24,0,01329,Brad Faxon,35.14,773,22
24,0,01748,Doug Martin,35.14,1019,29
26,0,01157,Tom Byrum,35.15,949,27
26,0,01161,Mark Calcavecchia,35.15,914,26
28,0,01011,Rafael Alarcon,35.16,879,25
28,0,01374,Robin Freeman,35.16,668,19
30,0,02099,Scott Simpson,35.17,844,24
31,0,01334,Keith Fergus,35.18,598,17
32,0,01891,David Ogrin,35.19,950,27
32,0,07101,Dave Stockton Jr.,35.19,1091,31
34,0,01619,Skip Kendall,35.20,1056,30
34,0,01810,Phil Mickelson,35.20,704,20
36,0,07003,David Berganio Jr.,35.21,986,28
37,0,01024,Billy Andrade,35.22,951,27
38,0,01408,Kelly Gibson,35.26,1234,35
38,0,01599,Steve Jones,35.26,811,23
40,0,01353,Bruce Fleisher,35.29,600,17
40,0,01887,Mark O'Meara,35.29,741,21
42,0,01042,Paul Azinger,35.30,706,20
42,0,12782,Tim Herron,35.30,1059,30
44,0,01707,Steve Lowery,35.31,1024,29
45,0,12645,Brent Geiberger,35.32,989,28
45,0,01418,Bill Glasson,35.32,671,19
47,0,01633,Tom Kite,35.33,742,21
47,0,02206,David Toms,35.33,954,27
49,0,01677,Tom Lehman,35.35,707,20
49,0,02133,Craig Stadler,35.35,707,20
51,0,01876,Greg Norman,35.36,495,14
51,0,02246,Duffy Waldorf,35.36,884,25
53,0,06567,Vijay Singh,35.38,743,21
54,0,02101,Joey Sindelar,35.40,1062,30
54,0,02223,Bob Tway,35.40,885,25
56,0,01323,Brad Fabel,35.41,1027,29
57,0,01093,Ronnie Black,35.44,957,27
57,0,06044,Scott Gump,35.44,1134,32
57,0,01926,Steve Pate,35.44,957,27
60,0,06643,Paul Goydos,35.45,1028,29
61,0,08375,Paul Stankowski,35.46,993,28
62,0,19881,Robert Damron,35.48,1100,31
62,0,01331,Rick Fehr,35.48,745,21
62,0,01533,P.H. Horgan III,35.48,1029,29
62,0,01941,Tom Pernice Jr.,35.48,1029,29
66,0,01385,Jim Gallagher Jr.,35.50,994,28
66,0,01723,Andrew Magee,35.50,994,28
66,0,01761,Len Mattiace,35.50,1207,34
66,0,02294,Willie Wood,35.50,923,26
70,0,08265,Eric Johnson,35.52,1030,29
70,0,01797,Rocco Mediate,35.52,817,23
72,0,07235,John Morse,35.53,1066,30
73,0,01766,Billy Mayfair,35.55,1031,29
73,0,01920,Craig Parry,35.55,711,20
73,0,02242,Lanny Wadkins,35.55,711,20
76,0,06522,Ernie Els,35.56,640,18
76,0,01487,Jeff Hart,35.56,960,27
76,0,10585,Scott McCarron,35.56,889,25
76,0,02321,Fuzzy Zoeller,35.56,569,16
80,0,01133,Billy Ray Brown,35.57,818,23
80,0,07267,Allen Doyle,35.57,996,28
82,0,06617,Brian Henninger,35.58,854,24
82,0,06527,Steve Stricker,35.58,676,19
84,0,01098,Jay Don Blake,35.59,961,27
84,0,01549,Mike Hulbert,35.59,1032,29
84,0,01724,Jeff Maggert,35.59,961,27
87,0,20099,Doug Barron,35.60,1068,30
87,0,06577,John Wilson,35.60,1068,30
89,0,01306,David Edwards,35.61,819,23
90,0,02170,Hal Sutton,35.62,1033,29
91,0,01116,Michael Bradley,35.63,962,27
91,0,10569,Mike Brisky,35.63,1069,30
91,0,01569,Peter Jacobsen,35.63,855,24
91,0,01771,Blaine McCallister,35.63,1069,30
91,0,12660,Jesper Parnevik,35.63,677,19
96,0,01185,Brandel Chamblee,35.64,891,25
97,0,01510,Nolan Henke,35.65,820,23
97,0,01577,Lee Janzen,35.65,927,26
97,0,01682,Wayne Levi,35.65,713,20
97,0,02023,Clarence Rose,35.65,1105,31
101,0,06315,Pete Jordan,35.66,1141,32
101,0,11032,Frank Lickliter II,35.66,1034,29
103,0,10963,Jimmy Green,35.67,1070,30
103,0,02010,Loren Roberts,35.67,856,24
105,0,06214,Guy Boros,35.70,964,27
105,0,06332,Neal Lancaster,35.70,1178,33
105,0,06581,David Sutherland,35.70,964,27
108,0,01475,Donnie Hammond,35.71,750,21
108,0,02279,Mark Wiebe,35.71,857,24
110,0,01096,Phil Blackmar,35.74,965,27
111,0,07363,Craig Bowden,35.75,715,20
111,0,02049,Gene Sauers,35.75,572,16
113,0,20098,Stuart Appleby,35.77,787,22
113,0,02008,Lee Rinker,35.77,1073,30
115,0,01143,Brad Bryant,35.78,823,23
116,0,07749,Brett Quigley,35.79,1181,33
117,0,01945,Kenny Perry,35.80,895,25
118,0,01361,Dan Forsman,35.81,931,26
118,0,01553,John Huston,35.81,967,27
120,0,01388,Robert Gamez,35.82,1003,28
120,0,02218,Ted Tryba,35.82,1182,33
122,0,21007,Gabriel Hjertstedt,35.83,824,23
123,0,02104,Jeff Sluman,35.86,1040,29
124,0,08385,Omar Uresti,35.87,1112,31
124,0,02245,Grant Waite,35.87,1076,30
126,0,01040,Emlyn Aubrey,35.88,933,26
126,0,01313,Steve Elkington,35.88,610,17
126,0,01489,Steve Hart,35.88,897,25
126,0,06012,Greg Kraft,35.88,1220,34
130,0,06034,Marco Dawson,35.90,1041,29
