RANK,MOVEMENT,PLAYER_ID,PLAYER,STROKE DIFFERENTIAL,PLAYER'S SCORE,FIELD AVERAGE SCORE
1,0,08793,Tiger Woods,+2.11,69.75,71.86
2,0,01968,Nick Price,+2.09,70.00,72.09
3,0,01876,Greg Norman,+1.98,70.41,72.39
4,0,01706,Davis Love III,+1.80,70.13,71.93
5,0,12660,Jesper Parnevik,+1.77,70.24,72.01
6,0,10809,Jim Furyk,+1.75,70.09,71.84
7,0,01677,Tom Lehman,+1.72,70.26,71.98
8,0,01527,Scott Hoch,+1.66,70.03,71.69
9,0,09011,David Duval,+1.54,70.37,71.91
10,0,01577,Lee Janzen,+1.44,70.45,71.89
10,0,10860,Justin Leonard,+1.44,70.44,71.88
12,0,06522,Ernie Els,+1.39,70.92,72.31
13,0,01161,Mark Calcavecchia,+1.38,70.15,71.53
13,0,01810,Phil Mickelson,+1.38,70.41,71.79
15,0,01226,Fred Couples,+1.35,70.93,72.28
16,0,02223,Bob Tway,+1.27,70.59,71.86
17,0,02010,Loren Roberts,+1.24,70.45,71.69
18,0,01313,Steve Elkington,+1.23,71.08,72.31
18,0,01418,Bill Glasson,+1.23,70.26,71.49
20,0,01320,Bob Estes,+1.22,69.94,71.16
21,0,01960,Don Pooley,+1.19,70.25,71.44
21,0,06567,Vijay Singh,+1.19,71.16,72.35
21,0,02146,Payne Stewart,+1.19,70.66,71.85
24,0,01329,Brad Faxon,+1.15,70.68,71.83
25,0,02256,Tom Watson,+1.13,70.98,72.11
26,0,01891,David Ogrin,+1.11,70.54,71.65
27,0,01887,Mark O'Meara,+1.08,70.95,72.03
28,0,01024,Billy Andrade,+1.06,70.79,71.85
28,0,01157,Tom Byrum,+1.06,70.62,71.68
28,0,01219,John Cook,+1.06,70.75,71.81
31,0,02133,Craig Stadler,+1.04,70.48,71.52
32,0,12645,Brent Geiberger,+1.03,70.58,71.61
32,0,01457,Jay Haas,+1.03,70.86,71.89
34,0,06613,Tommy Tolles,+1.00,70.79,71.79
35,0,01707,Steve Lowery,+.99,70.57,71.56
36,0,01920,Craig Parry,+.98,70.90,71.88
37,0,20098,Stuart Appleby,+.97,71.27,72.24
38,0,01723,Andrew Magee,+.95,70.64,71.59
39,0,01943,Chris Perry,+.93,70.95,71.88
40,0,02214,Kirk Triplett,+.91,70.66,71.57
41,0,10457,Frank Nobilo,+.90,71.50,72.40
42,0,01748,Doug Martin,+.87,70.68,71.55
43,0,10585,Scott McCarron,+.86,71.01,71.87
44,0,01042,Paul Azinger,+.84,71.45,72.29
44,0,01098,Jay Don Blake,+.84,70.79,71.63
44,0,01203,Russ Cochran,+.84,70.68,71.52
47,0,01569,Peter Jacobsen,+.82,70.70,71.52
48,0,02170,Hal Sutton,+.79,70.90,71.69
49,0,01353,Bruce Fleisher,+.73,70.48,71.21
49,0,01724,Jeff Maggert,+.73,71.02,71.75
51,0,20229,Stewart Cink,+.72,70.82,71.54
52,0,01331,Rick Fehr,+.71,70.68,71.39
52,0,01599,Steve Jones,+.71,71.10,71.81
52,0,06595,Kevin Sutherland,+.71,70.91,71.62
55,0,01823,Larry Mize,+.70,71.38,72.08
56,0,01096,Phil Blackmar,+.67,71.02,71.69
56,0,06643,Paul Goydos,+.67,70.95,71.62
58,0,08375,Paul Stankowski,+.66,71.12,71.78
59,0,01381,Fred Funk,+.65,71.09,71.74
60,0,01116,Michael Bradley,+.64,71.20,71.84
61,0,01175,Jim Carter,+.63,71.00,71.63
61,0,02104,Jeff Sluman,+.63,71.09,71.72
63,0,01633,Tom Kite,+.61,71.34,71.95
64,0,06617,Brian Henninger,+.59,70.92,71.51
64,0,01996,Mike Reid,+.59,70.85,71.44
66,0,12782,Tim Herron,+.57,70.99,71.56
67,0,01797,Rocco Mediate,+.50,71.05,71.55
68,0,01682,Wayne Levi,+.47,70.84,71.31
68,0,02246,Duffy Waldorf,+.47,71.31,71.78
70,0,02206,David Toms,+.46,71.02,71.48
71,0,01143,Brad Bryant,+.45,71.23,71.68
71,0,01619,Skip Kendall,+.45,70.94,71.39
73,0,19881,Robert Damron,+.43,71.20,71.63
74,0,01361,Dan Forsman,+.42,71.31,71.73
75,0,01334,Keith Fergus,+.41,70.81,71.22
75,0,01408,Kelly Gibson,+.41,71.12,71.53
75,0,01945,Kenny Perry,+.41,71.15,71.56
78,0,01326,Nick Faldo,+.40,71.82,72.22
78,0,01475,Donnie Hammond,+.40,71.40,71.80
80,0,01323,Brad Fabel,+.39,71.06,71.45
81,0,01093,Ronnie Black,+.37,71.30,71.67
81,0,02245,Grant Waite,+.37,71.16,71.53
83,0,01761,Len Mattiace,+.34,71.19,71.53
84,0,01510,Nolan Henke,+.33,71.35,71.68
85,0,06581,David Sutherland,+.32,71.09,71.41
