RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR 4 BIRDIES OR BETTER,PAR 4 HOLES
1,0,01706,Davis Love III,20.35,163,801
2,0,01035,Tommy Armour III,20.04,184,918
3,0,09011,David Duval,19.41,144,742
4,0,02170,Hal Sutton,19.01,173,910
5,0,06004,Stephen Ames,18.86,109,578
6,0,01943,Chris Perry,18.52,233,1258
7,0,01381,Fred Funk,18.17,226,1244
8,0,01810,Phil Mickelson,18.15,147,810
9,0,02214,Kirk Triplett,18.14,164,904
10,0,10860,Justin Leonard,18.07,193,1068
11,0,02246,Duffy Waldorf,17.85,161,902
12,0,01261,Jay Delsing,17.81,140,786
13,0,08793,Tiger Woods,17.70,143,808
14,0,06527,Steve Stricker,17.69,121,684
15,0,01619,Skip Kendall,17.56,190,1082
16,0,02206,David Toms,17.35,186,1072
17,0,01797,Rocco Mediate,17.23,142,824
18,0,20094,Jonathan Kaye,17.15,194,1131
19,0,01226,Fred Couples,17.11,102,596
20,0,01724,Jeff Maggert,16.95,140,826
21,0,06617,Brian Henninger,16.90,169,1000
22,0,20593,Greg Chalmers,16.88,185,1096
23,0,01577,Lee Janzen,16.82,147,874
24,0,20229,Stewart Cink,16.77,158,942
25,0,12782,Tim Herron,16.70,163,976
26,0,06613,Tommy Tolles,16.69,133,797
27,0,02146,Payne Stewart,16.67,111,666
28,0,01161,Mark Calcavecchia,16.60,163,982
29,0,01093,Ronnie Black,16.55,96,580
29,0,12823,Carlos Franco,16.55,117,707
31,0,07457,Steve Flesch,16.53,167,1010
32,0,08075,Jerry Kelly,16.52,186,1126
33,0,01329,Brad Faxon,16.51,106,642
34,0,01040,Emlyn Aubrey,16.48,88,534
35,0,02010,Loren Roberts,16.45,154,936
36,0,11032,Frank Lickliter II,16.39,177,1080
37,0,20029,Notah Begay III,16.38,169,1032
37,0,10585,Scott McCarron,16.38,151,922
39,0,10649,Tom Scherrer,16.36,159,972
40,0,01527,Scott Hoch,16.34,169,1034
41,0,07867,Woody Austin,16.30,165,1012
42,0,20127,Chris Riley,16.18,145,896
43,0,08993,Franklin Langham,16.15,167,1034
44,0,23621,Rory Sabbatini,16.13,130,806
45,0,02218,Ted Tryba,16.08,183,1138
46,0,02223,Bob Tway,16.06,151,940
47,0,10423,Mike Weir,16.01,162,1012
48,0,07101,Dave Stockton Jr.,15.91,148,930
