RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF CUTS
1,0,01943,Chris Perry,27
2,0,10809,Jim Furyk,21
2,0,08793,Tiger Woods,21
4,0,02170,Hal Sutton,17
5,0,01320,Bob Estes,16
6,0,01968,Nick Price,14
7,0,20029,Notah Begay III,12
7,0,08635,Colin Montgomerie,12
9,0,09011,David Duval,10
9,0,01706,Davis Love III,10
9,0,01905,Joe Ozaki,10
12,0,01527,Scott Hoch,9
12,0,02206,David Toms,9
14,0,19881,Robert Damron,8
14,0,01926,Steve Pate,8
14,0,01927,Dennis Paulson,8
14,0,06567,Vijay Singh,8
18,0,06617,Brian Henninger,7
18,0,01810,Phil Mickelson,7
18,0,02246,Duffy Waldorf,7
21,0,20229,Stewart Cink,6
21,0,07457,Steve Flesch,6
21,0,01666,Bernhard Langer,6
21,0,10860,Justin Leonard,6
21,0,01707,Steve Lowery,6
21,0,02010,Loren Roberts,6
21,0,10423,Mike Weir,6
28,0,19824,Craig Barlow,5
28,0,01261,Jay Delsing,5
28,0,06522,Ernie Els,5
28,0,06044,Scott Gump,5
28,0,21007,Gabriel Hjertstedt,5
28,0,08045,Perry Moss,5
28,0,20396,Lee Westwood,5
35,0,07867,Woody Austin,4
35,0,01042,Paul Azinger,4
35,0,01226,Fred Couples,4
35,0,21209,Sergio Garcia,4
35,0,12645,Brent Geiberger,4
35,0,20766,Padraig Harrington,4
35,0,06575,Dudley Hart,4
35,0,01553,John Huston,4
35,0,01569,Peter Jacobsen,4
35,0,06012,Greg Kraft,4
35,0,19904,Paul Lawrie,4
35,0,01685,J.L. Lewis,4
35,0,01724,Jeff Maggert,4
35,0,20127,Chris Riley,4
35,0,02104,Jeff Sluman,4
35,0,02190,Doug Tewell,4
35,0,06431,Jean Van de Velde,4
52,0,07003,David Berganio Jr.,3
52,0,10944,Thomas Bjørn,3
52,0,01127,Danny Briggs,3
52,0,01139,Olin Browne,3
52,0,20848,Ángel Cabrera,3
52,0,19825,Darren Clarke,3
52,0,01203,Russ Cochran,3
52,0,19905,Andrew Coltart,3
52,0,06036,Scott Dunlap,3
52,0,01306,David Edwards,3
52,0,01418,Bill Glasson,3
52,0,08537,J.P. Hayes,3
52,0,01572,Mark James,3
52,0,01577,Lee Janzen,3
52,0,20094,Jonathan Kaye,3
52,0,08075,Jerry Kelly,3
52,0,01677,Tom Lehman,3
52,0,01766,Billy Mayfair,3
52,0,01771,Blaine McCallister,3
52,0,06140,Sean Murphy,3
52,0,06373,José María Olazábal,3
52,0,01928,Corey Pavin,3
52,0,10213,Dicky Pride,3
52,0,06595,Kevin Sutherland,3
52,0,02223,Bob Tway,3
52,0,02239,Scott Verplank,3
78,0,21633,Steve Allan,2
78,0,20098,Stuart Appleby,2
78,0,01035,Tommy Armour III,2
78,0,01068,Andy Bean,2
78,0,01175,Jim Carter,2
78,0,20472,Alex Cejka,2
78,0,01191,Barry Cheesman,2
78,0,24357,K.J. Choi,2
78,0,01249,John Daly,2
78,0,06251,Chris DiMarco,2
78,0,07763,Doug Dunakey,2
78,0,01313,Steve Elkington,2
78,0,01329,Brad Faxon,2
78,0,01334,Keith Fergus,2
78,0,01355,Raymond Floyd,2
78,0,01361,Dan Forsman,2
78,0,12823,Carlos Franco,2
78,0,01381,Fred Funk,2
78,0,06064,Jeff Gallagher,2
78,0,12782,Tim Herron,2
78,0,01533,P.H. Horgan III,2
78,0,19958,Miguel Angel Jiménez,2
78,0,06573,Brandt Jobe,2
78,0,08993,Franklin Langham,2
78,0,06350,Bob May,2
78,0,01876,Greg Norman,2
78,0,20572,Rod Pampling,2
78,0,01920,Craig Parry,2
78,0,01945,Kenny Perry,2
78,0,20474,Phillip Price,2
78,0,20387,Jarmo Sandelin,2
78,0,02131,Mike Springer,2
78,0,02135,Mike Standly,2
78,0,08375,Paul Stankowski,2
78,0,02218,Ted Tryba,2
78,0,07269,Greg Turner,2
