RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# OF HOLES
1,0,01226,Fred Couples,84.14,467,555
2,0,08793,Tiger Woods,82.08,591,720
3,0,20229,Stewart Cink,80.67,651,807
4,0,02206,David Toms,80.63,841,1043
5,0,02246,Duffy Waldorf,80.24,540,673
6,0,01706,Davis Love III,80.20,652,813
7,0,01938,David Peoples,80.10,765,955
8,0,02223,Bob Tway,80.03,633,791
9,0,06251,Chris DiMarco,79.92,852,1066
10,0,06621,Joe Durant,79.90,831,1040
11,0,01943,Chris Perry,79.81,846,1060
12,0,06567,Vijay Singh,79.74,669,839
13,0,08045,Perry Moss,79.27,367,463
14,0,06350,Bob May,79.13,656,829
15,0,02104,Jeff Sluman,79.03,814,1030
16,0,01810,Phil Mickelson,79.01,561,710
17,0,02245,Grant Waite,78.96,638,808
18,0,01945,Kenny Perry,78.93,573,726
19,0,01388,Robert Gamez,78.68,598,760
20,0,01185,Brandel Chamblee,78.54,538,685
21,0,01685,J.L. Lewis,78.39,711,907
22,0,02214,Kirk Triplett,78.34,738,942
23,0,02170,Hal Sutton,78.32,701,895
24,0,12823,Carlos Franco,78.30,534,682
25,0,01677,Tom Lehman,78.27,508,649
26,0,06527,Steve Stricker,78.25,367,469
27,0,08545,Glen Hnatiuk,78.19,753,963
28,0,07457,Steve Flesch,78.18,885,1132
28,0,20574,Mathew Goggin,78.18,663,848
30,0,06012,Greg Kraft,78.10,806,1032
31,0,01408,Kelly Gibson,78.02,582,746
32,0,01313,Steve Elkington,78.01,415,532
33,0,02101,Joey Sindelar,77.96,605,776
34,0,10649,Tom Scherrer,77.94,735,943
35,0,01723,Andrew Magee,77.91,515,661
36,0,10423,Mike Weir,77.84,699,898
37,0,06515,Shaun Micheel,77.83,660,848
38,0,06573,Brandt Jobe,77.79,599,770
39,0,12782,Tim Herron,77.54,642,828
40,0,01527,Scott Hoch,77.53,804,1037
40,0,01569,Peter Jacobsen,77.53,490,632
42,0,06581,David Sutherland,77.52,783,1010
43,0,10809,Jim Furyk,77.50,744,960
44,0,01219,John Cook,77.44,697,900
45,0,01418,Bill Glasson,77.42,696,899
46,0,20099,Doug Barron,77.39,592,765
46,0,09011,David Duval,77.39,493,637
48,0,08993,Franklin Langham,77.26,676,875
48,0,06431,Jean Van de Velde,77.26,435,563
50,0,08375,Paul Stankowski,77.09,508,659
51,0,08537,J.P. Hayes,77.06,645,837
52,0,20095,Carl Paulson,77.05,772,1002
53,0,01307,Joel Edwards,77.04,765,993
54,0,20593,Greg Chalmers,76.99,686,891
55,0,06332,Neal Lancaster,76.97,665,864
56,0,01381,Fred Funk,76.96,915,1189
57,0,10860,Justin Leonard,76.91,683,888
58,0,22913,John Rollins,76.89,479,623
59,0,06140,Sean Murphy,76.88,745,969
60,0,12645,Brent Geiberger,76.84,574,747
61,0,01707,Steve Lowery,76.77,803,1046
62,0,08075,Jerry Kelly,76.74,815,1062
63,0,02257,Brian Watts,76.70,632,824
64,0,01191,Barry Cheesman,76.68,592,772
65,0,06004,Stephen Ames,76.66,703,917
65,0,01042,Paul Azinger,76.66,473,617
65,0,06088,Steve Gotsche,76.66,634,827
68,0,06575,Dudley Hart,76.60,537,701
69,0,20445,Casey Martin,76.55,604,789
70,0,01161,Mark Calcavecchia,76.52,668,873
70,0,06522,Ernie Els,76.52,492,643
72,0,06595,Kevin Sutherland,76.44,675,883
73,0,11011,Mike Sposa,76.41,489,640
74,0,01249,John Daly,76.40,424,555
75,0,20098,Stuart Appleby,76.39,521,682
76,0,12660,Jesper Parnevik,76.30,483,633
77,0,01766,Billy Mayfair,76.29,695,911
78,0,01968,Nick Price,76.28,463,607
79,0,01553,John Huston,76.18,566,743
80,0,01035,Tommy Armour III,76.08,636,836
81,0,01577,Lee Janzen,76.03,666,876
81,0,08535,Gary Nicklaus,76.03,552,726
83,0,01771,Blaine McCallister,76.02,818,1076
84,0,12652,Cameron Beckman,76.01,545,717
85,0,10885,Robert Allenby,75.99,674,887
86,0,10912,Craig Perks,75.96,556,732
87,0,02133,Craig Stadler,75.88,431,568
88,0,01374,Robin Freeman,75.85,672,886
89,0,01927,Dennis Paulson,75.84,496,654
