RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,TOTAL PURSE AVAILABLE
1,0,08793,Tiger Woods,12.12,9188321,75798054
2,0,01810,Phil Mickelson,5.59,4746455,84848054
3,0,06522,Ernie Els,4.65,3469404,74598054
4,0,09011,David Duval,3.59,2462844,68598054
5,0,02170,Hal Sutton,3.41,3061442,89748054
6,0,19825,Darren Clarke,3.33,1393364,41798054
7,0,12660,Jesper Parnevik,3.30,2413345,73098054
8,0,20474,Phillip Price,2.90,493750,16998054
9,0,06567,Vijay Singh,2.78,2573830,92698054
10,0,10944,Thomas Bjørn,2.71,1049647,38698054
11,0,01677,Tom Lehman,2.70,2068498,76698054
12,0,01968,Nick Price,2.64,1804431,68298054
13,0,01706,Davis Love III,2.61,2337761,89448054
14,0,10423,Mike Weir,2.50,2547827,102048054
15,0,21959,Ted Purdy,2.40,72000,3000000
16,0,02010,Loren Roberts,2.31,1932278,83698054
17,0,20229,Stewart Cink,2.28,2169725,95348054
18,0,01042,Paul Azinger,2.22,1597138,71998054
19,0,10809,Jim Furyk,2.20,1940517,88048054
20,0,20396,Lee Westwood,2.18,911634,41798054
21,0,10885,Robert Allenby,2.17,1968683,90748054
21,0,20029,Notah Begay III,2.17,1819322,83798054
23,0,02214,Kirk Triplett,2.11,2099939,99448054
24,0,01553,John Huston,2.08,1631694,78498054
25,0,10860,Justin Leonard,2.03,2023464,99848054
26,0,02206,David Toms,1.90,2002067,105498054
27,0,07457,Steve Flesch,1.88,2025777,107848054
28,0,20098,Stuart Appleby,1.87,1642218,87648054
29,0,12823,Carlos Franco,1.82,1550591,85398054
30,0,02239,Scott Verplank,1.81,1747641,96448054
31,0,06350,Bob May,1.79,1557716,87148054
32,0,21209,Sergio Garcia,1.74,1054337,60698054
33,0,01161,Mark Calcavecchia,1.73,1702316,98348054
34,0,02246,Duffy Waldorf,1.71,1384506,81150000
35,0,08993,Franklin Langham,1.70,1604951,94450000
36,0,08635,Colin Montgomerie,1.69,653043,38698054
37,0,06251,Chris DiMarco,1.68,1842220,109948054
38,0,01707,Steve Lowery,1.63,1543816,94650000
39,0,19958,Miguel Angel Jiménez,1.62,716348,44198054
40,0,01797,Rocco Mediate,1.55,1320276,84948054
41,0,02245,Grant Waite,1.51,1142788,75700000
42,0,20766,Padraig Harrington,1.50,491812,32698054
43,0,01226,Fred Couples,1.48,990215,66748054
43,0,20763,Pierre Fulke,1.48,133587,8998054
43,0,07007,Stephen Sear,1.48,90000,6100000
46,0,01527,Scott Hoch,1.46,1368886,94000000
46,0,01943,Chris Perry,1.46,1563114,107048054
46,0,23621,Rory Sabbatini,1.46,1262534,86350000
49,0,01945,Kenny Perry,1.43,889380,62200000
50,0,01796,Mark McNulty,1.41,56345,3998054
51,0,12680,Shigeki Maruyama,1.31,1207102,92048054
52,0,01876,Greg Norman,1.29,580510,45100000
53,0,06575,Dudley Hart,1.27,1048163,82748054
53,0,10881,Brian Kontak,1.27,37950,3000000
55,0,20400,Michael Campbell,1.21,321723,26498054
56,0,20593,Greg Chalmers,1.20,1063453,88750000
56,0,10649,Tom Scherrer,1.20,1263584,104948054
58,0,01724,Jeff Maggert,1.19,1138747,95448054
59,0,06373,José María Olazábal,1.16,552219,47698054
60,0,20548,Hidemichi Tanaka,1.14,124916,11000000
61,0,06036,Scott Dunlap,1.09,1040242,95098054
61,0,01329,Brad Faxon,1.09,999458,91650000
61,0,01771,Blaine McCallister,1.09,963972,88350000
64,0,02256,Tom Watson,1.08,158408,14698054
65,0,06431,Jean Van de Velde,1.05,774248,74048054
66,0,01024,Billy Andrade,1.03,1004825,97350000
66,0,12388,Michael Clark II,1.03,854820,83250000
66,0,20094,Jonathan Kaye,1.03,1096127,106550000
69,0,01723,Andrew Magee,1.02,867372,85300000
70,0,01175,Jim Carter,.99,964344,97548054
70,0,01927,Dennis Paulson,.99,896095,90448054
72,0,08537,J.P. Hayes,.98,838053,85350000
73,0,19905,Andrew Coltart,.95,162056,16998054
73,0,01619,Skip Kendall,.95,947114,99850000
75,0,02133,Craig Stadler,.93,631752,67800000
76,0,11032,Frank Lickliter II,.92,889151,96200000
77,0,08375,Paul Stankowski,.91,669708,73350000
78,0,19904,Paul Lawrie,.83,249735,30098054
78,0,06595,Kevin Sutherland,.83,728633,87650000
80,0,01577,Lee Janzen,.82,753707,91448054
80,0,02104,Jeff Sluman,.82,877388,106648054
82,0,01381,Fred Funk,.81,827689,102248054
82,0,01761,Len Mattiace,.81,762977,94100000
82,0,12461,Paul McGinley,.81,138216,16998054
85,0,08075,Jerry Kelly,.80,784750,98450000
86,0,19881,Robert Damron,.79,724576,91250000
86,0,21805,Harrison Frazar,.79,608533,77100000
86,0,01599,Steve Jones,.79,548069,69298054
89,0,12782,Tim Herron,.78,731922,93448054
90,0,20095,Carl Paulson,.77,741994,96900000
91,0,06004,Stephen Ames,.76,747311,98350000
91,0,01559,Hale Irwin,.76,34066,4500000
91,0,20385,Dean Robertson,.76,30366,3998054
94,0,19972,José Coceres,.75,89756,11998054
94,0,01203,Russ Cochran,.75,583604,77850000
94,0,20127,Chris Riley,.75,660707,88150000
97,0,06621,Joe Durant,.74,612881,82650000
97,0,01320,Bob Estes,.74,538705,72848054
99,0,01307,Joel Edwards,.73,638418,87250000
100,0,01185,Brandel Chamblee,.71,493904,69150000
101,0,12645,Brent Geiberger,.70,564916,80550000
101,0,21961,Charles Howell III,.70,263532,37750000
103,0,01926,Steve Pate,.69,649673,94498054
104,0,23125,Brad Elder,.68,700737,103350000
104,0,20939,Keiichiro Fukabori,.68,64350,9400000
104,0,01418,Bill Glasson,.68,552793,81450000
104,0,10821,Toshi Izawa,.68,20500,3000000
108,0,20157,Retief Goosen,.67,337925,50498054
108,0,06012,Greg Kraft,.67,597019,89550000
108,0,01920,Craig Parry,.67,507308,75548054
111,0,08931,Glen Day,.66,617239,92850000
112,0,20848,Ángel Cabrera,.65,159506,24698054
112,0,01823,Larry Mize,.65,425622,65100000
114,0,01666,Bernhard Langer,.64,254453,39598054
114,0,01685,J.L. Lewis,.64,610429,95050000
116,0,01098,Jay Don Blake,.63,590109,93650000
116,0,19932,Nic Henning,.63,56250,8998054
116,0,01905,Joe Ozaki,.63,393315,62798054
119,0,20043,Edward Fryatt,.62,611207,99150000
119,0,10201,Matt Gogel,.62,604198,97450000
119,0,20601,Gary Orr,.62,106206,16998054
