RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
1,0,01527,Scott Hoch,-1.100
2,0,19817,Michael Muehr,-1.000
3,0,02206,David Toms,-.960
4,0,02246,Duffy Waldorf,-.923
5,0,01797,Rocco Mediate,-.913
6,0,23322,Brett Wetterich,-.905
7,0,08375,Paul Stankowski,-.900
8,0,01938,David Peoples,-.882
9,0,10201,Matt Gogel,-.875
10,0,20157,Retief Goosen,-.857
11,0,07003,David Berganio Jr.,-.850
12,0,07749,Brett Quigley,-.846
13,0,01098,Jay Don Blake,-.824
14,0,02002,John Riegger,-.810
15,0,12652,Cameron Beckman,-.800
15,0,23614,Rich Beem,-.800
15,0,01475,Donnie Hammond,-.800
18,0,20029,Notah Begay III,-.789
19,0,01249,John Daly,-.778
19,0,09011,David Duval,-.778
19,0,20436,Garrett Willis,-.778
22,0,19881,Robert Damron,-.765
22,0,06595,Kevin Sutherland,-.765
24,0,08075,Jerry Kelly,-.760
25,0,08123,Jeff Brehaut,-.750
25,0,06643,Paul Goydos,-.750
25,0,12782,Tim Herron,-.750
25,0,12663,Phil Tataurangi,-.750
29,0,07223,Brian Bateman,-.739
29,0,01307,Joel Edwards,-.739
31,0,01948,Tim Petrovic,-.737
31,0,20645,John Senden,-.737
33,0,06251,Chris DiMarco,-.722
33,0,07457,Steve Flesch,-.722
33,0,01577,Lee Janzen,-.722
36,0,01142,Bart Bryant,-.714
36,0,24357,K.J. Choi,-.714
36,0,01810,Phil Mickelson,-.714
36,0,01887,Mark O'Meara,-.714
40,0,24925,Jonathan Byrd,-.706
41,0,26289,Boo Weekley,-.700
42,0,23108,Matt Kuchar,-.688
42,0,20095,Carl Paulson,-.688
44,0,12510,Chad Campbell,-.684
44,0,12680,Shigeki Maruyama,-.684
46,0,23541,Ben Crane,-.667
46,0,23983,Luke Donald,-.667
46,0,01378,David Frost,-.667
46,0,10809,Jim Furyk,-.667
46,0,08993,Franklin Langham,-.667
46,0,20502,Michael Long,-.667
46,0,01706,Davis Love III,-.667
46,0,23800,Bryce Molder,-.667
46,0,06373,José María Olazábal,-.667
46,0,01926,Steve Pate,-.667
46,0,23621,Rory Sabbatini,-.667
46,0,22293,Heath Slocum,-.667
46,0,06613,Tommy Tolles,-.667
59,0,10860,Justin Leonard,-.652
60,0,21633,Steve Allan,-.647
61,0,01771,Blaine McCallister,-.643
61,0,11011,Mike Sposa,-.643
61,0,02133,Craig Stadler,-.643
61,0,02239,Scott Verplank,-.643
65,0,06004,Stephen Ames,-.636
65,0,20574,Mathew Goggin,-.636
65,0,02245,Grant Waite,-.636
68,0,10885,Robert Allenby,-.633
69,0,10585,Scott McCarron,-.632
69,0,10423,Mike Weir,-.632
71,0,01157,Tom Byrum,-.625
71,0,12826,Paul Claxton,-.625
71,0,20043,Edward Fryatt,-.625
71,0,21806,Paul Gow,-.625
71,0,01553,John Huston,-.625
76,0,01132,Mark Brooks,-.615
76,0,20229,Stewart Cink,-.615
76,0,06036,Scott Dunlap,-.615
76,0,11032,Frank Lickliter II,-.615
76,0,06350,Bob May,-.615
81,0,20094,Jonathan Kaye,-.611
81,0,20663,Brenden Pappas,-.611
81,0,02223,Bob Tway,-.611
84,0,01024,Billy Andrade,-.609
84,0,01161,Mark Calcavecchia,-.609
86,0,06621,Joe Durant,-.600
86,0,01329,Brad Faxon,-.600
86,0,19846,Brian Gay,-.600
86,0,22913,John Rollins,-.600
90,0,20098,Stuart Appleby,-.593
91,0,01619,Skip Kendall,-.588
91,0,23623,Bo Van Pelt,-.588
93,0,01685,J.L. Lewis,-.586
94,0,01381,Fred Funk,-.583
94,0,21949,Joe Ogilvie,-.583
96,0,20593,Greg Chalmers,-.579
97,0,20498,Briny Baird,-.577
98,0,01361,Dan Forsman,-.571
98,0,10117,Bob Heintz,-.571
98,0,08535,Gary Nicklaus,-.571
98,0,20548,Hidemichi Tanaka,-.571
102,0,12388,Michael Clark II,-.563
102,0,02214,Kirk Triplett,-.563
104,0,01185,Brandel Chamblee,-.556
104,0,20105,Jeff Gove,-.556
104,0,10912,Craig Perks,-.556
104,0,02110,Jerry Smith,-.556
108,0,06573,Brandt Jobe,-.550
109,0,08537,J.P. Hayes,-.545
109,0,21259,Jason Hill,-.545
109,0,06332,Neal Lancaster,-.545
109,0,23177,Kenneth Staton,-.545
113,0,19824,Craig Barlow,-.538
113,0,23135,Tim Clark,-.538
113,0,12645,Brent Geiberger,-.538
113,0,21961,Charles Howell III,-.538
113,0,01724,Jeff Maggert,-.538
113,0,01761,Len Mattiace,-.538
113,0,01927,Dennis Paulson,-.538
120,0,06567,Vijay Singh,-.536
121,0,10649,Tom Scherrer,-.533
122,0,20572,Rod Pampling,-.529
123,0,01219,John Cook,-.526
124,0,02104,Jeff Sluman,-.517
125,0,01139,Olin Browne,-.500
125,0,19972,José Coceres,-.500
125,0,01388,Robert Gamez,-.500
125,0,21209,Sergio Garcia,-.500
125,0,01549,Mike Hulbert,-.500
125,0,01569,Peter Jacobsen,-.500
125,0,01666,Bernhard Langer,-.500
125,0,06016,Brad Lardon,-.500
125,0,06515,Shaun Micheel,-.500
125,0,24361,Pat Perez,-.500
125,0,08553,Lee Porter,-.500
125,0,10213,Dicky Pride,-.500
125,0,20566,Kaname Yokoo,-.500
138,0,01945,Kenny Perry,-.480
139,0,10733,Kent Jones,-.478
140,0,07721,Pat Bates,-.474
140,0,01941,Tom Pernice Jr.,-.474
142,0,01313,Steve Elkington,-.471
143,0,21805,Harrison Frazar,-.467
143,0,20634,Peter Lonard,-.467
143,0,10107,Deane Pappas,-.467
146,0,07867,Woody Austin,-.458
146,0,10565,Ian Leggatt,-.458
148,0,20127,Chris Riley,-.455
149,0,23125,Brad Elder,-.444
149,0,01707,Steve Lowery,-.444
149,0,01928,Corey Pavin,-.444
149,0,02322,Richard Zokol,-.444
153,0,02101,Joey Sindelar,-.440
154,0,23353,J.J. Henry,-.438
154,0,06498,Matt Peterson,-.438
156,0,06522,Ernie Els,-.421
157,0,06575,Dudley Hart,-.417
158,0,10425,Jay Williamson,-.412
159,0,08931,Glen Day,-.407
160,0,01014,Fulton Allem,-.400
160,0,06197,Michael Allen,-.400
160,0,06617,Brian Henninger,-.400
163,0,24937,Jess Daley,-.385
164,0,01203,Russ Cochran,-.375
164,0,01374,Robin Freeman,-.375
164,0,01514,Eduardo Herrera,-.375
164,0,01723,Andrew Magee,-.375
164,0,01766,Billy Mayfair,-.375
164,0,01920,Craig Parry,-.375
170,0,02106,Chris Smith,-.368
171,0,23338,David Gossett,-.360
172,0,10457,Frank Nobilo,-.350
173,0,02010,Loren Roberts,-.348
174,0,01599,Steve Jones,-.333
174,0,12753,David Morland IV,-.333
176,0,08545,Glen Hnatiuk,-.316
177,0,12660,Jesper Parnevik,-.308
178,0,01175,Jim Carter,-.300
179,0,12823,Carlos Franco,-.286
179,0,08793,Tiger Woods,-.286
181,0,23903,Stephen Gangluff,-.273
181,0,10962,Bradley Hughes,-.273
183,0,01320,Bob Estes,-.250
183,0,22046,Geoff Ogilvy,-.250
185,0,01968,Nick Price,-.214
186,0,01035,Tommy Armour III,-.200
186,0,08881,Tripp Isenhour,-.200
188,0,06809,Bob Burns,-.182
188,0,01457,Jay Haas,-.182
190,0,02099,Scott Simpson,-.167
191,0,08633,Per-Ulrik Johansson,-.154
192,0,01226,Fred Couples,-.143
192,0,08339,Spike McRoy,-.143
192,0,02257,Brian Watts,-.143
195,0,06012,Greg Kraft,-.100
196,0,01042,Paul Azinger,-.083
196,0,02170,Hal Sutton,-.083
198,0,06315,Pete Jordan,-.077
199,0,01677,Tom Lehman,-.067
199,0,06078,Esteban Toledo,-.067
201,0,19958,Miguel Angel Jiménez,E
202,0,06527,Steve Stricker,+.167
