RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,ATTEMPTS,2 PUTT OR BETTER %
1,0,02239,Scott Verplank,3.09,3,97,96.9
2,0,07721,Pat Bates,3.23,4,124,96.7
3,0,01887,Mark O'Meara,3.39,2,59,96.6
4,0,01024,Billy Andrade,3.47,5,144,96.5
5,0,01313,Steve Elkington,3.57,3,84,96.4
6,0,02101,Joey Sindelar,4.00,6,150,96.0
7,0,01249,John Daly,4.17,2,48,95.8
8,0,01175,Jim Carter,4.24,5,118,95.7
9,0,01810,Phil Mickelson,4.55,5,110,95.4
10,0,01577,Lee Janzen,4.58,6,131,95.4
11,0,01797,Rocco Mediate,4.59,5,109,95.4
12,0,24925,Jonathan Byrd,4.62,6,130,95.3
13,0,20095,Carl Paulson,4.64,7,151,95.3
14,0,01457,Jay Haas,4.85,5,103,95.1
14,0,01928,Corey Pavin,4.85,5,103,95.1
16,0,01475,Donnie Hammond,4.94,4,81,95.0
17,0,10809,Jim Furyk,5.00,6,120,95.0
18,0,23125,Brad Elder,5.22,6,115,94.7
19,0,01677,Tom Lehman,5.26,4,76,94.7
20,0,08339,Spike McRoy,5.32,5,94,94.6
21,0,02223,Bob Tway,5.44,8,147,94.5
22,0,23541,Ben Crane,5.47,7,128,94.5
23,0,01042,Paul Azinger,5.56,3,54,94.4
23,0,10425,Jay Williamson,5.56,8,144,94.4
25,0,06573,Brandt Jobe,5.70,9,158,94.3
26,0,20572,Rod Pampling,5.77,6,104,94.2
27,0,20127,Chris Riley,5.80,8,138,94.2
28,0,20574,Mathew Goggin,5.88,6,102,94.1
29,0,01378,David Frost,5.93,8,135,94.0
30,0,23108,Matt Kuchar,5.94,6,101,94.0
31,0,07457,Steve Flesch,5.97,8,134,94.0
32,0,01938,David Peoples,6.06,8,132,93.9
33,0,22046,Geoff Ogilvy,6.09,7,115,93.9
34,0,01666,Bernhard Langer,6.12,3,49,93.8
35,0,02104,Jeff Sluman,6.16,9,146,93.8
36,0,01185,Brandel Chamblee,6.20,8,129,93.8
37,0,02010,Loren Roberts,6.29,9,143,93.7
38,0,07003,David Berganio Jr.,6.30,8,127,93.7
39,0,10213,Dicky Pride,6.33,5,79,93.6
39,0,02133,Craig Stadler,6.33,5,79,93.6
41,0,06332,Neal Lancaster,6.35,8,126,93.6
42,0,01926,Steve Pate,6.38,6,94,93.6
43,0,10860,Justin Leonard,6.50,8,123,93.5
44,0,01132,Mark Brooks,6.52,6,92,93.4
45,0,01569,Peter Jacobsen,6.54,7,107,93.4
46,0,12660,Jesper Parnevik,6.67,5,75,93.3
47,0,10201,Matt Gogel,6.72,8,119,93.2
48,0,19881,Robert Damron,6.78,8,118,93.2
49,0,01098,Jay Don Blake,6.80,10,147,93.2
50,0,09011,David Duval,6.82,6,88,93.1
50,0,02206,David Toms,6.82,9,132,93.1
50,0,02214,Kirk Triplett,6.82,6,88,93.1
53,0,10565,Ian Leggatt,6.84,8,117,93.1
54,0,01329,Brad Faxon,6.86,7,102,93.1
55,0,06809,Bob Burns,7.02,8,114,92.9
56,0,20105,Jeff Gove,7.04,10,142,92.9
57,0,06617,Brian Henninger,7.06,6,85,92.9
58,0,12826,Paul Claxton,7.09,10,141,92.9
59,0,24937,Jess Daley,7.14,8,112,92.8
60,0,01941,Tom Pernice Jr.,7.25,10,138,92.7
61,0,01388,Robert Gamez,7.45,7,94,92.5
62,0,06350,Bob May,7.46,10,134,92.5
62,0,10107,Deane Pappas,7.46,10,134,92.5
64,0,02110,Jerry Smith,7.50,9,120,92.5
65,0,01771,Blaine McCallister,7.53,7,93,92.4
66,0,01361,Dan Forsman,7.59,11,145,92.4
66,0,06567,Vijay Singh,7.59,11,145,92.4
68,0,01553,John Huston,7.69,8,104,92.3
68,0,22913,John Rollins,7.69,14,182,92.3
70,0,21209,Sergio Garcia,7.79,6,77,92.2
71,0,01723,Andrew Magee,7.83,9,115,92.1
72,0,01706,Davis Love III,7.84,8,102,92.1
73,0,01381,Fred Funk,7.89,12,152,92.1
73,0,19958,Miguel Angel Jiménez,7.89,6,76,92.1
75,0,10649,Tom Scherrer,7.94,10,126,92.0
76,0,20094,Jonathan Kaye,7.96,9,113,92.0
77,0,08537,J.P. Hayes,8.00,6,75,92.0
77,0,06373,José María Olazábal,8.00,6,75,92.0
77,0,01945,Kenny Perry,8.00,12,150,92.0
80,0,11032,Frank Lickliter II,8.04,9,112,91.9
81,0,06016,Brad Lardon,8.08,8,99,91.9
82,0,12388,Michael Clark II,8.09,11,136,91.9
83,0,23800,Bryce Molder,8.11,9,111,91.8
84,0,01549,Mike Hulbert,8.20,5,61,91.8
85,0,20502,Michael Long,8.21,11,134,91.7
86,0,06522,Ernie Els,8.25,8,97,91.7
87,0,06012,Greg Kraft,8.26,9,109,91.7
88,0,21949,Joe Ogilvie,8.33,6,72,91.6
88,0,02002,John Riegger,8.33,11,132,91.6
90,0,01761,Len Mattiace,8.38,15,179,91.6
91,0,08931,Glen Day,8.39,13,155,91.6
91,0,02106,Chris Smith,8.39,13,155,91.6
93,0,01139,Olin Browne,8.43,14,166,91.5
93,0,20157,Retief Goosen,8.43,7,83,91.5
95,0,10585,Scott McCarron,8.45,12,142,91.5
96,0,12510,Chad Campbell,8.50,13,153,91.5
97,0,10733,Kent Jones,8.64,14,162,91.3
98,0,01920,Craig Parry,8.70,8,92,91.3
99,0,12663,Phil Tataurangi,8.77,10,114,91.2
100,0,06197,Michael Allen,8.82,9,102,91.1
101,0,10885,Robert Allenby,8.84,13,147,91.1
102,0,11011,Mike Sposa,8.92,14,157,91.0
103,0,19817,Michael Muehr,8.99,8,89,91.0
104,0,01968,Nick Price,9.09,8,88,90.9
105,0,06595,Kevin Sutherland,9.17,10,109,90.8
106,0,08545,Glen Hnatiuk,9.21,14,152,90.7
107,0,01307,Joel Edwards,9.27,14,151,90.7
108,0,24357,K.J. Choi,9.30,12,129,90.7
109,0,06078,Esteban Toledo,9.35,13,139,90.6
110,0,23614,Rich Beem,9.40,11,117,90.6
111,0,19846,Brian Gay,9.42,13,138,90.5
111,0,01766,Billy Mayfair,9.42,13,138,90.5
113,0,21633,Steve Allan,9.59,14,146,90.4
113,0,01527,Scott Hoch,9.59,7,73,90.4
115,0,01203,Russ Cochran,9.62,10,104,90.3
115,0,01219,John Cook,9.62,10,104,90.3
117,0,07867,Woody Austin,9.70,13,134,90.3
117,0,23623,Bo Van Pelt,9.70,13,134,90.3
119,0,12680,Shigeki Maruyama,9.71,10,103,90.2
120,0,12823,Carlos Franco,9.73,18,185,90.2
121,0,23177,Kenneth Staton,9.76,16,164,90.2
122,0,10423,Mike Weir,9.90,10,101,90.1
123,0,01142,Bart Bryant,9.91,11,111,90.0
123,0,22293,Heath Slocum,9.91,11,111,90.0
125,0,01948,Tim Petrovic,9.92,13,131,90.0
126,0,01619,Skip Kendall,10.00,12,120,90.0
126,0,02099,Scott Simpson,10.00,10,100,90.0
128,0,08793,Tiger Woods,10.11,9,89,89.8
129,0,06251,Chris DiMarco,10.17,12,118,89.8
130,0,20043,Edward Fryatt,10.20,15,147,89.8
131,0,10117,Bob Heintz,10.23,9,88,89.7
132,0,01014,Fulton Allem,10.28,11,107,89.7
132,0,08993,Franklin Langham,10.28,11,107,89.7
132,0,24361,Pat Perez,10.28,11,107,89.7
135,0,19824,Craig Barlow,10.31,10,97,89.6
136,0,01161,Mark Calcavecchia,10.39,8,77,89.6
137,0,20593,Greg Chalmers,10.40,13,125,89.6
137,0,08075,Jerry Kelly,10.40,13,125,89.6
139,0,21961,Charles Howell III,10.49,17,162,89.5
140,0,01724,Jeff Maggert,10.53,12,114,89.4
141,0,20498,Briny Baird,10.56,17,161,89.4
141,0,23353,J.J. Henry,10.56,17,161,89.4
143,0,20436,Garrett Willis,10.58,11,104,89.4
144,0,06643,Paul Goydos,10.75,10,93,89.2
144,0,20566,Kaname Yokoo,10.75,10,93,89.2
146,0,12782,Tim Herron,10.85,14,129,89.1
147,0,01157,Tom Byrum,10.92,13,119,89.0
147,0,08881,Tripp Isenhour,10.92,13,119,89.0
149,0,12645,Brent Geiberger,10.95,15,137,89.0
150,0,21806,Paul Gow,11.28,15,133,88.7
150,0,06498,Matt Peterson,11.28,15,133,88.7
152,0,19972,José Coceres,11.43,8,70,88.5
153,0,06515,Shaun Micheel,11.46,18,157,88.5
154,0,01927,Dennis Paulson,11.48,14,122,88.5
155,0,01374,Robin Freeman,11.54,12,104,88.4
155,0,01707,Steve Lowery,11.54,15,130,88.4
157,0,23983,Luke Donald,11.56,17,147,88.4
158,0,08123,Jeff Brehaut,11.63,15,129,88.3
159,0,07749,Brett Quigley,11.69,18,154,88.3
159,0,02322,Richard Zokol,11.69,9,77,88.3
161,0,02245,Grant Waite,11.70,20,171,88.3
162,0,20663,Brenden Pappas,11.76,10,85,88.2
163,0,20029,Notah Begay III,12.00,18,150,88.0
163,0,08633,Per-Ulrik Johansson,12.00,15,125,88.0
165,0,23903,Stephen Gangluff,12.03,16,133,87.9
166,0,21259,Jason Hill,12.09,11,91,87.9
167,0,08553,Lee Porter,12.10,15,124,87.9
168,0,20098,Stuart Appleby,12.12,12,99,87.8
168,0,01599,Steve Jones,12.12,12,99,87.8
170,0,06315,Pete Jordan,12.17,14,115,87.8
171,0,23338,David Gossett,12.40,16,129,87.6
171,0,08375,Paul Stankowski,12.40,16,129,87.6
171,0,02246,Duffy Waldorf,12.40,16,129,87.6
174,0,10457,Frank Nobilo,12.50,16,128,87.5
175,0,20229,Stewart Cink,12.62,13,103,87.3
175,0,01514,Eduardo Herrera,12.62,13,103,87.3
177,0,12753,David Morland IV,12.66,10,79,87.3
178,0,01226,Fred Couples,12.77,6,47,87.2
179,0,12652,Cameron Beckman,12.82,15,117,87.1
180,0,06004,Stephen Ames,12.94,11,85,87.0
181,0,06621,Joe Durant,13.04,12,92,86.9
181,0,20548,Hidemichi Tanaka,13.04,18,138,86.9
183,0,20645,John Senden,13.16,15,114,86.8
184,0,06613,Tommy Tolles,13.19,12,91,86.8
185,0,20634,Peter Lonard,13.27,13,98,86.7
186,0,07223,Brian Bateman,13.61,20,147,86.3
187,0,23135,Tim Clark,13.79,12,87,86.2
188,0,10962,Bradley Hughes,13.89,15,108,86.1
189,0,08535,Gary Nicklaus,13.95,12,86,86.0
190,0,01035,Tommy Armour III,13.98,13,93,86.0
191,0,02170,Hal Sutton,14.00,14,100,86.0
192,0,23621,Rory Sabbatini,14.08,10,71,85.9
192,0,02257,Brian Watts,14.08,10,71,85.9
194,0,01685,J.L. Lewis,14.18,19,134,85.8
195,0,26289,Boo Weekley,14.46,12,83,85.5
196,0,06575,Dudley Hart,15.00,18,120,85.0
197,0,01320,Bob Estes,15.63,20,128,84.3
198,0,06527,Steve Stricker,17.54,10,57,82.4
199,0,06036,Scott Dunlap,17.65,18,102,82.3
200,0,21805,Harrison Frazar,17.92,19,106,82.0
201,0,10912,Craig Perks,18.35,20,109,81.6
202,0,23322,Brett Wetterich,20.13,30,149,79.8
