RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL PAR 5 HOLES,TOTAL HOLE OUTS
1,0,24925,Jonathan Byrd,15,328,1
1,0,23353,J.J. Henry,15,369,1
1,0,02206,David Toms,15,351,1
4,0,01249,John Daly,14,215,1
4,0,20634,Peter Lonard,14,312,3
4,0,10585,Scott McCarron,14,336,0
4,0,02223,Bob Tway,14,344,1
8,0,21961,Charles Howell III,13,378,2
8,0,01810,Phil Mickelson,13,319,2
8,0,20645,John Senden,13,324,2
11,0,10885,Robert Allenby,12,317,0
11,0,23541,Ben Crane,12,316,2
11,0,21209,Sergio Garcia,12,228,4
11,0,06350,Bob May,12,314,2
11,0,06567,Vijay Singh,12,329,1
11,0,08375,Paul Stankowski,12,339,3
17,0,22913,John Rollins,11,422,0
18,0,09011,David Duval,10,264,1
18,0,20043,Edward Fryatt,10,321,1
18,0,12782,Tim Herron,10,334,1
18,0,08633,Per-Ulrik Johansson,10,301,1
18,0,10565,Ian Leggatt,10,324,2
18,0,20095,Carl Paulson,10,284,1
18,0,01938,David Peoples,10,371,1
25,0,20098,Stuart Appleby,9,331,3
25,0,23614,Rich Beem,9,324,0
25,0,20593,Greg Chalmers,9,324,4
25,0,23125,Brad Elder,9,250,4
25,0,21806,Paul Gow,9,326,2
25,0,01553,John Huston,9,331,1
25,0,06573,Brandt Jobe,9,330,1
25,0,01797,Rocco Mediate,9,267,0
25,0,10912,Craig Perks,9,310,1
25,0,02106,Chris Smith,9,347,1
25,0,23177,Kenneth Staton,9,359,1
25,0,10423,Mike Weir,9,332,0
25,0,23322,Brett Wetterich,9,308,2
38,0,06004,Stephen Ames,8,301,3
38,0,07223,Brian Bateman,8,316,0
38,0,01313,Steve Elkington,8,266,2
38,0,01388,Robert Gamez,8,238,1
38,0,06575,Dudley Hart,8,282,1
38,0,01577,Lee Janzen,8,345,0
38,0,10860,Justin Leonard,8,319,2
38,0,01707,Steve Lowery,8,315,3
38,0,22046,Geoff Ogilvy,8,311,2
