RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,01810,Phil Mickelson,23.39,29,124
2,0,06573,Brandt Jobe,22.78,18,79
3,0,10733,Kent Jones,21.79,17,78
4,0,23552,Hank Kuehne,21.48,29,135
5,0,02206,David Toms,20.45,18,88
6,0,01706,Davis Love III,20.22,18,89
7,0,12602,Dean Wilson,19.86,28,141
8,0,10885,Robert Allenby,19.74,15,76
9,0,21805,Harrison Frazar,19.57,18,92
10,0,21961,Charles Howell III,19.53,25,128
11,0,21209,Sergio Garcia,19.40,13,67
12,0,06581,David Sutherland,19.23,15,78
13,0,01226,Fred Couples,19.05,12,63
14,0,07867,Woody Austin,18.95,29,153
15,0,06595,Kevin Sutherland,18.85,23,122
16,0,20029,Notah Begay III,18.75,15,80
17,0,20645,John Senden,18.70,23,123
18,0,20127,Chris Riley,18.69,20,107
19,0,25450,Ty Tryon,18.67,14,75
20,0,11011,Mike Sposa,18.52,20,108
21,0,01320,Bob Estes,18.31,13,71
22,0,22046,Geoff Ogilvy,18.26,21,115
23,0,06522,Ernie Els,18.18,10,55
23,0,02002,John Riegger,18.18,10,55
23,0,21878,Mark Wilson,18.18,16,88
26,0,22892,Jason Gore,18.10,21,116
27,0,06527,Steve Stricker,18.09,17,94
28,0,01161,Mark Calcavecchia,18.00,18,100
29,0,22548,Patrick Sheehan,17.83,23,129
30,0,01968,Nick Price,17.74,11,62
31,0,12823,Carlos Franco,17.71,31,175
32,0,25031,Andy Miller,17.65,21,119
33,0,01042,Paul Azinger,17.59,19,108
34,0,02104,Jeff Sluman,17.50,21,120
35,0,19825,Darren Clarke,17.39,8,46
36,0,07223,Brian Bateman,17.35,17,98
37,0,26489,Cameron Yancey,17.33,13,75
38,0,22371,Aaron Baddeley,17.00,17,100
39,0,20095,Carl Paulson,16.92,22,130
40,0,10201,Matt Gogel,16.88,13,77
41,0,10585,Scott McCarron,16.82,18,107
42,0,12652,Cameron Beckman,16.81,20,119
42,0,01723,Andrew Magee,16.81,19,113
42,0,12660,Jesper Parnevik,16.81,20,119
45,0,20574,Mathew Goggin,16.80,21,125
46,0,23656,Jason Caron,16.50,17,103
47,0,20663,Brenden Pappas,16.20,23,142
48,0,20157,Retief Goosen,16.18,11,68
49,0,22295,Darron Stiles,16.16,16,99
50,0,01948,Tim Petrovic,16.15,21,130
51,0,23125,Brad Elder,16.07,9,56
51,0,24502,Adam Scott,16.07,9,56
53,0,12680,Shigeki Maruyama,15.96,15,94
54,0,01249,John Daly,15.94,11,69
55,0,23541,Ben Crane,15.93,18,113
56,0,01941,Tom Pernice Jr.,15.87,20,126
57,0,06567,Vijay Singh,15.84,16,101
58,0,20593,Greg Chalmers,15.83,22,139
59,0,08337,Mike Heinen,15.74,17,108
59,0,20940,Kenichi Kuboya,15.74,17,108
61,0,20098,Stuart Appleby,15.70,19,121
61,0,06332,Neal Lancaster,15.70,27,172
63,0,06004,Stephen Ames,15.52,18,116
64,0,01761,Len Mattiace,15.45,17,110
65,0,20573,Scott Laycock,15.38,12,78
65,0,01707,Steve Lowery,15.38,14,91
65,0,08793,Tiger Woods,15.38,12,78
68,0,26950,John Morgan,15.33,21,137
69,0,01619,Skip Kendall,15.22,14,92
70,0,07457,Steve Flesch,15.17,22,145
71,0,01577,Lee Janzen,15.00,12,80
72,0,01685,J.L. Lewis,14.95,16,107
73,0,10213,Dicky Pride,14.94,13,87
74,0,08725,Tom Gillis,14.86,11,74
75,0,02106,Chris Smith,14.81,16,108
76,0,12705,Cliff Kresge,14.79,21,142
77,0,07721,Pat Bates,14.68,16,109
78,0,06617,Brian Henninger,14.67,11,75
79,0,20498,Briny Baird,14.62,19,130
79,0,20094,Jonathan Kaye,14.62,19,130
81,0,08931,Glen Day,14.48,21,145
82,0,01945,Kenny Perry,14.46,12,83
83,0,02246,Duffy Waldorf,14.43,14,97
84,0,25345,Carl Pettersson,14.42,15,104
84,0,02049,Gene Sauers,14.42,15,104
86,0,20436,Garrett Willis,14.41,17,118
87,0,01887,Mark O'Meara,14.29,10,70
87,0,23177,Kenneth Staton,14.29,9,63
89,0,20229,Stewart Cink,14.18,19,134
90,0,08375,Paul Stankowski,14.15,15,106
91,0,12662,Thomas Levet,14.04,16,114
92,0,23614,Rich Beem,14.02,15,107
93,0,06034,Marco Dawson,14.00,14,100
94,0,10565,Ian Leggatt,13.98,13,93
94,0,10860,Justin Leonard,13.98,13,93
96,0,20548,Hidemichi Tanaka,13.93,17,122
97,0,21806,Paul Gow,13.89,10,72
98,0,08339,Spike McRoy,13.87,19,137
99,0,01724,Jeff Maggert,13.85,9,65
100,0,25692,Akio Sadakata,13.83,13,94
101,0,01378,David Frost,13.79,16,116
102,0,01361,Dan Forsman,13.74,18,131
103,0,06621,Joe Durant,13.70,10,73
104,0,24925,Jonathan Byrd,13.59,14,103
105,0,12510,Chad Campbell,13.56,16,118
106,0,01329,Brad Faxon,13.49,17,126
107,0,02214,Kirk Triplett,13.48,12,89
108,0,19846,Brian Gay,13.46,14,104
109,0,02010,Loren Roberts,13.33,8,60
109,0,07101,Dave Stockton Jr.,13.33,14,105
109,0,02223,Bob Tway,13.33,14,105
112,0,12755,Vance Veazey,13.27,15,113
113,0,26420,Richard Johnson,13.10,11,84
114,0,02239,Scott Verplank,13.04,9,69
115,0,01677,Tom Lehman,12.99,10,77
115,0,01928,Corey Pavin,12.99,10,77
117,0,23338,David Gossett,12.93,15,116
118,0,06475,Jeff Klein,12.90,8,62
119,0,01475,Donnie Hammond,12.87,13,101
119,0,01938,David Peoples,12.87,13,101
119,0,10425,Jay Williamson,12.87,13,101
