RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,ATTEMPTS,2 PUTT OR BETTER %
1,0,21633,Steve Allan,.00,0,125,100.0
1,0,01042,Paul Azinger,.00,0,147,100.0
1,0,12652,Cameron Beckman,.00,0,211,100.0
1,0,24357,K.J. Choi,.00,0,215,100.0
1,0,01226,Fred Couples,.00,0,94,100.0
1,0,19881,Robert Damron,.00,0,203,100.0
1,0,06251,Chris DiMarco,.00,0,175,100.0
1,0,23983,Luke Donald,.00,0,191,100.0
1,0,01320,Bob Estes,.00,0,192,100.0
1,0,01378,David Frost,.00,0,205,100.0
1,0,10809,Jim Furyk,.00,0,192,100.0
1,0,19846,Brian Gay,.00,0,202,100.0
1,0,12645,Brent Geiberger,.00,0,102,100.0
1,0,10201,Matt Gogel,.00,0,145,100.0
1,0,20157,Retief Goosen,.00,0,107,100.0
1,0,01457,Jay Haas,.00,0,155,100.0
1,0,08537,J.P. Hayes,.00,0,177,100.0
1,0,06617,Brian Henninger,.00,0,139,100.0
1,0,23353,J.J. Henry,.00,0,215,100.0
1,0,21961,Charles Howell III,.00,0,224,100.0
1,0,01569,Peter Jacobsen,.00,0,156,100.0
1,0,06573,Brandt Jobe,.00,0,150,100.0
1,0,08075,Jerry Kelly,.00,0,193,100.0
1,0,01619,Skip Kendall,.00,0,244,100.0
1,0,01706,Davis Love III,.00,0,145,100.0
1,0,01723,Andrew Magee,.00,0,198,100.0
1,0,08547,John Maginnes,.00,0,181,100.0
1,0,01797,Rocco Mediate,.00,0,172,100.0
1,0,01810,Phil Mickelson,.00,0,149,100.0
1,0,10107,Deane Pappas,.00,0,160,100.0
1,0,01928,Corey Pavin,.00,0,182,100.0
1,0,01938,David Peoples,.00,0,224,100.0
1,0,01968,Nick Price,.00,0,110,100.0
1,0,07749,Brett Quigley,.00,0,190,100.0
1,0,02010,Loren Roberts,.00,0,144,100.0
1,0,22913,John Rollins,.00,0,145,100.0
1,0,02106,Chris Smith,.00,0,203,100.0
1,0,07101,Dave Stockton Jr.,.00,0,153,100.0
1,0,02170,Hal Sutton,.00,0,170,100.0
1,0,02214,Kirk Triplett,.00,0,202,100.0
1,0,12602,Dean Wilson,.00,0,164,100.0
1,0,20566,Kaname Yokoo,.00,0,127,100.0
43,0,20548,Hidemichi Tanaka,.39,1,256,99.6
44,0,01381,Fred Funk,.40,1,247,99.6
45,0,01024,Billy Andrade,.41,1,243,99.5
46,0,02104,Jeff Sluman,.42,1,240,99.5
47,0,07867,Woody Austin,.43,1,232,99.5
47,0,08545,Glen Hnatiuk,.43,1,232,99.5
47,0,08339,Spike McRoy,.43,1,233,99.5
50,0,20095,Carl Paulson,.44,1,227,99.5
51,0,02101,Joey Sindelar,.45,1,223,99.5
51,0,10425,Jay Williamson,.45,1,221,99.5
53,0,06621,Joe Durant,.46,1,218,99.5
54,0,01475,Donnie Hammond,.48,1,208,99.5
55,0,01157,Tom Byrum,.49,1,206,99.5
56,0,01175,Jim Carter,.50,1,199,99.5
56,0,20121,Todd Fischer,.50,1,201,99.5
56,0,12660,Jesper Parnevik,.50,1,201,99.5
59,0,01329,Brad Faxon,.51,1,196,99.4
59,0,01553,John Huston,.51,1,197,99.4
59,0,02223,Bob Tway,.51,1,196,99.4
62,0,12705,Cliff Kresge,.52,1,193,99.4
63,0,26420,Richard Johnson,.53,1,190,99.4
64,0,12662,Thomas Levet,.54,1,185,99.4
65,0,20771,Steven Alker,.55,1,183,99.4
66,0,06034,Marco Dawson,.56,1,179,99.4
66,0,25345,Carl Pettersson,.56,1,177,99.4
68,0,23552,Hank Kuehne,.58,1,172,99.4
68,0,01677,Tom Lehman,.58,1,173,99.4
70,0,10860,Justin Leonard,.59,1,169,99.4
71,0,20127,Chris Riley,.60,1,168,99.4
72,0,06595,Kevin Sutherland,.61,1,165,99.3
73,0,08725,Tom Gillis,.62,1,162,99.3
73,0,10912,Craig Perks,.62,1,161,99.3
73,0,11011,Mike Sposa,.62,1,161,99.3
76,0,21878,Mark Wilson,.63,1,158,99.3
77,0,22621,Ben Curtis,.64,1,157,99.3
78,0,01035,Tommy Armour III,.65,1,154,99.3
78,0,23614,Rich Beem,.65,1,153,99.3
78,0,01577,Lee Janzen,.65,1,154,99.3
78,0,10423,Mike Weir,.65,1,153,99.3
82,0,10565,Ian Leggatt,.66,1,151,99.3
83,0,21806,Paul Gow,.67,1,149,99.3
84,0,12755,Vance Veazey,.68,1,148,99.3
85,0,20573,Scott Laycock,.70,1,142,99.3
