RANK,MOVEMENT,PLAYER_ID,PLAYER,% UNDER THEN OVER PAR,TOTAL UNDER THEN OVER PAR,UNDER PAR
1,0,01361,Dan Forsman,10.56,36,341
2,0,06522,Ernie Els,10.96,24,219
3,0,01761,Len Mattiace,11.39,32,281
4,0,02104,Jeff Sluman,11.51,42,365
5,0,10860,Justin Leonard,11.66,33,283
6,0,10809,Jim Furyk,11.73,46,392
7,0,10423,Mike Weir,11.78,35,297
8,0,01724,Jeff Maggert,11.89,34,286
9,0,02206,David Toms,11.96,36,301
10,0,06573,Brandt Jobe,12.04,33,274
11,0,24502,Adam Scott,12.08,18,149
12,0,02239,Scott Verplank,12.11,46,380
13,0,01320,Bob Estes,12.21,42,344
14,0,20472,Alex Cejka,12.46,40,321
15,0,01666,Bernhard Langer,12.56,25,199
16,0,06617,Brian Henninger,12.57,23,183
17,0,20498,Briny Baird,12.59,52,413
18,0,02223,Bob Tway,12.79,38,297
19,0,01945,Kenny Perry,12.86,45,350
20,0,06567,Vijay Singh,13.04,57,437
21,0,01706,Davis Love III,13.07,43,329
22,0,08375,Paul Stankowski,13.11,35,267
23,0,07749,Brett Quigley,13.13,42,320
24,0,01707,Steve Lowery,13.15,38,289
25,0,06004,Stephen Ames,13.20,47,356
26,0,01161,Mark Calcavecchia,13.31,45,338
26,0,06621,Joe Durant,13.31,47,353
28,0,08075,Jerry Kelly,13.35,53,397
29,0,23541,Ben Crane,13.51,47,348
29,0,01938,David Peoples,13.51,45,333
31,0,20029,Notah Begay III,13.54,39,288
32,0,10213,Dicky Pride,13.55,34,251
33,0,20094,Jonathan Kaye,13.59,42,309
34,0,20436,Garrett Willis,13.66,47,344
35,0,20628,Arron Oberholser,13.70,37,270
36,0,07721,Pat Bates,13.76,49,356
37,0,20771,Steven Alker,13.82,34,246
37,0,08547,John Maginnes,13.82,38,275
39,0,01329,Brad Faxon,13.94,46,330
39,0,06575,Dudley Hart,13.94,29,208
41,0,01457,Jay Haas,13.95,42,301
42,0,07223,Brian Bateman,14.04,32,228
43,0,06251,Chris DiMarco,14.06,54,384
44,0,12510,Chad Campbell,14.14,56,396
45,0,06332,Neal Lancaster,14.17,53,374
46,0,12705,Cliff Kresge,14.24,48,337
47,0,01381,Fred Funk,14.25,53,372
48,0,01378,David Frost,14.34,40,279
49,0,01577,Lee Janzen,14.49,40,276
50,0,08725,Tom Gillis,14.61,32,219
51,0,20157,Retief Goosen,14.62,38,260
52,0,08931,Glen Day,14.70,56,381
52,0,21805,Harrison Frazar,14.70,46,313
54,0,24357,K.J. Choi,14.71,54,367
55,0,08793,Tiger Woods,14.74,42,285
56,0,08545,Glen Hnatiuk,14.76,40,271
57,0,01968,Nick Price,14.80,33,223
58,0,10733,Kent Jones,14.83,39,263
59,0,20572,Rod Pampling,14.84,46,310
60,0,22293,Heath Slocum,14.91,51,342
61,0,02246,Duffy Waldorf,14.95,48,321
62,0,02002,John Riegger,15.00,27,180
63,0,20127,Chris Riley,15.15,50,330
64,0,07457,Steve Flesch,15.24,64,420
64,0,02214,Kirk Triplett,15.24,50,328
66,0,01723,Andrew Magee,15.26,47,308
67,0,20229,Stewart Cink,15.28,59,386
68,0,01175,Jim Carter,15.30,43,281
68,0,01797,Rocco Mediate,15.30,43,281
70,0,07867,Woody Austin,15.38,62,403
70,0,20095,Carl Paulson,15.38,56,364
72,0,10201,Matt Gogel,15.42,39,253
73,0,22371,Aaron Baddeley,15.44,40,259
74,0,19824,Craig Barlow,15.45,55,356
74,0,20121,Todd Fischer,15.45,51,330
76,0,19825,Darren Clarke,15.46,32,207
77,0,12823,Carlos Franco,15.49,55,355
78,0,25345,Carl Pettersson,15.52,45,290
79,0,01810,Phil Mickelson,15.56,49,315
80,0,12782,Tim Herron,15.57,59,379
81,0,21739,Aaron Barber,15.60,51,327
81,0,19846,Brian Gay,15.60,51,327
83,0,22913,John Rollins,15.61,49,314
84,0,01157,Tom Byrum,15.64,48,307
85,0,20645,John Senden,15.65,59,377
86,0,20566,Kaname Yokoo,15.66,26,166
87,0,19881,Robert Damron,15.67,47,300
88,0,10425,Jay Williamson,15.71,44,280
89,0,12602,Dean Wilson,15.73,45,286
90,0,01132,Mark Brooks,15.75,43,273
91,0,11011,Mike Sposa,15.83,38,240
92,0,20663,Brenden Pappas,15.87,63,397
93,0,01024,Billy Andrade,15.88,57,359
94,0,01619,Skip Kendall,15.93,65,408
95,0,10885,Robert Allenby,15.99,51,319
96,0,23621,Rory Sabbatini,16.02,54,337
97,0,02170,Hal Sutton,16.03,46,287
98,0,20573,Scott Laycock,16.05,39,243
99,0,06515,Shaun Micheel,16.16,53,328
100,0,23983,Luke Donald,16.18,50,309
101,0,21878,Mark Wilson,16.25,39,240
102,0,01475,Donnie Hammond,16.28,49,301
103,0,01553,John Huston,16.29,51,313
104,0,01948,Tim Petrovic,16.32,63,386
105,0,01677,Tom Lehman,16.35,51,312
105,0,22046,Geoff Ogilvy,16.35,51,312
107,0,24925,Jonathan Byrd,16.40,61,372
108,0,08123,Jeff Brehaut,16.41,63,384
109,0,01388,Robert Gamez,16.45,76,462
110,0,06595,Kevin Sutherland,16.46,54,328
111,0,01766,Billy Mayfair,16.48,59,358
112,0,20098,Stuart Appleby,16.51,53,321
113,0,10107,Deane Pappas,16.54,45,272
114,0,20623,Gavin Coles,16.56,26,157
115,0,08337,Mike Heinen,16.57,56,338
116,0,25692,Akio Sadakata,16.61,45,271
117,0,01685,J.L. Lewis,16.62,56,337
118,0,12652,Cameron Beckman,16.67,52,312
119,0,10585,Scott McCarron,16.72,52,311
120,0,23108,Matt Kuchar,16.84,32,190
121,0,25450,Ty Tryon,16.88,26,154
122,0,23125,Brad Elder,16.90,24,142
123,0,08633,Per-Ulrik Johansson,16.96,57,336
124,0,20593,Greg Chalmers,17.01,58,341
125,0,20634,Peter Lonard,17.06,51,299
126,0,23552,Hank Kuehne,17.13,49,286
127,0,06643,Paul Goydos,17.20,54,314
128,0,23036,Chris Anderson,17.23,51,296
128,0,26420,Richard Johnson,17.23,51,296
130,0,12680,Shigeki Maruyama,17.30,50,289
131,0,08537,J.P. Hayes,17.31,49,283
131,0,01928,Corey Pavin,17.31,45,260
133,0,26950,John Morgan,17.32,44,254
134,0,23353,J.J. Henry,17.41,55,316
135,0,06078,Esteban Toledo,17.48,61,349
136,0,23135,Tim Clark,17.49,46,263
137,0,01226,Fred Couples,17.51,45,257
138,0,12388,Michael Clark II,17.55,33,188
139,0,20940,Kenichi Kuboya,17.61,50,284
140,0,21209,Sergio Garcia,17.62,34,193
141,0,01887,Mark O'Meara,17.70,37,209
142,0,23034,Brent Schwarzrock,17.73,39,220
143,0,01941,Tom Pernice Jr.,17.77,67,377
144,0,01035,Tommy Armour III,17.78,40,225
145,0,02101,Joey Sindelar,17.81,52,292
146,0,20548,Hidemichi Tanaka,17.86,70,392
147,0,01042,Paul Azinger,17.89,39,218
148,0,12660,Jesper Parnevik,17.99,61,339
149,0,12662,Thomas Levet,18.15,49,270
150,0,21806,Paul Gow,18.23,37,203
151,0,06581,David Sutherland,18.32,50,273
152,0,23338,David Gossett,18.34,62,338
153,0,08339,Spike McRoy,18.64,63,338
154,0,24361,Pat Perez,18.65,58,311
155,0,06034,Marco Dawson,18.69,54,289
156,0,01569,Peter Jacobsen,18.73,50,267
157,0,11032,Frank Lickliter II,18.77,61,325
157,0,02049,Gene Sauers,18.77,49,261
159,0,12645,Brent Geiberger,18.82,35,186
160,0,06809,Bob Burns,18.85,49,260
161,0,02106,Chris Smith,18.93,60,317
162,0,22621,Ben Curtis,18.96,40,211
163,0,22295,Darron Stiles,19.30,61,316
164,0,20568,Anthony Painter,19.31,50,259
165,0,21961,Charles Howell III,19.47,81,416
166,0,02010,Loren Roberts,19.49,54,277
167,0,01139,Olin Browne,19.58,74,378
168,0,22892,Jason Gore,19.86,57,287
169,0,10565,Ian Leggatt,20.00,45,225
169,0,23177,Kenneth Staton,20.00,35,175
171,0,25031,Andy Miller,20.15,53,263
172,0,21633,Steve Allan,20.28,29,143
173,0,22548,Patrick Sheehan,20.44,75,367
174,0,24356,Jason Buha,20.56,37,180
175,0,20099,Doug Barron,20.69,60,290
176,0,23614,Rich Beem,20.91,55,263
177,0,01098,Jay Don Blake,21.01,50,238
178,0,01249,John Daly,21.39,43,201
179,0,20574,Mathew Goggin,21.63,61,282
180,0,10912,Craig Perks,21.72,58,267
181,0,06527,Steve Stricker,21.79,39,179
182,0,01307,Joel Edwards,21.86,40,183
183,0,12755,Vance Veazey,22.17,47,212
184,0,26489,Cameron Yancey,23.12,40,173
185,0,19972,José Coceres,23.27,47,202
186,0,12661,Todd Barranger,23.53,60,255
187,0,07101,Dave Stockton Jr.,24.02,61,254
188,0,23656,Jason Caron,24.54,53,216
189,0,07941,Mike Grob,24.91,66,265
190,0,06475,Jeff Klein,27.92,43,154
