RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK
1,0,10423,Mike Weir,8' 11",435.750,49,77
2,0,01677,Tom Lehman,9' 2",302.833,33,40
3,0,01320,Bob Estes,9' 3",322.917,35,35
4,0,10912,Craig Perks,9' 8",396.917,41,65
5,0,20157,Retief Goosen,9' 9",282.167,29,1
6,0,10201,Matt Gogel,10' 3",513.250,50,23
6,0,12782,Tim Herron,10' 3",603.333,59,101
8,0,20098,Stuart Appleby,10' 4",536.750,52,43
8,0,01928,Corey Pavin,10' 4",556.000,54,15
8,0,02214,Kirk Triplett,10' 4",653.083,63,10
11,0,01797,Rocco Mediate,10' 5",397.250,38,162
12,0,20628,Arron Oberholser,10' 7",517.500,49,79
12,0,22293,Heath Slocum,10' 7",422.750,40,80
14,0,20029,Notah Begay III,10' 8",885.333,83,146
15,0,01157,Tom Byrum,10' 9",461.250,43,13
16,0,01361,Dan Forsman,10' 10",574.500,53,32
17,0,20645,John Senden,11' 0",866.083,79,143
18,0,20229,Stewart Cink,11' 1",677.667,61,4
18,0,01226,Fred Couples,11' 1",455.500,41,187
20,0,06197,Michael Allen,11' 2",748.250,67,71
21,0,01706,Davis Love III,11' 3",684.167,61,33
22,0,24925,Jonathan Byrd,11' 4",633.000,56,90
22,0,01968,Nick Price,11' 4",339.750,30,21
22,0,08793,Tiger Woods,11' 4",555.333,49,41
25,0,01024,Billy Andrade,11' 5",762.583,67,73
25,0,07867,Woody Austin,11' 5",870.750,76,173
25,0,19825,Darren Clarke,11' 5",400.417,35,58
25,0,22621,Ben Curtis,11' 5",559.750,49,113
29,0,24024,Zach Johnson,11' 6",734.583,64,69
29,0,02239,Scott Verplank,11' 6",596.583,52,27
31,0,20498,Briny Baird,11' 7",692.500,60,178
31,0,12823,Carlos Franco,11' 7",905.667,78,42
31,0,01685,J.L. Lewis,11' 7",960.000,83,125
31,0,12680,Shigeki Maruyama,11' 7",786.083,68,36
31,0,25396,Kevin Na,11' 7",926.083,80,12
31,0,22405,Justin Rose,11' 7",509.500,44,62
37,0,01249,John Daly,11' 8",778.917,67,163
38,0,08075,Jerry Kelly,11' 9",835.250,71,17
38,0,06567,Vijay Singh,11' 9",983.750,84,19
38,0,02206,David Toms,11' 9",340.083,29,142
38,0,23623,Bo Van Pelt,11' 9",822.833,70,101
42,0,21633,Steve Allan,11' 10",961.833,81,96
42,0,01457,Jay Haas,11' 10",590.167,50,11
42,0,12660,Jesper Parnevik,11' 10",960.333,81,5
42,0,25345,Carl Pettersson,11' 10",744.750,63,48
46,0,06621,Joe Durant,11' 11",653.167,55,85
46,0,02245,Grant Waite,11' 11",809.250,68,181
48,0,21209,Sergio Garcia,12' 0",493.583,41,184
48,0,06332,Neal Lancaster,12' 0",865.333,72,104
48,0,20572,Rod Pampling,12' 0",682.167,57,45
48,0,02049,Gene Sauers,12' 0",730.250,61,177
52,0,07457,Steve Flesch,12' 1",883.833,73,130
52,0,21961,Charles Howell III,12' 1",905.833,75,61
52,0,20634,Peter Lonard,12' 1",629.083,52,129
52,0,06078,Esteban Toledo,12' 1",1042.000,86,106
56,0,19824,Craig Barlow,12' 2",826.250,68,84
56,0,01473,Todd Hamilton,12' 2",767.083,63,93
56,0,01577,Lee Janzen,12' 2",474.250,39,78
56,0,06515,Shaun Micheel,12' 2",788.667,65,138
56,0,02010,Loren Roberts,12' 2",606.333,50,20
56,0,10425,Jay Williamson,12' 2",695.500,57,88
62,0,20593,Greg Chalmers,12' 3",794.833,65,57
62,0,10107,Deane Pappas,12' 3",635.417,52,101
62,0,22548,Patrick Sheehan,12' 3",1063.250,87,53
65,0,01329,Brad Faxon,12' 4",840.833,68,25
65,0,10860,Justin Leonard,12' 4",603.750,49,26
65,0,08339,Spike McRoy,12' 4",728.667,59,151
65,0,01945,Kenny Perry,12' 4",653.833,53,170
69,0,02104,Jeff Sluman,12' 5",683.083,55,107
70,0,01219,John Cook,12' 6",400.250,32,81
70,0,19881,Robert Damron,12' 6",726.833,58,59
70,0,19846,Brian Gay,12' 6",927.833,74,34
70,0,01810,Phil Mickelson,12' 6",461.417,37,3
70,0,01948,Tim Petrovic,12' 6",1074.000,86,50
70,0,06527,Steve Stricker,12' 6",649.000,52,75
76,0,01132,Mark Brooks,12' 7",767.083,61,144
76,0,23541,Ben Crane,12' 7",918.917,73,22
