RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK
1,0,06373,José María Olazábal,6' 2",1753.583,283,5
2,0,12680,Shigeki Maruyama,6' 5",3561.583,552,29
3,0,12782,Tim Herron,6' 8",3632.250,544,20
3,0,10423,Mike Weir,6' 8",2361.500,355,81
5,0,23983,Luke Donald,6' 9",1544.667,229,42
5,0,22405,Justin Rose,6' 9",4112.333,607,18
7,0,08931,Glen Day,6' 10",3793.083,558,45
7,0,01487,Jeff Hart,6' 10",2630.667,385,49
9,0,07867,Woody Austin,6' 11",4512.417,649,119
9,0,21753,Brian Davis,6' 11",3099.833,448,17
9,0,20766,Padraig Harrington,6' 11",1972.417,284,170
9,0,21350,Ryuji Imada,6' 11",3477.667,500,32
9,0,01666,Bernhard Langer,6' 11",2130.833,307,41
9,0,24502,Adam Scott,6' 11",2314.167,333,150
9,0,06527,Steve Stricker,6' 11",2974.667,428,16
9,0,06595,Kevin Sutherland,6' 11",3508.750,506,6
17,0,06034,Marco Dawson,7' 0",3737.250,533,60
17,0,01320,Bob Estes,7' 0",3749.583,534,23
17,0,01381,Fred Funk,7' 0",3630.417,516,11
17,0,10809,Jim Furyk,7' 0",2979.083,426,3
17,0,01941,Tom Pernice Jr.,7' 0",4773.417,680,8
17,0,20127,Chris Riley,7' 0",2435.083,347,83
17,0,08385,Omar Uresti,7' 0",3416.167,489,47
17,0,20160,Charlie Wi,7' 0",3403.333,484,36
25,0,01928,Corey Pavin,7' 1",3042.250,431,4
25,0,20474,Phillip Price,7' 1",3022.083,428,22
27,0,20099,Doug Barron,7' 2",3158.667,442,52
27,0,23135,Tim Clark,7' 2",3285.000,461,86
27,0,19972,José Coceres,7' 2",2992.417,416,18
27,0,21209,Sergio Garcia,7' 2",2359.750,328,56
27,0,21806,Paul Gow,7' 2",3781.583,528,75
27,0,23108,Matt Kuchar,7' 2",2838.500,395,26
27,0,10860,Justin Leonard,7' 2",2622.750,368,64
27,0,07749,Brett Quigley,7' 2",4267.917,597,28
27,0,22293,Heath Slocum,7' 2",4086.250,568,40
27,0,22295,Darron Stiles,7' 2",3308.333,460,30
27,0,02206,David Toms,7' 2",2885.000,401,118
27,0,21878,Mark Wilson,7' 2",3022.250,421,36
39,0,01473,Todd Hamilton,7' 3",3779.250,519,181
39,0,26420,Richard Johnson,7' 3",2154.667,297,21
39,0,01810,Phil Mickelson,7' 3",2625.500,364,9
39,0,25396,Kevin Na,7' 3",4538.833,624,13
39,0,25345,Carl Pettersson,7' 3",4670.000,646,25
39,0,06567,Vijay Singh,7' 3",4475.250,619,2
45,0,24925,Jonathan Byrd,7' 4",4830.500,658,99
45,0,24357,K.J. Choi,7' 4",2791.083,379,89
45,0,20121,Todd Fischer,7' 4",4873.167,661,82
45,0,12823,Carlos Franco,7' 4",3361.500,461,39
45,0,08537,J.P. Hayes,7' 4",2670.000,365,55
45,0,23725,Brendan Jones,7' 4",3513.750,478,78
45,0,01677,Tom Lehman,7' 4",2487.167,338,121
45,0,22046,Geoff Ogilvy,7' 4",3795.083,517,92
45,0,20663,Brenden Pappas,7' 4",2395.583,326,197
45,0,01945,Kenny Perry,7' 4",2740.833,373,70
45,0,23621,Rory Sabbatini,7' 4",3121.083,428,108
45,0,02101,Joey Sindelar,7' 4",4764.083,652,76
45,0,23325,Vaughn Taylor,7' 4",4613.167,626,98
45,0,02214,Kirk Triplett,7' 4",2099.750,285,50
59,0,01042,Paul Azinger,7' 5",3263.750,438,140
59,0,22371,Aaron Baddeley,7' 5",4368.667,591,72
59,0,24507,Jason Bohn,7' 5",4044.083,547,69
59,0,01226,Fred Couples,7' 5",2072.167,280,168
59,0,23541,Ben Crane,7' 5",3561.000,482,43
59,0,06251,Chris DiMarco,7' 5",3097.167,416,27
59,0,20157,Retief Goosen,7' 5",2158.583,292,131
59,0,06575,Dudley Hart,7' 5",3608.250,488,10
59,0,20094,Jonathan Kaye,7' 5",3247.250,436,132
59,0,20691,Greg Owen,7' 5",3731.667,504,101
59,0,12660,Jesper Parnevik,7' 5",3962.500,535,57
59,0,25847,Rob Rashell,7' 5",3177.917,427,166
59,0,02010,Loren Roberts,7' 5",2094.000,283,7
59,0,02104,Jeff Sluman,7' 5",4222.250,568,44
59,0,10425,Jay Williamson,7' 5",2551.917,343,31
74,0,20098,Stuart Appleby,7' 6",3159.667,422,58
74,0,20472,Alex Cejka,7' 6",3619.667,480,142
74,0,24604,Hunter Haas,7' 6",4006.000,532,112
74,0,21949,Joe Ogilvie,7' 6",4552.667,610,77
74,0,24361,Pat Perez,7' 6",4337.417,579,12
74,0,02223,Bob Tway,7' 6",3124.750,416,67
80,0,06197,Michael Allen,7' 7",4297.667,568,147
80,0,01035,Tommy Armour III,7' 7",4299.250,565,113
80,0,12652,Cameron Beckman,7' 7",4678.583,618,122
80,0,23614,Rich Beem,7' 7",2599.333,341,189
80,0,08123,Jeff Brehaut,7' 7",2933.667,385,95
80,0,01132,Mark Brooks,7' 7",3588.667,475,79
80,0,01175,Jim Carter,7' 7",3020.667,397,135
80,0,12826,Paul Claxton,7' 7",3597.083,476,146
80,0,20623,Gavin Coles,7' 7",3451.167,455,61
80,0,01249,John Daly,7' 7",3349.250,444,192
80,0,24024,Zach Johnson,7' 7",4142.833,548,109
80,0,11032,Frank Lickliter II,7' 7",4566.000,599,186
80,0,01797,Rocco Mediate,7' 7",3443.333,453,38
80,0,20572,Rod Pampling,7' 7",3692.167,485,134
80,0,21498,Hideto Tanihara,7' 7",2681.500,354,190
80,0,02239,Scott Verplank,7' 7",3463.583,457,111
80,0,12602,Dean Wilson,7' 7",4130.750,543,62
97,0,20498,Briny Baird,7' 8",4367.083,572,135
97,0,24227,Justin Bolli,7' 8",3539.000,460,144
97,0,19881,Robert Damron,7' 8",4571.917,597,93
97,0,01361,Dan Forsman,7' 8",2268.500,296,46
97,0,19846,Brian Gay,7' 8",5061.000,662,15
97,0,08545,Glen Hnatiuk,7' 8",2468.250,323,173
97,0,21961,Charles Howell III,7' 8",3821.583,499,68
97,0,01599,Steve Jones,7' 8",2621.750,342,143
97,0,08075,Jerry Kelly,7' 8",4064.417,531,71
97,0,06332,Neal Lancaster,7' 8",4668.833,609,90
97,0,20382,Stephen Leaney,7' 8",3754.083,492,51
97,0,01948,Tim Petrovic,7' 8",4392.833,574,87
97,0,21959,Ted Purdy,7' 8",5344.333,698,158
97,0,27095,Nick Watney,7' 8",4435.750,580,84
111,0,21633,Steve Allan,7' 9",5072.500,654,117
111,0,06004,Stephen Ames,7' 9",3550.167,458,35
111,0,23036,Chris Anderson,7' 9",3332.667,432,153
111,0,19824,Craig Barlow,7' 9",3128.333,405,172
111,0,20850,Daniel Chopra,7' 9",5579.000,720,23
111,0,20229,Stewart Cink,7' 9",3596.000,466,53
111,0,07457,Steve Flesch,7' 9",3588.333,462,159
111,0,01707,Steve Lowery,7' 9",5029.333,647,137
111,0,01766,Billy Mayfair,7' 9",5163.583,667,54
111,0,01887,Mark O'Meara,7' 9",3051.833,393,33
111,0,08793,Tiger Woods,7' 9",2937.500,379,14
122,0,07223,Brian Bateman,7' 10",4721.250,601,176
122,0,01139,Olin Browne,7' 10",3858.917,491,66
