RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL FAIRWAY BUNKERS,POSSIBLE FWYS,RELATIVE TO PAR
1,0,20157,Retief Goosen,2.4,15,630,-0.133
2,0,01157,Tom Byrum,2.7,30,1129,+0.267
2,0,01381,Fred Funk,2.7,34,1239,+0.088
2,0,02010,Loren Roberts,2.7,19,712,+0.158
5,0,20382,Stephen Leaney,2.8,33,1166,+0.091
6,0,20127,Chris Riley,3.2,23,721,+0.478
7,0,20623,Gavin Coles,3.3,32,979,+0.313
8,0,01142,Bart Bryant,3.4,39,1158,+0.179
9,0,20378,Mathias Grönberg,3.5,28,807,+0.286
9,0,22293,Heath Slocum,3.5,47,1325,+0.149
9,0,02239,Scott Verplank,3.5,35,1002,+0.314
9,0,10425,Jay Williamson,3.5,26,739,+0.577
13,0,01797,Rocco Mediate,3.6,34,957,+0.294
13,0,20548,Hidemichi Tanaka,3.6,51,1420,+0.235
15,0,20098,Stuart Appleby,3.7,34,924,+0.029
15,0,23983,Luke Donald,3.7,23,615,+0.043
15,0,26420,Richard Johnson,3.7,25,667,+0.120
15,0,01619,Skip Kendall,3.7,40,1086,+0.350
15,0,01928,Corey Pavin,3.7,36,962,+0.250
15,0,08385,Omar Uresti,3.7,41,1117,+0.366
15,0,20812,Tjaart van der Walt,3.7,29,780,+0.276
22,0,06621,Joe Durant,3.8,40,1046,+0.075
22,0,23623,Bo Van Pelt,3.8,54,1418,+0.444
22,0,08793,Tiger Woods,3.8,31,816,-0.065
25,0,01161,Mark Calcavecchia,3.9,44,1140,+0.341
25,0,01175,Jim Carter,3.9,33,837,+0.424
25,0,20472,Alex Cejka,3.9,42,1069,+0.381
25,0,01313,Steve Elkington,3.9,32,818,+0.219
25,0,01766,Billy Mayfair,3.9,58,1506,+0.310
25,0,22405,Justin Rose,3.9,52,1324,+0.173
31,0,01132,Mark Brooks,4.0,39,972,+0.205
31,0,12645,Brent Geiberger,4.0,32,794,+0.188
31,0,01724,Jeff Maggert,4.0,36,892,+0.278
31,0,06595,Kevin Sutherland,4.0,46,1159,+0.065
31,0,23322,Brett Wetterich,4.0,41,1031,+0.244
36,0,01139,Olin Browne,4.1,52,1263,+0.212
36,0,19972,José Coceres,4.1,31,754,+0.355
36,0,24140,Sean O'Hair,4.1,52,1269,+0.250
36,0,20645,John Senden,4.1,57,1379,+0.158
40,0,01487,Jeff Hart,4.2,36,849,+0.222
40,0,21961,Charles Howell III,4.2,46,1087,+0.130
40,0,08075,Jerry Kelly,4.2,49,1179,+0.367
40,0,06332,Neal Lancaster,4.2,55,1325,+0.291
40,0,01823,Larry Mize,4.2,28,669,+0.250
40,0,22913,John Rollins,4.2,52,1243,+0.173
46,0,12826,Paul Claxton,4.3,45,1046,+0.333
46,0,01249,John Daly,4.3,37,868,+0.351
46,0,21209,Sergio Garcia,4.3,33,760,+0.061
46,0,25900,Lucas Glover,4.3,50,1171,+0.360
46,0,10962,Bradley Hughes,4.3,31,723,+0.613
46,0,02101,Joey Sindelar,4.3,62,1450,+0.387
46,0,22295,Darron Stiles,4.3,46,1061,-0.043
53,0,21633,Steve Allan,4.4,57,1307,+0.298
53,0,01035,Tommy Armour III,4.4,61,1376,+0.246
53,0,23541,Ben Crane,4.4,43,970,+0.140
53,0,20502,Michael Long,4.4,43,975,+0.395
53,0,22046,Geoff Ogilvy,4.4,50,1130,+0.160
53,0,01945,Kenny Perry,4.4,39,891,+0.333
53,0,12602,Dean Wilson,4.4,53,1195,+0.302
53,0,21878,Mark Wilson,4.4,43,973,+0.302
61,0,12652,Cameron Beckman,4.5,57,1279,+0.351
61,0,28088,Matt Davidson,4.5,33,737,+0.636
63,0,07223,Brian Bateman,4.6,60,1305,+0.217
63,0,24357,K.J. Choi,4.6,37,796,+0.162
63,0,01219,John Cook,4.6,42,919,+0.452
63,0,20121,Todd Fischer,4.6,62,1351,+0.323
63,0,20433,Mark Hensby,4.6,34,732,+0.265
63,0,01706,Davis Love III,4.6,40,875,+0.250
63,0,12454,Mario Tiziani,4.6,42,905,+0.286
63,0,23349,Charles Warren,4.6,56,1211,+0.304
71,0,01042,Paul Azinger,4.7,42,893,+0.405
71,0,08123,Jeff Brehaut,4.7,44,931,+0.182
71,0,12510,Chad Campbell,4.7,51,1088,+0.275
71,0,21753,Brian Davis,4.7,46,987,+0.196
71,0,10809,Jim Furyk,4.7,52,1103,+0.135
71,0,11032,Frank Lickliter II,4.7,60,1280,E
71,0,20628,Arron Oberholser,4.7,36,765,+0.111
78,0,24290,D.J. Brigman,4.8,46,949,+0.239
78,0,01320,Bob Estes,4.8,56,1168,+0.286
78,0,07457,Steve Flesch,4.8,46,963,+0.261
78,0,20634,Peter Lonard,4.8,48,1002,+0.313
78,0,21498,Hideto Tanihara,4.8,32,667,+0.250
78,0,10423,Mike Weir,4.8,35,728,+0.086
78,0,20396,Lee Westwood,4.8,24,503,+0.500
85,0,23036,Chris Anderson,4.9,42,865,+0.095
85,0,21407,Arjun Atwal,4.9,43,877,+0.209
85,0,19846,Brian Gay,4.9,68,1379,+0.088
85,0,26758,David Hearn,4.9,45,919,+0.333
85,0,10733,Kent Jones,4.9,66,1349,+0.167
85,0,24361,Pat Perez,4.9,55,1131,+0.109
85,0,01941,Tom Pernice Jr.,4.9,66,1351,+0.106
85,0,25240,D.A. Points,4.9,62,1255,+0.161
85,0,06567,Vijay Singh,4.9,64,1303,+0.219
85,0,21951,Joey Snyder III,4.9,67,1367,+0.343
85,0,26679,Kevin Stadler,4.9,63,1281,+0.365
85,0,26287,Roland Thatcher,4.9,50,1017,+0.320
97,0,06197,Michael Allen,5.0,59,1173,+0.220
97,0,23540,Jason Allred,5.0,49,985,+0.224
97,0,24507,Jason Bohn,5.0,61,1209,+0.361
97,0,06575,Dudley Hart,5.0,56,1118,-0.018
97,0,01599,Steve Jones,5.0,35,697,+0.400
97,0,24781,Hunter Mahan,5.0,69,1377,+0.246
97,0,27095,Nick Watney,5.0,62,1243,+0.177
104,0,23135,Tim Clark,5.1,50,989,+0.200
104,0,08931,Glen Day,5.1,55,1087,+0.218
104,0,01361,Dan Forsman,5.1,35,691,+0.200
104,0,23063,Scott Hend,5.1,51,991,+0.255
104,0,23552,Hank Kuehne,5.1,57,1117,+0.175
104,0,08993,Franklin Langham,5.1,61,1186,+0.279
104,0,20691,Greg Owen,5.1,54,1059,+0.204
111,0,20498,Briny Baird,5.2,69,1336,+0.406
111,0,08725,Tom Gillis,5.2,54,1045,+0.222
111,0,01418,Bill Glasson,5.2,35,669,+0.457
111,0,24980,Scott Gutschewski,5.2,57,1089,+0.035
111,0,06573,Brandt Jobe,5.2,64,1227,+0.172
111,0,25345,Carl Pettersson,5.2,74,1432,+0.311
111,0,24502,Adam Scott,5.2,38,728,+0.184
118,0,10885,Robert Allenby,5.3,58,1103,+0.276
118,0,19824,Craig Barlow,5.3,54,1015,+0.333
118,0,01388,Robert Gamez,5.3,65,1235,+0.200
118,0,21806,Paul Gow,5.3,55,1033,+0.109
118,0,24604,Hunter Haas,5.3,58,1103,+0.190
118,0,24912,Will MacKenzie,5.3,54,1017,+0.167
118,0,06373,José María Olazábal,5.3,32,601,+0.125
118,0,20474,Phillip Price,5.3,54,1015,+0.389
118,0,20160,Charlie Wi,5.3,48,907,+0.375
127,0,06004,Stephen Ames,5.4,49,908,+0.367
127,0,21805,Harrison Frazar,5.4,76,1408,+0.263
127,0,08545,Glen Hnatiuk,5.4,41,765,+0.244
