RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,22621,Ben Curtis,66.00,66,1
1,0,08793,Tiger Woods,66.00,66,1
3,0,23614,Rich Beem,67.50,135,2
4,0,10809,Jim Furyk,67.67,406,6
5,0,19972,José Coceres,68.00,68,1
5,0,20127,Chris Riley,68.00,68,1
5,0,06567,Vijay Singh,68.00,272,4
8,0,12826,Paul Claxton,68.25,273,4
9,0,20378,Mathias Grönberg,68.33,205,3
10,0,20628,Arron Oberholser,68.40,342,5
11,0,21731,Freddie Jacobson,68.50,274,4
11,0,23108,Matt Kuchar,68.50,137,2
11,0,01948,Tim Petrovic,68.50,274,4
11,0,21878,Mark Wilson,68.50,137,2
15,0,01329,Brad Faxon,68.57,480,7
16,0,06575,Dudley Hart,68.60,343,5
17,0,01381,Fred Funk,68.67,618,9
17,0,06515,Shaun Micheel,68.67,206,3
19,0,01142,Bart Bryant,68.75,550,8
20,0,20382,Stephen Leaney,68.83,413,6
21,0,01139,Olin Browne,69.00,345,5
21,0,20433,Mark Hensby,69.00,345,5
21,0,02010,Loren Roberts,69.00,69,1
21,0,22405,Justin Rose,69.00,483,7
21,0,02206,David Toms,69.00,414,6
21,0,23788,D.J. Trahan,69.00,345,5
27,0,10733,Kent Jones,69.11,622,9
28,0,01706,Davis Love III,69.17,415,6
28,0,20691,Greg Owen,69.17,415,6
28,0,02239,Scott Verplank,69.17,415,6
31,0,01024,Billy Andrade,69.20,346,5
31,0,24361,Pat Perez,69.20,346,5
33,0,12823,Carlos Franco,69.25,277,4
33,0,19846,Brian Gay,69.25,554,8
35,0,01707,Steve Lowery,69.29,485,7
36,0,08123,Jeff Brehaut,69.33,208,3
36,0,12510,Chad Campbell,69.33,624,9
38,0,25345,Carl Pettersson,69.38,555,8
39,0,23983,Luke Donald,69.40,347,5
39,0,01945,Kenny Perry,69.40,347,5
41,0,24604,Hunter Haas,69.43,486,7
42,0,06251,Chris DiMarco,69.50,417,6
42,0,01313,Steve Elkington,69.50,417,6
42,0,23322,Brett Wetterich,69.50,278,4
45,0,28088,Matt Davidson,69.67,209,3
45,0,24980,Scott Gutschewski,69.67,627,9
45,0,22913,John Rollins,69.67,418,6
45,0,24502,Adam Scott,69.67,418,6
49,0,22293,Heath Slocum,69.69,906,13
50,0,24024,Zach Johnson,69.71,488,7
51,0,20098,Stuart Appleby,69.75,279,4
51,0,20121,Todd Fischer,69.75,558,8
51,0,06373,José María Olazábal,69.75,279,4
54,0,21753,Brian Davis,69.80,349,5
54,0,06332,Neal Lancaster,69.80,698,10
54,0,01810,Phil Mickelson,69.80,349,5
54,0,22295,Darron Stiles,69.80,349,5
58,0,21961,Charles Howell III,69.83,419,6
59,0,20474,Phillip Price,69.86,489,7
59,0,02223,Bob Tway,69.86,489,7
61,0,07223,Brian Bateman,69.88,559,8
62,0,19824,Craig Barlow,70.00,350,5
62,0,20099,Doug Barron,70.00,560,8
62,0,24507,Jason Bohn,70.00,420,6
62,0,21209,Sergio Garcia,70.00,70,1
62,0,26420,Richard Johnson,70.00,70,1
62,0,02106,Chris Smith,70.00,140,2
62,0,02214,Kirk Triplett,70.00,140,2
69,0,22046,Geoff Ogilvy,70.11,631,9
69,0,23623,Bo Van Pelt,70.11,631,9
71,0,01766,Billy Mayfair,70.13,561,8
72,0,10201,Matt Gogel,70.17,421,6
73,0,01823,Larry Mize,70.20,351,5
73,0,20572,Rod Pampling,70.20,702,10
75,0,01388,Robert Gamez,70.22,632,9
76,0,08545,Glen Hnatiuk,70.25,281,4
77,0,25240,D.A. Points,70.29,492,7
78,0,12680,Shigeki Maruyama,70.33,422,6
79,0,12782,Tim Herron,70.44,634,9
80,0,10885,Robert Allenby,70.50,423,6
80,0,23036,Chris Anderson,70.50,141,2
80,0,01487,Jeff Hart,70.50,282,4
80,0,10117,Bob Heintz,70.50,141,2
80,0,08993,Franklin Langham,70.50,423,6
85,0,20645,John Senden,70.55,776,11
86,0,12660,Jesper Parnevik,70.57,494,7
86,0,10425,Jay Williamson,70.57,494,7
88,0,20498,Briny Baird,70.60,353,5
89,0,07867,Woody Austin,70.67,848,12
89,0,20229,Stewart Cink,70.67,636,9
89,0,20623,Gavin Coles,70.67,424,6
89,0,21350,Ryuji Imada,70.67,424,6
89,0,12602,Dean Wilson,70.67,424,6
