RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,08793,Tiger Woods,3.92,1610,411
2,0,06567,Vijay Singh,3.93,2337,594
3,0,02206,David Toms,3.95,1680,425
4,0,01810,Phil Mickelson,3.96,1626,411
4,0,01945,Kenny Perry,3.96,1795,453
6,0,21209,Sergio Garcia,3.97,1505,379
7,0,06034,Marco Dawson,3.98,1668,419
7,0,01361,Dan Forsman,3.98,1020,256
7,0,24980,Scott Gutschewski,3.98,1738,437
10,0,20098,Stuart Appleby,3.99,1785,447
10,0,23541,Ben Crane,3.99,1637,410
10,0,10809,Jim Furyk,3.99,2044,512
10,0,12782,Tim Herron,3.99,2137,536
10,0,21350,Ryuji Imada,3.99,1655,415
15,0,21407,Arjun Atwal,4.00,1363,341
15,0,23135,Tim Clark,4.00,1918,479
15,0,06251,Chris DiMarco,4.00,1642,411
15,0,01313,Steve Elkington,4.00,1444,361
15,0,26420,Richard Johnson,4.00,1055,264
15,0,10860,Justin Leonard,4.00,1682,420
15,0,06527,Steve Stricker,4.00,1299,325
22,0,01139,Olin Browne,4.01,2003,499
22,0,01142,Bart Bryant,4.01,2021,504
22,0,20229,Stewart Cink,4.01,1984,495
22,0,19972,José Coceres,4.01,1140,284
22,0,23983,Luke Donald,4.01,1401,349
22,0,01329,Brad Faxon,4.01,1523,380
22,0,12680,Shigeki Maruyama,4.01,2169,541
22,0,01766,Billy Mayfair,4.01,2354,587
22,0,20572,Rod Pampling,4.01,1832,457
22,0,12660,Jesper Parnevik,4.01,1770,441
22,0,20474,Phillip Price,4.01,1528,381
22,0,02223,Bob Tway,4.01,1829,456
22,0,21878,Mark Wilson,4.01,1438,359
35,0,06621,Joe Durant,4.02,1742,433
35,0,21805,Harrison Frazar,4.02,2124,528
35,0,10201,Matt Gogel,4.02,1627,405
35,0,20766,Padraig Harrington,4.02,1038,258
35,0,06573,Brandt Jobe,4.02,1980,493
35,0,24024,Zach Johnson,4.02,2107,524
35,0,01706,Davis Love III,4.02,1646,409
35,0,22046,Geoff Ogilvy,4.02,2035,506
35,0,23320,Ryan Palmer,4.02,2084,518
35,0,22405,Justin Rose,4.02,2011,500
45,0,24925,Jonathan Byrd,4.03,2134,530
45,0,01161,Mark Calcavecchia,4.03,1979,491
45,0,20623,Gavin Coles,4.03,1479,367
45,0,21753,Brian Davis,4.03,1576,391
45,0,01320,Bob Estes,4.03,2021,501
45,0,06575,Dudley Hart,4.03,1804,448
45,0,26758,David Hearn,4.03,1426,354
45,0,21731,Freddie Jacobson,4.03,1580,392
45,0,06332,Neal Lancaster,4.03,1990,494
45,0,01797,Rocco Mediate,4.03,1535,381
45,0,24140,Sean O'Hair,4.03,2185,542
45,0,20628,Arron Oberholser,4.03,1387,344
45,0,06373,José María Olazábal,4.03,1174,291
45,0,20663,Brenden Pappas,4.03,1069,265
45,0,01948,Tim Petrovic,4.03,2014,500
45,0,07749,Brett Quigley,4.03,1920,476
45,0,02101,Joey Sindelar,4.03,2167,538
45,0,22295,Darron Stiles,4.03,1616,401
45,0,08385,Omar Uresti,4.03,1800,447
45,0,02239,Scott Verplank,4.03,1939,481
45,0,27095,Nick Watney,4.03,1887,468
45,0,23322,Brett Wetterich,4.03,1567,389
45,0,12602,Dean Wilson,4.03,1809,449
68,0,20099,Doug Barron,4.04,1442,357
68,0,20850,Daniel Chopra,4.04,2224,551
68,0,07457,Steve Flesch,4.04,1869,463
68,0,20378,Mathias Grönberg,4.04,1211,300
68,0,08075,Jerry Kelly,4.04,2150,532
68,0,01685,J.L. Lewis,4.04,2112,523
68,0,24912,Will MacKenzie,4.04,1532,379
68,0,24781,Hunter Mahan,4.04,2184,540
68,0,25345,Carl Pettersson,4.04,2220,550
68,0,02104,Jeff Sluman,4.04,2003,496
68,0,06595,Kevin Sutherland,4.04,1884,466
68,0,23623,Bo Van Pelt,4.04,2413,597
68,0,02246,Duffy Waldorf,4.04,1798,445
81,0,10885,Robert Allenby,4.05,1960,484
81,0,01042,Paul Azinger,4.05,1392,344
81,0,24507,Jason Bohn,4.05,1960,484
81,0,08123,Jeff Brehaut,4.05,1406,347
81,0,01157,Tom Byrum,4.05,1797,444
81,0,20472,Alex Cejka,4.05,1746,431
81,0,01226,Fred Couples,4.05,1499,370
81,0,12823,Carlos Franco,4.05,1604,396
81,0,01388,Robert Gamez,4.05,1986,490
81,0,25900,Lucas Glover,4.05,1815,448
81,0,24604,Hunter Haas,4.05,1675,414
81,0,23353,J.J. Henry,4.05,2141,529
81,0,08545,Glen Hnatiuk,4.05,1184,292
81,0,21961,Charles Howell III,4.05,1971,487
81,0,01553,John Huston,4.05,1838,454
81,0,23108,Matt Kuchar,4.05,1263,312
81,0,20382,Stephen Leaney,4.05,1825,451
81,0,01707,Steve Lowery,4.05,2029,501
81,0,01887,Mark O'Meara,4.05,1398,345
81,0,20691,Greg Owen,4.05,1678,414
81,0,01941,Tom Pernice Jr.,4.05,2296,567
81,0,25240,D.A. Points,4.05,1910,472
81,0,23497,Tag Ridings,4.05,1935,478
81,0,24502,Adam Scott,4.05,1532,378
81,0,20645,John Senden,4.05,2096,518
81,0,22548,Patrick Sheehan,4.05,2335,577
81,0,02106,Chris Smith,4.05,1936,478
81,0,21951,Joey Snyder III,4.05,2092,517
81,0,20548,Hidemichi Tanaka,4.05,2150,531
81,0,23325,Vaughn Taylor,4.05,2120,523
81,0,26287,Roland Thatcher,4.05,1518,375
81,0,23349,Charles Warren,4.05,1857,458
81,0,20160,Charlie Wi,4.05,1357,335
114,0,06004,Stephen Ames,4.06,1783,439
114,0,23036,Chris Anderson,4.06,1300,320
