RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,08793,Tiger Woods,3.94,1485,377
2,0,11032,Frank Lickliter II,3.97,1460,368
2,0,07749,Brett Quigley,3.97,1855,467
4,0,07867,Woody Austin,3.98,1250,314
4,0,10809,Jim Furyk,3.98,2274,571
4,0,08075,Jerry Kelly,3.98,1593,400
7,0,20099,Doug Barron,3.99,798,200
7,0,07223,Brian Bateman,3.99,849,213
7,0,10505,Shane Bertsch,3.99,1185,297
7,0,06527,Steve Stricker,3.99,1250,313
11,0,20472,Alex Cejka,4.00,1107,277
11,0,06621,Joe Durant,4.00,1424,356
11,0,01388,Robert Gamez,4.00,1016,254
11,0,24980,Scott Gutschewski,4.00,827,207
11,0,08537,J.P. Hayes,4.00,764,191
11,0,20631,David McKenzie,4.00,776,194
11,0,02101,Joey Sindelar,4.00,972,243
11,0,22293,Heath Slocum,4.00,1057,264
11,0,20812,Tjaart van der Walt,4.00,512,128
20,0,21646,David Branshaw,4.01,1042,260
20,0,23983,Luke Donald,4.01,1527,381
20,0,07457,Steve Flesch,4.01,1450,362
20,0,22378,Trevor Immelman,4.01,1815,453
20,0,23320,Ryan Palmer,4.01,1228,306
20,0,08375,Paul Stankowski,4.01,946,236
20,0,02206,David Toms,4.01,1568,391
20,0,02239,Scott Verplank,4.01,1425,355
20,0,27770,Camilo Villegas,4.01,1599,399
29,0,24925,Jonathan Byrd,4.02,913,227
29,0,26420,Richard Johnson,4.02,1518,378
29,0,24024,Zach Johnson,4.02,1584,394
29,0,01810,Phil Mickelson,4.02,1407,350
29,0,01945,Kenny Perry,4.02,1155,287
29,0,24138,Ian Poulter,4.02,1020,254
29,0,20645,John Senden,4.02,1101,274
29,0,06567,Vijay Singh,4.02,2361,588
29,0,23325,Vaughn Taylor,4.02,1163,289
29,0,27095,Nick Watney,4.02,1426,355
39,0,06522,Ernie Els,4.03,1573,390
39,0,01320,Bob Estes,4.03,1209,300
39,0,21805,Harrison Frazar,4.03,1354,336
39,0,12645,Brent Geiberger,4.03,769,191
39,0,23718,Nathan Green,4.03,1501,372
39,0,24924,Bill Haas,4.03,1045,259
39,0,20094,Jonathan Kaye,4.03,1194,296
39,0,20382,Stephen Leaney,4.03,1164,289
39,0,06350,Bob May,4.03,706,175
39,0,01766,Billy Mayfair,4.03,1279,317
39,0,01823,Larry Mize,4.03,451,112
39,0,26596,Ryan Moore,4.03,1075,267
39,0,24502,Adam Scott,4.03,1711,425
39,0,23349,Charles Warren,4.03,1068,265
39,0,25804,Bubba Watson,4.03,1068,265
39,0,10423,Mike Weir,4.03,1370,340
55,0,01024,Billy Andrade,4.04,900,223
55,0,20229,Stewart Cink,4.04,1571,389
55,0,01381,Fred Funk,4.04,1439,356
55,0,20105,Jeff Gove,4.04,1143,283
55,0,06643,Paul Goydos,4.04,888,220
55,0,27943,Matt Hansen,4.04,690,171
55,0,23353,J.J. Henry,4.04,1546,383
55,0,23616,Ryan Hietala,4.04,376,93
55,0,12716,Charley Hoffman,4.04,1563,387
55,0,21470,Daisuke Maruyama,4.04,804,199
55,0,12680,Shigeki Maruyama,4.04,1243,308
55,0,06595,Kevin Sutherland,4.04,1128,279
55,0,23788,D.J. Trahan,4.04,876,217
55,0,08385,Omar Uresti,4.04,473,117
69,0,20098,Stuart Appleby,4.05,1608,397
69,0,01042,Paul Azinger,4.05,939,232
69,0,19824,Craig Barlow,4.05,968,239
69,0,08123,Jeff Brehaut,4.05,1042,257
69,0,01142,Bart Bryant,4.05,1382,341
69,0,12510,Chad Campbell,4.05,1536,379
69,0,24357,K.J. Choi,4.05,1239,306
69,0,20850,Daniel Chopra,4.05,1849,456
