RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
1,0,20766,Padraig Harrington,-.090
2,0,08793,Tiger Woods,-.075
3,0,20104,Ken Duke,-.016
4,0,28475,Jeff Overton,+.018
4,0,12660,Jesper Parnevik,+.018
6,0,21209,Sergio Garcia,+.029
7,0,21633,Steve Allan,+.033
8,0,20850,Daniel Chopra,+.044
9,0,01035,Tommy Armour III,+.047
10,0,06522,Ernie Els,+.051
10,0,20628,Arron Oberholser,+.051
12,0,24358,Robert Garrigus,+.054
12,0,25804,Bubba Watson,+.054
14,0,20229,Stewart Cink,+.057
14,0,22046,Geoff Ogilvy,+.057
16,0,24140,Sean O'Hair,+.060
17,0,23322,Brett Wetterich,+.061
18,0,06034,Marco Dawson,+.064
18,0,23623,Bo Van Pelt,+.064
20,0,26596,Ryan Moore,+.066
20,0,06567,Vijay Singh,+.066
20,0,22293,Heath Slocum,+.066
20,0,02223,Bob Tway,+.066
24,0,21961,Charles Howell III,+.071
25,0,23933,Michael Boyd,+.073
25,0,20645,John Senden,+.073
27,0,23325,Vaughn Taylor,+.074
28,0,23497,Tag Ridings,+.075
29,0,23718,Nathan Green,+.077
29,0,27770,Camilo Villegas,+.077
31,0,22913,John Rollins,+.078
32,0,25345,Carl Pettersson,+.081
33,0,10423,Mike Weir,+.082
34,0,01766,Billy Mayfair,+.083
34,0,24138,Ian Poulter,+.083
36,0,10809,Jim Furyk,+.086
36,0,28158,Steve Marino,+.086
38,0,23983,Luke Donald,+.091
39,0,20634,Peter Lonard,+.092
40,0,08123,Jeff Brehaut,+.093
41,0,10885,Robert Allenby,+.095
41,0,01706,Davis Love III,+.095
41,0,01810,Phil Mickelson,+.095
44,0,22892,Jason Gore,+.096
44,0,24924,Bill Haas,+.096
46,0,01941,Tom Pernice Jr.,+.097
47,0,27141,J.B. Holmes,+.098
48,0,06595,Kevin Sutherland,+.099
49,0,02206,David Toms,+.103
50,0,01320,Bob Estes,+.106
51,0,20378,Mathias Grönberg,+.107
51,0,28486,Michael Putnam,+.107
53,0,26881,Jarrod Lyle,+.108
54,0,22371,Aaron Baddeley,+.110
54,0,12602,Dean Wilson,+.110
56,0,27649,Brandt Snedeker,+.111
57,0,01249,John Daly,+.112
58,0,10117,Bob Heintz,+.113
58,0,24490,George McNeill,+.113
60,0,08537,J.P. Hayes,+.117
60,0,01945,Kenny Perry,+.117
62,0,25900,Lucas Glover,+.118
62,0,20572,Rod Pampling,+.118
64,0,29718,Anthony Kim,+.119
65,0,21949,Joe Ogilvie,+.120
65,0,23621,Rory Sabbatini,+.120
67,0,20160,Charlie Wi,+.121
67,0,10425,Jay Williamson,+.121
69,0,26679,Kevin Stadler,+.122
70,0,21350,Ryuji Imada,+.124
71,0,12652,Cameron Beckman,+.125
71,0,23353,J.J. Henry,+.125
71,0,20382,Stephen Leaney,+.125
74,0,27120,Troy Matteson,+.126
75,0,06621,Joe Durant,+.127
75,0,07457,Steve Flesch,+.127
75,0,24980,Scott Gutschewski,+.127
75,0,21731,Freddie Jacobson,+.127
79,0,20574,Mathew Goggin,+.129
79,0,24361,Pat Perez,+.129
79,0,21959,Ted Purdy,+.129
79,0,21660,Jason Schultz,+.129
83,0,24502,Adam Scott,+.130
83,0,02239,Scott Verplank,+.130
85,0,20623,Gavin Coles,+.131
85,0,21528,Henrik Stenson,+.131
87,0,27060,John Mallinger,+.132
87,0,12714,Chris Tidland,+.132
89,0,01948,Tim Petrovic,+.133
90,0,06527,Steve Stricker,+.134
91,0,01161,Mark Calcavecchia,+.135
91,0,21753,Brian Davis,+.135
93,0,19846,Brian Gay,+.136
94,0,24357,K.J. Choi,+.137
94,0,22348,Nick O'Hern,+.137
96,0,20498,Briny Baird,+.138
97,0,25686,Jason Dufner,+.139
98,0,20127,Chris Riley,+.143
98,0,02101,Joey Sindelar,+.143
100,0,20472,Alex Cejka,+.144
100,0,23800,Bryce Molder,+.144
102,0,26951,Johnson Wagner,+.145
103,0,23108,Matt Kuchar,+.146
103,0,27933,John Merrick,+.146
105,0,02246,Duffy Waldorf,+.147
106,0,10860,Justin Leonard,+.149
106,0,24449,Parker McLachlin,+.149
106,0,06373,José María Olazábal,+.149
106,0,21878,Mark Wilson,+.149
110,0,06251,Chris DiMarco,+.151
110,0,25396,Kevin Na,+.151
112,0,11123,Chris Couch,+.154
112,0,26360,Bubba Dickerson,+.154
114,0,01024,Billy Andrade,+.155
114,0,12716,Charley Hoffman,+.155
114,0,25190,Jeff Quinney,+.155
114,0,23788,D.J. Trahan,+.155
118,0,07363,Craig Bowden,+.156
119,0,19824,Craig Barlow,+.157
120,0,01142,Bart Bryant,+.158
121,0,08075,Jerry Kelly,+.159
122,0,12782,Tim Herron,+.160
123,0,23048,Eric Axley,+.161
123,0,25273,Andrew Buckle,+.161
125,0,24781,Hunter Mahan,+.163
126,0,07749,Brett Quigley,+.164
127,0,23614,Rich Beem,+.167
127,0,22212,Craig Lile,+.167
129,0,12705,Cliff Kresge,+.168
129,0,23320,Ryan Palmer,+.168
129,0,27095,Nick Watney,+.168
132,0,01707,Steve Lowery,+.169
133,0,20098,Stuart Appleby,+.171
134,0,21805,Harrison Frazar,+.172
134,0,20433,Mark Hensby,+.172
136,0,23613,Rich Barcelo,+.173
137,0,01724,Jeff Maggert,+.174
137,0,06515,Shaun Micheel,+.174
139,0,07867,Woody Austin,+.175
140,0,23135,Tim Clark,+.176
141,0,24507,Jason Bohn,+.177
141,0,20105,Jeff Gove,+.177
143,0,08931,Glen Day,+.180
143,0,26882,Michael Sim,+.180
145,0,24290,D.J. Brigman,+.184
145,0,01928,Corey Pavin,+.184
147,0,06004,Stephen Ames,+.185
148,0,20157,Retief Goosen,+.186
149,0,12195,Tom Johnson,+.189
149,0,23349,Charles Warren,+.189
149,0,26289,Boo Weekley,+.189
152,0,01313,Steve Elkington,+.190
153,0,24912,Will MacKenzie,+.191
154,0,22621,Ben Curtis,+.193
155,0,20691,Greg Owen,+.194
156,0,12510,Chad Campbell,+.196
157,0,21470,Daisuke Maruyama,+.199
158,0,01388,Robert Gamez,+.200
159,0,07547,Craig Kanada,+.202
159,0,22806,Doug LaBelle II,+.202
159,0,08375,Paul Stankowski,+.202
162,0,24925,Jonathan Byrd,+.203
163,0,27963,Chris Stroud,+.204
164,0,23638,Brendon de Jonge,+.206
165,0,29476,Kyle Reifers,+.209
166,0,11032,Frank Lickliter II,+.211
167,0,01797,Rocco Mediate,+.213
168,0,07223,Brian Bateman,+.214
169,0,21806,Paul Gow,+.215
169,0,26420,Richard Johnson,+.215
171,0,10733,Kent Jones,+.216
171,0,12680,Shigeki Maruyama,+.216
173,0,22405,Justin Rose,+.219
174,0,19803,Ryan Armour,+.220
175,0,01157,Tom Byrum,+.221
176,0,22378,Trevor Immelman,+.226
177,0,21646,David Branshaw,+.227
177,0,20859,Anders Hansen,+.227
179,0,06643,Paul Goydos,+.230
179,0,10213,Dicky Pride,+.230
179,0,24457,Jaco Van Zyl,+.230
182,0,06197,Michael Allen,+.236
183,0,25892,Steve Wheatcroft,+.237
184,0,01473,Todd Hamilton,+.242
184,0,22295,Darron Stiles,+.242
186,0,01577,Lee Janzen,+.244
187,0,08881,Tripp Isenhour,+.249
188,0,01677,Tom Lehman,+.252
189,0,02214,Kirk Triplett,+.255
190,0,01132,Mark Brooks,+.256
190,0,24024,Zach Johnson,+.256
192,0,01381,Fred Funk,+.262
193,0,27702,Matt Hendrix,+.265
194,0,19972,José Coceres,+.271
195,0,02036,Jim Rutledge,+.281
196,0,02104,Jeff Sluman,+.291
