RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,POTENTIAL MONEY
1,0,08793,Tiger Woods,54.23,10867052,20037450
2,0,01810,Phil Mickelson,22.40,5819988,25977450
3,0,25562,Andres Romero,19.23,798414,4152450
4,0,24512,Simon Dyson,18.06,227500,1260000
5,0,06527,Steve Stricker,17.00,4663076,27435450
6,0,23621,Rory Sabbatini,16.63,4550040,27365450
7,0,21209,Sergio Garcia,15.91,3721184,23385450
8,0,24357,K.J. Choi,15.52,4587858,29561450
9,0,10809,Jim Furyk,15.50,4154046,26807450
10,0,06567,Vijay Singh,15.02,4728376,31487450
11,0,24024,Zach Johnson,14.55,3922337,26949450
12,0,24502,Adam Scott,14.54,3413184,23477450
13,0,22405,Justin Rose,14.15,2705874,19119450
14,0,06522,Ernie Els,13.58,2705715,19929450
15,0,22371,Aaron Baddeley,12.62,3441118,27275450
16,0,20766,Padraig Harrington,12.07,2658282,22017450
17,0,23135,Tim Clark,12.03,2615151,21735000
18,0,02239,Scott Verplank,11.89,3114288,26193450
19,0,22046,Geoff Ogilvy,11.12,2943203,26465450
20,0,21528,Henrik Stenson,9.99,1897554,18993450
21,0,01161,Mark Calcavecchia,9.86,2993331,30351450
22,0,07867,Woody Austin,9.84,2887596,29358000
23,0,20848,Ángel Cabrera,9.72,1661105,17085450
24,0,21961,Charles Howell III,9.50,2832090,29811450
25,0,24781,Hunter Mahan,9.44,2858994,30270450
26,0,27649,Brandt Snedeker,9.25,2836643,30654000
27,0,23983,Luke Donald,9.08,2190053,24107450
28,0,20569,Richard Green,8.74,544070,6222450
29,0,20229,Stewart Cink,8.56,2483145,29001450
30,0,26289,Boo Weekley,8.32,2613211,31422450
31,0,02206,David Toms,8.01,2095836,26159450
32,0,06004,Stephen Ames,8.00,2103425,26303450
33,0,01666,Bernhard Langer,7.90,1153603,14607000
34,0,27776,Pelle Edberg,7.81,120458,1542450
35,0,25364,Paul Casey,7.73,1012770,13107450
36,0,22293,Heath Slocum,7.63,2184379,28620000
37,0,22913,John Rollins,7.50,2488890,33179450
37,0,10423,Mike Weir,7.50,1986053,26481450
39,0,19972,José Coceres,7.37,1287842,17478000
40,0,24925,Jonathan Byrd,7.32,1854906,25338450
40,0,07457,Steve Flesch,7.32,2288899,31284000
42,0,22378,Trevor Immelman,7.21,1801646,24989450
43,0,10425,Jay Williamson,7.19,835515,11628000
44,0,27770,Camilo Villegas,7.17,1866960,26037000
45,0,21731,Freddie Jacobson,7.13,1469540,20610000
46,0,20628,Arron Oberholser,7.12,1797457,25259450
47,0,10885,Robert Allenby,6.99,2219537,31773450
48,0,23322,Brett Wetterich,6.88,2208282,32081450
49,0,10860,Justin Leonard,6.67,2079248,31152450
50,0,24138,Ian Poulter,6.53,1431389,21927450
50,0,20645,John Senden,6.53,1899557,29084450
52,0,08075,Jerry Kelly,6.46,1978034,30621450
52,0,27095,Nick Watney,6.46,1838629,28452450
54,0,20098,Stuart Appleby,6.35,1803385,28391450
55,0,24140,Sean O'Hair,6.34,1921226,30306450
56,0,21878,Mark Wilson,6.27,1637112,26100000
57,0,20585,Niclas Fasth,6.26,813405,12999450
58,0,20104,Ken Duke,6.14,1927101,31410000
59,0,25804,Bubba Watson,6.09,1654806,27162000
