RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
1,0,12714,Chris Tidland,27' 9",11755.917,424
2,0,02036,Jim Rutledge,27' 2",10991.333,404
3,0,24357,K.J. Choi,26' 10",14863.750,554
4,0,21961,Charles Howell III,26' 7",14498.167,545
5,0,20623,Gavin Coles,26' 4",16429.000,624
5,0,12660,Jesper Parnevik,26' 4",15942.333,605
7,0,20574,Mathew Goggin,26' 3",20007.000,762
8,0,21633,Steve Allan,26' 2",11287.500,431
8,0,23933,Michael Boyd,26' 2",10960.000,419
10,0,22212,Craig Lile,26' 1",14126.000,542
11,0,24980,Scott Gutschewski,26' 0",11764.333,453
12,0,20645,John Senden,25' 11",19450.833,751
12,0,06595,Kevin Sutherland,25' 11",15482.583,597
12,0,27095,Nick Watney,25' 11",14928.083,576
15,0,01157,Tom Byrum,25' 10",9194.750,356
15,0,25190,Jeff Quinney,25' 10",18185.917,704
17,0,26420,Richard Johnson,25' 9",18595.833,722
17,0,22806,Doug LaBelle II,25' 9",19678.750,763
17,0,24449,Parker McLachlin,25' 9",13915.250,541
17,0,20160,Charlie Wi,25' 9",17997.167,699
17,0,21878,Mark Wilson,25' 9",15645.000,607
22,0,28486,Michael Putnam,25' 8",17393.083,678
22,0,21660,Jason Schultz,25' 8",10688.667,416
24,0,23353,J.J. Henry,25' 7",15233.250,596
24,0,20382,Stephen Leaney,25' 7",16911.583,662
24,0,06373,José María Olazábal,25' 7",6679.250,261
27,0,24290,D.J. Brigman,25' 6",11449.083,449
27,0,11123,Chris Couch,25' 6",14862.667,582
27,0,01320,Bob Estes,25' 6",15235.750,598
27,0,21350,Ryuji Imada,25' 6",16657.833,654
27,0,12195,Tom Johnson,25' 6",12633.750,496
27,0,26882,Michael Sim,25' 6",10445.583,410
33,0,12782,Tim Herron,25' 5",17613.500,692
33,0,01948,Tim Petrovic,25' 5",18156.500,714
35,0,08881,Tripp Isenhour,25' 4",14299.167,564
35,0,12602,Dean Wilson,25' 4",15252.250,603
37,0,20498,Briny Baird,25' 3",22604.500,895
37,0,23613,Rich Barcelo,25' 3",13301.083,527
37,0,25273,Andrew Buckle,25' 3",12884.667,510
37,0,22621,Ben Curtis,25' 3",12557.417,497
37,0,25900,Lucas Glover,25' 3",16286.417,645
37,0,22892,Jason Gore,25' 3",15576.583,616
37,0,24912,Will MacKenzie,25' 3",18716.333,742
37,0,24781,Hunter Mahan,25' 3",15466.500,612
37,0,27933,John Merrick,25' 3",17580.083,696
37,0,02223,Bob Tway,25' 3",18205.250,722
47,0,20098,Stuart Appleby,25' 2",11505.000,457
47,0,27120,Troy Matteson,25' 2",15348.333,610
47,0,10213,Dicky Pride,25' 2",12463.000,495
47,0,27649,Brandt Snedeker,25' 2",18102.000,720
47,0,08375,Paul Stankowski,25' 2",8343.667,331
52,0,19824,Craig Barlow,25' 1",9264.583,369
52,0,07223,Brian Bateman,25' 1",8343.000,333
52,0,20229,Stewart Cink,25' 1",14902.500,594
52,0,01249,John Daly,25' 1",8946.250,357
52,0,08931,Glen Day,25' 1",15165.417,605
52,0,01313,Steve Elkington,25' 1",15113.667,602
52,0,08537,J.P. Hayes,25' 1",15636.000,623
52,0,12716,Charley Hoffman,25' 1",16326.750,651
52,0,22378,Trevor Immelman,25' 1",12106.250,483
