RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS(<= 5'),TOT MADE (>=20'),TOT MADE (<= 5')
1,0,12660,Jesper Parnevik,103.33,1021,58,997
2,0,23135,Tim Clark,101.41,707,29,688
3,0,21209,Sergio Garcia,101.38,799,28,782
4,0,26882,Michael Sim,101.13,706,29,685
5,0,24024,Zach Johnson,101.08,835,30,814
6,0,10213,Dicky Pride,100.95,842,34,816
7,0,23621,Rory Sabbatini,100.92,872,30,850
8,0,08793,Tiger Woods,100.83,600,22,583
9,0,23497,Tag Ridings,100.79,629,24,610
10,0,27649,Brandt Snedeker,100.59,1192,36,1163
11,0,06373,José María Olazábal,100.58,516,18,501
12,0,21961,Charles Howell III,100.54,925,30,900
12,0,06527,Steve Stricker,100.54,925,22,908
14,0,21731,Freddie Jacobson,100.53,948,33,920
15,0,01928,Corey Pavin,100.50,1004,38,971
16,0,21528,Henrik Stenson,100.39,507,16,493
17,0,24980,Scott Gutschewski,100.36,822,26,799
18,0,26420,Richard Johnson,100.34,1174,32,1146
19,0,06643,Paul Goydos,100.31,642,28,616
19,0,22212,Craig Lile,100.31,962,33,932
21,0,20623,Gavin Coles,100.27,1094,38,1059
21,0,24490,George McNeill,100.27,1118,33,1088
23,0,20160,Charlie Wi,100.25,1187,38,1152
24,0,21350,Ryuji Imada,100.24,1239,44,1198
24,0,25190,Jeff Quinney,100.24,1231,49,1185
26,0,20229,Stewart Cink,100.20,1009,31,980
26,0,20859,Anders Hansen,100.20,491,12,480
28,0,12602,Dean Wilson,100.19,1047,33,1016
29,0,12680,Shigeki Maruyama,100.18,1130,34,1098
30,0,28475,Jeff Overton,100.13,757,27,731
31,0,24925,Jonathan Byrd,100.12,864,34,831
32,0,21949,Joe Ogilvie,100.08,1198,44,1155
33,0,19803,Ryan Armour,100.00,1359,60,1299
33,0,23718,Nathan Green,100.00,1223,44,1179
35,0,19846,Brian Gay,99.93,1366,40,1325
35,0,22293,Heath Slocum,99.93,1348,37,1310
37,0,24357,K.J. Choi,99.89,947,27,919
37,0,22621,Ben Curtis,99.89,935,32,902
37,0,24361,Pat Perez,99.89,915,34,880
40,0,23933,Michael Boyd,99.87,758,22,735
40,0,01381,Fred Funk,99.87,749,25,723
42,0,20850,Daniel Chopra,99.85,1344,41,1301
43,0,23613,Rich Barcelo,99.80,984,30,952
43,0,23325,Vaughn Taylor,99.80,1010,38,970
