RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),TOTAL STROKES
1,0,01142,Bart Bryant,16' 11",3055.500,181
2,0,24024,Zach Johnson,17' 3",3957.750,229
3,0,22293,Heath Slocum,17' 4",3687.000,213
4,0,08931,Glen Day,18' 1",2311.167,128
4,0,02239,Scott Verplank,18' 1",3255.083,180
6,0,19846,Brian Gay,18' 3",4284.000,235
7,0,10505,Shane Bertsch,18' 6",4984.583,270
8,0,10809,Jim Furyk,19' 0",4721.417,249
9,0,10860,Justin Leonard,19' 2",4608.250,240
10,0,08385,Omar Uresti,19' 4",2633.833,136
11,0,02223,Bob Tway,19' 6",2611.083,134
11,0,26289,Boo Weekley,19' 6",5356.583,275
13,0,08075,Jerry Kelly,19' 9",4899.000,248
14,0,25396,Kevin Na,19' 11",5942.917,299
15,0,01928,Corey Pavin,20' 1",2270.833,113
16,0,06621,Joe Durant,20' 2",3993.500,198
17,0,23135,Tim Clark,20' 3",5362.417,265
18,0,25349,Tim Wilkinson,20' 4",5355.250,263
19,0,22348,Nick O'Hern,20' 5",3784.583,185
19,0,10425,Jay Williamson,20' 5",5283.750,259
21,0,22621,Ben Curtis,20' 8",3988.250,193
22,0,06197,Michael Allen,20' 9",5560.583,268
22,0,02002,John Riegger,20' 9",4531.000,218
24,0,20105,Jeff Gove,20' 11",2240.250,107
25,0,12652,Cameron Beckman,21' 0",4492.833,214
26,0,01388,Robert Gamez,21' 3",4351.083,205
27,0,01320,Bob Estes,21' 4",5728.833,269
27,0,01766,Billy Mayfair,21' 4",5589.583,262
29,0,23108,Matt Kuchar,21' 5",5242.417,245
29,0,20634,Peter Lonard,21' 5",6179.333,289
29,0,02206,David Toms,21' 5",4126.250,193
32,0,06004,Stephen Ames,21' 7",6085.667,282
32,0,23541,Ben Crane,21' 7",5454.000,253
32,0,01313,Steve Elkington,21' 7",5133.583,238
32,0,21461,Kenneth Ferrie,21' 7",4166.667,193
36,0,23614,Rich Beem,21' 8",5794.500,267
37,0,20623,Gavin Coles,21' 9",1412.333,65
38,0,01941,Tom Pernice Jr.,21' 11",7260.167,331
39,0,06643,Paul Goydos,22' 1",4729.750,214
39,0,20572,Rod Pampling,22' 1",5262.500,238
41,0,23623,Bo Van Pelt,22' 2",7583.250,342
42,0,21753,Brian Davis,22' 3",5862.500,263
43,0,12705,Cliff Kresge,22' 4",5656.083,253
44,0,01161,Mark Calcavecchia,22' 5",4435.250,198
44,0,24357,K.J. Choi,22' 5",5364.833,239
44,0,26420,Richard Johnson,22' 5",3723.250,166
47,0,07547,Craig Kanada,22' 6",2924.667,130
47,0,01797,Rocco Mediate,22' 6",5463.000,243
