RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,08793,Tiger Woods,11.66,466.57,-12.14,0
2,0,21209,Sergio Garcia,7.99,415.59,-5.75,0
3,0,01810,Phil Mickelson,6.87,336.67,-7.70,0
4,0,20766,Padraig Harrington,6.83,348.43,-6.01,0
5,0,06567,Vijay Singh,6.63,358.07,-7.44,0
6,0,19970,Robert Karlsson,5.02,265.91,-3.70,0
7,0,27770,Camilo Villegas,4.82,241.06,-3.70,0
8,0,21528,Henrik Stenson,4.68,238.42,-4.64,0
9,0,06522,Ernie Els,4.66,251.72,-5.56,0
10,0,20396,Lee Westwood,4.66,251.62,-3.93,0
11,1,22046,Geoff Ogilvy,4.45,209.25,-3.88,0
12,-1,29718,Anthony Kim,4.38,223.17,-3.67,0
13,0,10809,Jim Furyk,4.29,206.05,-4.67,0
14,0,01945,Kenny Perry,3.83,195.37,-2.90,0
15,2,24502,Adam Scott,3.80,167.18,-3.97,0
16,0,20229,Stewart Cink,3.77,184.83,-3.87,0
17,-2,06527,Steve Stricker,3.77,169.74,-4.39,0
18,0,24357,K.J. Choi,3.72,193.62,-4.87,0
19,0,22405,Justin Rose,3.49,160.57,-4.09,0
20,0,22378,Trevor Immelman,3.40,176.82,-3.42,0
21,0,10423,Mike Weir,3.29,167.94,-2.88,0
22,0,19958,Miguel Angel Jiménez,3.29,177.45,-3.27,0
23,0,10860,Justin Leonard,3.19,172.24,-2.95,0
24,0,22621,Ben Curtis,3.14,144.53,-2.25,0
25,0,27408,Martin Kaymer,3.08,169.15,-2.34,0
26,0,24138,Ian Poulter,3.03,163.73,-3.09,0
27,0,10885,Robert Allenby,3.01,183.43,-3.29,0
28,0,23135,Tim Clark,2.95,153.35,-2.22,0
29,0,27896,Ross Fisher,2.87,149.08,-2.17,0
30,0,25562,Andres Romero,2.81,146.18,-2.84,0
31,0,23983,Luke Donald,2.81,112.32,-3.01,0
32,0,20218,Shingo Katayama,2.77,155.05,-1.81,0
33,1,23621,Rory Sabbatini,2.74,145.11,-3.98,0
34,1,20686,Jeev Milkha Singh,2.73,201.79,-2.13,0
35,-2,25572,Graeme McDowell,2.73,155.41,-2.47,0
36,1,06004,Stephen Ames,2.71,124.59,-2.49,0
37,-1,22371,Aaron Baddeley,2.70,126.95,-3.50,0
38,0,20098,Stuart Appleby,2.61,146.17,-3.09,0
39,0,28237,Rory McIlroy,2.56,102.20,-.83,0
40,0,27506,Oliver Wilson,2.54,136.93,-1.97,0
41,0,25364,Paul Casey,2.46,120.37,-2.71,0
42,0,20848,Ángel Cabrera,2.45,122.56,-3.01,0
43,0,24459,Richard Sterne,2.43,126.22,-1.96,0
44,0,24781,Hunter Mahan,2.39,131.55,-2.88,0
45,0,20157,Retief Goosen,2.38,128.77,-2.97,0
46,1,23624,Soren Hansen,2.33,123.50,-2.24,0
47,2,27784,Wen-Tang Lin,2.33,93.03,-.76,0
48,-2,24024,Zach Johnson,2.31,111.02,-3.02,0
49,-1,26289,Boo Weekley,2.31,124.49,-3.02,0
50,0,22986,Søren Kjeldsen,2.25,130.37,-1.52,0
51,1,22080,Prayad Marksaeng,2.22,142.36,-1.76,0
52,-1,06595,Kevin Sutherland,2.22,113.38,-1.86,0
53,0,23725,Brendan Jones,2.17,100.04,-1.46,0
54,2,20572,Rod Pampling,2.16,127.61,-2.12,0
55,-1,06575,Dudley Hart,2.15,85.97,-1.25,0
56,-1,22792,Peter Hanson,2.14,119.77,-1.96,0
57,1,20574,Mathew Goggin,2.10,124.19,-1.32,0
58,-1,07867,Woody Austin,2.08,120.65,-2.73,0
59,0,24140,Sean O'Hair,2.08,112.14,-2.30,0
60,0,30852,Ryo Ishikawa,2.06,82.59,-.30,0
61,0,20569,Richard Green,2.03,89.41,-1.76,0
62,0,25345,Carl Pettersson,2.03,119.62,-2.31,0
63,2,12510,Chad Campbell,1.96,107.63,-1.94,0
64,-1,02239,Scott Verplank,1.96,93.87,-2.42,0
65,-1,27649,Brandt Snedeker,1.94,116.23,-2.66,0
66,0,21350,Ryuji Imada,1.91,112.74,-2.08,0
67,0,21731,Freddie Jacobson,1.90,83.73,-1.56,0
68,0,26331,Charl Schwartzel,1.89,105.87,-1.45,0
69,0,22951,Azuma Yano,1.83,91.52,-.86,0
70,0,19825,Darren Clarke,1.81,103.26,-1.38,0
71,2,27072,Alvaro Quiros,1.77,72.36,-.25,0
72,0,20669,James Kingston,1.76,98.84,-1.45,0
73,1,23788,D.J. Trahan,1.76,100.60,-1.73,0
74,-3,01797,Rocco Mediate,1.76,86.38,-1.79,0
75,0,27141,J.B. Holmes,1.75,89.12,-1.78,0
76,0,25191,Gonzalo Fernandez-Castaño,1.70,90.32,-1.35,0
77,3,01706,Davis Love III,1.68,72.27,-.93,0
78,-1,21498,Hideto Tanihara,1.67,86.97,-1.35,0
79,0,25198,Francesco Molinari,1.64,90.38,-1.15,0
80,-2,24236,Nick Dougherty,1.63,84.61,-1.99,0
81,0,20104,Ken Duke,1.62,103.77,-1.79,0
82,0,24361,Pat Perez,1.60,86.27,-1.82,0
83,0,21284,Hiroyuki Fujita,1.59,74.67,-.96,0
84,0,20624,David Smail,1.58,78.95,-.98,0
85,3,24162,Shintaro Kai,1.55,65.29,-.56,0
86,0,19991,Peter Hedblom,1.55,76.00,-1.15,0
87,-2,01142,Bart Bryant,1.54,73.97,-1.68,0
88,-1,25190,Jeff Quinney,1.53,87.32,-2.06,0
89,1,31141,Gareth Maybin,1.53,61.09,-.50,0
90,-1,20859,Anders Hansen,1.52,74.46,-1.75,0
91,0,24511,Thongchai Jaidee,1.52,89.56,-1.11,0
92,0,01766,Billy Mayfair,1.48,87.42,-1.77,0
93,0,20935,Toru Taniguchi,1.48,78.26,-1.75,0
94,2,29670,Pablo Larrazabal,1.46,67.09,-.63,0
95,-1,22400,Hennie Otto,1.46,58.34,-.94,0
96,1,27349,Alex Noren,1.45,78.26,-.97,0
97,-2,22348,Nick O'Hern,1.44,80.66,-2.10,0
98,1,07457,Steve Flesch,1.42,86.88,-1.68,0
99,-1,06643,Paul Goydos,1.42,65.44,-1.49,0
100,1,23541,Ben Crane,1.41,56.27,-.92,0
101,-1,22293,Heath Slocum,1.40,79.74,-1.96,0
102,1,22896,Grégory Havret,1.40,76.73,-1.49,0
103,-1,08075,Jerry Kelly,1.39,83.35,-2.18,0
104,2,20645,John Senden,1.37,83.63,-1.96,0
105,0,32262,Mark Brown,1.36,72.20,-1.09,0
106,-2,12461,Paul McGinley,1.36,72.14,-1.28,0
107,0,24748,WC Liang,1.35,74.09,-1.42,0
108,2,22540,Anthony Wall,1.34,78.94,-.91,0
109,0,28158,Steve Marino,1.33,85.29,-1.43,0
110,1,19846,Brian Gay,1.32,83.30,-1.50,0
111,-3,20585,Niclas Fasth,1.31,72.26,-2.33,0
112,0,20394,Steve Webster,1.31,66.99,-1.03,0
113,3,02206,David Toms,1.31,53.55,-1.73,0
114,0,20160,Charlie Wi,1.31,75.74,-1.13,0
115,-2,20498,Briny Baird,1.30,79.51,-1.42,0
116,-1,20634,Peter Lonard,1.29,81.56,-1.76,0
117,1,25732,S.K. Ho,1.28,57.82,-.52,0
118,-1,24080,Scott Strange,1.28,72.87,-1.07,0
119,1,27118,Toshinori Muto,1.26,59.35,-.67,0
120,3,27214,Kevin Streelman,1.26,50.33,-.55,0
121,-2,21878,Mark Wilson,1.26,67.86,-1.48,0
122,0,24184,Alastair Forsyth,1.25,64.94,-1.33,0
123,-2,08635,Colin Montgomerie,1.25,63.53,-1.50,0
124,2,26525,Grégory Bourdy,1.24,67.06,-1.10,0
125,-1,20628,Arron Oberholser,1.24,49.41,-1.38,0
126,-1,25804,Bubba Watson,1.23,67.88,-1.67,0
127,0,32110,Taco Remkes,1.23,49.35,-.45,0
128,0,30909,David Horsey,1.22,51.31,-.55,0
129,2,22032,Tomohiro Kondo,1.21,54.52,-.89,0
130,-1,24512,Simon Dyson,1.21,73.85,-1.46,0
131,-1,20850,Daniel Chopra,1.21,85.78,-1.78,0
132,1,20070,Matt Bettencourt,1.20,49.32,-.27,0
133,-1,24725,Richard Finch,1.20,74.49,-.99,0
134,0,26329,Louis Oosthuizen,1.18,59.97,-1.46,0
135,0,23108,Matt Kuchar,1.17,63.14,-1.01,0
