RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
1,0,23135,Tim Clark,14' 3",1238.000,87,-24
2,0,21350,Ryuji Imada,16' 2",1328.917,82,-25
3,0,20160,Charlie Wi,16' 6",1967.833,119,-22
4,0,23983,Luke Donald,16' 9",1156.750,69,-14
5,0,06567,Vijay Singh,16' 10",1146.167,68,-7
6,0,20098,Stuart Appleby,16' 11",1485.500,88,E
7,0,12510,Chad Campbell,17' 1",1572.000,92,-22
8,0,21805,Harrison Frazar,17' 2",1856.917,108,-13
8,0,26679,Kevin Stadler,17' 2",1644.417,96,-6
10,0,10860,Justin Leonard,17' 3",2054.833,119,-27
11,0,24507,Jason Bohn,17' 4",2092.500,121,-16
11,0,21961,Charles Howell III,17' 4",1978.417,114,-24
13,0,23800,Bryce Molder,17' 5",1286.417,74,-23
13,0,25632,Jimmy Walker,17' 5",1097.167,63,-11
15,0,20498,Briny Baird,17' 6",1680.500,96,-10
15,0,24024,Zach Johnson,17' 6",2224.750,127,-24
15,0,23621,Rory Sabbatini,17' 6",1472.917,84,-17
18,0,22295,Darron Stiles,17' 8",1164.333,66,-8
19,0,10809,Jim Furyk,17' 10",1745.583,98,-25
19,0,22548,Patrick Sheehan,17' 10",1015.000,57,-12
19,0,12602,Dean Wilson,17' 10",1905.333,107,-16
22,0,22961,David Mathis,17' 11",1451.917,81,-22
23,0,23638,Brendon de Jonge,18' 0",1760.833,98,-11
23,0,19846,Brian Gay,18' 0",1965.333,109,-17
25,0,20572,Rod Pampling,18' 1",1916.917,106,-12
25,0,27649,Brandt Snedeker,18' 1",1592.833,88,-13
25,0,06527,Steve Stricker,18' 1",1446.750,80,-15
28,0,22046,Geoff Ogilvy,18' 2",1743.833,96,-23
29,0,24846,Ricky Barnes,18' 3",1202.000,66,-8
29,0,06251,Chris DiMarco,18' 3",1912.417,105,-16
31,0,08931,Glen Day,18' 4",1706.167,93,-19
32,0,20574,Mathew Goggin,18' 5",1437.917,78,-14
32,0,23320,Ryan Palmer,18' 5",1805.500,98,-18
32,0,25804,Bubba Watson,18' 5",1326.250,72,-12
32,0,26498,Matt Weibring,18' 5",1653.917,90,-17
36,0,12652,Cameron Beckman,18' 6",1998.333,108,-8
36,0,06012,Greg Kraft,18' 6",1147.917,62,-7
36,0,28158,Steve Marino,18' 6",2420.917,131,-18
36,0,22293,Heath Slocum,18' 6",2463.167,133,-23
40,0,01226,Fred Couples,18' 7",1077.833,58,-11
40,0,24358,Robert Garrigus,18' 7",2045.250,110,-15
42,0,10885,Robert Allenby,18' 9",1538.667,82,-7
42,0,20645,John Senden,18' 9",2604.500,139,-17
44,0,27963,Chris Stroud,18' 10",1770.917,94,-16
44,0,10423,Mike Weir,18' 10",1655.417,88,-19
46,0,20472,Alex Cejka,18' 11",1610.917,85,-7
47,0,06522,Ernie Els,19' 0",1423.083,75,-13
47,0,24912,Will MacKenzie,19' 0",1767.917,93,-2
47,0,23349,Charles Warren,19' 0",1461.750,77,-6
47,0,08793,Tiger Woods,19' 0",874.833,46,-7
51,0,01132,Mark Brooks,19' 1",1238.500,65,-11
51,0,21753,Brian Davis,19' 1",2731.667,143,-30
51,0,20104,Ken Duke,19' 1",1889.333,99,-16
51,0,20634,Peter Lonard,19' 1",2828.167,148,-23
51,0,23788,D.J. Trahan,19' 1",2118.250,111,-11
56,0,07867,Woody Austin,19' 2",2054.500,107,-17
