RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
1,0,20070,Matt Bettencourt,98,634,15.5
2,0,26695,Michael Letzig,85,633,13.4
3,0,29221,Webb Simpson,83,691,12.0
4,0,21878,Mark Wilson,80,635,12.6
5,0,20645,John Senden,79,594,13.3
5,0,27214,Kevin Streelman,79,597,13.2
7,0,21959,Ted Purdy,78,622,12.5
8,0,24503,Jeff Klauk,75,610,12.3
9,0,28620,Aron Price,74,529,14.0
9,0,20160,Charlie Wi,74,598,12.4
11,0,23108,Matt Kuchar,73,556,13.1
11,0,24490,George McNeill,73,569,12.8
11,0,25396,Kevin Na,73,605,12.1
14,0,12716,Charley Hoffman,72,640,11.3
14,0,25345,Carl Pettersson,72,534,13.5
16,0,10860,Justin Leonard,71,546,13.0
16,0,02239,Scott Verplank,71,559,12.7
18,0,25686,Jason Dufner,70,555,12.6
18,0,24781,Hunter Mahan,70,543,12.9
18,0,01945,Kenny Perry,70,542,12.9
18,0,25190,Jeff Quinney,70,526,13.3
18,0,22293,Heath Slocum,70,565,12.4
18,0,27649,Brandt Snedeker,70,503,13.9
18,0,23325,Vaughn Taylor,70,568,12.3
25,0,24925,Jonathan Byrd,69,531,13.0
25,0,23548,Bill Lunde,69,515,13.4
25,0,27120,Troy Matteson,69,580,11.9
25,0,23623,Bo Van Pelt,69,621,11.1
29,0,21753,Brian Davis,68,691,9.8
29,0,23718,Nathan Green,68,688,9.9
29,0,12782,Tim Herron,68,576,11.8
29,0,26596,Ryan Moore,68,546,12.5
29,0,02206,David Toms,68,560,12.1
29,0,12602,Dean Wilson,68,511,13.3
35,0,23983,Luke Donald,67,495,13.5
35,0,24024,Zach Johnson,67,581,11.5
35,0,08075,Jerry Kelly,67,589,11.4
35,0,01724,Jeff Maggert,67,476,14.1
39,0,01577,Lee Janzen,66,456,14.5
39,0,25240,D.A. Points,66,608,10.9
41,0,07867,Woody Austin,65,548,11.9
41,0,20593,Greg Chalmers,65,534,12.2
41,0,24449,Parker McLachlin,65,529,12.3
44,0,06251,Chris DiMarco,64,619,10.3
44,0,21805,Harrison Frazar,64,625,10.2
