RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,27095,Nick Watney,4.26,311,73
2,0,01226,Fred Couples,4.41,163,37
3,0,23135,Tim Clark,4.42,327,74
4,0,06527,Steve Stricker,4.43,208,47
5,0,25818,Scott Piercy,4.46,321,72
6,0,27963,Chris Stroud,4.49,247,55
7,0,08793,Tiger Woods,4.50,72,16
8,0,01706,Davis Love III,4.51,388,86
9,0,23800,Bryce Molder,4.52,199,44
10,0,24358,Robert Garrigus,4.53,317,70
11,0,06004,Stephen Ames,4.54,381,84
11,0,27936,Martin Laird,4.54,227,50
13,0,26679,Kevin Stadler,4.55,273,60
13,0,23788,D.J. Trahan,4.55,464,102
13,0,26498,Matt Weibring,4.55,323,71
16,0,10885,Robert Allenby,4.56,356,78
16,0,20498,Briny Baird,4.56,205,45
16,0,20472,Alex Cejka,4.56,292,64
16,0,20593,Greg Chalmers,4.56,278,61
16,0,20229,Stewart Cink,4.56,374,82
16,0,10860,Justin Leonard,4.56,310,68
16,0,24502,Adam Scott,4.56,178,39
16,0,27649,Brandt Snedeker,4.56,369,81
16,0,28118,Peter Tomasulo,4.56,155,34
25,0,06621,Joe Durant,4.57,288,63
25,0,24924,Bill Haas,4.57,361,79
25,0,24024,Zach Johnson,4.57,320,70
25,0,25804,Bubba Watson,4.57,361,79
25,0,24663,Y.E. Yang,4.57,398,87
30,0,23983,Luke Donald,4.58,463,101
30,0,31416,Derek Fathauer,4.58,261,57
30,0,12716,Charley Hoffman,4.58,517,113
30,0,01724,Jeff Maggert,4.58,307,67
30,0,25562,Andres Romero,4.58,334,73
30,0,22405,Justin Rose,4.58,339,74
30,0,26951,Johnson Wagner,4.58,325,71
37,0,22371,Aaron Baddeley,4.59,372,81
37,0,12782,Tim Herron,4.59,381,83
37,0,28475,Jeff Overton,4.59,335,73
37,0,23623,Bo Van Pelt,4.59,473,103
41,0,10585,Scott McCarron,4.60,469,102
41,0,01948,Tim Petrovic,4.60,345,75
41,0,20645,John Senden,4.60,483,105
41,0,28780,Nicholas Thompson,4.60,501,109
45,0,07867,Woody Austin,4.61,498,108
45,0,06251,Chris DiMarco,4.61,498,108
45,0,23108,Matt Kuchar,4.61,323,70
45,0,22046,Geoff Ogilvy,4.61,249,54
45,0,27683,Leif Olson,4.61,203,44
45,0,20127,Chris Riley,4.61,327,71
45,0,22295,Darron Stiles,4.61,189,41
52,0,24846,Ricky Barnes,4.62,291,63
52,0,08075,Jerry Kelly,4.62,388,84
52,0,29718,Anthony Kim,4.62,277,60
52,0,26851,Marc Leishman,4.62,388,84
52,0,28158,Steve Marino,4.62,388,84
52,0,21949,Joe Ogilvie,4.62,319,69
52,0,22913,John Rollins,4.62,494,107
59,0,23548,Bill Lunde,4.63,403,87
59,0,25396,Kevin Na,4.63,370,80
59,0,06595,Kevin Sutherland,4.63,574,124
59,0,02239,Scott Verplank,4.63,333,72
59,0,27770,Camilo Villegas,4.63,338,73
59,0,25632,Jimmy Walker,4.63,500,108
65,0,20070,Matt Bettencourt,4.64,496,107
65,0,21753,Brian Davis,4.64,469,101
65,0,01707,Steve Lowery,4.64,534,115
68,0,24507,Jason Bohn,4.65,530,114
68,0,22621,Ben Curtis,4.65,372,80
68,0,25686,Jason Dufner,4.65,484,104
68,0,06522,Ernie Els,4.65,256,55
68,0,10117,Bob Heintz,4.65,228,49
68,0,26300,Matt Jones,4.65,335,72
68,0,23497,Tag Ridings,4.65,186,40
68,0,25919,Brian Vranesh,4.65,307,66
68,0,26289,Boo Weekley,4.65,316,68
68,0,10423,Mike Weir,4.65,391,84
68,0,12602,Dean Wilson,4.65,391,84
79,0,20098,Stuart Appleby,4.66,373,80
79,0,24925,Jonathan Byrd,4.66,415,89
79,0,25900,Lucas Glover,4.66,284,61
79,0,26695,Michael Letzig,4.66,466,100
79,0,22348,Nick O'Hern,4.66,382,82
