RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,20157,Retief Goosen,4.40,207,47
2,0,21209,Sergio Garcia,4.41,150,34
2,0,08793,Tiger Woods,4.41,181,41
4,0,21961,Charles Howell III,4.44,280,63
4,0,26300,Matt Jones,4.44,142,32
6,0,24925,Jonathan Byrd,4.46,241,54
7,0,06004,Stephen Ames,4.48,112,25
7,0,23638,Brendon de Jonge,4.48,260,58
7,0,23108,Matt Kuchar,4.48,148,33
10,0,27060,John Mallinger,4.49,247,55
10,0,07749,Brett Quigley,4.49,184,41
12,0,01161,Mark Calcavecchia,4.51,203,45
12,0,24490,George McNeill,4.51,248,55
14,0,23778,Brad Adamonis,4.52,208,46
14,0,24358,Robert Garrigus,4.52,253,56
14,0,27095,Nick Watney,4.52,226,50
17,0,24924,Bill Haas,4.53,258,57
17,0,27466,Spencer Levin,4.53,145,32
19,0,30925,Dustin Johnson,4.54,245,54
19,0,01941,Tom Pernice Jr.,4.54,345,76
19,0,01948,Tim Petrovic,4.54,304,67
19,0,21959,Ted Purdy,4.54,309,68
19,0,06527,Steve Stricker,4.54,227,50
24,0,21350,Ryuji Imada,4.55,241,53
24,0,26695,Michael Letzig,4.55,250,55
24,0,01797,Rocco Mediate,4.55,141,31
24,0,26301,James Nitties,4.55,200,44
24,0,20645,John Senden,4.55,200,44
29,0,12510,Chad Campbell,4.56,260,57
29,0,23541,Ben Crane,4.56,269,59
29,0,21753,Brian Davis,4.56,324,71
29,0,28089,Jason Day,4.56,196,43
29,0,23497,Tag Ridings,4.56,123,27
34,0,20098,Stuart Appleby,4.57,192,42
34,0,20574,Mathew Goggin,4.57,215,47
34,0,24781,Hunter Mahan,4.57,279,61
34,0,27120,Troy Matteson,4.57,265,58
34,0,01766,Billy Mayfair,4.57,210,46
34,0,22046,Geoff Ogilvy,4.57,210,46
34,0,26476,Chez Reavie,4.57,224,49
41,0,12652,Cameron Beckman,4.58,220,48
41,0,26420,Richard Johnson,4.58,220,48
41,0,28158,Steve Marino,4.58,197,43
41,0,10585,Scott McCarron,4.58,293,64
41,0,20691,Greg Owen,4.58,298,65
46,0,08075,Jerry Kelly,4.59,202,44
46,0,01945,Kenny Perry,4.59,234,51
46,0,25804,Bubba Watson,4.59,170,37
49,0,10809,Jim Furyk,4.60,262,57
49,0,10860,Justin Leonard,4.60,262,57
49,0,27214,Kevin Streelman,4.60,336,73
52,0,12716,Charley Hoffman,4.61,175,38
52,0,29718,Anthony Kim,4.61,166,36
52,0,01810,Phil Mickelson,4.61,203,44
52,0,24140,Sean O'Hair,4.61,83,18
52,0,27770,Camilo Villegas,4.61,189,41
52,0,10425,Jay Williamson,4.61,226,49
52,0,21878,Mark Wilson,4.61,263,57
59,0,07867,Woody Austin,4.62,157,34
59,0,21805,Harrison Frazar,4.62,365,79
59,0,27963,Chris Stroud,4.62,337,73
62,0,25396,Kevin Na,4.63,259,56
62,0,10423,Mike Weir,4.63,222,48
62,0,12602,Dean Wilson,4.63,315,68
65,0,23621,Rory Sabbatini,4.64,195,42
65,0,29221,Webb Simpson,4.64,385,83
65,0,02206,David Toms,4.64,325,70
65,0,02239,Scott Verplank,4.64,181,39
65,0,24663,Y.E. Yang,4.64,181,39
70,0,20229,Stewart Cink,4.65,121,26
70,0,24912,Will MacKenzie,4.65,228,49
70,0,25818,Scott Piercy,4.65,223,48
73,0,06643,Paul Goydos,4.66,135,29
73,0,23718,Nathan Green,4.66,247,53
73,0,24024,Zach Johnson,4.66,247,53
73,0,22961,David Mathis,4.66,354,76
73,0,06539,Rick Price,4.66,270,58
73,0,06567,Vijay Singh,4.66,219,47
79,0,28087,Kris Blanks,4.67,112,24
79,0,24507,Jason Bohn,4.67,182,39
79,0,20848,Ángel Cabrera,4.67,98,21
79,0,25900,Lucas Glover,4.67,257,55
79,0,24503,Jeff Klauk,4.67,336,72
79,0,23548,Bill Lunde,4.67,238,51
79,0,26881,Jarrod Lyle,4.67,229,49
79,0,24449,Parker McLachlin,4.67,285,61
79,0,25345,Carl Pettersson,4.67,140,30
79,0,25919,Brian Vranesh,4.67,112,24
79,0,23349,Charles Warren,4.67,215,46
90,0,01320,Bob Estes,4.68,159,34
90,0,22892,Jason Gore,4.68,173,37
90,0,20766,Padraig Harrington,4.68,262,56
90,0,21731,Freddie Jacobson,4.68,206,44
90,0,27936,Martin Laird,4.68,234,50
90,0,22348,Nick O'Hern,4.68,262,56
90,0,24361,Pat Perez,4.68,145,31
90,0,28620,Aron Price,4.68,290,62
90,0,27649,Brandt Snedeker,4.68,234,50
90,0,08845,Scott Sterling,4.68,173,37
90,0,23788,D.J. Trahan,4.68,276,59
101,0,20472,Alex Cejka,4.69,286,61
101,0,09011,David Duval,4.69,169,36
101,0,07457,Steve Flesch,4.69,169,36
101,0,12782,Tim Herron,4.69,211,45
101,0,12705,Cliff Kresge,4.69,272,58
101,0,26851,Marc Leishman,4.69,230,49
101,0,25190,Jeff Quinney,4.69,347,74
108,0,01313,Steve Elkington,4.70,362,77
108,0,23353,J.J. Henry,4.70,362,77
108,0,20634,Peter Lonard,4.70,381,81
108,0,26596,Ryan Moore,4.70,188,40
108,0,25240,D.A. Points,4.70,268,57
108,0,22548,Patrick Sheehan,4.70,202,43
108,0,02214,Kirk Triplett,4.70,188,40
115,0,01142,Bart Bryant,4.71,179,38
115,0,20850,Daniel Chopra,4.71,311,66
115,0,23135,Tim Clark,4.71,160,34
