RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS
1,0,08793,Tiger Woods,4.15,257,62
2,0,29718,Anthony Kim,4.11,304,74
2,0,24781,Hunter Mahan,4.11,378,92
4,0,24925,Jonathan Byrd,4.09,364,89
5,0,06004,Stephen Ames,4.07,305,75
6,0,30925,Dustin Johnson,4.06,341,84
7,0,06527,Steve Stricker,4.00,316,79
8,0,01226,Fred Couples,3.98,215,54
8,0,10860,Justin Leonard,3.98,362,91
10,0,23623,Bo Van Pelt,3.95,395,100
11,0,23135,Tim Clark,3.94,307,78
12,0,28089,Jason Day,3.93,240,61
13,0,20850,Daniel Chopra,3.92,349,89
13,0,21805,Harrison Frazar,3.92,365,93
13,0,25900,Lucas Glover,3.92,365,93
16,0,25818,Scott Piercy,3.88,330,85
16,0,12602,Dean Wilson,3.88,314,81
18,0,06621,Joe Durant,3.87,240,62
19,0,12716,Charley Hoffman,3.84,372,97
20,0,27095,Nick Watney,3.83,329,86
21,0,20593,Greg Chalmers,3.82,325,85
21,0,27936,Martin Laird,3.82,275,72
21,0,24140,Sean O'Hair,3.82,290,76
21,0,22046,Geoff Ogilvy,3.82,275,72
25,0,21753,Brian Davis,3.81,392,103
25,0,21959,Ted Purdy,3.81,385,101
27,0,27214,Kevin Streelman,3.79,368,97
28,0,01810,Phil Mickelson,3.78,238,63
28,0,26596,Ryan Moore,3.78,336,89
28,0,26498,Matt Weibring,3.78,246,65
31,0,23108,Matt Kuchar,3.77,309,82
32,0,10809,Jim Furyk,3.76,312,83
32,0,08075,Jerry Kelly,3.76,338,90
32,0,23788,D.J. Trahan,3.76,361,96
35,0,23638,Brendon de Jonge,3.74,337,90
36,0,20070,Matt Bettencourt,3.73,366,98
36,0,28087,Kris Blanks,3.73,224,60
36,0,24024,Zach Johnson,3.73,343,92
36,0,23621,Rory Sabbatini,3.73,298,80
36,0,23325,Vaughn Taylor,3.73,328,88
41,0,01161,Mark Calcavecchia,3.72,268,72
41,0,21949,Joe Ogilvie,3.72,316,85
43,0,01945,Kenny Perry,3.71,338,91
44,0,24924,Bill Haas,3.70,337,91
44,0,26300,Matt Jones,3.70,207,56
44,0,22405,Justin Rose,3.70,259,70
44,0,20160,Charlie Wi,3.70,340,92
48,0,02206,David Toms,3.69,362,98
49,0,26695,Michael Letzig,3.68,353,96
49,0,28158,Steve Marino,3.68,361,98
49,0,02239,Scott Verplank,3.68,324,88
49,0,31323,Gary Woodland,3.68,195,53
53,0,24358,Robert Garrigus,3.67,305,83
53,0,25396,Kevin Na,3.67,334,91
53,0,27963,Chris Stroud,3.67,323,88
53,0,24663,Y.E. Yang,3.67,305,83
57,0,23541,Ben Crane,3.66,340,93
57,0,25686,Jason Dufner,3.66,329,90
57,0,23497,Tag Ridings,3.66,183,50
57,0,25804,Bubba Watson,3.66,267,73
61,0,20572,Rod Pampling,3.65,259,71
61,0,25240,D.A. Points,3.65,361,99
61,0,28780,Nicholas Thompson,3.65,350,96
64,0,20848,Ángel Cabrera,3.63,196,54
64,0,23983,Luke Donald,3.63,276,76
64,0,24490,George McNeill,3.63,298,82
64,0,27770,Camilo Villegas,3.63,265,73
64,0,23349,Charles Warren,3.63,229,63
69,0,12510,Chad Campbell,3.60,324,90
69,0,20472,Alex Cejka,3.60,295,82
69,0,26851,Marc Leishman,3.60,328,91
69,0,27933,John Merrick,3.60,328,91
69,0,25562,Andres Romero,3.60,205,57
69,0,29221,Webb Simpson,3.60,338,94
75,0,21731,Freddie Jacobson,3.59,298,83
76,0,24507,Jason Bohn,3.58,315,88
76,0,06643,Paul Goydos,3.58,283,79
76,0,20691,Greg Owen,3.58,347,97
76,0,24361,Pat Perez,3.58,258,72
76,0,25190,Jeff Quinney,3.58,279,78
76,0,20127,Chris Riley,3.58,276,77
82,0,07867,Woody Austin,3.57,300,84
82,0,28475,Jeff Overton,3.57,328,92
82,0,01948,Tim Petrovic,3.57,346,97
85,0,20498,Briny Baird,3.56,317,89
85,0,10117,Bob Heintz,3.56,210,59
85,0,26301,James Nitties,3.56,306,86
85,0,21878,Mark Wilson,3.56,352,99
89,0,12782,Tim Herron,3.55,309,87
89,0,21961,Charles Howell III,3.55,351,99
89,0,06595,Kevin Sutherland,3.55,337,95
89,0,26289,Boo Weekley,3.55,273,77
93,0,22371,Aaron Baddeley,3.54,230,65
93,0,01577,Lee Janzen,3.54,262,74
93,0,23800,Bryce Molder,3.54,244,69
93,0,10423,Mike Weir,3.54,297,84
97,0,06197,Michael Allen,3.53,258,73
97,0,20645,John Senden,3.53,353,100
99,0,01707,Steve Lowery,3.52,292,83
99,0,10585,Scott McCarron,3.52,320,91
101,0,19846,Brian Gay,3.51,337,96
101,0,23320,Ryan Palmer,3.51,274,78
101,0,27649,Brandt Snedeker,3.51,284,81
104,0,06522,Ernie Els,3.48,230,66
104,0,07749,Brett Quigley,3.48,320,92
106,0,27141,J.B. Holmes,3.47,257,74
106,0,12705,Cliff Kresge,3.47,271,78
106,0,02214,Kirk Triplett,3.47,208,60
109,0,01706,Davis Love III,3.46,301,87
110,0,22548,Patrick Sheehan,3.45,176,51
111,0,30711,Colt Knost,3.44,244,71
111,0,27120,Troy Matteson,3.44,327,95
111,0,01928,Corey Pavin,3.44,251,73
114,0,23614,Rich Beem,3.43,264,77
114,0,27060,John Mallinger,3.43,309,90
114,0,24138,Ian Poulter,3.43,192,56
117,0,01724,Jeff Maggert,3.42,270,79
117,0,22913,John Rollins,3.42,315,92
119,0,20574,Mathew Goggin,3.41,252,74
119,0,08845,Scott Sterling,3.41,174,51
121,0,01035,Tommy Armour III,3.40,197,58
121,0,01320,Bob Estes,3.40,265,78
121,0,26420,Richard Johnson,3.40,289,85
121,0,22348,Nick O'Hern,3.40,306,90
125,0,21350,Ryuji Imada,3.39,288,85
125,0,23548,Bill Lunde,3.39,281,83
125,0,06567,Vijay Singh,3.39,234,69
125,0,22293,Heath Slocum,3.39,322,95
129,0,20766,Padraig Harrington,3.38,220,65
129,0,24912,Will MacKenzie,3.38,233,69
129,0,26951,Johnson Wagner,3.38,274,81
132,0,24503,Jeff Klauk,3.37,327,97
132,0,24449,Parker McLachlin,3.37,239,71
132,0,01941,Tom Pernice Jr.,3.37,276,82
135,0,21209,Sergio Garcia,3.36,195,58
136,0,22892,Jason Gore,3.35,248,74
136,0,27683,Leif Olson,3.35,171,51
138,0,12652,Cameron Beckman,3.33,290,87
139,0,09011,David Duval,3.32,186,56
140,0,06251,Chris DiMarco,3.31,321,97
140,0,01313,Steve Elkington,3.31,232,70
140,0,25632,Jimmy Walker,3.31,245,74
143,0,23718,Nathan Green,3.30,343,104
144,0,24502,Adam Scott,3.29,171,52
144,0,10425,Jay Williamson,3.29,227,69
146,0,22961,David Mathis,3.27,268,82
146,0,22295,Darron Stiles,3.27,170,52
148,0,23353,J.J. Henry,3.26,316,97
149,0,08931,Glen Day,3.25,257,79
149,0,31416,Derek Fathauer,3.25,205,63
149,0,20157,Retief Goosen,3.25,237,73
149,0,27466,Spencer Levin,3.25,244,75
149,0,28620,Aron Price,3.25,289,89
154,0,24357,K.J. Choi,3.23,207,64
154,0,10733,Kent Jones,3.23,236,73
154,0,25345,Carl Pettersson,3.23,278,86
154,0,26476,Chez Reavie,3.23,262,81
158,0,07457,Steve Flesch,3.22,248,77
158,0,01797,Rocco Mediate,3.22,254,79
158,0,26679,Kevin Stadler,3.22,209,65
158,0,25919,Brian Vranesh,3.22,164,51
162,0,28118,Peter Tomasulo,3.21,196,61
163,0,01142,Bart Bryant,3.19,185,58
164,0,20229,Stewart Cink,3.18,232,73
165,0,10885,Robert Allenby,3.17,222,70
166,0,01132,Mark Brooks,3.16,174,55
167,0,06539,Rick Price,3.15,170,54
168,0,26497,Casey Wittenberg,3.14,223,71
169,0,22621,Ben Curtis,3.11,193,62
169,0,20104,Ken Duke,3.11,271,87
171,0,01473,Todd Hamilton,3.10,257,83
171,0,20634,Peter Lonard,3.10,267,86
173,0,23778,Brad Adamonis,3.07,215,70
173,0,07223,Brian Bateman,3.07,169,55
175,0,24846,Ricky Barnes,3.06,205,67
176,0,20098,Stuart Appleby,3.03,236,78
177,0,01766,Billy Mayfair,3.02,251,83
178,0,23048,Eric Axley,3.00,213,71
179,0,26881,Jarrod Lyle,2.92,190,65
180,0,30927,Brendon Todd,2.89,153,53
181,0,26668,Marc Turnesa,2.87,221,77
182,0,06012,Greg Kraft,2.86,146,51
183,0,01677,Tom Lehman,2.78,153,55
184,0,01329,Brad Faxon,2.76,163,59
