RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
1,0,10423,Mike Weir,11' 9",586.167,50,-0.14
2,0,06522,Ernie Els,12' 9",856.500,67,-0.19
2,0,20766,Padraig Harrington,12' 9",649.667,51,-0.22
4,0,28475,Jeff Overton,13' 3",1257.167,95,-0.19
5,0,10809,Jim Furyk,13' 5",1021.417,76,-0.26
6,0,20229,Stewart Cink,13' 6",1109.500,82,-0.23
7,0,23325,Vaughn Taylor,13' 7",1584.750,117,-0.16
8,0,26289,Boo Weekley,13' 8",1473.417,108,-0.19
9,0,22046,Geoff Ogilvy,13' 11",976.250,70,-0.34
10,0,23409,James Driscoll,14' 1",1113.000,79,-0.15
11,0,32102,Rickie Fowler,14' 2",1518.667,107,-0.31
12,0,01116,Michael Bradley,14' 3",1367.417,96,-0.22
12,0,06643,Paul Goydos,14' 3",1752.000,123,-0.24
14,0,23800,Bryce Molder,14' 4",1403.583,98,-0.18
15,0,23135,Tim Clark,14' 5",1732.500,120,-0.21
16,0,19846,Brian Gay,14' 7",2322.167,159,-0.21
16,0,23108,Matt Kuchar,14' 7",1477.000,101,-0.29
18,0,01320,Bob Estes,14' 8",1158.250,79,-0.22
18,0,01810,Phil Mickelson,14' 8",921.750,63,-0.29
18,0,25396,Kevin Na,14' 8",1507.833,103,-0.22
18,0,08385,Omar Uresti,14' 8",1422.333,97,-0.23
22,0,06527,Steve Stricker,14' 9",1340.000,91,-0.22
23,0,24227,Justin Bolli,14' 10",1084.917,73,-0.12
23,0,01577,Lee Janzen,14' 10",1262.417,85,-0.24
23,0,22405,Justin Rose,14' 10",1264.167,85,-0.08
23,0,08375,Paul Stankowski,14' 10",890.500,60,-0.15
27,0,23541,Ben Crane,14' 11",1269.417,85,-0.16
27,0,07457,Steve Flesch,14' 11",1136.583,76,-0.16
27,0,29221,Webb Simpson,14' 11",1804.500,121,-0.26
30,0,24024,Zach Johnson,15' 0",1413.083,94,-0.20
30,0,10860,Justin Leonard,15' 0",1831.333,122,+0.02
30,0,27649,Brandt Snedeker,15' 0",1436.417,96,-0.15
33,0,06251,Chris DiMarco,15' 1",1699.833,113,-0.24
34,0,24507,Jason Bohn,15' 2",1380.917,91,-0.18
35,0,27933,John Merrick,15' 3",1795.333,118,-0.11
35,0,22913,John Rollins,15' 3",1785.750,117,-0.22
35,0,20160,Charlie Wi,15' 3",1630.167,107,-0.17
38,0,24925,Jonathan Byrd,15' 4",1536.750,100,-0.10
38,0,21209,Sergio Garcia,15' 4",842.083,55,-0.27
40,0,25720,Chad Collins,15' 6",1286.000,83,-0.04
