RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY
1,0,10809,Jim Furyk,10000000
2,0,23108,Matt Kuchar,3000000
3,0,23983,Luke Donald,2000000
4,0,12716,Charley Hoffman,1500000
5,0,30925,Dustin Johnson,1000000
6,0,25364,Paul Casey,800000
7,0,06527,Steve Stricker,700000
8,0,28089,Jason Day,600000
9,0,06522,Ernie Els,550000
10,0,20157,Retief Goosen,500000
11,0,27936,Martin Laird,300000
12,0,27095,Nick Watney,290000
13,0,01810,Phil Mickelson,280000
14,0,22046,Geoff Ogilvy,270000
15,0,24357,K.J. Choi,247500
15,0,22405,Justin Rose,247500
17,0,24024,Zach Johnson,240000
18,0,24781,Hunter Mahan,235000
19,0,24502,Adam Scott,230000
20,0,27770,Camilo Villegas,225000
21,0,26596,Ryan Moore,220000
22,0,25804,Bubba Watson,215000
23,0,23320,Ryan Palmer,210000
24,0,23135,Tim Clark,205000
25,0,27214,Kevin Streelman,200000
26,0,25396,Kevin Na,195000
27,0,23541,Ben Crane,190000
28,0,10885,Robert Allenby,185000
29,0,28475,Jeff Overton,180000
30,0,23623,Bo Van Pelt,175000
31,0,24924,Bill Haas,165000
32,0,32102,Rickie Fowler,155000
33,0,20160,Charlie Wi,150000
34,0,27141,J.B. Holmes,145000
35,0,23325,Vaughn Taylor,142000
36,0,28237,Rory McIlroy,140000
37,0,27649,Brandt Snedeker,138000
38,0,20229,Stewart Cink,137000
39,0,24138,Ian Poulter,136000
40,0,25345,Carl Pettersson,135000
41,0,29718,Anthony Kim,134000
42,0,08793,Tiger Woods,133000
43,0,08725,Tom Gillis,132000
44,0,26851,Marc Leishman,131000
45,0,26882,Michael Sim,130000
46,0,22293,Heath Slocum,129000
47,0,24140,Sean O'Hair,128000
48,0,23621,Rory Sabbatini,127000
49,0,23788,D.J. Trahan,126000
50,0,20645,John Senden,125000
51,0,23638,Brendon de Jonge,120000
52,0,20098,Stuart Appleby,115000
53,0,21753,Brian Davis,114000
54,0,19846,Brian Gay,113000
55,0,02206,David Toms,110000
56,0,20593,Greg Chalmers,110000
57,0,06567,Vijay Singh,110000
58,0,21731,Freddie Jacobson,110000
59,0,10860,Justin Leonard,110000
60,0,23800,Bryce Molder,110000
61,0,20848,Ángel Cabrera,110000
62,0,24507,Jason Bohn,110000
63,0,26300,Matt Jones,110000
64,0,24846,Ricky Barnes,110000
65,0,25686,Jason Dufner,110000
66,0,01948,Tim Petrovic,110000
67,0,24663,Y.E. Yang,110000
68,0,06004,Stephen Ames,110000
69,0,25562,Andres Romero,110000
70,0,02239,Scott Verplank,110000
71,0,28087,Kris Blanks,80000
72,0,28158,Steve Marino,80000
73,0,20766,Padraig Harrington,80000
74,0,25900,Lucas Glover,80000
75,0,21961,Charles Howell III,80000
76,0,27330,Josh Teater,80000
77,0,22913,John Rollins,80000
78,0,21350,Ryuji Imada,80000
79,0,11123,Chris Couch,80000
80,0,01706,Davis Love III,80000
81,0,27466,Spencer Levin,75000
82,0,25240,D.A. Points,75000
83,0,08537,J.P. Hayes,75000
84,0,25632,Jimmy Walker,75000
85,0,29221,Webb Simpson,75000
86,0,23353,J.J. Henry,75000
87,0,06643,Paul Goydos,75000
88,0,06515,Shaun Micheel,75000
89,0,12510,Chad Campbell,75000
90,0,24361,Pat Perez,75000
91,0,27120,Troy Matteson,75000
92,0,01313,Steve Elkington,75000
93,0,01945,Kenny Perry,75000
94,0,22371,Aaron Baddeley,75000
95,0,29910,Blake Adams,75000
96,0,25720,Chad Collins,75000
97,0,30946,Alex Prugh,75000
98,0,26289,Boo Weekley,75000
99,0,20436,Garrett Willis,75000
100,0,20127,Chris Riley,75000
101,0,06595,Kevin Sutherland,70000
102,0,08075,Jerry Kelly,70000
103,0,20472,Alex Cejka,70000
104,0,27797,Derek Lamely,70000
105,0,24925,Jonathan Byrd,70000
106,0,20070,Matt Bettencourt,70000
107,0,24358,Robert Garrigus,70000
108,0,01724,Jeff Maggert,70000
109,0,21209,Sergio Garcia,70000
110,0,27933,John Merrick,70000
111,0,20498,Briny Baird,70000
112,0,21949,Joe Ogilvie,70000
113,0,23548,Bill Lunde,70000
114,0,12602,Dean Wilson,70000
115,0,01928,Corey Pavin,70000
116,0,01320,Bob Estes,70000
117,0,09011,David Duval,70000
118,0,12652,Cameron Beckman,70000
119,0,22621,Ben Curtis,70000
120,0,26695,Michael Letzig,70000
121,0,23718,Nathan Green,70000
122,0,26679,Kevin Stadler,70000
123,0,07867,Woody Austin,70000
124,0,27436,Graham DeLaet,70000
125,0,25818,Scott Piercy,70000
126,0,25190,Jeff Quinney,32000
127,0,27963,Chris Stroud,32000
128,0,10423,Mike Weir,32000
129,0,28620,Aron Price,32000
130,0,10585,Scott McCarron,32000
131,0,21878,Mark Wilson,32000
132,0,27060,John Mallinger,32000
133,0,23409,James Driscoll,32000
134,0,26301,James Nitties,32000
135,0,24490,George McNeill,32000
136,0,07749,Brett Quigley,32000
137,0,01941,Tom Pernice Jr.,32000
138,0,32640,Troy Merritt,32000
139,0,26420,Richard Johnson,32000
140,0,28307,Matt Every,32000
141,0,21528,Henrik Stenson,32000
142,0,06621,Joe Durant,32000
143,0,01766,Billy Mayfair,32000
144,0,23673,Michael Connell,32000
145,0,01116,Michael Bradley,32000
146,0,08375,Paul Stankowski,32000
147,0,06251,Chris DiMarco,32000
148,0,28780,Nicholas Thompson,32000
149,0,10425,Jay Williamson,32000
150,0,01577,Lee Janzen,32000
