RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,01313,Steve Elkington,67.17,403,6
2,0,28620,Aron Price,67.67,203,3
3,0,06567,Vijay Singh,67.71,474,7
4,0,27436,Graham DeLaet,67.75,542,8
5,0,26695,Michael Letzig,68.38,547,8
6,0,23349,Charles Warren,68.40,342,5
7,0,24361,Pat Perez,68.44,616,9
8,0,20593,Greg Chalmers,68.50,411,6
8,0,24502,Adam Scott,68.50,274,4
10,0,01797,Rocco Mediate,68.57,480,7
11,0,27649,Brandt Snedeker,68.60,686,10
12,0,20127,Chris Riley,68.71,481,7
13,0,30946,Alex Prugh,68.75,550,8
14,0,06621,Joe Durant,68.83,413,6
14,0,22046,Geoff Ogilvy,68.83,413,6
14,0,22056,Cameron Percy,68.83,413,6
17,0,20574,Mathew Goggin,68.89,620,9
18,0,23108,Matt Kuchar,69.00,483,7
18,0,20663,Brenden Pappas,69.00,414,6
18,0,20686,Jeev Milkha Singh,69.00,483,7
18,0,12602,Dean Wilson,69.00,276,4
22,0,27797,Derek Lamely,69.10,691,10
23,0,08375,Paul Stankowski,69.13,553,8
24,0,23322,Brett Wetterich,69.17,415,6
25,0,25364,Paul Casey,69.20,346,5
25,0,26287,Roland Thatcher,69.20,346,5
27,0,23638,Brendon de Jonge,69.21,969,14
28,0,23983,Luke Donald,69.25,277,4
29,0,30925,Dustin Johnson,69.33,416,6
29,0,28237,Rory McIlroy,69.33,416,6
31,0,23613,Rich Barcelo,69.40,347,5
31,0,20848,Ángel Cabrera,69.40,347,5
33,0,28500,Martin Flores,69.43,486,7
34,0,26289,Boo Weekley,69.44,625,9
35,0,27141,J.B. Holmes,69.46,903,13
36,0,12652,Cameron Beckman,69.50,278,4
36,0,01161,Mark Calcavecchia,69.50,417,6
36,0,28089,Jason Day,69.50,556,8
36,0,25396,Kevin Na,69.50,695,10
36,0,20160,Charlie Wi,69.50,695,10
41,0,06251,Chris DiMarco,69.54,904,13
42,0,20229,Stewart Cink,69.55,765,11
43,0,26679,Kevin Stadler,69.56,626,9
44,0,24912,Will MacKenzie,69.63,557,8
44,0,24663,Y.E. Yang,69.63,557,8
46,0,25345,Carl Pettersson,69.67,627,9
46,0,12714,Chris Tidland,69.67,627,9
48,0,21949,Joe Ogilvie,69.70,697,10
48,0,01941,Tom Pernice Jr.,69.70,697,10
50,0,24846,Ricky Barnes,69.73,767,11
51,0,11123,Chris Couch,69.75,279,4
51,0,06514,Kevin Johnson,69.75,279,4
51,0,27302,Garth Mulroy,69.75,279,4
51,0,22913,John Rollins,69.75,558,8
51,0,27095,Nick Watney,69.75,837,12
56,0,21731,Freddie Jacobson,69.79,977,14
57,0,01116,Michael Bradley,69.80,698,10
57,0,10860,Justin Leonard,69.80,698,10
57,0,26881,Jarrod Lyle,69.80,349,5
57,0,23623,Bo Van Pelt,69.80,698,10
61,0,24924,Bill Haas,69.83,419,6
61,0,01724,Jeff Maggert,69.83,419,6
63,0,10585,Scott McCarron,69.86,489,7
63,0,31560,Brian Stuard,69.86,489,7
65,0,28158,Steve Marino,69.88,559,8
66,0,32640,Troy Merritt,69.91,769,11
67,0,25720,Chad Collins,70.00,770,11
67,0,10809,Jim Furyk,70.00,490,7
67,0,12716,Charley Hoffman,70.00,420,6
67,0,26851,Marc Leishman,70.00,630,9
67,0,24490,George McNeill,70.00,210,3
67,0,01810,Phil Mickelson,70.00,490,7
67,0,25190,Jeff Quinney,70.00,630,9
67,0,06595,Kevin Sutherland,70.00,700,10
67,0,02239,Scott Verplank,70.00,770,11
76,0,08725,Tom Gillis,70.08,911,13
77,0,20498,Briny Baird,70.11,631,9
78,0,08075,Jerry Kelly,70.13,561,8
78,0,29221,Webb Simpson,70.13,561,8
78,0,27770,Camilo Villegas,70.13,561,8
81,0,22946,Henrik Bjornstad,70.14,491,7
81,0,26301,James Nitties,70.14,491,7
83,0,23135,Tim Clark,70.17,842,12
83,0,27466,Spencer Levin,70.17,842,12
83,0,23320,Ryan Palmer,70.17,421,6
86,0,22405,Justin Rose,70.22,632,9
86,0,26951,Johnson Wagner,70.22,632,9
88,0,07867,Woody Austin,70.25,562,8
88,0,24781,Hunter Mahan,70.25,562,8
90,0,06643,Paul Goydos,70.29,492,7
90,0,08537,J.P. Hayes,70.29,492,7
92,0,23353,J.J. Henry,70.31,914,13
93,0,12705,Cliff Kresge,70.33,211,3
93,0,20645,John Senden,70.33,422,6
93,0,33419,Cameron Tringale,70.33,211,3
96,0,25818,Scott Piercy,70.36,774,11
97,0,19846,Brian Gay,70.38,915,13
97,0,22293,Heath Slocum,70.38,915,13
99,0,28307,Matt Every,70.40,352,5
100,0,06527,Steve Stricker,70.43,493,7
101,0,24358,Robert Garrigus,70.44,634,9
101,0,23325,Vaughn Taylor,70.44,634,9
103,0,24357,K.J. Choi,70.50,423,6
103,0,01249,John Daly,70.50,564,8
