RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,08375,Paul Stankowski,2.86,103,36
2,0,24361,Pat Perez,2.88,173,60
2,0,02206,David Toms,2.88,141,49
4,0,21350,Ryuji Imada,2.90,235,81
4,0,27095,Nick Watney,2.90,122,42
6,0,23673,Michael Connell,2.91,186,64
7,0,25364,Paul Casey,2.93,82,28
7,0,20157,Retief Goosen,2.93,88,30
7,0,27649,Brandt Snedeker,2.93,170,58
10,0,12716,Charley Hoffman,2.94,153,52
10,0,26851,Marc Leishman,2.94,94,32
10,0,20645,John Senden,2.94,265,90
13,0,12782,Tim Herron,2.95,224,76
13,0,21961,Charles Howell III,2.95,177,60
13,0,20663,Brenden Pappas,2.95,215,73
16,0,25396,Kevin Na,2.96,166,56
16,0,28475,Jeff Overton,2.96,169,57
16,0,25240,D.A. Points,2.96,157,53
19,0,24925,Jonathan Byrd,2.97,205,69
19,0,24502,Adam Scott,2.97,110,37
19,0,26951,Johnson Wagner,2.97,232,78
22,0,20593,Greg Chalmers,2.98,191,64
22,0,25686,Jason Dufner,2.98,167,56
22,0,24024,Zach Johnson,2.98,122,41
22,0,24490,George McNeill,2.98,134,45
26,0,29910,Blake Adams,2.99,218,73
26,0,06251,Chris DiMarco,2.99,221,74
28,0,07867,Woody Austin,3.00,186,62
28,0,01116,Michael Bradley,3.00,171,57
28,0,24357,K.J. Choi,3.00,135,45
28,0,25720,Chad Collins,3.00,183,61
28,0,22621,Ben Curtis,3.00,180,60
28,0,23638,Brendon de Jonge,3.00,222,74
28,0,19846,Brian Gay,3.00,246,82
28,0,23718,Nathan Green,3.00,186,62
28,0,08537,J.P. Hayes,3.00,99,33
28,0,08075,Jerry Kelly,3.00,180,60
28,0,01810,Phil Mickelson,3.00,36,12
28,0,27302,Garth Mulroy,3.00,108,36
28,0,01945,Kenny Perry,3.00,96,32
28,0,24138,Ian Poulter,3.00,48,16
28,0,29221,Webb Simpson,3.00,171,57
