RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (YARDS),TOTAL DISTANCE (INCHES),NUMBER OF APPROACH SHOTS
1,0,25274,Steven Bowditch,148.3,1473848000,276
2,0,31193,Jim Renner,152.5,873115000,159
3,0,23548,Bill Lunde,152.6,1230782000,224
4,0,27797,Derek Lamely,153.0,1206097000,219
5,0,20098,Stuart Appleby,153.3,1114753000,202
6,0,06515,Shaun Micheel,153.4,1121393000,203
7,0,25562,Andres Romero,153.6,1238645000,224
8,0,25572,Graeme McDowell,154.1,610111000,110
9,0,08725,Tom Gillis,154.2,893602000,161
9,0,27330,Josh Teater,154.2,1587197000,286
11,0,09011,David Duval,154.3,1127361000,203
12,0,31401,Zack Miller,154.5,1574263000,283
13,0,01313,Steve Elkington,154.7,640559000,115
14,0,33141,Keegan Bradley,155.0,1361920000,244
15,0,30750,Tommy Gainey,155.1,1574137000,282
15,0,22378,Trevor Immelman,155.1,927087000,166
17,0,34072,Will Strickler,155.6,918578000,164
18,0,29420,Billy Horschel,155.8,1082394000,193
19,0,29720,Andres Gonzales,156.1,854114000,152
19,0,27939,Matt McQuillan,156.1,825897000,147
19,0,23623,Bo Van Pelt,156.1,1118483000,199
22,0,01577,Lee Janzen,156.2,967140000,172
23,0,32698,Bobby Gates,156.3,1372859000,244
23,0,33911,Nate Smith,156.3,961991000,171
23,0,20436,Garrett Willis,156.3,1091482000,194
26,0,21731,Freddie Jacobson,156.4,1047327000,186
26,0,27120,Troy Matteson,156.4,1407557000,250
28,0,27141,J.B. Holmes,156.5,822466000,146
29,0,23320,Ryan Palmer,156.6,992492000,176
30,0,12652,Cameron Beckman,156.8,1224940000,217
30,0,01116,Michael Bradley,156.8,1004624000,178
30,0,23353,J.J. Henry,156.8,1208155000,214
30,0,33419,Cameron Tringale,156.8,1569708000,278
34,0,29221,Webb Simpson,156.9,1073136000,190
34,0,26289,Boo Weekley,156.9,1061704000,188
36,0,30692,Scott Stallings,157.1,1261142000,223
