RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,06621,Joe Durant,18.91,167,883,+2.04
2,0,22621,Ben Curtis,20.12,174,865,+0.92
3,0,22293,Heath Slocum,20.16,208,1032,+1.44
4,0,01313,Steve Elkington,20.58,120,583,+1.83
5,0,19846,Brian Gay,21.21,217,1023,+1.24
6,0,08075,Jerry Kelly,21.50,203,944,+1.82
7,0,22348,Nick O'Hern,21.52,227,1055,+1.41
8,0,20127,Chris Riley,21.66,204,942,+1.67
9,0,21753,Brian Davis,22.50,286,1271,+1.22
10,0,24024,Zach Johnson,22.56,201,891,+0.95
11,0,23541,Ben Crane,22.57,195,864,+0.51
12,0,02206,David Toms,22.71,186,819,+0.22
13,0,20572,Rod Pampling,23.35,195,835,+1.28
14,0,28620,Aron Price,23.45,159,678,+1.95
15,0,25444,Justin Hicks,23.49,144,613,+2.85
15,0,24138,Ian Poulter,23.49,128,545,+0.39
17,0,06643,Paul Goydos,23.54,242,1028,+1.49
18,0,01766,Billy Mayfair,23.79,281,1181,+0.82
19,0,25572,Graeme McDowell,23.84,123,516,+0.16
20,0,01797,Rocco Mediate,23.85,160,671,+1.88
21,0,21878,Mark Wilson,23.86,231,968,+1.00
22,0,29420,Billy Horschel,24.04,207,861,+1.45
23,0,24502,Adam Scott,24.29,153,630,+0.65
24,0,06251,Chris DiMarco,24.38,277,1136,+1.12
25,0,23800,Bryce Molder,24.46,239,977,+0.67
26,0,10809,Jim Furyk,24.51,239,975,+1.63
27,0,20472,Alex Cejka,24.53,158,644,+0.06
28,0,20645,John Senden,24.58,275,1119,+1.20
29,0,23673,Michael Connell,24.60,247,1004,+1.70
30,0,29518,Brendan Steele,24.72,263,1064,+1.94
31,0,22913,John Rollins,24.75,245,990,+0.90
32,0,10505,Shane Bertsch,24.79,179,722,+0.89
33,0,20498,Briny Baird,24.85,169,680,+0.89
34,0,12510,Chad Campbell,25.02,300,1199,+1.07
35,0,27933,John Merrick,25.06,209,834,+1.77
36,0,07867,Woody Austin,25.07,173,690,+1.04
37,0,24507,Jason Bohn,25.11,235,936,+1.66
37,0,11123,Chris Couch,25.11,233,928,-0.30
39,0,10733,Kent Jones,25.13,233,927,+1.85
40,0,22961,David Mathis,25.18,245,973,+0.90
41,0,29910,Blake Adams,25.24,367,1454,+1.23
42,0,06004,Stephen Ames,25.30,211,834,+0.57
43,0,23614,Rich Beem,25.40,160,630,+2.00
44,0,20436,Garrett Willis,25.51,226,886,+1.86
45,0,23983,Luke Donald,25.59,184,719,+0.11
46,0,08537,J.P. Hayes,25.60,170,664,+0.76
47,0,26476,Chez Reavie,25.68,293,1141,+1.37
48,0,33413,Ben Martin,25.72,231,898,+1.69
49,0,30711,Colt Knost,25.89,241,931,+1.99
50,0,10860,Justin Leonard,25.95,265,1021,+1.32
51,0,06573,Brandt Jobe,25.96,291,1121,+0.65
52,0,23353,J.J. Henry,26.09,286,1096,+1.15
53,0,26289,Boo Weekley,26.14,207,792,+1.35
54,0,01948,Tim Petrovic,26.21,277,1057,+1.52
55,0,25686,Jason Dufner,26.50,239,902,+0.92
56,0,23638,Brendon de Jonge,26.53,338,1274,+0.47
57,0,25240,D.A. Points,26.54,272,1025,+1.21
58,0,24781,Hunter Mahan,26.60,282,1060,+0.64
59,0,28087,Kris Blanks,26.67,304,1140,+1.15
60,0,26679,Kevin Stadler,26.72,268,1003,+1.23
61,0,29720,Andres Gonzales,26.78,169,631,+1.36
62,0,01706,Davis Love III,26.81,193,720,+0.10
63,0,27214,Kevin Streelman,27.02,267,988,+0.71
64,0,26951,Johnson Wagner,27.03,263,973,+1.48
65,0,24604,Hunter Haas,27.16,320,1178,+0.97
66,0,22405,Justin Rose,27.22,239,878,+0.67
67,0,23325,Vaughn Taylor,27.24,313,1149,+0.93
68,0,10885,Robert Allenby,27.42,266,970,+0.90
69,0,24924,Bill Haas,27.56,275,998,+0.40
70,0,27939,Matt McQuillan,27.59,184,667,+1.68
71,0,23623,Bo Van Pelt,27.60,273,989,+0.88
72,0,23108,Matt Kuchar,27.65,274,991,+0.88
73,0,25834,Daniel Summerhays,27.70,251,906,+2.63
74,0,27330,Josh Teater,27.99,356,1272,+1.32
75,0,26420,Richard Johnson,28.02,211,753,+1.71
76,0,12602,Dean Wilson,28.04,219,781,+1.64
77,0,24361,Pat Perez,28.13,272,967,+0.88
78,0,27649,Brandt Snedeker,28.17,262,930,-0.08
79,0,08725,Tom Gillis,28.18,197,699,+1.98
80,0,21731,Freddie Jacobson,28.22,274,971,+0.99
81,0,12716,Charley Hoffman,28.46,290,1019,+0.24
82,0,26758,David Hearn,28.49,300,1053,+1.37
83,0,34072,Will Strickler,28.52,168,589,+2.26
84,0,26596,Ryan Moore,28.55,237,830,+1.65
84,0,25457,Alexandre Rocha,28.55,195,683,+2.26
86,0,10585,Scott McCarron,28.57,214,749,+1.40
86,0,33911,Nate Smith,28.57,210,735,+2.52
88,0,32640,Troy Merritt,28.61,224,783,+2.28
89,0,33419,Cameron Tringale,28.68,384,1339,+0.89
90,0,29221,Webb Simpson,28.75,330,1148,+0.64
91,0,25345,Carl Pettersson,28.77,359,1248,+0.78
92,0,25900,Lucas Glover,28.79,243,844,+1.48
93,0,12652,Cameron Beckman,28.80,252,875,+0.99
94,0,27466,Spencer Levin,28.90,376,1301,+0.69
95,0,22378,Trevor Immelman,28.96,267,922,+0.11
95,0,26668,Marc Turnesa,28.96,183,632,+0.98
97,0,24357,K.J. Choi,29.07,234,805,+1.20
97,0,24663,Y.E. Yang,29.07,168,578,+0.65
99,0,01577,Lee Janzen,29.09,201,691,+2.14
100,0,22046,Geoff Ogilvy,29.26,218,745,+0.37
101,0,32150,Michael Thompson,29.28,277,946,+1.16
102,0,20160,Charlie Wi,29.31,311,1061,+0.93
103,0,27974,Sung Kang,29.36,207,705,+1.40
104,0,28679,Fabián Gómez,29.39,278,946,+1.40
105,0,06527,Steve Stricker,29.46,218,740,-0.55
106,0,25562,Andres Romero,29.47,275,933,+1.53
107,0,28475,Jeff Overton,29.52,297,1006,+1.35
108,0,20593,Greg Chalmers,29.53,321,1087,+0.93
109,0,07457,Steve Flesch,29.56,319,1079,+1.41
110,0,30110,Kyle Stanley,29.57,325,1099,+0.25
111,0,06522,Ernie Els,29.61,244,824,+1.39
112,0,23548,Bill Lunde,29.68,317,1068,+1.29
113,0,28158,Steve Marino,29.79,255,856,+0.31
114,0,31202,William McGirt,29.82,379,1271,+0.69
115,0,21209,Sergio Garcia,30.00,186,620,+0.86
116,0,26287,Roland Thatcher,30.07,252,838,+1.27
117,0,30750,Tommy Gainey,30.10,378,1256,+0.63
118,0,33141,Keegan Bradley,30.15,319,1058,+1.91
119,0,06567,Vijay Singh,30.18,297,984,+0.57
120,0,24925,Jonathan Byrd,30.26,302,998,+0.63
121,0,20229,Stewart Cink,30.37,215,708,-0.09
122,0,31193,Jim Renner,30.41,222,730,+1.40
123,0,20157,Retief Goosen,30.42,167,549,+1.38
123,0,29478,Kevin Kisner,30.42,240,789,+1.54
125,0,21350,Ryuji Imada,30.43,321,1055,+1.25
126,0,27936,Martin Laird,30.50,258,846,+0.43
127,0,24846,Ricky Barnes,30.53,269,881,+1.26
128,0,24980,Scott Gutschewski,30.58,233,762,+2.06
129,0,27095,Nick Watney,30.62,263,859,-0.11
130,0,34255,Joseph Bramlett,30.70,256,834,+1.13
131,0,32366,Kevin Chappell,30.71,258,840,+1.12
132,0,27120,Troy Matteson,30.72,341,1110,+0.82
133,0,26881,Jarrod Lyle,30.74,304,989,+2.14
134,0,26331,Charl Schwartzel,30.76,171,556,+1.70
135,0,27770,Camilo Villegas,30.87,242,784,+1.28
136,0,23621,Rory Sabbatini,30.98,259,836,+0.35
137,0,32698,Bobby Gates,31.00,284,916,+1.62
138,0,23409,James Driscoll,31.10,260,836,+1.23
139,0,23788,D.J. Trahan,31.12,352,1131,+0.99
140,0,20070,Matt Bettencourt,31.41,332,1057,+1.17
140,0,27963,Chris Stroud,31.41,338,1076,+0.65
142,0,32102,Rickie Fowler,31.48,288,915,+0.14
143,0,01810,Phil Mickelson,31.51,253,803,-0.16
144,0,24490,George McNeill,31.53,251,796,+1.04
145,0,21961,Charles Howell III,31.57,393,1245,+0.23
146,0,23718,Nathan Green,31.58,307,972,+1.40
147,0,23320,Ryan Palmer,31.62,258,816,+0.39
148,0,21407,Arjun Atwal,31.63,360,1138,+1.42
149,0,32876,Martin Piller,31.70,226,713,+2.21
149,0,08375,Paul Stankowski,31.70,284,896,+0.74
151,0,30946,Alex Prugh,31.76,309,973,+2.20
151,0,25804,Bubba Watson,31.76,256,806,+0.20
153,0,20098,Stuart Appleby,31.92,263,824,+1.44
154,0,06515,Shaun Micheel,31.94,283,886,+1.10
155,0,12782,Tim Herron,32.02,340,1062,+0.85
156,0,30926,Chris Kirk,32.17,341,1060,+0.79
157,0,24140,Sean O'Hair,32.25,268,831,+1.42
158,0,24290,D.J. Brigman,32.50,246,757,+1.46
159,0,20848,Ángel Cabrera,32.51,157,483,+1.46
160,0,30692,Scott Stallings,32.52,308,947,+0.71
161,0,01116,Michael Bradley,32.67,263,805,+0.80
162,0,25396,Kevin Na,32.72,304,929,+0.39
163,0,35087,Bio Kim,32.78,255,778,+1.22
164,0,31557,Jim Herman,32.83,260,792,+1.04
165,0,30925,Dustin Johnson,32.84,246,749,+0.37
166,0,21949,Joe Ogilvie,32.90,277,842,+0.90
167,0,31401,Zack Miller,33.01,339,1027,+1.92
168,0,26851,Marc Leishman,33.03,360,1090,+0.67
169,0,20766,Padraig Harrington,33.17,202,609,-0.10
170,0,26300,Matt Jones,33.26,290,872,+1.14
171,0,23497,Tag Ridings,33.27,339,1019,+1.24
172,0,25274,Steven Bowditch,33.81,358,1059,+1.15
173,0,19970,Robert Karlsson,33.82,207,612,+0.68
173,0,31323,Gary Woodland,33.82,322,952,+0.56
175,0,25818,Scott Piercy,33.91,293,864,+0.92
176,0,27141,J.B. Holmes,34.01,217,638,E
177,0,22371,Aaron Baddeley,34.12,289,847,-0.07
178,0,09011,David Duval,34.60,274,792,+1.42
179,0,28486,Michael Putnam,35.13,254,723,+1.30
180,0,28089,Jason Day,35.54,290,816,+1.03
181,0,24358,Robert Garrigus,35.59,336,944,+0.39
182,0,27064,Jhonattan Vegas,36.13,345,955,+0.96
183,0,25632,Jimmy Walker,36.32,377,1038,+1.41
184,0,21805,Harrison Frazar,36.41,205,563,+0.73
185,0,27797,Derek Lamely,36.84,287,779,+1.39
186,0,29718,Anthony Kim,37.28,290,778,+0.52
