RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
1,0,24358,Robert Garrigus,41' 3",8956.000,217,-43
2,0,28237,Rory McIlroy,42' 3",4897.667,116,-39
2,0,08793,Tiger Woods,42' 3",6760.417,160,-49
4,0,32150,Michael Thompson,42' 9",8118.000,190,-44
5,0,32334,Charlie Beljan,44' 2",5075.917,115,-21
6,0,10809,Jim Furyk,44' 4",9221.250,208,-30
7,0,22046,Geoff Ogilvy,44' 5",7417.667,167,-55
8,0,31323,Gary Woodland,44' 10",7938.083,177,-35
9,0,30925,Dustin Johnson,45' 1",6941.833,154,-35
10,0,06527,Steve Stricker,45' 4",7981.000,176,-37
11,0,29289,S.Y. Noh,45' 6",10830.833,238,-33
12,0,33122,Russell Knox,45' 7",7881.500,173,-29
13,0,25562,Andres Romero,45' 8",8086.833,177,-17
14,0,01724,Jeff Maggert,45' 9",10987.833,240,-24
15,0,01706,Davis Love III,46' 1",7091.000,154,-17
15,0,30692,Scott Stallings,46' 1",9445.667,205,-33
15,0,30110,Kyle Stanley,46' 1",9349.333,203,-43
18,0,23638,Brendon de Jonge,46' 2",14070.750,305,-81
18,0,34099,Harris English,46' 2",11410.417,247,-41
20,0,22405,Justin Rose,46' 3",8562.917,185,-43
20,0,26287,Roland Thatcher,46' 3",5876.333,127,-6
22,0,08725,Tom Gillis,46' 4",10844.833,234,-54
23,0,20229,Stewart Cink,46' 5",6587.250,142,-10
24,0,26331,Charl Schwartzel,46' 6",6233.000,134,-23
24,0,24502,Adam Scott,46' 6",5951.750,128,-30
26,0,33141,Keegan Bradley,46' 7",10392.333,223,-60
26,0,24140,Sean O'Hair,46' 7",11040.167,237,-40
28,0,27436,Graham DeLaet,46' 8",8626.750,185,-29
28,0,23983,Luke Donald,46' 8",6537.833,140,-26
30,0,06573,Brandt Jobe,46' 9",6119.250,131,-16
31,0,23204,Gary Christian,46' 11",10969.917,234,-42
31,0,23108,Matt Kuchar,46' 11",9808.417,209,-41
33,0,27141,J.B. Holmes,47' 1",10496.667,223,-31
34,0,27933,John Merrick,47' 2",9903.583,210,-31
35,0,12652,Cameron Beckman,47' 3",8976.000,190,-19
36,0,23623,Bo Van Pelt,47' 4",9657.500,204,-45
37,0,26596,Ryan Moore,47' 5",11850.083,250,-39
37,0,26329,Louis Oosthuizen,47' 5",7629.167,161,-44
37,0,20396,Lee Westwood,47' 5",6400.417,135,-25
40,0,21961,Charles Howell III,47' 6",10210.667,215,-51
