RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
1,0,32334,Charlie Beljan,-1.000
2,0,01249,John Daly,-.571
3,0,26329,Louis Oosthuizen,-.545
4,0,20850,Daniel Chopra,-.500
4,0,11123,Chris Couch,-.500
6,0,20848,Ángel Cabrera,-.333
6,0,01706,Davis Love III,-.333
6,0,29289,S.Y. Noh,-.333
6,0,23623,Bo Van Pelt,-.333
10,0,22371,Aaron Baddeley,-.313
11,0,30944,Jason Kokrak,-.294
12,0,19970,Robert Karlsson,-.286
13,0,25804,Bubba Watson,-.267
14,0,27330,Josh Teater,-.240
15,0,23983,Luke Donald,-.238
16,0,32102,Rickie Fowler,-.231
16,0,21209,Sergio Garcia,-.231
16,0,30925,Dustin Johnson,-.231
19,0,24138,Ian Poulter,-.222
19,0,26331,Charl Schwartzel,-.222
21,0,25572,Graeme McDowell,-.200
21,0,29221,Webb Simpson,-.200
21,0,06527,Steve Stricker,-.200
24,0,30692,Scott Stallings,-.174
25,0,28089,Jason Day,-.167
25,0,27141,J.B. Holmes,-.167
27,0,01766,Billy Mayfair,-.077
27,0,28237,Rory McIlroy,-.077
29,0,26289,Boo Weekley,-.071
30,0,12782,Tim Herron,-.067
30,0,29478,Kevin Kisner,-.067
32,0,23542,Tommy Biershenk,-.063
33,0,24781,Hunter Mahan,-.059
34,0,26679,Kevin Stadler,-.050
35,0,21961,Charles Howell III,-.029
36,0,33141,Keegan Bradley,E
36,0,24925,Jonathan Byrd,E
36,0,32366,Kevin Chappell,E
36,0,24357,K.J. Choi,E
36,0,23541,Ben Crane,E
36,0,28308,Troy Kelly,E
36,0,24490,George McNeill,E
36,0,28475,Jeff Overton,E
36,0,20572,Rod Pampling,E
36,0,25562,Andres Romero,E
36,0,22405,Justin Rose,E
36,0,02206,David Toms,E
36,0,33419,Cameron Tringale,E
36,0,31323,Gary Woodland,E
50,0,30110,Kyle Stanley,+.038
51,0,01116,Michael Bradley,+.040
52,0,01810,Phil Mickelson,+.043
53,0,06573,Brandt Jobe,+.067
53,0,23108,Matt Kuchar,+.067
55,0,12716,Charley Hoffman,+.071
56,0,24358,Robert Garrigus,+.074
56,0,27095,Nick Watney,+.074
58,0,30750,Tommy Gainey,+.077
58,0,34174,John Huh,+.077
60,0,34099,Harris English,+.083
60,0,20160,Charlie Wi,+.083
62,0,06567,Vijay Singh,+.087
63,0,26287,Roland Thatcher,+.091
64,0,29518,Brendan Steele,+.100
65,0,32200,Roberto Castro,+.118
65,0,29222,Billy Hurley III,+.118
65,0,10860,Justin Leonard,+.118
65,0,25818,Scott Piercy,+.118
69,0,20396,Lee Westwood,+.125
69,0,25892,Steve Wheatcroft,+.125
71,0,24140,Sean O'Hair,+.130
71,0,25240,D.A. Points,+.130
73,0,31558,J.J. Killeen,+.133
73,0,29926,Danny Lee,+.133
75,0,24361,Pat Perez,+.143
76,0,28500,Martin Flores,+.147
77,0,27436,Graham DeLaet,+.148
78,0,20766,Padraig Harrington,+.150
79,0,25632,Jimmy Walker,+.156
80,0,21731,Freddie Jacobson,+.158
80,0,27060,John Mallinger,+.158
80,0,27933,John Merrick,+.158
83,0,33120,Mark Anderson,+.167
83,0,28087,Kris Blanks,+.167
83,0,26300,Matt Jones,+.167
86,0,27649,Brandt Snedeker,+.172
87,0,24494,Erik Compton,+.174
88,0,20070,Matt Bettencourt,+.176
88,0,20104,Ken Duke,+.176
90,0,27895,Jonas Blixt,+.182
90,0,28455,Will Claxton,+.182
92,0,24507,Jason Bohn,+.185
93,0,24502,Adam Scott,+.188
94,0,24024,Zach Johnson,+.190
95,0,06522,Ernie Els,+.192
95,0,22378,Trevor Immelman,+.192
97,0,20098,Stuart Appleby,+.200
97,0,28259,Sangmoon Bae,+.200
97,0,29479,Scott Brown,+.200
97,0,06034,Marco Dawson,+.200
97,0,27466,Spencer Levin,+.200
97,0,29476,Kyle Reifers,+.200
97,0,27770,Camilo Villegas,+.200
104,0,25396,Kevin Na,+.207
104,0,27556,Ted Potter Jr.,+.207
106,0,20691,Greg Owen,+.211
106,0,30927,Brendon Todd,+.211
108,0,06036,Scott Dunlap,+.214
108,0,20645,John Senden,+.214
110,0,20593,Greg Chalmers,+.219
111,0,27936,Martin Laird,+.222
111,0,23325,Vaughn Taylor,+.222
113,0,20574,Mathew Goggin,+.235
114,0,32698,Bobby Gates,+.240
115,0,01320,Bob Estes,+.250
115,0,27120,Troy Matteson,+.250
115,0,23800,Bryce Molder,+.250
115,0,23788,D.J. Trahan,+.250
119,0,29910,Blake Adams,+.257
120,0,26951,Johnson Wagner,+.261
121,0,12652,Cameron Beckman,+.263
121,0,10809,Jim Furyk,+.263
123,0,23135,Tim Clark,+.267
123,0,30926,Chris Kirk,+.267
123,0,22046,Geoff Ogilvy,+.267
123,0,10213,Dicky Pride,+.267
127,0,12510,Chad Campbell,+.269
127,0,01941,Tom Pernice Jr.,+.269
129,0,22348,Nick O'Hern,+.270
130,0,24604,Hunter Haas,+.280
131,0,23638,Brendon de Jonge,+.281
132,0,24846,Ricky Barnes,+.282
133,0,30852,Ryo Ishikawa,+.286
133,0,23548,Bill Lunde,+.286
133,0,21878,Mark Wilson,+.286
136,0,28307,Matt Every,+.292
137,0,26851,Marc Leishman,+.294
138,0,23903,Stephen Gangluff,+.300
138,0,31202,William McGirt,+.300
140,0,26758,David Hearn,+.304
141,0,19846,Brian Gay,+.306
142,0,21528,Henrik Stenson,+.308
142,0,08793,Tiger Woods,+.308
144,0,23718,Nathan Green,+.313
145,0,24924,Bill Haas,+.316
145,0,22582,Kyle Thompson,+.316
145,0,24663,Y.E. Yang,+.316
148,0,25686,Jason Dufner,+.333
148,0,08725,Tom Gillis,+.333
148,0,30711,Colt Knost,+.333
148,0,22961,David Mathis,+.333
148,0,26476,Chez Reavie,+.333
148,0,25457,Alexandre Rocha,+.333
148,0,27214,Kevin Streelman,+.333
155,0,21407,Arjun Atwal,+.348
156,0,23204,Gary Christian,+.364
157,0,06004,Stephen Ames,+.368
157,0,01724,Jeff Maggert,+.368
159,0,26596,Ryan Moore,+.375
160,0,34021,Bud Cauley,+.381
161,0,28093,Miguel Angel Carballo,+.385
162,0,27064,Jhonattan Vegas,+.389
163,0,27644,Brian Harman,+.391
164,0,20229,Stewart Cink,+.400
164,0,06251,Chris DiMarco,+.400
164,0,24940,Edward Loar,+.400
167,0,20623,Gavin Coles,+.414
168,0,27963,Chris Stroud,+.421
169,0,22621,Ben Curtis,+.429
170,0,23353,J.J. Henry,+.438
171,0,23409,James Driscoll,+.455
172,0,23320,Ryan Palmer,+.458
173,0,33122,Russell Knox,+.462
173,0,23621,Rory Sabbatini,+.462
175,0,01797,Rocco Mediate,+.476
175,0,22913,John Rollins,+.476
177,0,21350,Ryuji Imada,+.478
178,0,29420,Billy Horschel,+.500
178,0,35139,Richard Lee,+.500
180,0,21805,Harrison Frazar,+.529
180,0,32150,Michael Thompson,+.529
182,0,25834,Daniel Summerhays,+.563
183,0,10885,Robert Allenby,+.571
183,0,27974,Sung Kang,+.571
185,0,22548,Patrick Sheehan,+.583
186,0,21753,Brian Davis,+.600
186,0,27302,Garth Mulroy,+.600
188,0,27797,Derek Lamely,+.667
189,0,22293,Heath Slocum,+.727
190,0,25345,Carl Pettersson,+.778
191,0,08075,Jerry Kelly,+.909
