RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
1,0,21209,Sergio Garcia,94.16,137,129
1,0,24138,Ian Poulter,94.16,154,145
3,0,26329,Louis Oosthuizen,93.60,172,161
4,0,27936,Martin Laird,93.43,213,199
5,0,10809,Jim Furyk,93.40,212,198
6,0,22046,Geoff Ogilvy,93.09,217,202
7,0,19846,Brian Gay,92.40,263,243
8,0,23623,Bo Van Pelt,92.39,197,182
9,0,20593,Greg Chalmers,92.34,235,217
10,0,26758,David Hearn,92.29,363,335
11,0,23983,Luke Donald,92.22,180,166
12,0,08793,Tiger Woods,92.21,154,142
13,0,01810,Phil Mickelson,91.57,249,228
14,0,29222,Billy Hurley III,91.55,213,195
15,0,31202,William McGirt,91.48,270,247
16,0,35139,Richard Lee,91.47,211,193
17,0,28089,Jason Day,91.30,161,147
18,0,34174,John Huh,91.23,342,312
19,0,23108,Matt Kuchar,91.20,250,228
20,0,25632,Jimmy Walker,91.19,318,290
21,0,27649,Brandt Snedeker,91.15,226,206
22,0,27895,Jonas Blixt,91.06,235,214
23,0,20623,Gavin Coles,90.91,187,170
24,0,30927,Brendon Todd,90.87,252,229
25,0,34021,Bud Cauley,90.55,328,297
26,0,23320,Ryan Palmer,90.48,252,228
27,0,33141,Keegan Bradley,90.31,258,233
28,0,28475,Jeff Overton,90.23,348,314
29,0,25892,Steve Wheatcroft,90.21,143,129
30,0,23718,Nathan Green,90.19,214,193
31,0,24781,Hunter Mahan,90.17,234,211
32,0,32150,Michael Thompson,90.08,242,218
33,0,29289,S.Y. Noh,90.04,271,244
33,0,25345,Carl Pettersson,90.04,241,217
35,0,33419,Cameron Tringale,90.03,301,271
36,0,34099,Harris English,89.84,305,274
37,0,24663,Y.E. Yang,89.70,165,148
38,0,06573,Brandt Jobe,89.67,184,165
39,0,20160,Charlie Wi,89.66,290,260
40,0,23542,Tommy Biershenk,89.47,228,204
41,0,24940,Edward Loar,89.44,142,127
42,0,20850,Daniel Chopra,89.38,160,143
42,0,23621,Rory Sabbatini,89.38,273,244
44,0,22621,Ben Curtis,89.33,150,134
45,0,23541,Ben Crane,89.30,243,217
46,0,27436,Graham DeLaet,89.27,261,233
47,0,08725,Tom Gillis,89.26,242,216
48,0,27095,Nick Watney,89.25,279,249
49,0,20070,Matt Bettencourt,89.24,251,224
50,0,26331,Charl Schwartzel,89.17,157,140
51,0,30852,Ryo Ishikawa,89.15,129,115
52,0,23409,James Driscoll,89.06,256,228
53,0,26951,Johnson Wagner,88.98,236,210
54,0,06527,Steve Stricker,88.83,179,159
55,0,30692,Scott Stallings,88.80,259,230
56,0,24024,Zach Johnson,88.64,264,234
57,0,30750,Tommy Gainey,88.59,368,326
58,0,26596,Ryan Moore,88.57,280,248
59,0,27141,J.B. Holmes,88.54,288,255
60,0,32200,Roberto Castro,88.48,269,238
61,0,32102,Rickie Fowler,88.45,251,222
62,0,23135,Tim Clark,88.44,173,153
63,0,08075,Jerry Kelly,88.37,258,228
64,0,24361,Pat Perez,88.35,266,235
65,0,10213,Dicky Pride,88.31,154,136
66,0,30926,Chris Kirk,88.26,298,263
67,0,27963,Chris Stroud,88.21,280,247
68,0,20098,Stuart Appleby,88.15,211,186
69,0,28500,Martin Flores,88.12,261,230
69,0,29476,Kyle Reifers,88.12,261,230
71,0,01797,Rocco Mediate,88.08,193,170
72,0,27797,Derek Lamely,88.02,192,169
73,0,23800,Bryce Molder,87.98,233,205
74,0,01249,John Daly,87.97,133,117
75,0,29420,Billy Horschel,87.86,173,152
76,0,33122,Russell Knox,87.85,181,159
77,0,27064,Jhonattan Vegas,87.83,230,202
78,0,25396,Kevin Na,87.77,229,201
78,0,25834,Daniel Summerhays,87.77,229,201
80,0,22913,John Rollins,87.76,245,215
81,0,29910,Blake Adams,87.70,309,271
82,0,20848,Ángel Cabrera,87.69,130,114
82,0,22405,Justin Rose,87.69,195,171
84,0,21350,Ryuji Imada,87.67,219,192
85,0,24924,Bill Haas,87.64,178,156
86,0,22371,Aaron Baddeley,87.63,194,170
87,0,25457,Alexandre Rocha,87.50,168,147
88,0,27214,Kevin Streelman,87.46,287,251
89,0,30925,Dustin Johnson,87.43,183,160
90,0,01724,Jeff Maggert,87.41,270,236
91,0,29518,Brendan Steele,87.40,254,222
92,0,24925,Jonathan Byrd,87.37,198,173
93,0,12782,Tim Herron,87.36,269,235
93,0,02206,David Toms,87.36,174,152
95,0,20229,Stewart Cink,87.35,166,145
96,0,20572,Rod Pampling,87.34,229,200
97,0,20104,Ken Duke,87.31,323,282
98,0,28455,Will Claxton,87.24,290,253
99,0,30711,Colt Knost,87.20,211,184
100,0,29221,Webb Simpson,87.17,226,197
101,0,27644,Brian Harman,87.13,303,264
102,0,20645,John Senden,87.11,194,169
103,0,21407,Arjun Atwal,87.10,248,216
104,0,28093,Miguel Angel Carballo,87.04,216,188
104,0,26287,Roland Thatcher,87.04,162,141
106,0,24494,Erik Compton,87.00,223,194
107,0,29478,Kevin Kisner,86.93,199,173
107,0,27302,Garth Mulroy,86.93,153,133
109,0,26851,Marc Leishman,86.87,259,225
110,0,06034,Marco Dawson,86.81,144,125
111,0,23353,J.J. Henry,86.70,218,189
112,0,24490,George McNeill,86.67,240,208
112,0,01941,Tom Pernice Jr.,86.67,210,182
114,0,23204,Gary Christian,86.61,224,194
115,0,28237,Rory McIlroy,86.57,134,116
116,0,21753,Brian Davis,86.50,274,237
116,0,01766,Billy Mayfair,86.50,311,269
118,0,25818,Scott Piercy,86.45,273,236
119,0,19970,Robert Karlsson,86.39,147,127
119,0,25804,Bubba Watson,86.39,169,146
121,0,31323,Gary Woodland,86.36,198,171
122,0,25240,D.A. Points,86.29,299,258
122,0,25562,Andres Romero,86.29,248,214
124,0,21961,Charles Howell III,86.25,240,207
125,0,32698,Bobby Gates,86.21,261,225
126,0,21878,Mark Wilson,86.18,217,187
127,0,25686,Jason Dufner,86.15,195,168
128,0,27466,Spencer Levin,86.12,209,180
129,0,32366,Kevin Chappell,86.11,252,217
130,0,06522,Ernie Els,86.04,222,191
131,0,12652,Cameron Beckman,86.01,286,246
132,0,22961,David Mathis,85.84,233,200
133,0,20396,Lee Westwood,85.82,141,121
134,0,10860,Justin Leonard,85.78,218,187
135,0,24507,Jason Bohn,85.71,196,168
135,0,21731,Freddie Jacobson,85.71,147,126
137,0,29926,Danny Lee,85.65,216,185
138,0,23638,Brendon de Jonge,85.57,298,255
139,0,23548,Bill Lunde,85.55,256,219
140,0,31558,J.J. Killeen,85.48,303,259
141,0,01116,Michael Bradley,85.47,179,153
142,0,27330,Josh Teater,85.46,282,241
143,0,25572,Graeme McDowell,85.43,151,129
144,0,28307,Matt Every,85.36,239,204
145,0,24140,Sean O'Hair,85.27,258,220
146,0,22293,Heath Slocum,85.26,285,243
147,0,01320,Bob Estes,85.24,210,179
148,0,06567,Vijay Singh,85.08,295,251
149,0,28259,Sangmoon Bae,85.07,201,171
150,0,26679,Kevin Stadler,85.04,234,199
151,0,32334,Charlie Beljan,85.03,167,142
151,0,21805,Harrison Frazar,85.03,167,142
151,0,23903,Stephen Gangluff,85.03,167,142
154,0,27556,Ted Potter Jr.,85.00,240,204
155,0,27770,Camilo Villegas,84.88,258,219
156,0,12716,Charley Hoffman,84.71,255,216
157,0,23325,Vaughn Taylor,84.62,221,187
158,0,20574,Mathew Goggin,84.51,213,180
159,0,11123,Chris Couch,84.31,204,172
160,0,27974,Sung Kang,84.14,227,191
160,0,24502,Adam Scott,84.14,145,122
162,0,24604,Hunter Haas,84.12,170,143
163,0,24357,K.J. Choi,84.02,194,163
163,0,28308,Troy Kelly,84.02,169,142
165,0,21528,Henrik Stenson,83.75,160,134
166,0,26476,Chez Reavie,83.72,215,180
167,0,27060,John Mallinger,83.67,251,210
168,0,28087,Kris Blanks,83.41,217,181
169,0,01706,Davis Love III,83.33,162,135
170,0,30944,Jason Kokrak,83.26,233,194
171,0,22378,Trevor Immelman,83.25,203,169
171,0,23788,D.J. Trahan,83.25,197,164
173,0,33120,Mark Anderson,83.17,208,173
174,0,30110,Kyle Stanley,83.10,284,236
175,0,06251,Chris DiMarco,82.97,229,190
176,0,22548,Patrick Sheehan,82.58,132,109
177,0,10885,Robert Allenby,82.40,233,192
178,0,29479,Scott Brown,82.32,181,149
179,0,27120,Troy Matteson,82.21,281,231
