RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS > 25',TOTAL 3 PUTTS
1,0,24846,Ricky Barnes,54,68
2,0,27120,Troy Matteson,48,53
2,0,29518,Brendan Steele,48,52
2,0,27330,Josh Teater,48,62
5,0,30926,Chris Kirk,46,56
6,0,32698,Bobby Gates,45,54
7,0,29910,Blake Adams,44,51
7,0,23638,Brendon de Jonge,44,54
7,0,34099,Harris English,44,52
7,0,26851,Marc Leishman,44,54
11,0,20691,Greg Owen,43,54
12,0,32366,Kevin Chappell,42,56
13,0,12652,Cameron Beckman,41,59
13,0,27436,Graham DeLaet,41,50
13,0,12716,Charley Hoffman,41,53
13,0,25818,Scott Piercy,41,46
13,0,25240,D.A. Points,41,51
18,0,28455,Will Claxton,40,47
18,0,22293,Heath Slocum,40,47
18,0,26951,Johnson Wagner,40,48
21,0,33120,Mark Anderson,39,49
21,0,32200,Roberto Castro,39,44
21,0,20104,Ken Duke,39,53
21,0,27933,John Merrick,39,46
21,0,27095,Nick Watney,39,52
26,0,26758,David Hearn,38,46
26,0,10860,Justin Leonard,38,42
28,0,29476,Kyle Reifers,37,46
28,0,31323,Gary Woodland,37,48
30,0,33141,Keegan Bradley,36,47
30,0,33419,Cameron Tringale,36,47
32,0,28087,Kris Blanks,35,45
32,0,12510,Chad Campbell,35,47
32,0,34021,Bud Cauley,35,47
32,0,24358,Robert Garrigus,35,55
32,0,27644,Brian Harman,35,45
32,0,21350,Ryuji Imada,35,45
32,0,26596,Ryan Moore,35,41
32,0,24140,Sean O'Hair,35,43
32,0,22913,John Rollins,35,40
41,0,10885,Robert Allenby,34,47
41,0,23204,Gary Christian,34,43
41,0,27141,J.B. Holmes,34,45
41,0,22378,Trevor Immelman,34,40
41,0,23548,Bill Lunde,34,48
41,0,22348,Nick O'Hern,34,41
41,0,06567,Vijay Singh,34,47
41,0,30110,Kyle Stanley,34,45
41,0,27064,Jhonattan Vegas,34,45
41,0,25632,Jimmy Walker,34,40
51,0,30750,Tommy Gainey,33,51
51,0,24924,Bill Haas,33,35
51,0,21961,Charles Howell III,33,43
51,0,08075,Jerry Kelly,33,40
51,0,31558,J.J. Killeen,33,40
51,0,01724,Jeff Maggert,33,40
51,0,23788,D.J. Trahan,33,44
58,0,28475,Jeff Overton,32,41
58,0,26476,Chez Reavie,32,42
58,0,25562,Andres Romero,32,46
58,0,21878,Mark Wilson,32,37
62,0,21805,Harrison Frazar,31,34
63,0,06036,Scott Dunlap,30,43
63,0,12782,Tim Herron,30,36
63,0,34174,John Huh,30,42
63,0,19970,Robert Karlsson,30,40
63,0,01766,Billy Mayfair,30,51
63,0,31202,William McGirt,30,35
63,0,29289,S.Y. Noh,30,39
63,0,23621,Rory Sabbatini,30,46
71,0,28093,Miguel Angel Carballo,29,40
71,0,24357,K.J. Choi,29,29
71,0,08725,Tom Gillis,29,42
71,0,30944,Jason Kokrak,29,40
71,0,27936,Martin Laird,29,37
71,0,24490,George McNeill,29,37
77,0,28500,Martin Flores,28,32
77,0,23353,J.J. Henry,28,32
77,0,27974,Sung Kang,28,41
77,0,23800,Bryce Molder,28,30
77,0,26679,Kevin Stadler,28,37
77,0,27214,Kevin Streelman,28,38
77,0,27770,Camilo Villegas,28,43
77,0,26289,Boo Weekley,28,39
85,0,24507,Jason Bohn,27,31
85,0,29479,Scott Brown,27,42
85,0,24925,Jonathan Byrd,27,35
85,0,30711,Colt Knost,27,34
85,0,27797,Derek Lamely,27,32
85,0,23320,Ryan Palmer,27,33
85,0,20572,Rod Pampling,27,37
85,0,32150,Michael Thompson,27,38
93,0,20098,Stuart Appleby,26,32
93,0,23542,Tommy Biershenk,26,33
93,0,24494,Erik Compton,26,35
93,0,06251,Chris DiMarco,26,38
93,0,25686,Jason Dufner,26,35
93,0,28308,Troy Kelly,26,30
93,0,24361,Pat Perez,26,39
93,0,30692,Scott Stallings,26,42
93,0,25834,Daniel Summerhays,26,38
102,0,20623,Gavin Coles,25,34
102,0,20574,Mathew Goggin,25,32
102,0,24024,Zach Johnson,25,31
102,0,27466,Spencer Levin,25,27
102,0,29221,Webb Simpson,25,29
102,0,22582,Kyle Thompson,25,29
108,0,28259,Sangmoon Bae,24,33
108,0,28089,Jason Day,24,28
108,0,06522,Ernie Els,24,31
108,0,23718,Nathan Green,24,34
108,0,29222,Billy Hurley III,24,28
108,0,29926,Danny Lee,24,34
108,0,25345,Carl Pettersson,24,30
108,0,27556,Ted Potter Jr.,24,46
108,0,25457,Alexandre Rocha,24,32
108,0,27649,Brandt Snedeker,24,30
108,0,23623,Bo Van Pelt,24,29
119,0,20070,Matt Bettencourt,23,33
119,0,28307,Matt Every,23,34
119,0,27060,John Mallinger,23,34
119,0,01797,Rocco Mediate,23,28
119,0,21528,Henrik Stenson,23,31
119,0,23325,Vaughn Taylor,23,34
119,0,30927,Brendon Todd,23,32
119,0,20160,Charlie Wi,23,33
127,0,32102,Rickie Fowler,22,36
127,0,29420,Billy Horschel,22,30
127,0,26300,Matt Jones,22,26
127,0,01810,Phil Mickelson,22,31
127,0,26329,Louis Oosthuizen,22,26
127,0,27963,Chris Stroud,22,29
133,0,32334,Charlie Beljan,21,28
133,0,01116,Michael Bradley,21,28
133,0,20593,Greg Chalmers,21,26
133,0,20229,Stewart Cink,21,30
133,0,21753,Brian Davis,21,32
133,0,24604,Hunter Haas,21,26
133,0,30925,Dustin Johnson,21,24
133,0,24781,Hunter Mahan,21,30
133,0,22046,Geoff Ogilvy,21,28
133,0,01941,Tom Pernice Jr.,21,30
133,0,22405,Justin Rose,21,28
133,0,25892,Steve Wheatcroft,21,24
145,0,23541,Ben Crane,20,31
145,0,33122,Russell Knox,20,25
145,0,35139,Richard Lee,20,22
145,0,22961,David Mathis,20,26
145,0,27302,Garth Mulroy,20,25
145,0,22548,Patrick Sheehan,20,26
145,0,26287,Roland Thatcher,20,31
145,0,02206,David Toms,20,24
153,0,06004,Stephen Ames,19,30
153,0,21407,Arjun Atwal,19,34
153,0,01320,Bob Estes,19,26
153,0,20766,Padraig Harrington,19,23
153,0,25396,Kevin Na,19,24
153,0,24502,Adam Scott,19,27
