RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,25686,Jason Dufner,67.00,469,7
2,0,29289,S.Y. Noh,67.33,404,6
3,0,20160,Charlie Wi,67.50,270,4
4,0,06567,Vijay Singh,67.86,475,7
5,0,34174,John Huh,68.00,136,2
5,0,24502,Adam Scott,68.00,136,2
7,0,23800,Bryce Molder,68.50,274,4
7,0,23623,Bo Van Pelt,68.50,274,4
9,0,06527,Steve Stricker,68.78,619,9
10,0,08725,Tom Gillis,69.00,207,3
10,0,20691,Greg Owen,69.00,483,7
10,0,20572,Rod Pampling,69.00,276,4
10,0,25818,Scott Piercy,69.00,345,5
10,0,26331,Charl Schwartzel,69.00,414,6
10,0,30692,Scott Stallings,69.00,483,7
16,0,23135,Tim Clark,69.20,346,5
17,0,01320,Bob Estes,69.33,208,3
17,0,26596,Ryan Moore,69.33,416,6
17,0,26329,Louis Oosthuizen,69.33,416,6
20,0,24494,Erik Compton,69.40,347,5
20,0,20766,Padraig Harrington,69.40,347,5
20,0,24361,Pat Perez,69.40,347,5
23,0,28307,Matt Every,69.50,278,4
23,0,26287,Roland Thatcher,69.50,278,4
23,0,26951,Johnson Wagner,69.50,278,4
26,0,30711,Colt Knost,69.56,626,9
27,0,30925,Dustin Johnson,69.57,487,7
27,0,26300,Matt Jones,69.57,487,7
29,0,34021,Bud Cauley,69.73,767,11
30,0,10213,Dicky Pride,69.75,279,4
31,0,29420,Billy Horschel,69.80,349,5
32,0,28089,Jason Day,69.83,419,6
32,0,21961,Charles Howell III,69.83,419,6
32,0,23108,Matt Kuchar,69.83,419,6
35,0,23541,Ben Crane,69.86,489,7
36,0,23325,Vaughn Taylor,69.88,559,8
37,0,33141,Keegan Bradley,70.00,560,8
37,0,24924,Bill Haas,70.00,350,5
37,0,26758,David Hearn,70.00,280,4
37,0,24490,George McNeill,70.00,210,3
37,0,27933,John Merrick,70.00,280,4
37,0,25834,Daniel Summerhays,70.00,140,2
37,0,25632,Jimmy Walker,70.00,560,8
37,0,25804,Bubba Watson,70.00,770,11
45,0,28237,Rory McIlroy,70.13,561,8
46,0,01706,Davis Love III,70.17,421,6
47,0,01797,Rocco Mediate,70.20,351,5
48,0,21407,Arjun Atwal,70.25,281,4
48,0,23320,Ryan Palmer,70.25,281,4
50,0,22405,Justin Rose,70.29,492,7
51,0,20593,Greg Chalmers,70.33,211,3
51,0,06522,Ernie Els,70.33,633,9
51,0,24358,Robert Garrigus,70.33,211,3
51,0,08793,Tiger Woods,70.33,422,6
55,0,34099,Harris English,70.38,563,8
56,0,27060,John Mallinger,70.40,352,5
57,0,32102,Rickie Fowler,70.44,634,9
58,0,01249,John Daly,70.50,282,4
58,0,24604,Hunter Haas,70.50,423,6
58,0,25572,Graeme McDowell,70.50,282,4
58,0,29476,Kyle Reifers,70.50,564,8
58,0,27064,Jhonattan Vegas,70.50,564,8
63,0,29221,Webb Simpson,70.56,635,9
64,0,26476,Chez Reavie,70.57,494,7
65,0,27436,Graham DeLaet,70.60,353,5
65,0,20396,Lee Westwood,70.60,353,5
67,0,28455,Will Claxton,70.63,565,8
68,0,20574,Mathew Goggin,70.67,212,3
68,0,19970,Robert Karlsson,70.67,212,3
68,0,25457,Alexandre Rocha,70.67,212,3
71,0,24024,Zach Johnson,70.70,707,10
72,0,12782,Tim Herron,70.71,495,7
73,0,33120,Mark Anderson,70.75,283,4
73,0,24138,Ian Poulter,70.75,283,4
73,0,20645,John Senden,70.75,566,8
76,0,20104,Ken Duke,70.80,354,5
76,0,23353,J.J. Henry,70.80,354,5
76,0,29478,Kevin Kisner,70.80,354,5
76,0,24781,Hunter Mahan,70.80,708,10
80,0,27649,Brandt Snedeker,70.82,779,11
81,0,22913,John Rollins,70.86,496,7
81,0,25562,Andres Romero,70.86,496,7
83,0,23638,Brendon de Jonge,70.88,567,8
84,0,12652,Cameron Beckman,70.90,709,10
84,0,23204,Gary Christian,70.90,709,10
86,0,32366,Kevin Chappell,70.91,780,11
87,0,20850,Daniel Chopra,71.00,71,1
87,0,20623,Gavin Coles,71.00,213,3
87,0,22621,Ben Curtis,71.00,142,2
87,0,23409,James Driscoll,71.00,497,7
87,0,19846,Brian Gay,71.00,497,7
87,0,22348,Nick O'Hern,71.00,497,7
87,0,27214,Kevin Streelman,71.00,426,6
87,0,32150,Michael Thompson,71.00,497,7
87,0,27770,Camilo Villegas,71.00,497,7
96,0,10809,Jim Furyk,71.11,640,9
97,0,22293,Heath Slocum,71.13,569,8
98,0,27120,Troy Matteson,71.14,498,7
98,0,23788,D.J. Trahan,71.14,498,7
100,0,29910,Blake Adams,71.20,712,10
100,0,24140,Sean O'Hair,71.20,356,5
102,0,31558,J.J. Killeen,71.22,641,9
103,0,35139,Richard Lee,71.29,499,7
103,0,27466,Spencer Levin,71.29,499,7
105,0,26679,Kevin Stadler,71.30,713,10
105,0,27095,Nick Watney,71.30,713,10
107,0,24925,Jonathan Byrd,71.33,428,6
107,0,32200,Roberto Castro,71.33,214,3
107,0,32698,Bobby Gates,71.33,428,6
107,0,01810,Phil Mickelson,71.33,856,12
107,0,31323,Gary Woodland,71.33,642,9
112,0,25892,Steve Wheatcroft,71.38,571,8
113,0,20098,Stuart Appleby,71.40,714,10
113,0,31202,William McGirt,71.40,357,5
115,0,01766,Billy Mayfair,71.43,500,7
116,0,06004,Stephen Ames,71.50,143,2
116,0,26851,Marc Leishman,71.50,572,8
118,0,23718,Nathan Green,71.57,501,7
118,0,29926,Danny Lee,71.57,501,7
118,0,22582,Kyle Thompson,71.57,501,7
121,0,21731,Freddie Jacobson,71.60,358,5
121,0,23548,Bill Lunde,71.60,358,5
121,0,27963,Chris Stroud,71.60,358,5
124,0,21209,Sergio Garcia,71.63,573,8
125,0,01116,Michael Bradley,71.67,430,6
125,0,21805,Harrison Frazar,71.67,215,3
125,0,29518,Brendan Steele,71.67,215,3
125,0,26289,Boo Weekley,71.67,430,6
129,0,10860,Justin Leonard,71.71,502,7
130,0,20848,Ángel Cabrera,71.75,574,8
130,0,25345,Carl Pettersson,71.75,287,4
132,0,25396,Kevin Na,71.80,359,5
132,0,33419,Cameron Tringale,71.80,359,5
134,0,32334,Charlie Beljan,71.83,431,6
135,0,21753,Brian Davis,71.88,575,8
136,0,06573,Brandt Jobe,72.00,144,2
136,0,30926,Chris Kirk,72.00,360,5
136,0,33122,Russell Knox,72.00,360,5
136,0,27936,Martin Laird,72.00,432,6
136,0,27302,Garth Mulroy,72.00,288,4
136,0,22548,Patrick Sheehan,72.00,144,2
136,0,30110,Kyle Stanley,72.00,504,7
136,0,21528,Henrik Stenson,72.00,288,4
136,0,21878,Mark Wilson,72.00,504,7
145,0,11123,Chris Couch,72.11,649,9
145,0,28308,Troy Kelly,72.11,649,9
147,0,30944,Jason Kokrak,72.13,577,8
148,0,12510,Chad Campbell,72.14,505,7
149,0,27141,J.B. Holmes,72.17,433,6
150,0,24940,Edward Loar,72.20,361,5
151,0,06251,Chris DiMarco,72.22,650,9
152,0,29222,Billy Hurley III,72.25,289,4
153,0,24357,K.J. Choi,72.33,651,9
154,0,24846,Ricky Barnes,72.44,652,9
155,0,30750,Tommy Gainey,72.45,797,11
156,0,23542,Tommy Biershenk,72.50,435,6
156,0,23983,Luke Donald,72.50,435,6
156,0,30852,Ryo Ishikawa,72.50,290,4
159,0,23903,Stephen Gangluff,72.57,508,7
159,0,27330,Josh Teater,72.57,508,7
161,0,30927,Brendon Todd,72.60,363,5
162,0,27556,Ted Potter Jr.,72.63,581,8
163,0,06036,Scott Dunlap,72.67,218,3
163,0,28500,Martin Flores,72.67,654,9
163,0,23621,Rory Sabbatini,72.67,436,6
166,0,22046,Geoff Ogilvy,72.71,509,7
167,0,28087,Kris Blanks,72.75,291,4
167,0,21350,Ryuji Imada,72.75,291,4
167,0,28475,Jeff Overton,72.75,291,4
170,0,27644,Brian Harman,72.79,1019,14
171,0,24507,Jason Bohn,72.80,364,5
172,0,27797,Derek Lamely,72.83,437,6
173,0,29479,Scott Brown,73.00,292,4
173,0,20229,Stewart Cink,73.00,146,2
173,0,06034,Marco Dawson,73.00,365,5
173,0,27974,Sung Kang,73.00,438,6
177,0,02206,David Toms,73.25,586,8
178,0,28093,Miguel Angel Carballo,73.38,587,8
179,0,01941,Tom Pernice Jr.,73.40,367,5
180,0,22961,David Mathis,73.50,588,8
180,0,24663,Y.E. Yang,73.50,294,4
182,0,27895,Jonas Blixt,73.75,295,4
183,0,10885,Robert Allenby,73.80,369,5
184,0,22378,Trevor Immelman,73.83,443,6
185,0,01724,Jeff Maggert,74.00,444,6
185,0,25240,D.A. Points,74.00,222,3
187,0,28259,Sangmoon Bae,74.13,593,8
188,0,08075,Jerry Kelly,74.33,223,3
189,0,20070,Matt Bettencourt,74.50,447,6
190,0,22371,Aaron Baddeley,75.00,150,2
