RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK
1,0,34021,Bud Cauley,6' 11",574.583,83,165
1,0,28089,Jason Day,6' 11",657.667,95,27
1,0,22405,Justin Rose,6' 11",407.167,59,35
1,0,28310,Lee Williams,6' 11",565.083,82,7
5,0,25274,Steven Bowditch,7' 1",672.333,95,17
5,0,10860,Justin Leonard,7' 1",687.583,97,72
5,0,20443,Jin Park,7' 1",445.417,63,65
8,0,20160,Charlie Wi,7' 2",884.167,123,47
8,0,26497,Casey Wittenberg,7' 2",652.083,91,37
10,0,23983,Luke Donald,7' 3",427.667,59,22
11,0,01320,Bob Estes,7' 4",629.083,86,1
11,0,08725,Tom Gillis,7' 4",707.500,96,44
11,0,19970,Robert Karlsson,7' 4",408.667,56,100
11,0,10423,Mike Weir,7' 4",706.000,96,70
15,0,32366,Kevin Chappell,7' 7",650.083,86,81
15,0,20229,Stewart Cink,7' 7",626.750,83,164
17,0,20098,Stuart Appleby,7' 8",824.667,108,4
17,0,24357,K.J. Choi,7' 8",746.500,97,13
17,0,23541,Ben Crane,7' 8",664.583,87,9
17,0,22295,Darron Stiles,7' 8",497.750,65,29
21,0,32200,Roberto Castro,7' 9",871.583,112,26
21,0,10809,Jim Furyk,7' 9",723.917,93,57
21,0,19846,Brian Gay,7' 9",870.417,112,10
21,0,23108,Matt Kuchar,7' 9",863.000,111,12
21,0,34046,Jordan Spieth,7' 9",691.750,89,31
26,0,21099,David Lynn,7' 10",526.417,67,38
26,0,01810,Phil Mickelson,7' 10",727.000,93,78
26,0,24502,Adam Scott,7' 10",531.167,68,119
26,0,21528,Henrik Stenson,7' 10",439.250,56,102
26,0,21878,Mark Wilson,7' 10",561.333,72,27
31,0,32102,Rickie Fowler,7' 11",614.417,78,56
31,0,12782,Tim Herron,7' 11",553.667,70,117
31,0,06567,Vijay Singh,7' 11",625.000,79,103
31,0,27770,Camilo Villegas,7' 11",640.500,81,123
35,0,29740,Brad Fritsch,8' 0",911.583,114,136
36,0,21753,Brian Davis,8' 1",1066.083,132,73
37,0,27895,Jonas Blixt,8' 2",925.917,113,24
37,0,28092,D.H. Lee,8' 2",701.417,86,89
37,0,25240,D.A. Points,8' 2",910.250,111,129
40,0,28500,Martin Flores,8' 3",949.250,115,15
40,0,33461,Morgan Hoffmann,8' 3",595.000,72,85
40,0,31202,William McGirt,8' 3",848.417,103,39
43,0,20593,Greg Chalmers,8' 4",869.583,104,63
43,0,21731,Freddie Jacobson,8' 4",602.000,72,54
45,0,32448,James Hahn,8' 5",752.500,89,128
45,0,20766,Padraig Harrington,8' 5",446.333,53,113
45,0,35139,Richard Lee,8' 5",908.000,108,11
45,0,29221,Webb Simpson,8' 5",697.500,83,86
45,0,27330,Josh Teater,8' 5",765.417,91,157
45,0,08793,Tiger Woods,8' 5",570.917,68,46
45,0,24663,Y.E. Yang,8' 5",642.500,76,110
52,0,26331,Charl Schwartzel,8' 6",945.333,111,140
52,0,27649,Brandt Snedeker,8' 6",757.667,89,33
52,0,33419,Cameron Tringale,8' 6",830.417,98,20
52,0,25632,Jimmy Walker,8' 6",975.083,115,36
56,0,29479,Scott Brown,8' 7",696.333,81,130
56,0,26300,Matt Jones,8' 7",832.667,97,8
56,0,20572,Rod Pampling,8' 7",456.500,53,127
56,0,25336,Alistair Presnell,8' 7",585.750,68,101
56,0,33418,Shawn Stefani,8' 7",730.750,85,79
