RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX HEIGHT,TOTAL ATTEMPTS
1,0,33141,Keegan Bradley,130' 0",80480' 8",619
2,0,33948,Byeong Hun An,125' 0",78242' 7",626
3,-1,52955,Ludvig Åberg,124' 3",71815' 3",578
4,0,60767,Blaine Hale Jr.,122' 7",50138' 9",409
5,0,47995,Davis Riley,121' 9",81838' 2",672
6,0,37378,Min Woo Lee,121' 0",56736' 0",469
7,1,33653,Thomas Detry,120' 7",69105' 6",573
8,2,32102,Rickie Fowler,120' 2",64526' 4",537
9,0,48867,Matti Schmid,119' 11",63312' 10",528
10,-3,32366,Kevin Chappell,119' 10",53322' 4",445
11,0,56149,Wilson Furr,119' 7",52490' 7",439
12,3,28089,Jason Day,118' 8",63709' 5",537
13,0,59143,Mac Meissner,118' 7",69615' 8",587
13,-1,50484,Hayden Springer,118' 7",69026' 2",582
15,-1,52666,Sami Valimaki,118' 4",60702' 2",513
16,3,40250,Taylor Pendrith,117' 8",86593' 0",736
17,4,59095,Chris Gotterup,117' 4",67226' 8",573
18,-2,55893,Sam Stevens,117' 3",92894' 1",792
19,-1,48084,Wesley Bryan,116' 6",45204' 8",388
20,-3,29221,Webb Simpson,116' 3",49398' 2",425
21,4,36799,Stephan Jaeger,115' 4",85791' 2",744
22,1,51766,Wyndham Clark,115' 3",55901' 4",485
22,-2,34587,Chan Kim,115' 3",70892' 3",615
24,-2,39546,Keith Mitchell,114' 9",87538' 0",763
25,3,57366,Cameron Young,114' 8",76235' 0",665
26,-2,55708,Hayden Buckley,114' 1",69945' 3",613
27,2,34255,Joseph Bramlett,113' 11",76337' 6",670
28,-2,27330,Josh Teater,113' 9",46865' 4",412
29,5,35506,Mackenzie Hughes,113' 8",93536' 3",823
29,1,22405,Justin Rose,113' 8",53297' 4",469
31,6,29725,Tony Finau,113' 3",71917' 1",635
32,0,47504,Sam Burns,113' 0",65064' 4",576
32,-6,52372,Cameron Champ,113' 0",43834' 3",388
32,3,45157,Cam Davis,113' 0",67013' 9",593
35,-2,28237,Rory McIlroy,112' 9",47248' 10",419
35,-4,51890,Greyson Sigg,112' 9",75002' 6",665
37,-2,58168,Davis Thompson,112' 7",81287' 2",722
38,0,33408,Tyson Alexander,111' 11",66908' 2",598
38,0,47663,Kevin Dougherty,111' 11",57988' 10",518
40,0,47591,Eric Cole,111' 3",100533' 4",904
41,0,30911,Tommy Fleetwood,111' 2",59255' 1",533
42,-1,50497,Adrien Dumont de Chassart,111' 0",65817' 2",593
43,0,54421,Garrick Higgo,110' 9",69897' 5",631
44,0,51696,Rico Hoey,110' 4",64873' 1",588
44,2,50188,S.H. Kim,110' 4",90440' 6",820
46,5,34099,Harris English,110' 2",70594' 4",641
47,-2,46113,Ryan McCormick,109' 11",47708' 3",434
47,1,31323,Gary Woodland,109' 11",60655' 9",552
49,-3,55454,Carl Yuan,109' 10",57453' 1",523
50,-1,35461,Beau Hossler,109' 9",87773' 6",800
51,-2,54591,Ben Griffin,109' 6",79297' 7",724
52,2,45609,Tyler Duncan,109' 5",64011' 10",585
52,-1,34046,Jordan Spieth,109' 5",66541' 7",608
54,-3,48887,Matt Wallace,109' 4",58495' 0",535
55,3,47483,Will Zalatoris,109' 2",53620' 2",491
56,0,33204,Shane Lowry,108' 9",66671' 10",613
57,-2,39975,Michael Kim,108' 8",70184' 6",646
58,-1,30926,Chris Kirk,108' 7",72629' 11",669
59,0,48153,Matthieu Pavon,107' 11",56437' 1",523
60,0,47988,Nick Hardy,107' 8",83256' 11",773
61,0,26476,Chez Reavie,107' 5",61982' 11",577
62,0,50493,Justin Suh,107' 2",64074' 5",598
63,0,59836,Pierceson Coody,107' 0",66878' 6",625
64,-1,32367,Jorge Campillo,106' 11",38385' 3",359
64,4,35450,Patrick Cantlay,106' 11",58503' 11",547
66,0,47983,Chad Ramey,106' 7",68442' 5",642
67,-1,29420,Billy Horschel,106' 6",70593' 11",663
68,-3,45242,Kevin Yu,106' 5",67142' 2",631
69,0,51287,Ryo Hisatsune,105' 11",72745' 4",687
70,0,37212,Paul Barjon,105' 9",42621' 2",403
71,-1,60067,Joe Highsmith,105' 5",63973' 6",607
72,1,33399,Adam Hadwin,105' 4",72550' 4",689
72,4,46717,Viktor Hovland,105' 4",52444' 9",498
74,0,34374,Erik Barnes,105' 3",46929' 3",446
74,-2,36871,Matt NeSmith,105' 3",63136' 1",600
76,-2,24024,Zach Johnson,105' 2",48585' 4",462
76,5,48117,Kurt Kitayama,105' 2",45440' 3",432
78,-1,33486,Roger Sloan,104' 10",64134' 11",612
79,-1,57975,Harry Hall,104' 9",67751' 11",647
80,-2,50095,Austin Smotherman,104' 8",43129' 1",412
81,-3,59866,Nick Dunlap,104' 6",55683' 2",533
82,0,27649,Brandt Snedeker,104' 3",60453' 11",580
83,0,33968,Thorbjørn Olesen,104' 0",35565' 8",342
84,2,52453,Nicolai Højgaard,103' 11",41053' 11",395
85,-2,32640,Troy Merritt,103' 9",65789' 11",634
86,-3,34021,Bud Cauley,103' 7",55414' 2",535
87,0,33448,Justin Thomas,103' 6",48425' 11",468
88,0,12716,Charley Hoffman,103' 5",57722' 9",558
89,0,23320,Ryan Palmer,103' 4",40181' 8",389
89,1,49960,Sepp Straka,103' 4",61885' 9",599
91,-1,32757,Patton Kizzire,103' 2",54390' 2",527
91,8,47420,Jake Knapp,103' 2",69458' 4",673
91,1,40006,Erik van Rooyen,103' 2",70054' 7",679
94,-1,57362,Austin Eckroat,102' 9",75495' 2",735
95,0,57900,Chandler Phillips,102' 6",77506' 4",756
96,-2,51349,Nico Echavarria,102' 2",68978' 8",675
96,0,51977,Max Greyserman,102' 2",52701' 5",516
96,0,51997,Andrew Novak,102' 2",73976' 5",724
99,-1,39324,J.J. Spaun,102' 0",70875' 2",695
100,0,46046,Scottie Scheffler,101' 7",60925' 4",600
101,2,52514,Trace Crowe,101' 2",61619' 6",609
102,-1,24502,Adam Scott,101' 0",57971' 11",574
103,6,27129,Luke List,100' 10",61698' 8",612
103,3,27349,Alex Noren,100' 10",49426' 11",490
103,1,27214,Kevin Streelman,100' 10",55645' 2",552
106,0,28420,Ryan Brehm,100' 9",46639' 9",463
106,-4,50525,Collin Morikawa,100' 9",56703' 2",563
108,-3,49947,Taylor Moore,100' 8",81612' 7",811
109,-3,56630,Akshay Bhatia,100' 6",79000' 0",786
109,2,32839,Hideki Matsuyama,100' 6",57305' 7",570
111,-2,39977,Max Homa,100' 5",55815' 9",556
