RANK,MOVEMENT,PLAYER_ID,PLAYER,RATING
1,0,07867,Woody Austin,8.5
1,0,35545,Blayne Barber,8.5
1,0,21646,David Branshaw,8.5
4,0,01024,Billy Andrade,8.4
5,0,21498,Hideto Tanihara,8.3
6,0,27896,Ross Fisher,8.1
6,0,10733,Kent Jones,8.1
8,0,08931,Glen Day,8.0
9,0,06621,Joe Durant,7.9
9,0,32139,Danny Willett,7.9
11,0,10809,Jim Furyk,7.8
11,0,26733,John Kimbell,7.8
11,0,01945,Kenny Perry,7.8
11,0,26476,Chez Reavie,7.8
11,0,20127,Chris Riley,7.8
11,0,22405,Justin Rose,7.8
11,0,24459,Richard Sterne,7.8
11,0,21878,Mark Wilson,7.8
19,0,24846,Ricky Barnes,7.7
19,0,23204,Gary Christian,7.7
19,0,19958,Miguel Angel Jiménez,7.7
19,0,36884,Ben Kohles,7.7
19,0,20634,Peter Lonard,7.7
19,0,22293,Heath Slocum,7.7
19,0,21951,Joey Snyder III,7.7
19,0,22295,Darron Stiles,7.7
19,0,02256,Tom Watson,7.7
28,0,01116,Michael Bradley,7.6
28,0,22913,John Rollins,7.6
28,0,29223,Sam Saunders,7.6
28,0,30110,Kyle Stanley,7.6
28,0,28780,Nicholas Thompson,7.6
28,0,28118,Peter Tomasulo,7.6
28,0,27095,Nick Watney,7.6
35,0,12652,Cameron Beckman,7.5
35,0,24357,K.J. Choi,7.5
35,0,24358,Robert Garrigus,7.5
35,0,25444,Justin Hicks,7.5
35,0,24024,Zach Johnson,7.5
35,0,39975,Michael Kim,7.5
35,0,33122,Russell Knox,7.5
35,0,32839,Hideki Matsuyama,7.5
35,0,20691,Greg Owen,7.5
35,0,23623,Bo Van Pelt,7.5
35,0,08793,Tiger Woods,7.5
46,0,24461,Thomas Aiken,7.4
46,0,35450,Patrick Cantlay,7.4
46,0,31557,Jim Herman,7.4
46,0,01724,Jeff Maggert,7.4
46,0,25198,Francesco Molinari,7.4
46,0,22348,Nick O'Hern,7.4
46,0,27556,Ted Potter Jr.,7.4
46,0,06527,Steve Stricker,7.4
46,0,02206,David Toms,7.4
55,0,23135,Tim Clark,7.3
55,0,06034,Marco Dawson,7.3
55,0,23638,Brendon de Jonge,7.3
55,0,27436,Graham DeLaet,7.3
55,0,34174,John Huh,7.3
55,0,08075,Jerry Kelly,7.3
55,0,34409,David Lingmerth,7.3
55,0,33204,Shane Lowry,7.3
55,0,24490,George McNeill,7.3
55,0,26596,Ryan Moore,7.3
55,0,27349,Alex Noren,7.3
55,0,23621,Rory Sabbatini,7.3
55,0,06567,Vijay Singh,7.3
55,0,26679,Kevin Stadler,7.3
55,0,08375,Paul Stankowski,7.3
55,0,21528,Henrik Stenson,7.3
55,0,27214,Kevin Streelman,7.3
55,0,26289,Boo Weekley,7.3
55,0,24663,Y.E. Yang,7.3
74,0,24507,Jason Bohn,7.2
74,0,34021,Bud Cauley,7.2
74,0,21753,Brian Davis,7.2
74,0,25686,Jason Dufner,7.2
74,0,30925,Dustin Johnson,7.2
74,0,26300,Matt Jones,7.2
74,0,30926,Chris Kirk,7.2
74,0,01706,Davis Love III,7.2
74,0,01766,Billy Mayfair,7.2
74,0,23320,Ryan Palmer,7.2
74,0,26331,Charl Schwartzel,7.2
74,0,07013,Wes Short Jr.,7.2
74,0,27649,Brandt Snedeker,7.2
74,0,34046,Jordan Spieth,7.2
74,0,30692,Scott Stallings,7.2
74,0,20580,Andre Stolz,7.2
74,0,31560,Brian Stuard,7.2
74,0,26668,Marc Turnesa,7.2
74,0,37460,Jeremiah Wooding,7.2
93,0,21407,Arjun Atwal,7.1
93,0,32200,Roberto Castro,7.1
93,0,32366,Kevin Chappell,7.1
93,0,01388,Robert Gamez,7.1
93,0,25900,Lucas Glover,7.1
93,0,26758,David Hearn,7.1
93,0,30852,Ryo Ishikawa,7.1
93,0,06573,Brandt Jobe,7.1
93,0,19970,Robert Karlsson,7.1
93,0,27408,Martin Kaymer,7.1
93,0,28092,D.H. Lee,7.1
93,0,25572,Graeme McDowell,7.1
93,0,23800,Bryce Molder,7.1
93,0,26329,Louis Oosthuizen,7.1
93,0,36699,Patrick Rodgers,7.1
93,0,24502,Adam Scott,7.1
93,0,29221,Webb Simpson,7.1
93,0,23325,Vaughn Taylor,7.1
93,0,26951,Johnson Wagner,7.1
93,0,20396,Lee Westwood,7.1
113,0,33120,Mark Anderson,7.0
113,0,31627,Todd Baek,7.0
113,0,10505,Shane Bertsch,7.0
113,0,20229,Stewart Cink,7.0
113,0,28455,Will Claxton,7.0
113,0,23983,Luke Donald,7.0
113,0,24924,Bill Haas,7.0
113,0,32448,James Hahn,7.0
113,0,22378,Trevor Immelman,7.0
113,0,27503,Steve LeBrun,7.0
113,0,22961,David Mathis,7.0
113,0,24361,Pat Perez,7.0
113,0,24138,Ian Poulter,7.0
113,0,23497,Tag Ridings,7.0
113,0,33911,Nate Smith,7.0
113,0,30927,Brendon Todd,7.0
113,0,12602,Dean Wilson,7.0
130,0,33141,Keegan Bradley,6.9
130,0,12510,Chad Campbell,6.9
130,0,01203,Russ Cochran,6.9
130,0,23409,James Driscoll,6.9
130,0,20104,Ken Duke,6.9
130,0,06522,Ernie Els,6.9
130,0,01320,Bob Estes,6.9
130,0,29740,Brad Fritsch,6.9
130,0,20376,Stephen Gallacher,6.9
130,0,21209,Sergio Garcia,6.9
130,0,24399,Scott Gardiner,6.9
130,0,35901,Paul Haley II,6.9
130,0,01619,Skip Kendall,6.9
130,0,21099,David Lynn,6.9
130,0,35541,John Peterson,6.9
130,0,01948,Tim Petrovic,6.9
130,0,25240,D.A. Points,6.9
130,0,33486,Roger Sloan,6.9
130,0,06595,Kevin Sutherland,6.9
130,0,23788,D.J. Trahan,6.9
130,0,27770,Camilo Villegas,6.9
130,0,25804,Bubba Watson,6.9
130,0,25892,Steve Wheatcroft,6.9
130,0,31323,Gary Woodland,6.9
154,0,10885,Robert Allenby,6.8
154,0,32334,Charlie Beljan,6.8
154,0,24227,Justin Bolli,6.8
154,0,23452,Nicolas Colsaerts,6.8
154,0,32800,Franklin Corpening,6.8
154,0,34099,Harris English,6.8
154,0,28307,Matt Every,6.8
154,0,32102,Rickie Fowler,6.8
154,0,20157,Retief Goosen,6.8
154,0,24604,Hunter Haas,6.8
154,0,27644,Brian Harman,6.8
154,0,34098,Russell Henley,6.8
154,0,23108,Matt Kuchar,6.8
154,0,35139,Richard Lee,6.8
154,0,24781,Hunter Mahan,6.8
154,0,27060,John Mallinger,6.8
154,0,28237,Rory McIlroy,6.8
154,0,27933,John Merrick,6.8
154,0,25863,Rod Perry,6.8
154,0,34431,Robert Streb,6.8
154,0,25834,Daniel Summerhays,6.8
154,0,27330,Josh Teater,6.8
176,0,20098,Stuart Appleby,6.7
176,0,28259,Sangmoon Bae,6.7
176,0,10944,Thomas Bjørn,6.7
176,0,01142,Bart Bryant,6.7
176,0,01226,Fred Couples,6.7
176,0,22621,Ben Curtis,6.7
176,0,08725,Tom Gillis,6.7
176,0,29720,Andres Gonzales,6.7
176,0,20105,Jeff Gove,6.7
176,0,29930,Mike Hendry,6.7
176,0,30711,Colt Knost,6.7
176,0,28300,Joost Luiten,6.7
176,0,23548,Bill Lunde,6.7
176,0,10213,Dicky Pride,6.7
176,0,29476,Kyle Reifers,6.7
176,0,29518,Brendan Steele,6.7
176,0,27963,Chris Stroud,6.7
176,0,29425,Andrew Svoboda,6.7
176,0,36471,Guan Tian Liang,6.7
195,0,27796,Joe Affrunti,6.6
