RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE
1,0,24781,Hunter Mahan,187
2,0,20098,Stuart Appleby,163
3,0,06522,Ernie Els,154
4,0,23983,Luke Donald,151
5,0,27214,Kevin Streelman,121
6,0,33141,Keegan Bradley,112
7,0,29221,Webb Simpson,109
8,0,35139,Richard Lee,108
9,0,10213,Dicky Pride,102
10,0,31202,William McGirt,101
11,0,23325,Vaughn Taylor,88
12,0,27649,Brandt Snedeker,86
13,0,33419,Cameron Tringale,84
14,0,23621,Rory Sabbatini,79
15,0,10860,Justin Leonard,75
16,0,22371,Aaron Baddeley,74
17,0,21099,David Lynn,71
17,0,25562,Andres Romero,71
19,0,10809,Jim Furyk,68
20,0,34098,Russell Henley,63
20,0,08793,Tiger Woods,63
22,0,24357,K.J. Choi,62
23,0,26300,Matt Jones,59
24,0,34046,Jordan Spieth,58
25,0,21731,Freddie Jacobson,56
26,0,24663,Y.E. Yang,53
27,0,21209,Sergio Garcia,51
28,0,23353,J.J. Henry,49
28,0,28237,Rory McIlroy,49
28,0,26596,Ryan Moore,49
28,0,23320,Ryan Palmer,49
32,0,32366,Kevin Chappell,48
33,0,27644,Brian Harman,47
34,0,26679,Kevin Stadler,46
35,0,27770,Camilo Villegas,45
36,0,25686,Jason Dufner,44
36,0,27936,Martin Laird,44
38,0,26951,Johnson Wagner,42
39,0,25632,Jimmy Walker,41
40,0,27895,Jonas Blixt,40
40,0,22621,Ben Curtis,40
42,0,32200,Roberto Castro,39
42,0,34099,Harris English,39
44,0,20104,Ken Duke,37
44,0,22913,John Rollins,37
46,0,26331,Charl Schwartzel,36
46,0,23623,Bo Van Pelt,36
48,0,06527,Steve Stricker,35
49,0,22056,Cameron Percy,33
50,0,20848,Ángel Cabrera,32
51,0,31323,Gary Woodland,31
52,0,37273,Derek Ernst,30
52,0,29420,Billy Horschel,30
52,0,27330,Josh Teater,30
55,0,32698,Bobby Gates,29
55,0,01810,Phil Mickelson,29
57,0,06573,Brandt Jobe,28
57,0,28475,Jeff Overton,28
59,0,25444,Justin Hicks,27
60,0,30711,Colt Knost,26
60,0,20572,Rod Pampling,26
62,0,27408,Martin Kaymer,25
62,0,22806,Doug LaBelle II,25
62,0,20443,Jin Park,25
62,0,26476,Chez Reavie,25
62,0,02206,David Toms,25
62,0,10423,Mike Weir,25
68,0,34431,Robert Streb,24
68,0,32150,Michael Thompson,24
70,0,23108,Matt Kuchar,23
70,0,23800,Bryce Molder,23
72,0,28089,Jason Day,22
72,0,20766,Padraig Harrington,22
72,0,34261,Scott Langley,22
72,0,24490,George McNeill,22
76,0,23409,James Driscoll,21
76,0,29740,Brad Fritsch,21
76,0,22792,Peter Hanson,21
76,0,30163,Henrik Norlander,21
80,0,21753,Brian Davis,20
80,0,23638,Brendon de Jonge,20
80,0,28092,D.H. Lee,20
80,0,20691,Greg Owen,20
84,0,20593,Greg Chalmers,19
85,0,28259,Sangmoon Bae,18
85,0,21961,Charles Howell III,18
85,0,21528,Henrik Stenson,18
88,0,01320,Bob Estes,17
89,0,22046,Geoff Ogilvy,16
89,0,25818,Scott Piercy,16
89,0,25240,D.A. Points,16
89,0,29518,Brendan Steele,16
93,0,28679,Fabián Gómez,15
93,0,26758,David Hearn,15
93,0,24024,Zach Johnson,15
93,0,22295,Darron Stiles,15
93,0,28780,Nicholas Thompson,15
98,0,19846,Brian Gay,14
98,0,33461,Morgan Hoffmann,14
98,0,28135,Aaron Watkins,14
101,0,24846,Ricky Barnes,13
101,0,28455,Will Claxton,13
101,0,24358,Robert Garrigus,13
101,0,12782,Tim Herron,13
101,0,19970,Robert Karlsson,13
101,0,26851,Marc Leishman,13
107,0,12510,Chad Campbell,12
107,0,24924,Bill Haas,12
109,0,10885,Robert Allenby,11
109,0,24507,Jason Bohn,11
109,0,24494,Erik Compton,11
109,0,30944,Jason Kokrak,11
109,0,24138,Ian Poulter,11
109,0,33418,Shawn Stefani,11
115,0,29479,Scott Brown,10
115,0,27095,Nick Watney,10
115,0,26497,Casey Wittenberg,10
118,0,30750,Tommy Gainey,9
118,0,08075,Jerry Kelly,9
118,0,31560,Brian Stuard,9
121,0,34360,Patrick Reed,8
121,0,20396,Lee Westwood,8
123,0,27436,Graham DeLaet,7
123,0,28307,Matt Every,7
123,0,35539,Luke Guthrie,7
123,0,32448,James Hahn,7
123,0,31557,Jim Herman,7
123,0,22961,David Mathis,7
123,0,27556,Ted Potter Jr.,7
123,0,20645,John Senden,7
123,0,23788,D.J. Trahan,7
123,0,26289,Boo Weekley,7
133,0,25274,Steven Bowditch,6
133,0,24399,Scott Gardiner,6
133,0,36884,Ben Kohles,6
133,0,27120,Troy Matteson,6
133,0,24140,Sean O'Hair,6
133,0,25834,Daniel Summerhays,6
133,0,25804,Bubba Watson,6
133,0,21878,Mark Wilson,6
141,0,01116,Michael Bradley,5
141,0,20229,Stewart Cink,5
141,0,34409,David Lingmerth,5
141,0,33869,Eric Meierdierks,5
141,0,29425,Andrew Svoboda,5
146,0,06004,Stephen Ames,4
146,0,24227,Justin Bolli,4
146,0,23452,Nicolas Colsaerts,4
146,0,08725,Tom Gillis,4
146,0,12716,Charley Hoffman,4
146,0,30926,Chris Kirk,4
146,0,25572,Graeme McDowell,4
146,0,27933,John Merrick,4
146,0,06567,Vijay Singh,4
146,0,30110,Kyle Stanley,4
156,0,23135,Tim Clark,3
156,0,34174,John Huh,3
156,0,22405,Justin Rose,3
156,0,28310,Lee Williams,3
160,0,32334,Charlie Beljan,2
160,0,23541,Ben Crane,2
160,0,25900,Lucas Glover,2
160,0,29289,S.Y. Noh,2
160,0,23497,Tag Ridings,2
160,0,27963,Chris Stroud,2
166,0,34021,Bud Cauley,1
166,0,28500,Martin Flores,1
166,0,30852,Ryo Ishikawa,1
166,0,30925,Dustin Johnson,1
166,0,24361,Pat Perez,1
166,0,25345,Carl Pettersson,1
166,0,24502,Adam Scott,1
166,0,20160,Charlie Wi,1
