RANK,MOVEMENT,PLAYER_ID,PLAYER,RATING
1,0,35459,Chris Williams,8.1
2,0,33199,Matteo Manassero,8.0
3,0,23063,Scott Hend,7.6
4,0,28089,Jason Day,7.5
5,0,34262,Jon Curran,7.4
6,0,35450,Patrick Cantlay,7.3
6,0,46435,Austin Cook,7.3
6,0,19970,Robert Karlsson,7.3
6,0,27466,Spencer Levin,7.3
6,0,06527,Steve Stricker,7.3
6,0,37365,Brady Watt,7.3
12,0,10944,Thomas Bjørn,7.2
12,0,33141,Keegan Bradley,7.2
12,0,28937,George Coetzee,7.2
12,0,29740,Brad Fritsch,7.2
12,0,23108,Matt Kuchar,7.2
12,0,10860,Justin Leonard,7.2
12,0,23800,Bryce Molder,7.2
12,0,46046,Scottie Scheffler,7.2
20,0,26499,Rafa Cabrera Bello,7.1
20,0,25396,Kevin Na,7.1
20,0,36699,Patrick Rodgers,7.1
20,0,22405,Justin Rose,7.1
20,0,10423,Mike Weir,7.1
25,0,20098,Stuart Appleby,7.0
25,0,24924,Bill Haas,7.0
25,0,34563,Chesson Hadley,7.0
25,0,20608,David Howell,7.0
25,0,06567,Vijay Singh,7.0
25,0,20160,Charlie Wi,7.0
31,0,06621,Joe Durant,6.9
31,0,24956,Mikko Ilonen,6.9
31,0,32878,Jin Jeong,6.9
31,0,33204,Shane Lowry,6.9
31,0,34265,Will Wilcox,6.9
36,0,28259,Sangmoon Bae,6.8
36,0,26949,Josh Broadaway,6.8
36,0,34021,Bud Cauley,6.8
36,0,27436,Graham DeLaet,6.8
36,0,25686,Jason Dufner,6.8
36,0,10809,Jim Furyk,6.8
36,0,01577,Lee Janzen,6.8
36,0,24024,Zach Johnson,6.8
36,0,30926,Chris Kirk,6.8
36,0,29670,Pablo Larrazabal,6.8
36,0,34579,Alexander Levy,6.8
36,0,25572,Graeme McDowell,6.8
36,0,24140,Sean O'Hair,6.8
36,0,27556,Ted Potter Jr.,6.8
36,0,29221,Webb Simpson,6.8
36,0,34046,Jordan Spieth,6.8
36,0,21498,Hideto Tanihara,6.8
36,0,22000,Chris Wood,6.8
36,0,29939,Fabrizio Zanotti,6.8
55,0,33120,Mark Anderson,6.7
55,0,27895,Jonas Blixt,6.7
55,0,32200,Roberto Castro,6.7
55,0,24357,K.J. Choi,6.7
55,0,29253,Jeff Curl,6.7
55,0,21753,Brian Davis,6.7
55,0,23983,Luke Donald,6.7
55,0,28339,Victor Dubuisson,6.7
55,0,20157,Retief Goosen,6.7
55,0,20766,Padraig Harrington,6.7
55,0,12782,Tim Herron,6.7
55,0,21731,Freddie Jacobson,6.7
55,0,24511,Thongchai Jaidee,6.7
55,0,35139,Richard Lee,6.7
55,0,01810,Phil Mickelson,6.7
55,0,25198,Francesco Molinari,6.7
55,0,22046,Geoff Ogilvy,6.7
55,0,34360,Patrick Reed,6.7
55,0,27649,Brandt Snedeker,6.7
55,0,33448,Justin Thomas,6.7
55,0,26951,Johnson Wagner,6.7
