RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL
1,0,25632,Jimmy Walker,401
2,0,27644,Brian Harman,389
2,0,34046,Jordan Spieth,389
4,0,21961,Charles Howell III,387
5,0,30926,Chris Kirk,383
5,0,30927,Brendon Todd,383
7,0,24924,Bill Haas,374
8,0,33419,Cameron Tringale,372
9,0,32366,Kevin Chappell,367
10,0,33461,Morgan Hoffmann,366
11,0,12716,Charley Hoffman,362
12,0,29479,Scott Brown,361
13,0,23638,Brendon de Jonge,359
14,0,27770,Camilo Villegas,353
15,0,34099,Harris English,349
16,0,24024,Zach Johnson,347
16,0,25396,Kevin Na,347
18,0,25444,Justin Hicks,342
18,0,27963,Chris Stroud,342
20,0,28486,Michael Putnam,341
20,0,20645,John Senden,341
22,0,25834,Daniel Summerhays,338
23,0,33141,Keegan Bradley,336
23,0,26758,David Hearn,336
23,0,23108,Matt Kuchar,336
23,0,31323,Gary Woodland,336
27,0,31202,William McGirt,335
28,0,23320,Ryan Palmer,334
29,0,32102,Rickie Fowler,330
30,0,34098,Russell Henley,325
31,0,20098,Stuart Appleby,324
32,0,29420,Billy Horschel,323
32,0,34261,Scott Langley,323
34,0,31560,Brian Stuard,322
35,0,27141,J.B. Holmes,321
35,0,29289,S.Y. Noh,321
35,0,26679,Kevin Stadler,321
38,0,26596,Ryan Moore,319
39,0,21731,Freddie Jacobson,317
39,0,25345,Carl Pettersson,317
41,0,25274,Steven Bowditch,315
41,0,29221,Webb Simpson,315
43,0,34360,Patrick Reed,314
44,0,21753,Brian Davis,313
45,0,33122,Russell Knox,312
46,0,32839,Hideki Matsuyama,311
47,0,35539,Luke Guthrie,310
48,0,29478,Kevin Kisner,309
49,0,24846,Ricky Barnes,308
49,0,28307,Matt Every,308
49,0,34563,Chesson Hadley,308
52,0,24358,Robert Garrigus,307
53,0,29518,Brendan Steele,306
54,0,20229,Stewart Cink,303
54,0,27649,Brandt Snedeker,303
56,0,27436,Graham DeLaet,298
57,0,20157,Retief Goosen,297
57,0,29926,Danny Lee,297
59,0,24781,Hunter Mahan,295
60,0,24494,Erik Compton,294
60,0,24490,George McNeill,294
62,0,29535,Brice Garnett,293
62,0,08075,Jerry Kelly,293
62,0,24912,Will MacKenzie,293
62,0,28237,Rory McIlroy,293
66,0,30852,Ryo Ishikawa,292
67,0,25804,Bubba Watson,289
68,0,24502,Adam Scott,288
69,0,24361,Pat Perez,286
70,0,28500,Martin Flores,284
71,0,26300,Matt Jones,283
71,0,26851,Marc Leishman,283
71,0,27330,Josh Teater,283
71,0,23623,Bo Van Pelt,283
75,0,27214,Kevin Streelman,281
76,0,28259,Sangmoon Bae,280
76,0,33413,Ben Martin,280
78,0,24507,Jason Bohn,277
78,0,20593,Greg Chalmers,277
80,0,23621,Rory Sabbatini,276
81,0,25191,Gonzalo Fernandez-Castaño,275
81,0,10809,Jim Furyk,275
83,0,28475,Jeff Overton,273
83,0,30110,Kyle Stanley,273
85,0,29222,Billy Hurley III,272
86,0,25562,Andres Romero,271
86,0,32150,Michael Thompson,271
86,0,28132,Tyrone Van Aswegen,271
89,0,27933,John Merrick,269
89,0,06567,Vijay Singh,269
91,0,24357,K.J. Choi,268
92,0,01810,Phil Mickelson,266
92,0,27095,Nick Watney,266
94,0,10885,Robert Allenby,264
94,0,23541,Ben Crane,264
94,0,22046,Geoff Ogilvy,264
94,0,29425,Andrew Svoboda,264
98,0,34174,John Huh,263
99,0,23353,J.J. Henry,262
100,0,34431,Robert Streb,261
101,0,20104,Ken Duke,260
102,0,06522,Ernie Els,259
102,0,27064,Jhonattan Vegas,259
102,0,25349,Tim Wilkinson,259
105,0,22405,Justin Rose,256
106,0,22371,Aaron Baddeley,255
106,0,35139,Richard Lee,255
106,0,34409,David Lingmerth,255
109,0,20848,Ángel Cabrera,254
110,0,32448,James Hahn,251
111,0,32334,Charlie Beljan,250
111,0,23135,Tim Clark,250
113,0,26331,Charl Schwartzel,249
114,0,30944,Jason Kokrak,246
115,0,30750,Tommy Gainey,245
116,0,24925,Jonathan Byrd,243
117,0,22378,Trevor Immelman,242
117,0,24140,Sean O'Hair,242
117,0,28780,Nicholas Thompson,242
120,0,19846,Brian Gay,241
120,0,24663,Y.E. Yang,241
122,0,30692,Scott Stallings,240
123,0,10860,Justin Leonard,239
123,0,23800,Bryce Molder,239
125,0,22621,Ben Curtis,238
125,0,01706,Davis Love III,238
127,0,34264,Hudson Swafford,237
128,0,23409,James Driscoll,236
128,0,27408,Martin Kaymer,236
130,0,35732,Wes Roach,235
130,0,22913,John Rollins,235
132,0,25720,Chad Collins,234
133,0,37273,Derek Ernst,232
134,0,30925,Dustin Johnson,231
135,0,35300,Andrew Loupe,227
136,0,21209,Sergio Garcia,224
136,0,25572,Graeme McDowell,224
138,0,22293,Heath Slocum,223
139,0,25240,D.A. Points,221
139,0,02206,David Toms,221
139,0,20160,Charlie Wi,221
142,0,32200,Roberto Castro,220
143,0,26289,Boo Weekley,218
144,0,27936,Martin Laird,216
145,0,36689,Brooks Koepka,215
146,0,21528,Henrik Stenson,214
147,0,25900,Lucas Glover,213
148,0,29461,Jamie Lovemark,212
149,0,27895,Jonas Blixt,211
149,0,32640,Troy Merritt,211
151,0,25364,Paul Casey,208
152,0,27556,Ted Potter Jr.,207
152,0,20396,Lee Westwood,207
154,0,24138,Ian Poulter,203
155,0,33418,Shawn Stefani,197
156,0,25686,Jason Dufner,196
157,0,34021,Bud Cauley,192
157,0,23983,Luke Donald,192
157,0,27466,Spencer Levin,192
157,0,10423,Mike Weir,192
161,0,07867,Woody Austin,191
161,0,27120,Troy Matteson,191
163,0,31193,Jim Renner,190
164,0,35541,John Peterson,187
164,0,26951,Johnson Wagner,187
166,0,31557,Jim Herman,184
167,0,32333,Kevin Tway,182
168,0,21878,Mark Wilson,179
169,0,28089,Jason Day,172
170,0,29740,Brad Fritsch,169
