RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
1,0,28089,Jason Day,-.313
2,0,34265,Will Wilcox,-.310
3,0,36699,Patrick Rodgers,-.286
4,0,33667,Carlos Ortiz,-.285
5,0,34431,Robert Streb,-.281
6,0,26300,Matt Jones,-.278
7,0,27436,Graham DeLaet,-.277
8,0,33448,Justin Thomas,-.269
9,0,34046,Jordan Spieth,-.266
10,0,22405,Justin Rose,-.259
11,0,27936,Martin Laird,-.256
12,0,30925,Dustin Johnson,-.255
13,0,34264,Hudson Swafford,-.251
14,0,29289,S.Y. Noh,-.248
15,0,37273,Derek Ernst,-.239
15,0,29221,Webb Simpson,-.239
17,0,33141,Keegan Bradley,-.236
17,0,27064,Jhonattan Vegas,-.236
19,0,32150,Michael Thompson,-.230
20,0,32366,Kevin Chappell,-.224
21,0,22371,Aaron Baddeley,-.221
21,0,26289,Boo Weekley,-.221
23,0,22046,Geoff Ogilvy,-.220
24,0,33399,Adam Hadwin,-.219
25,0,23108,Matt Kuchar,-.218
26,0,20396,Lee Westwood,-.216
27,0,06567,Vijay Singh,-.214
28,0,40026,Daniel Berger,-.213
29,0,25804,Bubba Watson,-.212
30,0,22892,Jason Gore,-.211
31,0,33418,Shawn Stefani,-.208
31,0,25632,Jimmy Walker,-.208
33,0,32102,Rickie Fowler,-.207
33,0,30944,Jason Kokrak,-.207
35,0,23623,Bo Van Pelt,-.206
36,0,10809,Jim Furyk,-.205
37,0,28023,Byron Smith,-.204
38,0,25900,Lucas Glover,-.201
38,0,30926,Chris Kirk,-.201
40,0,29926,Danny Lee,-.199
41,0,21961,Charles Howell III,-.197
41,0,36801,Mark Hubbard,-.197
43,0,29725,Tony Finau,-.195
44,0,30946,Alex Prugh,-.194
45,0,24925,Jonathan Byrd,-.193
46,0,29223,Sam Saunders,-.191
47,0,21209,Sergio Garcia,-.189
47,0,34098,Russell Henley,-.189
47,0,26331,Charl Schwartzel,-.189
50,0,25274,Steven Bowditch,-.188
50,0,32839,Hideki Matsuyama,-.188
50,0,30692,Scott Stallings,-.188
50,0,27095,Nick Watney,-.188
54,0,35451,Scott Pinckney,-.187
55,0,27895,Jonas Blixt,-.185
56,0,32334,Charlie Beljan,-.184
56,0,23548,Bill Lunde,-.184
56,0,29518,Brendan Steele,-.184
59,0,25834,Daniel Summerhays,-.183
60,0,33413,Ben Martin,-.181
61,0,34360,Patrick Reed,-.180
62,0,25892,Steve Wheatcroft,-.179
63,0,28500,Martin Flores,-.178
64,0,35545,Blayne Barber,-.176
64,0,21528,Henrik Stenson,-.176
66,0,33419,Cameron Tringale,-.175
67,0,35532,Tom Hoge,-.174
68,0,26329,Louis Oosthuizen,-.173
69,0,20157,Retief Goosen,-.172
69,0,26596,Ryan Moore,-.172
71,0,25493,Nick Taylor,-.171
72,0,23638,Brendon de Jonge,-.170
73,0,28259,Sangmoon Bae,-.167
73,0,34099,Harris English,-.167
75,0,29478,Kevin Kisner,-.165
76,0,31557,Jim Herman,-.164
77,0,25686,Jason Dufner,-.162
77,0,25240,D.A. Points,-.162
79,0,30927,Brendon Todd,-.160
80,0,29420,Billy Horschel,-.159
81,0,35539,Luke Guthrie,-.158
81,0,36689,Brooks Koepka,-.158
81,0,26951,Johnson Wagner,-.158
84,0,29720,Andres Gonzales,-.157
84,0,33122,Russell Knox,-.157
84,0,20645,John Senden,-.157
84,0,29425,Andrew Svoboda,-.157
88,0,24358,Robert Garrigus,-.156
88,0,34261,Scott Langley,-.156
88,0,22293,Heath Slocum,-.156
91,0,34563,Chesson Hadley,-.155
91,0,22056,Cameron Percy,-.155
91,0,24361,Pat Perez,-.155
94,0,24846,Ricky Barnes,-.154
94,0,39977,Max Homa,-.154
96,0,25364,Paul Casey,-.153
97,0,01810,Phil Mickelson,-.152
98,0,24507,Jason Bohn,-.150
98,0,12510,Chad Campbell,-.150
100,0,01706,Davis Love III,-.149
100,0,31323,Gary Woodland,-.149
102,0,06522,Ernie Els,-.148
102,0,33486,Roger Sloan,-.148
104,0,29535,Brice Garnett,-.146
104,0,27214,Kevin Streelman,-.146
106,0,27644,Brian Harman,-.144
107,0,33461,Morgan Hoffmann,-.143
107,0,24024,Zach Johnson,-.143
109,0,34174,John Huh,-.140
109,0,25345,Carl Pettersson,-.140
109,0,26476,Chez Reavie,-.140
112,0,31416,Derek Fathauer,-.138
112,0,27933,John Merrick,-.138
112,0,29476,Kyle Reifers,-.138
115,0,28475,Jeff Overton,-.137
116,0,24490,George McNeill,-.134
116,0,25818,Scott Piercy,-.134
118,0,27141,J.B. Holmes,-.132
118,0,28486,Michael Putnam,-.132
120,0,31202,William McGirt,-.131
121,0,27770,Camilo Villegas,-.130
122,0,24924,Bill Haas,-.129
122,0,37454,Whee Kim,-.129
122,0,25396,Kevin Na,-.129
122,0,23320,Ryan Palmer,-.129
126,0,20229,Stewart Cink,-.126
126,0,25720,Chad Collins,-.126
128,0,27963,Chris Stroud,-.125
129,0,23800,Bryce Molder,-.123
130,0,28132,Tyrone Van Aswegen,-.121
131,0,35541,John Peterson,-.120
131,0,31560,Brian Stuard,-.120
133,0,23048,Eric Axley,-.118
134,0,27466,Spencer Levin,-.117
134,0,27649,Brandt Snedeker,-.117
136,0,30711,Colt Knost,-.115
137,0,32200,Roberto Castro,-.114
137,0,24494,Erik Compton,-.114
137,0,34130,Sung Joon Park,-.114
140,0,23353,J.J. Henry,-.113
141,0,26851,Marc Leishman,-.111
142,0,24781,Hunter Mahan,-.110
143,0,34409,David Lingmerth,-.108
143,0,34256,Andrew Putnam,-.108
145,0,29479,Scott Brown,-.106
146,0,31193,Jim Renner,-.101
147,0,20848,Ángel Cabrera,-.095
147,0,24357,K.J. Choi,-.095
147,0,30852,Ryo Ishikawa,-.095
150,0,20472,Alex Cejka,-.093
151,0,32640,Troy Merritt,-.092
