RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
1,0,23320,Ryan Palmer,98.58,141,139
2,0,24494,Erik Compton,97.95,146,143
3,0,31557,Jim Herman,97.28,147,143
4,0,25804,Bubba Watson,97.22,108,105
5,0,24140,Sean O'Hair,96.89,193,187
6,0,30927,Brendon Todd,96.70,182,176
7,0,30736,Oscar Fraustro,96.67,90,87
8,0,25396,Kevin Na,96.47,170,164
9,0,20593,Greg Chalmers,96.39,83,80
10,0,02206,David Toms,96.36,110,106
11,0,25345,Carl Pettersson,96.32,190,183
12,0,28089,Jason Day,96.30,108,104
13,0,31416,Derek Fathauer,96.27,161,155
14,0,34099,Harris English,96.22,185,178
15,0,25198,Francesco Molinari,96.15,78,75
15,0,30946,Alex Prugh,96.15,130,125
17,0,35541,John Peterson,96.11,180,173
18,0,20645,John Senden,96.09,128,123
19,0,32839,Hideki Matsuyama,96.03,126,121
20,0,25562,Andres Romero,95.90,122,117
21,0,23048,Eric Axley,95.83,96,92
22,0,34409,David Lingmerth,95.80,143,137
23,0,40058,Zac Blair,95.74,188,180
24,0,25632,Jimmy Walker,95.60,159,152
25,0,33413,Ben Martin,95.39,152,145
26,0,34046,Jordan Spieth,95.37,108,103
27,0,27644,Brian Harman,95.36,151,144
27,0,23108,Matt Kuchar,95.36,151,144
27,0,27936,Martin Laird,95.36,151,144
30,0,35545,Blayne Barber,95.35,129,123
31,0,25493,Nick Taylor,95.33,150,143
32,0,23621,Rory Sabbatini,95.31,128,122
33,0,23638,Brendon de Jonge,95.24,189,180
33,0,23983,Luke Donald,95.24,84,80
33,0,35451,Scott Pinckney,95.24,147,140
36,0,33399,Adam Hadwin,95.16,186,177
37,0,20157,Retief Goosen,95.00,100,95
37,0,26476,Chez Reavie,95.00,100,95
37,0,34265,Will Wilcox,95.00,80,76
40,0,34098,Russell Henley,94.96,139,132
40,0,27141,J.B. Holmes,94.96,139,132
42,0,28475,Jeff Overton,94.84,155,147
43,0,24846,Ricky Barnes,94.78,115,109
44,0,10809,Jim Furyk,94.64,112,106
45,0,20771,Steven Alker,94.62,93,88
45,0,34358,Jonathan Randolph,94.62,130,123
47,0,30926,Chris Kirk,94.35,124,117
48,0,29478,Kevin Kisner,94.32,176,166
49,0,24507,Jason Bohn,94.08,169,159
49,0,32448,James Hahn,94.08,169,159
51,0,24781,Hunter Mahan,94.03,134,126
52,0,34174,John Huh,93.94,198,186
52,0,29926,Danny Lee,93.94,231,217
54,0,32102,Rickie Fowler,93.91,115,108
55,0,28307,Matt Every,93.89,131,123
55,0,29222,Billy Hurley III,93.89,131,123
57,0,33141,Keegan Bradley,93.85,130,122
58,0,26289,Boo Weekley,93.84,146,137
59,0,25892,Steve Wheatcroft,93.83,162,152
60,0,34264,Hudson Swafford,93.82,178,167
61,0,33486,Roger Sloan,93.81,97,91
62,0,31323,Gary Woodland,93.68,95,89
63,0,28259,Sangmoon Bae,93.66,205,192
64,0,24361,Pat Perez,93.63,157,147
65,0,31560,Brian Stuard,93.59,156,146
66,0,10860,Justin Leonard,93.58,109,102
67,0,23623,Bo Van Pelt,93.57,140,131
68,0,10885,Robert Allenby,93.55,93,87
68,0,29420,Billy Horschel,93.55,186,174
70,0,30692,Scott Stallings,93.44,122,114
71,0,26758,David Hearn,93.42,152,142
72,0,22056,Cameron Percy,93.40,106,99
73,0,34130,Sung Joon Park,93.38,136,127
74,0,25369,Jamie Donaldson,93.33,60,56
75,0,36689,Brooks Koepka,93.28,134,125
76,0,29289,S.Y. Noh,93.16,117,109
77,0,23800,Bryce Molder,93.15,146,136
78,0,20472,Alex Cejka,93.04,158,147
78,0,25240,D.A. Points,93.04,115,107
80,0,34431,Robert Streb,93.01,186,173
81,0,40026,Daniel Berger,92.97,185,172
82,0,24358,Robert Garrigus,92.93,99,92
83,0,35539,Luke Guthrie,92.91,141,131
84,0,32200,Roberto Castro,92.75,69,64
85,0,39977,Max Homa,92.65,136,126
85,0,27214,Kevin Streelman,92.65,136,126
87,0,30711,Colt Knost,92.54,134,124
88,0,21753,Brian Davis,92.53,174,161
89,0,23541,Ben Crane,92.50,120,111
90,0,24357,K.J. Choi,92.45,106,98
91,0,34256,Andrew Putnam,92.44,119,110
92,0,37273,Derek Ernst,92.41,145,134
93,0,34262,Jon Curran,92.38,105,97
94,0,25720,Chad Collins,92.37,131,121
95,0,25834,Daniel Summerhays,92.35,183,169
96,0,32640,Troy Merritt,92.26,168,155
97,0,01810,Phil Mickelson,92.17,115,106
98,0,25274,Steven Bowditch,92.13,178,164
98,0,29223,Sam Saunders,92.13,127,117
100,0,27895,Jonas Blixt,92.11,114,105
101,0,37454,Whee Kim,92.06,126,116
102,0,26300,Matt Jones,92.04,113,104
103,0,31202,William McGirt,92.02,213,196
103,0,33448,Justin Thomas,92.02,188,173
105,0,34360,Patrick Reed,91.87,123,113
106,0,27963,Chris Stroud,91.85,135,124
107,0,24924,Bill Haas,91.79,134,123
108,0,26951,Johnson Wagner,91.74,109,100
109,0,21528,Henrik Stenson,91.67,84,77
110,0,20848,Ángel Cabrera,91.58,95,87
111,0,29725,Tony Finau,91.57,178,163
112,0,34261,Scott Langley,91.50,153,140
113,0,20691,Greg Owen,91.40,93,85
114,0,24925,Jonathan Byrd,91.38,116,106
115,0,12510,Chad Campbell,91.30,161,147
116,0,29425,Andrew Svoboda,91.24,137,125
117,0,20229,Stewart Cink,91.20,125,114
118,0,26851,Marc Leishman,91.15,113,103
119,0,32366,Kevin Chappell,91.14,158,144
119,0,29476,Kyle Reifers,91.14,158,144
121,0,36801,Mark Hubbard,91.13,124,113
122,0,24024,Zach Johnson,91.06,123,112
123,0,34563,Chesson Hadley,91.04,212,193
123,0,27064,Jhonattan Vegas,91.04,134,122
125,0,27649,Brandt Snedeker,91.03,145,132
126,0,21961,Charles Howell III,91.01,178,162
127,0,25364,Paul Casey,90.91,110,100
128,0,25818,Scott Piercy,90.86,175,159
129,0,21878,Mark Wilson,90.85,153,139
130,0,22293,Heath Slocum,90.77,65,59
131,0,27466,Spencer Levin,90.75,173,157
132,0,30944,Jason Kokrak,90.68,161,146
133,0,23353,J.J. Henry,90.63,128,116
134,0,30925,Dustin Johnson,90.48,84,76
135,0,33461,Morgan Hoffmann,90.42,167,151
136,0,28132,Tyrone Van Aswegen,90.41,73,66
137,0,33419,Cameron Tringale,90.36,166,150
138,0,26329,Louis Oosthuizen,90.32,93,84
139,0,21209,Sergio Garcia,90.28,72,65
140,0,36699,Patrick Rodgers,90.24,82,74
141,0,24490,George McNeill,90.23,174,157
142,0,22371,Aaron Baddeley,90.21,143,129
143,0,29518,Brendan Steele,90.15,132,119
144,0,29720,Andres Gonzales,90.12,162,146
145,0,33418,Shawn Stefani,90.06,171,154
146,0,29479,Scott Brown,90.00,170,153
147,0,25349,Tim Wilkinson,89.86,138,124
148,0,28486,Michael Putnam,89.78,137,123
149,0,33122,Russell Knox,89.76,166,149
150,0,28023,Byron Smith,89.74,78,70
151,0,27436,Graham DeLaet,89.69,97,87
152,0,32150,Michael Thompson,89.57,163,146
153,0,35532,Tom Hoge,89.52,124,111
154,0,25191,Gonzalo Fernandez-Castaño,89.43,123,110
155,0,26331,Charl Schwartzel,89.41,85,76
156,0,30852,Ryo Ishikawa,89.26,149,133
157,0,27095,Nick Watney,89.22,167,149
158,0,20396,Lee Westwood,89.09,55,49
159,0,31193,Jim Renner,88.89,99,88
159,0,22405,Justin Rose,88.89,108,96
161,0,33667,Carlos Ortiz,88.81,143,127
162,0,28679,Fabián Gómez,88.65,141,125
163,0,29535,Brice Garnett,88.46,130,115
163,0,24138,Ian Poulter,88.46,104,92
165,0,06567,Vijay Singh,88.41,138,122
166,0,22892,Jason Gore,88.07,109,96
167,0,28500,Martin Flores,88.03,142,125
168,0,25686,Jason Dufner,87.78,90,79
169,0,01706,Davis Love III,87.65,81,71
170,0,12716,Charley Hoffman,87.22,133,116
171,0,32334,Charlie Beljan,87.05,139,121
172,0,20104,Ken Duke,87.01,154,134
173,0,28780,Nicholas Thompson,86.62,142,123
174,0,08075,Jerry Kelly,85.92,142,122
174,0,22046,Geoff Ogilvy,85.92,71,61
176,0,26596,Ryan Moore,85.37,123,105
177,0,23548,Bill Lunde,84.93,73,62
178,0,29221,Webb Simpson,84.40,141,119
179,0,27770,Camilo Villegas,83.66,153,128
180,0,20766,Padraig Harrington,82.52,103,85
181,0,24502,Adam Scott,81.97,61,50
182,0,25900,Lucas Glover,80.12,161,129
183,0,27933,John Merrick,79.80,99,79
184,0,06522,Ernie Els,79.41,68,54
