RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION
1,0,34046,Jordan Spieth,1.699,1826,1075,35.51
2,0,28089,Jason Day,1.712,1572,918,36.76
3,0,30925,Dustin Johnson,1.715,1490,869,34.72
4,0,24507,Jason Bohn,1.724,2031,1178,31.09
5,0,25834,Daniel Summerhays,1.726,2059,1193,31.18
6,0,33461,Morgan Hoffmann,1.729,1617,935,32.08
7,0,27141,J.B. Holmes,1.730,1685,974,34.64
8,0,26300,Matt Jones,1.731,1696,980,33.57
9,0,29926,Danny Lee,1.732,2458,1419,32.16
9,0,34360,Patrick Reed,1.732,1988,1148,32.34
11,0,23108,Matt Kuchar,1.733,1951,1126,32.20
12,0,32102,Rickie Fowler,1.734,1458,841,32.54
13,0,24024,Zach Johnson,1.735,1863,1074,31.06
14,0,22405,Justin Rose,1.736,1455,838,34.25
14,0,33448,Justin Thomas,1.736,2283,1315,33.61
16,0,01810,Phil Mickelson,1.737,1346,775,34.33
16,0,26596,Ryan Moore,1.737,1591,916,31.76
16,0,24361,Pat Perez,1.737,2038,1173,31.14
19,0,25396,Kevin Na,1.739,1920,1104,32.12
19,0,27649,Brandt Snedeker,1.739,1932,1111,31.14
21,0,08075,Jerry Kelly,1.740,1632,938,31.45
21,0,32839,Hideki Matsuyama,1.740,1951,1121,32.41
21,0,30927,Brendon Todd,1.740,1907,1096,30.71
24,0,24846,Ricky Barnes,1.741,1478,849,30.41
25,0,34563,Chesson Hadley,1.742,2014,1156,32.64
26,0,25632,Jimmy Walker,1.743,1783,1023,33.43
27,0,22371,Aaron Baddeley,1.744,1451,832,31.52
27,0,24140,Sean O'Hair,1.744,1737,996,30.65
29,0,33418,Shawn Stefani,1.745,2031,1164,30.98
30,0,21209,Sergio Garcia,1.746,1189,681,31.08
30,0,12716,Charley Hoffman,1.746,1955,1120,32.62
32,0,30852,Ryo Ishikawa,1.748,1839,1052,30.78
32,0,24138,Ian Poulter,1.748,1323,757,30.60
32,0,25892,Steve Wheatcroft,1.748,1687,965,32.43
35,0,35539,Luke Guthrie,1.749,1646,941,30.81
36,0,28679,Fabián Gómez,1.750,1661,949,30.38
36,0,26758,David Hearn,1.750,2077,1187,29.11
36,0,35532,Tom Hoge,1.750,1643,939,31.63
36,0,30711,Colt Knost,1.750,1827,1044,29.65
36,0,23800,Bryce Molder,1.750,1794,1025,29.33
36,0,34431,Robert Streb,1.750,2396,1369,30.99
42,0,27895,Jonas Blixt,1.751,1443,824,30.66
42,0,34409,David Lingmerth,1.751,1842,1052,30.45
44,0,29479,Scott Brown,1.752,1994,1138,30.24
44,0,20593,Greg Chalmers,1.752,1086,620,30.47
46,0,36699,Patrick Rodgers,1.754,1117,637,32.03
46,0,31560,Brian Stuard,1.754,1856,1058,28.36
48,0,25274,Steven Bowditch,1.755,2064,1176,31.31
48,0,28475,Jeff Overton,1.755,1909,1088,28.66
48,0,25493,Nick Taylor,1.755,1852,1055,30.93
51,0,29725,Tony Finau,1.756,2265,1290,33.26
51,0,34098,Russell Henley,1.756,1781,1014,31.29
51,0,25804,Bubba Watson,1.756,1468,836,34.38
54,0,23638,Brendon de Jonge,1.757,2263,1288,30.17
54,0,34264,Hudson Swafford,1.757,2059,1172,31.62
56,0,29720,Andres Gonzales,1.758,1814,1032,29.87
56,0,37454,Whee Kim,1.758,1489,847,29.31
56,0,30926,Chris Kirk,1.758,1491,848,31.28
59,0,32366,Kevin Chappell,1.759,1798,1022,31.21
59,0,24494,Erik Compton,1.759,1720,978,30.46
59,0,25818,Scott Piercy,1.759,1901,1081,30.90
59,0,34256,Andrew Putnam,1.759,1214,690,31.40
63,0,28259,Sangmoon Bae,1.760,1954,1110,30.98
63,0,24357,K.J. Choi,1.760,1253,712,29.21
63,0,34099,Harris English,1.760,2166,1231,30.00
63,0,36689,Brooks Koepka,1.760,1783,1013,31.42
63,0,25345,Carl Pettersson,1.760,2115,1202,31.14
63,0,27963,Chris Stroud,1.760,1748,993,30.54
63,0,02206,David Toms,1.760,1188,675,26.60
70,0,31416,Derek Fathauer,1.761,1497,850,29.43
70,0,32448,James Hahn,1.761,1970,1119,29.54
72,0,27644,Brian Harman,1.762,1903,1080,29.49
73,0,34174,John Huh,1.763,2078,1179,28.43
73,0,24490,George McNeill,1.763,1960,1112,30.09
75,0,25562,Andres Romero,1.764,1293,733,30.04
75,0,29518,Brendan Steele,1.764,1827,1036,32.04
77,0,20771,Steven Alker,1.765,1269,719,27.79
77,0,20472,Alex Cejka,1.765,1920,1088,28.97
77,0,30736,Oscar Fraustro,1.765,1084,614,29.69
77,0,33667,Carlos Ortiz,1.765,2038,1155,31.25
77,0,20396,Lee Westwood,1.765,1098,622,30.42
82,0,34261,Scott Langley,1.766,1891,1071,29.03
82,0,31202,William McGirt,1.766,2222,1258,27.37
84,0,35545,Blayne Barber,1.767,1564,885,30.43
84,0,25720,Chad Collins,1.767,1661,940,27.61
84,0,22892,Jason Gore,1.767,1546,875,30.89
87,0,10860,Justin Leonard,1.769,1215,687,26.46
87,0,34265,Will Wilcox,1.769,1247,705,29.73
89,0,27436,Graham DeLaet,1.770,1432,809,29.21
89,0,27936,Martin Laird,1.770,1627,919,29.77
89,0,32640,Troy Merritt,1.770,1837,1038,27.61
89,0,35451,Scott Pinckney,1.770,1896,1071,28.96
89,0,28780,Nicholas Thompson,1.770,1880,1062,28.71
94,0,40058,Zac Blair,1.771,2173,1227,27.76
94,0,29478,Kevin Kisner,1.771,2196,1240,28.19
94,0,26851,Marc Leishman,1.771,1443,815,29.73
97,0,25364,Paul Casey,1.772,1893,1068,29.61
97,0,33399,Adam Hadwin,1.772,1974,1114,28.30
97,0,29289,S.Y. Noh,1.772,1366,771,30.73
97,0,22056,Cameron Percy,1.772,1513,854,28.96
101,0,20645,John Senden,1.773,1610,908,29.99
102,0,30944,Jason Kokrak,1.774,1891,1066,30.39
102,0,33413,Ben Martin,1.774,1975,1113,30.33
102,0,23320,Ryan Palmer,1.774,1621,914,30.48
102,0,23621,Rory Sabbatini,1.774,1754,989,30.74
106,0,21753,Brian Davis,1.775,1631,919,27.98
106,0,32150,Michael Thompson,1.775,1693,954,30.04
108,0,34262,Jon Curran,1.776,1677,944,27.33
109,0,23048,Eric Axley,1.777,1077,606,27.36
109,0,33122,Russell Knox,1.777,2175,1224,28.13
109,0,24781,Hunter Mahan,1.777,1725,971,29.21
109,0,26329,Louis Oosthuizen,1.777,1354,762,30.66
109,0,29425,Andrew Svoboda,1.777,1587,893,28.57
109,0,28132,Tyrone Van Aswegen,1.777,1153,649,27.01
109,0,25349,Tim Wilkinson,1.777,1418,798,25.91
109,0,21878,Mark Wilson,1.777,1845,1038,27.48
117,0,27095,Nick Watney,1.778,1961,1103,30.18
118,0,40026,Daniel Berger,1.779,2138,1202,29.97
118,0,39977,Max Homa,1.779,1493,839,29.24
118,0,29476,Kyle Reifers,1.779,1975,1110,28.79
118,0,30692,Scott Stallings,1.779,1249,702,29.71
122,0,12510,Chad Campbell,1.780,2133,1198,27.32
122,0,29222,Billy Hurley III,1.780,1652,928,25.30
124,0,33141,Keegan Bradley,1.781,1818,1021,31.34
124,0,33419,Cameron Tringale,1.781,1988,1116,29.02
124,0,26951,Johnson Wagner,1.781,1503,844,28.00
127,0,20104,Ken Duke,1.782,1832,1028,28.98
127,0,27214,Kevin Streelman,1.782,2014,1130,28.26
127,0,27770,Camilo Villegas,1.782,1679,942,30.96
130,0,29420,Billy Horschel,1.783,2091,1173,30.69
130,0,34358,Jonathan Randolph,1.783,1446,811,28.31
130,0,26476,Chez Reavie,1.783,1252,702,28.53
133,0,25369,Jamie Donaldson,1.785,964,540,27.93
133,0,20157,Retief Goosen,1.785,1539,862,29.50
133,0,36801,Mark Hubbard,1.785,1653,926,28.46
133,0,21528,Henrik Stenson,1.785,1417,794,30.73
133,0,26289,Boo Weekley,1.785,1719,963,29.27
138,0,25686,Jason Dufner,1.786,1620,907,28.32
139,0,21961,Charles Howell III,1.787,2316,1296,26.97
140,0,28307,Matt Every,1.788,1309,732,27.71
141,0,27933,John Merrick,1.789,1612,901,28.67
141,0,35541,John Peterson,1.789,1848,1033,25.97
141,0,06567,Vijay Singh,1.789,1664,930,28.34
144,0,32200,Roberto Castro,1.790,1065,595,26.14
144,0,25191,Gonzalo Fernandez-Castaño,1.790,1586,886,27.83
144,0,33486,Roger Sloan,1.790,1058,591,29.49
144,0,23623,Bo Van Pelt,1.790,1702,951,28.98
148,0,23983,Luke Donald,1.791,1501,838,26.16
148,0,10809,Jim Furyk,1.791,1440,804,27.86
148,0,29221,Webb Simpson,1.791,1705,952,29.23
151,0,24925,Jonathan Byrd,1.792,1412,788,28.72
151,0,30946,Alex Prugh,1.792,1810,1010,27.90
151,0,26331,Charl Schwartzel,1.792,1321,737,30.16
154,0,27466,Spencer Levin,1.794,2139,1192,26.05
154,0,27064,Jhonattan Vegas,1.794,1817,1013,28.68
156,0,23541,Ben Crane,1.795,1185,660,26.97
156,0,31323,Gary Woodland,1.795,1596,889,28.60
158,0,29535,Brice Garnett,1.797,1745,971,26.78
158,0,24358,Robert Garrigus,1.797,1366,760,29.16
160,0,28500,Martin Flores,1.798,2012,1119,26.91
160,0,22293,Heath Slocum,1.798,1077,599,27.55
162,0,20229,Stewart Cink,1.799,1819,1011,27.79
162,0,25198,Francesco Molinari,1.799,1220,678,24.85
164,0,20766,Padraig Harrington,1.801,1187,659,29.38
165,0,25240,D.A. Points,1.802,1460,810,27.10
166,0,24924,Bill Haas,1.803,1920,1065,26.79
166,0,29223,Sam Saunders,1.803,1715,951,28.81
168,0,20691,Greg Owen,1.805,1305,723,25.59
168,0,28486,Michael Putnam,1.805,1937,1073,26.31
170,0,20848,Ángel Cabrera,1.806,1118,619,29.40
170,0,24502,Adam Scott,1.806,1064,589,30.05
170,0,28023,Byron Smith,1.806,1232,682,26.47
173,0,32334,Charlie Beljan,1.809,1536,849,29.99
174,0,31557,Jim Herman,1.810,2100,1160,26.68
175,0,23353,J.J. Henry,1.812,2051,1132,24.09
176,0,01706,Davis Love III,1.814,1123,619,24.88
177,0,06522,Ernie Els,1.816,1202,662,28.59
178,0,23548,Bill Lunde,1.819,1035,569,24.87
179,0,37273,Derek Ernst,1.820,1547,850,26.97
180,0,34130,Sung Joon Park,1.824,1636,897,24.44
181,0,10885,Robert Allenby,1.826,1293,708,24.58
181,0,22046,Geoff Ogilvy,1.826,1050,575,27.40
