RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
1,0,34174,John Huh,18' 3",219.167,12,E
2,0,22892,Jason Gore,18' 6",481.000,26,-5
3,0,29221,Webb Simpson,19' 8",413.167,21,E
4,0,10213,Dicky Pride,20' 3",303.500,15,+2
5,0,28237,Rory McIlroy,20' 8",744.167,36,-8
6,0,26331,Charl Schwartzel,21' 1",484.500,23,-5
7,0,25198,Francesco Molinari,21' 10",284.000,13,E
8,0,35732,Wes Roach,22' 6",292.250,13,+1
9,0,22046,Geoff Ogilvy,22' 9",523.667,23,-2
10,0,31560,Brian Stuard,23' 6",634.000,27,-1
10,0,25349,Tim Wilkinson,23' 6",516.417,22,+3
12,0,32876,Martin Piller,24' 1",554.167,23,-5
13,0,24507,Jason Bohn,24' 3",290.917,12,-2
14,0,34466,Peter Malnati,24' 7",787.250,32,+4
15,0,12716,Charley Hoffman,24' 8",813.667,33,-4
15,0,29420,Billy Horschel,24' 8",345.417,14,-4
15,0,33410,Andrew Landry,24' 8",420.000,17,-2
18,0,33413,Ben Martin,24' 10",595.000,24,-1
19,0,35879,Kelly Kraft,24' 11",324.417,13,-1
20,0,26758,David Hearn,25' 0",824.000,33,+4
21,0,31416,Derek Fathauer,25' 3",1033.667,41,-2
22,0,30692,Scott Stallings,25' 4",963.167,38,-3
23,0,02206,David Toms,25' 5",585.167,23,-3
24,0,23541,Ben Crane,25' 7",563.667,22,-1
24,0,25686,Jason Dufner,25' 7",946.667,37,-1
26,0,25900,Lucas Glover,25' 10",620.000,24,-2
27,0,23325,Vaughn Taylor,26' 0",961.250,37,-3
28,0,24846,Ricky Barnes,26' 1",1172.000,45,-2
29,0,34431,Robert Streb,26' 3",813.333,31,-1
30,0,33419,Cameron Tringale,26' 5",897.750,34,E
31,0,29268,Bronson Burgoon,26' 9",910.167,34,E
31,0,25364,Paul Casey,26' 9",428.583,16,-2
33,0,25632,Jimmy Walker,26' 11",1237.500,46,-5
33,0,25892,Steve Wheatcroft,26' 11",835.500,31,E
35,0,34262,Jon Curran,27' 0",808.833,30,+5
36,0,25240,D.A. Points,27' 1",379.667,14,+2
36,0,06567,Vijay Singh,27' 1",867.833,32,-1
36,0,28114,Dawie van der Walt,27' 1",1027.583,38,+6
39,0,32102,Rickie Fowler,27' 2",951.000,35,E
39,0,29974,Branden Grace,27' 2",733.583,27,-4
41,0,06527,Steve Stricker,27' 4",355.250,13,-1
42,0,30927,Brendon Todd,27' 5",411.833,15,-1
43,0,33667,Carlos Ortiz,27' 6",742.167,27,E
44,0,26596,Ryan Moore,27' 7",469.000,17,-3
45,0,28679,Fabián Gómez,27' 8",914.333,33,E
46,0,24461,Thomas Aiken,27' 10",416.917,15,+1
46,0,10809,Jim Furyk,27' 10",250.667,9,-1
46,0,24781,Hunter Mahan,27' 10",946.667,34,-4
46,0,27649,Brandt Snedeker,27' 10",1169.333,42,-1
46,0,27064,Jhonattan Vegas,27' 10",1224.500,44,+1
51,0,23320,Ryan Palmer,27' 11",1171.667,42,-5
52,0,33461,Morgan Hoffmann,28' 0",923.500,33,-2
52,0,20572,Rod Pampling,28' 0",392.083,14,+2
54,0,31420,Anirban Lahiri,28' 1",449.500,16,E
55,0,34098,Russell Henley,28' 2",1323.750,47,+4
56,0,24024,Zach Johnson,28' 3",677.583,24,+6
56,0,25396,Kevin Na,28' 3",677.417,24,+4
58,0,32200,Roberto Castro,28' 5",1136.167,40,+1
58,0,27436,Graham DeLaet,28' 5",823.833,29,+4
58,0,46440,Smylie Kaufman,28' 5",1592.000,56,+5
58,0,32839,Hideki Matsuyama,28' 5",738.750,26,+4
62,0,27895,Jonas Blixt,28' 6",826.000,29,-2
62,0,25818,Scott Piercy,28' 6",1055.000,37,-2
64,0,36689,Brooks Koepka,28' 8",1031.750,36,+2
64,0,28092,D.H. Lee,28' 8",573.917,20,+5
64,0,34046,Jordan Spieth,28' 8",1232.333,43,-4
67,0,33204,Shane Lowry,28' 10",605.417,21,+4
68,0,24140,Sean O'Hair,28' 11",1127.417,39,E
68,0,29518,Brendan Steele,28' 11",694.167,24,+2
68,0,28132,Tyrone Van Aswegen,28' 11",983.833,34,E
71,0,34261,Scott Langley,29' 0",927.917,32,+4
71,0,29289,S.Y. Noh,29' 0",928.167,32,E
71,0,26289,Boo Weekley,29' 0",927.750,32,+1
74,0,27942,Rob Oppenheim,29' 2",817.167,28,+1
74,0,32150,Michael Thompson,29' 2",933.583,32,+6
76,0,36801,Mark Hubbard,29' 3",1053.667,36,+1
77,0,26951,Johnson Wagner,29' 4",849.583,29,+4
78,0,28089,Jason Day,29' 5",853.167,29,E
78,0,25572,Graeme McDowell,29' 5",499.750,17,+9
80,0,33399,Adam Hadwin,29' 6",1091.750,37,+9
80,0,27644,Brian Harman,29' 6",1269.833,43,-5
80,0,24912,Will MacKenzie,29' 6",1004.000,34,-2
83,0,35451,Scott Pinckney,29' 7",1124.500,38,E
84,0,20157,Retief Goosen,29' 8",503.667,17,-1
84,0,30926,Chris Kirk,29' 8",978.667,33,-1
84,0,20691,Greg Owen,29' 8",860.083,29,-1
87,0,24494,Erik Compton,30' 0",630.833,21,-2
87,0,23638,Brendon de Jonge,30' 0",838.917,28,+2
87,0,06522,Ernie Els,30' 0",930.083,31,+6
90,0,28475,Jeff Overton,30' 2",754.667,25,+1
90,0,27770,Camilo Villegas,30' 2",1147.500,38,+3
92,0,20848,Ángel Cabrera,30' 3",605.500,20,+5
92,0,33448,Justin Thomas,30' 3",1330.167,44,+1
94,0,29720,Andres Gonzales,30' 4",1002.083,33,+7
94,0,35300,Andrew Loupe,30' 4",1698.917,56,-4
94,0,26329,Louis Oosthuizen,30' 4",758.417,25,+3
94,0,37189,Harold Varner III,30' 4",1152.000,38,+3
98,0,45526,Abraham Ancer,30' 6",578.833,19,+6
98,0,32366,Kevin Chappell,30' 6",1340.750,44,+4
98,0,24358,Robert Garrigus,30' 6",610.167,20,+1
101,0,27141,J.B. Holmes,30' 7",1346.417,44,+4
101,0,39975,Michael Kim,30' 7",979.000,32,+6
103,0,34099,Harris English,30' 8",980.750,32,+4
103,0,26476,Chez Reavie,30' 8",520.833,17,E
105,0,26851,Marc Leishman,30' 9",830.000,27,+1
105,0,34409,David Lingmerth,30' 9",769.583,25,+4
105,0,29461,Jamie Lovemark,30' 9",1382.833,45,E
105,0,29476,Kyle Reifers,30' 9",922.083,30,+1
105,0,34264,Hudson Swafford,30' 9",1630.750,53,+5
110,0,33122,Russell Knox,30' 10",831.583,27,+7
110,0,28158,Steve Marino,30' 10",1140.250,37,-2
112,0,20098,Stuart Appleby,30' 11",895.417,29,-1
113,0,35532,Tom Hoge,31' 0",1550.917,50,+4
114,0,33141,Keegan Bradley,31' 1",653.167,21,+4
115,0,24357,K.J. Choi,31' 2",872.500,28,E
115,0,27129,Luke List,31' 2",1435.417,46,-3
117,0,25720,Chad Collins,31' 4",814.667,26,-1
117,0,25804,Bubba Watson,31' 4",1034.583,33,+3
119,0,32618,Rhein Gibson,31' 6",1070.417,34,+4
119,0,34563,Chesson Hadley,31' 6",1261.167,40,+9
121,0,20104,Ken Duke,31' 7",537.167,17,E
121,0,32448,James Hahn,31' 7",916.083,29,+2
123,0,31557,Jim Herman,31' 8",1075.750,34,-3
123,0,21731,Freddie Jacobson,31' 8",982.667,31,-3
123,0,32640,Troy Merritt,31' 8",1013.083,32,+1
126,0,29725,Tony Finau,31' 9",1684.833,53,-2
127,0,37273,Derek Ernst,31' 11",670.250,21,+1
128,0,34265,Will Wilcox,32' 0",768.250,24,+3
129,0,21961,Charles Howell III,32' 1",1573.583,49,E
130,0,30944,Jason Kokrak,32' 3",1449.500,45,+10
130,0,31323,Gary Woodland,32' 3",968.500,30,+2
132,0,29223,Sam Saunders,32' 4",873.833,27,+4
133,0,26300,Matt Jones,32' 6",1073.250,33,-5
133,0,35891,Cameron Smith,32' 6",1006.333,31,+9
133,0,25834,Daniel Summerhays,32' 6",974.750,30,E
136,0,23800,Bryce Molder,32' 7",716.083,22,+1
137,0,27747,Hiroshi Iwata,32' 8",1242.833,38,+7
138,0,10885,Robert Allenby,32' 9",654.583,20,+2
138,0,20229,Stewart Cink,32' 9",753.667,23,+2
140,0,37455,Si Woo Kim,33' 0",758.583,23,-4
140,0,22405,Justin Rose,33' 0",957.333,29,+2
142,0,23983,Luke Donald,33' 1",860.917,26,+4
143,0,30925,Dustin Johnson,33' 2",1227.000,37,+5
144,0,35539,Luke Guthrie,33' 4",700.167,21,+1
144,0,27466,Spencer Levin,33' 4",633.833,19,-1
144,0,36699,Patrick Rodgers,33' 4",1366.750,41,+10
147,0,20766,Padraig Harrington,33' 5",400.667,12,+1
147,0,08075,Jerry Kelly,33' 5",634.917,19,E
147,0,25493,Nick Taylor,33' 5",936.750,28,+4
150,0,23353,J.J. Henry,33' 6",771.167,23,+1
151,0,30163,Henrik Norlander,33' 7",470.167,14,+1
152,0,34360,Patrick Reed,33' 8",1647.667,49,+3
153,0,29478,Kevin Kisner,33' 9",1046.167,31,-1
154,0,30711,Colt Knost,33' 11",745.750,22,+5
155,0,21209,Sergio Garcia,34' 1",476.750,14,+1
156,0,32757,Patton Kizzire,34' 3",1129.333,33,+3
157,0,24502,Adam Scott,34' 5",1033.250,30,E
158,0,33418,Shawn Stefani,34' 6",1138.000,33,-1
159,0,27936,Martin Laird,34' 7",1244.083,36,+10
159,0,30110,Kyle Stanley,34' 7",1141.750,33,+11
161,0,37454,Whee Kim,34' 9",729.167,21,+2
162,0,25274,Steven Bowditch,34' 11",1433.250,41,+12
163,0,01810,Phil Mickelson,35' 3",1023.250,29,+2
164,0,29222,Billy Hurley III,35' 6",638.583,18,+4
165,0,29926,Danny Lee,35' 9",857.833,24,+5
166,0,21878,Mark Wilson,35' 11",717.750,20,+1
167,0,29479,Scott Brown,36' 1",794.167,22,+3
168,0,12510,Chad Campbell,36' 11",1034.667,28,+4
168,0,29485,Brett Stegmaier,36' 11",1069.500,29,+3
170,0,27214,Kevin Streelman,37' 1",1482.500,40,+1
171,0,22371,Aaron Baddeley,37' 6",1537.917,41,+6
171,0,35545,Blayne Barber,37' 6",1125.417,30,+8
171,0,40026,Daniel Berger,37' 6",899.333,24,+3
174,0,29745,Tyler Aldridge,37' 9",1547.083,41,-4
175,0,31202,William McGirt,38' 2",1375.250,36,+11
175,0,20645,John Senden,38' 2",1144.833,30,-1
177,0,27974,Sung Kang,38' 3",1340.000,35,+1
178,0,23108,Matt Kuchar,38' 4",1112.000,29,E
179,0,24490,George McNeill,39' 0",584.500,15,+2
180,0,24924,Bill Haas,39' 1",1212.583,31,+4
181,0,23621,Rory Sabbatini,40' 0",640.250,16,+5
182,0,27963,Chris Stroud,40' 1",761.417,19,+1
183,0,20472,Alex Cejka,40' 5",888.833,22,+8
184,0,31646,Emiliano Grillo,41' 4",1198.250,29,+9
185,0,40058,Zac Blair,41' 8",1207.583,29,+8
