RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,28089,Jason Day,28.41,177,623
2,0,30925,Dustin Johnson,28.35,220,776
3,0,24358,Robert Garrigus,26.75,176,658
3,0,34046,Jordan Spieth,26.75,195,729
5,0,28237,Rory McIlroy,26.59,163,613
6,0,24502,Adam Scott,26.34,187,710
7,0,34360,Patrick Reed,25.95,238,917
8,0,25632,Jimmy Walker,25.93,202,779
9,0,01810,Phil Mickelson,25.44,173,680
10,0,27141,J.B. Holmes,25.36,177,698
10,0,32839,Hideki Matsuyama,25.36,193,761
12,0,36689,Brooks Koepka,25.03,181,723
13,0,32640,Troy Merritt,24.81,201,810
14,0,35300,Andrew Loupe,24.79,181,730
15,0,25804,Bubba Watson,24.70,146,591
16,0,29478,Kevin Kisner,24.63,236,958
17,0,22405,Justin Rose,24.55,150,611
18,0,31646,Emiliano Grillo,24.50,246,1004
19,0,23108,Matt Kuchar,24.38,255,1046
20,0,23320,Ryan Palmer,24.29,239,984
21,0,40026,Daniel Berger,24.28,220,906
21,0,26331,Charl Schwartzel,24.28,168,692
23,0,33399,Adam Hadwin,24.21,284,1173
24,0,46440,Smylie Kaufman,24.13,202,837
25,0,32150,Michael Thompson,24.01,169,704
26,0,29420,Billy Horschel,23.94,180,752
27,0,27649,Brandt Snedeker,23.92,226,945
28,0,24024,Zach Johnson,23.90,238,996
29,0,24846,Ricky Barnes,23.84,236,990
30,0,34264,Hudson Swafford,23.81,286,1201
31,0,33413,Ben Martin,23.80,252,1059
32,0,25349,Tim Wilkinson,23.79,157,660
33,0,35879,Kelly Kraft,23.71,138,582
34,0,21961,Charles Howell III,23.61,220,932
35,0,34563,Chesson Hadley,23.56,196,832
36,0,26596,Ryan Moore,23.50,211,898
37,0,32102,Rickie Fowler,23.49,191,813
38,0,29221,Webb Simpson,23.46,179,763
39,0,25834,Daniel Summerhays,23.35,230,985
40,0,29926,Danny Lee,23.31,221,948
41,0,12716,Charley Hoffman,23.27,202,868
42,0,25364,Paul Casey,23.21,178,767
43,0,25900,Lucas Glover,23.09,209,905
44,0,37455,Si Woo Kim,23.05,299,1297
45,0,25396,Kevin Na,22.99,209,909
46,0,32757,Patton Kizzire,22.98,216,940
47,0,35545,Blayne Barber,22.96,231,1006
47,0,20157,Retief Goosen,22.96,138,601
49,0,34098,Russell Henley,22.90,210,917
50,0,33448,Justin Thomas,22.88,205,896
51,0,21209,Sergio Garcia,22.85,93,407
52,0,24140,Sean O'Hair,22.83,245,1073
