RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,24507,Jason Bohn,36.87,73,198
2,0,32839,Hideki Matsuyama,33.68,64,190
3,0,23108,Matt Kuchar,30.32,84,277
4,0,26596,Ryan Moore,29.19,61,209
5,0,28089,Jason Day,28.84,62,215
6,0,34262,Jon Curran,28.81,87,302
7,0,30925,Dustin Johnson,28.15,85,302
8,0,26289,Boo Weekley,28.02,72,257
9,0,25834,Daniel Summerhays,27.89,70,251
10,0,29289,S.Y. Noh,27.27,69,253
10,0,31560,Brian Stuard,27.27,57,209
12,0,29461,Jamie Lovemark,27.22,92,338
13,0,25349,Tim Wilkinson,27.18,53,195
14,0,24490,George McNeill,26.80,41,153
15,0,32200,Roberto Castro,26.79,90,336
16,0,25632,Jimmy Walker,26.75,65,243
17,0,20098,Stuart Appleby,26.74,69,258
18,0,23320,Ryan Palmer,26.60,83,312
19,0,27649,Brandt Snedeker,26.57,72,271
20,0,29420,Billy Horschel,26.54,43,162
21,0,06567,Vijay Singh,26.36,63,239
22,0,10809,Jim Furyk,26.05,31,119
22,0,24024,Zach Johnson,26.05,68,261
24,0,32876,Martin Piller,26.00,52,200
25,0,29478,Kevin Kisner,25.91,64,247
26,0,34046,Jordan Spieth,25.85,61,236
27,0,30926,Chris Kirk,25.84,69,267
28,0,35545,Blayne Barber,25.77,67,260
29,0,02206,David Toms,25.59,54,211
30,0,45526,Abraham Ancer,25.50,38,149
31,0,23541,Ben Crane,25.47,54,212
32,0,31557,Jim Herman,25.39,65,256
33,0,20645,John Senden,25.37,69,272
34,0,24781,Hunter Mahan,25.36,53,209
35,0,34099,Harris English,25.32,59,233
36,0,24912,Will MacKenzie,25.30,64,253
37,0,27644,Brian Harman,25.26,96,380
38,0,32757,Patton Kizzire,25.20,62,246
39,0,25686,Jason Dufner,25.00,78,312
39,0,25818,Scott Piercy,25.00,57,228
41,0,29745,Tyler Aldridge,24.81,67,270
41,0,23800,Bryce Molder,24.81,64,258
43,0,24357,K.J. Choi,24.79,60,242
44,0,28679,Fabián Gómez,24.71,64,259
44,0,21731,Freddie Jacobson,24.71,63,255
46,0,24140,Sean O'Hair,24.68,76,308
47,0,30711,Colt Knost,24.64,68,276
48,0,20472,Alex Cejka,24.63,50,203
49,0,36801,Mark Hubbard,24.60,76,309
50,0,36689,Brooks Koepka,24.58,59,240
51,0,27895,Jonas Blixt,24.55,54,220
52,0,25900,Lucas Glover,24.40,61,250
53,0,27963,Chris Stroud,24.38,59,242
54,0,06527,Steve Stricker,24.36,38,156
55,0,30163,Henrik Norlander,24.31,44,181
56,0,20229,Stewart Cink,24.28,42,173
57,0,34264,Hudson Swafford,24.27,83,342
57,0,30927,Brendon Todd,24.27,50,206
59,0,31646,Emiliano Grillo,24.07,58,241
60,0,25396,Kevin Na,23.98,47,196
61,0,24461,Thomas Aiken,23.84,36,151
62,0,24502,Adam Scott,23.78,44,185
63,0,33413,Ben Martin,23.74,66,278
63,0,29221,Webb Simpson,23.74,47,198
65,0,24846,Ricky Barnes,23.71,69,291
66,0,32102,Rickie Fowler,23.68,54,228
67,0,24358,Robert Garrigus,23.66,44,186
68,0,27466,Spencer Levin,23.64,65,275
69,0,25198,Francesco Molinari,23.62,47,199
70,0,29222,Billy Hurley III,23.56,53,225
70,0,35879,Kelly Kraft,23.56,41,174
72,0,39975,Michael Kim,23.55,77,327
73,0,34466,Peter Malnati,23.39,80,342
74,0,29926,Danny Lee,23.36,50,214
75,0,34360,Patrick Reed,23.33,77,330
76,0,36699,Patrick Rodgers,23.29,68,292
77,0,27436,Graham DeLaet,23.28,44,189
78,0,46440,Smylie Kaufman,23.27,74,318
79,0,29479,Scott Brown,23.25,63,271
80,0,32618,Rhein Gibson,23.24,43,185
80,0,31323,Gary Woodland,23.24,56,241
82,0,27747,Hiroshi Iwata,23.19,48,207
83,0,33141,Keegan Bradley,23.16,44,190
84,0,06522,Ernie Els,23.15,50,216
85,0,23325,Vaughn Taylor,23.05,62,269
86,0,32150,Michael Thompson,23.04,47,204
87,0,26758,David Hearn,22.98,71,309
87,0,28114,Dawie van der Walt,22.98,57,248
89,0,20766,Padraig Harrington,22.97,34,148
89,0,27141,J.B. Holmes,22.97,68,296
91,0,25804,Bubba Watson,22.94,53,231
92,0,31202,William McGirt,22.91,63,275
93,0,35300,Andrew Loupe,22.87,75,328
94,0,31416,Derek Fathauer,22.86,64,280
94,0,33419,Cameron Tringale,22.86,56,245
96,0,33448,Justin Thomas,22.85,69,302
97,0,22046,Geoff Ogilvy,22.83,42,184
98,0,01810,Phil Mickelson,22.77,46,202
99,0,32640,Troy Merritt,22.76,56,246
100,0,23621,Rory Sabbatini,22.73,35,154
101,0,40058,Zac Blair,22.70,64,282
102,0,35451,Scott Pinckney,22.67,56,247
103,0,20157,Retief Goosen,22.62,38,168
103,0,35732,Wes Roach,22.62,38,168
105,0,27942,Rob Oppenheim,22.61,45,199
106,0,24924,Bill Haas,22.50,54,240
107,0,25364,Paul Casey,22.49,38,169
108,0,37455,Si Woo Kim,22.40,86,384
109,0,28237,Rory McIlroy,22.28,41,184
110,0,27129,Luke List,22.27,51,229
111,0,28475,Jeff Overton,22.22,46,207
111,0,35891,Cameron Smith,22.22,44,198
113,0,26851,Marc Leishman,22.12,48,217
114,0,32448,James Hahn,22.09,57,258
115,0,25240,D.A. Points,22.06,30,136
116,0,22371,Aaron Baddeley,22.04,54,245
116,0,26331,Charl Schwartzel,22.04,41,186
118,0,20691,Greg Owen,22.03,52,236
119,0,22892,Jason Gore,21.90,53,242
120,0,27974,Sung Kang,21.89,51,233
121,0,12716,Charley Hoffman,21.83,62,284
122,0,21961,Charles Howell III,21.78,66,303
123,0,31420,Anirban Lahiri,21.74,35,161
124,0,28132,Tyrone Van Aswegen,21.71,61,281
125,0,10213,Dicky Pride,21.69,36,166
126,0,33204,Shane Lowry,21.66,34,157
127,0,34409,David Lingmerth,21.65,50,231
128,0,30692,Scott Stallings,21.63,45,208
129,0,12510,Chad Campbell,21.54,53,246
130,0,35539,Luke Guthrie,21.52,34,158
131,0,20104,Ken Duke,21.51,40,186
132,0,35532,Tom Hoge,21.46,56,261
133,0,33461,Morgan Hoffmann,21.37,50,234
134,0,33667,Carlos Ortiz,21.34,51,239
135,0,26476,Chez Reavie,21.32,58,272
136,0,34563,Chesson Hadley,21.19,57,269
137,0,33399,Adam Hadwin,21.15,59,279
138,0,28158,Steve Marino,21.03,45,214
139,0,25892,Steve Wheatcroft,21.01,54,257
140,0,34265,Will Wilcox,20.97,39,186
141,0,26300,Matt Jones,20.85,49,235
142,0,25720,Chad Collins,20.83,45,216
143,0,29518,Brendan Steele,20.82,51,245
144,0,30110,Kyle Stanley,20.79,58,279
145,0,33410,Andrew Landry,20.74,28,135
146,0,27214,Kevin Streelman,20.69,54,261
147,0,23638,Brendon de Jonge,20.68,49,237
147,0,26951,Johnson Wagner,20.68,55,266
149,0,24494,Erik Compton,20.57,43,209
150,0,21878,Mark Wilson,20.32,38,187
151,0,29485,Brett Stegmaier,20.30,55,271
152,0,37454,Whee Kim,20.29,42,207
153,0,25493,Nick Taylor,20.22,55,272
154,0,32366,Kevin Chappell,20.08,52,259
155,0,29223,Sam Saunders,20.00,37,185
155,0,27064,Jhonattan Vegas,20.00,52,260
157,0,29476,Kyle Reifers,19.94,68,341
158,0,40026,Daniel Berger,19.91,42,211
159,0,26329,Louis Oosthuizen,19.75,31,157
160,0,22405,Justin Rose,19.43,34,175
161,0,20572,Rod Pampling,19.42,27,139
162,0,37273,Derek Ernst,19.38,31,160
163,0,27936,Martin Laird,19.31,50,259
164,0,27770,Camilo Villegas,19.23,50,260
165,0,34098,Russell Henley,19.22,54,281
166,0,08075,Jerry Kelly,19.18,42,219
167,0,33122,Russell Knox,18.99,49,258
168,0,29268,Bronson Burgoon,18.91,45,238
169,0,21209,Sergio Garcia,18.89,17,90
