RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,26331,Charl Schwartzel,68.29,478,7
2,0,30925,Dustin Johnson,68.30,683,10
3,0,21209,Sergio Garcia,68.60,343,5
4,0,30944,Jason Kokrak,68.73,756,11
5,0,33122,Russell Knox,68.80,688,10
6,0,27436,Graham DeLaet,69.10,691,10
7,0,28237,Rory McIlroy,69.11,622,9
8,0,06527,Steve Stricker,69.17,415,6
9,0,32102,Rickie Fowler,69.31,901,13
9,0,29478,Kevin Kisner,69.31,901,13
11,0,24502,Adam Scott,69.36,971,14
12,0,33399,Adam Hadwin,69.50,973,14
12,0,30711,Colt Knost,69.50,556,8
12,0,25396,Kevin Na,69.50,973,14
12,0,31323,Gary Woodland,69.50,695,10
16,0,26476,Chez Reavie,69.53,1043,15
17,0,08075,Jerry Kelly,69.55,765,11
17,0,36689,Brooks Koepka,69.55,765,11
19,0,24924,Bill Haas,69.56,626,9
20,0,28089,Jason Day,69.62,905,13
21,0,23320,Ryan Palmer,69.67,836,12
22,0,40058,Zac Blair,69.79,977,14
23,0,24140,Sean O'Hair,69.83,838,12
24,0,34262,Jon Curran,69.88,1118,16
24,0,10809,Jim Furyk,69.88,559,8
24,0,24358,Robert Garrigus,69.88,559,8
27,0,23108,Matt Kuchar,69.89,629,9
27,0,26596,Ryan Moore,69.89,629,9
29,0,27942,Rob Oppenheim,69.90,699,10
30,0,40026,Daniel Berger,69.92,839,12
30,0,21731,Freddie Jacobson,69.92,839,12
32,0,32366,Kevin Chappell,69.93,979,14
32,0,29289,S.Y. Noh,69.93,979,14
32,0,37189,Harold Varner III,69.93,1049,15
35,0,24507,Jason Bohn,70.00,700,10
35,0,32200,Roberto Castro,70.00,770,11
35,0,39975,Michael Kim,70.00,910,13
38,0,31416,Derek Fathauer,70.08,911,13
39,0,30163,Henrik Norlander,70.10,701,10
40,0,12510,Chad Campbell,70.14,982,14
41,0,25900,Lucas Glover,70.15,912,13
42,0,37454,Whee Kim,70.18,772,11
43,0,27974,Sung Kang,70.20,1053,15
44,0,34099,Harris English,70.21,983,14
45,0,31646,Emiliano Grillo,70.27,773,11
45,0,34174,John Huh,70.27,773,11
47,0,34264,Hudson Swafford,70.28,1265,18
48,0,30926,Chris Kirk,70.33,1055,15
48,0,27129,Luke List,70.33,1055,15
48,0,34360,Patrick Reed,70.33,1055,15
48,0,29221,Webb Simpson,70.33,633,9
52,0,26289,Boo Weekley,70.36,774,11
53,0,29268,Bronson Burgoon,70.38,1126,16
54,0,25686,Jason Dufner,70.40,1056,15
54,0,27466,Spencer Levin,70.40,1056,15
56,0,23983,Luke Donald,70.42,845,12
57,0,34409,David Lingmerth,70.45,775,11
58,0,24357,K.J. Choi,70.54,917,13
59,0,28679,Fabián Gómez,70.55,776,11
60,0,24461,Thomas Aiken,70.60,706,10
60,0,20229,Stewart Cink,70.60,706,10
60,0,34431,Robert Streb,70.60,1059,15
60,0,33419,Cameron Tringale,70.60,706,10
64,0,25364,Paul Casey,70.63,565,8
65,0,21961,Charles Howell III,70.64,777,11
66,0,31202,William McGirt,70.69,919,13
66,0,25834,Daniel Summerhays,70.69,919,13
68,0,25804,Bubba Watson,70.71,495,7
69,0,24024,Zach Johnson,70.73,778,11
69,0,35879,Kelly Kraft,70.73,778,11
71,0,32757,Patton Kizzire,70.75,849,12
71,0,20572,Rod Pampling,70.75,566,8
73,0,33461,Morgan Hoffmann,70.79,991,14
74,0,34046,Jordan Spieth,70.80,708,10
75,0,27963,Chris Stroud,70.82,779,11
76,0,30110,Kyle Stanley,70.86,992,14
77,0,25240,D.A. Points,70.88,567,8
77,0,31560,Brian Stuard,70.88,567,8
79,0,27936,Martin Laird,70.90,709,10
79,0,21878,Mark Wilson,70.90,709,10
81,0,25632,Jimmy Walker,70.91,780,11
82,0,35545,Blayne Barber,70.92,922,13
82,0,29518,Brendan Steele,70.92,922,13
84,0,22371,Aaron Baddeley,70.93,993,14
84,0,20691,Greg Owen,70.93,993,14
86,0,28132,Tyrone Van Aswegen,70.94,1206,17
87,0,23541,Ben Crane,71.00,781,11
87,0,06522,Ernie Els,71.00,852,12
87,0,29974,Branden Grace,71.00,568,8
87,0,34098,Russell Henley,71.00,923,13
87,0,12716,Charley Hoffman,71.00,1065,15
87,0,27141,J.B. Holmes,71.00,710,10
87,0,29222,Billy Hurley III,71.00,710,10
87,0,23800,Bryce Molder,71.00,568,8
87,0,25198,Francesco Molinari,71.00,426,6
87,0,35732,Wes Roach,71.00,639,9
87,0,28114,Dawie van der Walt,71.00,781,11
87,0,25892,Steve Wheatcroft,71.00,994,14
99,0,27895,Jonas Blixt,71.08,924,13
99,0,32640,Troy Merritt,71.08,853,12
101,0,28475,Jeff Overton,71.09,782,11
102,0,20766,Padraig Harrington,71.11,640,9
102,0,36801,Mark Hubbard,71.11,1280,18
102,0,33448,Justin Thomas,71.11,1280,18
105,0,20645,John Senden,71.14,996,14
106,0,20098,Stuart Appleby,71.17,854,12
106,0,25720,Chad Collins,71.17,854,12
106,0,22892,Jason Gore,71.17,854,12
106,0,32876,Martin Piller,71.17,427,6
110,0,20472,Alex Cejka,71.20,712,10
111,0,26758,David Hearn,71.21,997,14
112,0,26851,Marc Leishman,71.22,641,9
113,0,37273,Derek Ernst,71.25,570,8
113,0,33413,Ben Martin,71.25,855,12
115,0,24846,Ricky Barnes,71.27,784,11
116,0,29926,Danny Lee,71.29,998,14
116,0,29476,Kyle Reifers,71.29,1212,17
118,0,10885,Robert Allenby,71.30,713,10
119,0,29720,Andres Gonzales,71.33,856,12
119,0,26300,Matt Jones,71.33,1070,15
121,0,27644,Brian Harman,71.38,1142,16
121,0,24912,Will MacKenzie,71.38,928,13
123,0,29485,Brett Stegmaier,71.42,857,12
123,0,25349,Tim Wilkinson,71.42,857,12
125,0,29479,Scott Brown,71.45,786,11
126,0,27770,Camilo Villegas,71.46,929,13
127,0,35451,Scott Pinckney,71.50,1001,14
128,0,33141,Keegan Bradley,71.54,930,13
128,0,27649,Brandt Snedeker,71.54,930,13
130,0,33410,Andrew Landry,71.57,501,7
130,0,29461,Jamie Lovemark,71.57,1002,14
130,0,27214,Kevin Streelman,71.57,1002,14
133,0,25493,Nick Taylor,71.60,1074,15
133,0,02206,David Toms,71.60,716,10
135,0,34466,Peter Malnati,71.61,1289,18
136,0,29745,Tyler Aldridge,71.62,931,13
136,0,33667,Carlos Ortiz,71.62,931,13
136,0,06567,Vijay Singh,71.62,931,13
139,0,35539,Luke Guthrie,71.63,573,8
140,0,20104,Ken Duke,71.67,645,9
141,0,28158,Steve Marino,71.70,717,10
141,0,22405,Justin Rose,71.70,717,10
141,0,34265,Will Wilcox,71.70,717,10
144,0,25818,Scott Piercy,71.71,1004,14
145,0,33418,Shawn Stefani,71.79,1005,14
146,0,33204,Shane Lowry,71.80,359,5
147,0,27747,Hiroshi Iwata,71.82,790,11
148,0,24781,Hunter Mahan,71.85,934,13
149,0,32448,James Hahn,71.90,719,10
150,0,32839,Hideki Matsuyama,71.91,791,11
150,0,26951,Johnson Wagner,71.91,791,11
152,0,30692,Scott Stallings,71.92,935,13
153,0,23638,Brendon de Jonge,71.94,1223,17
154,0,34261,Scott Langley,72.00,648,9
154,0,01810,Phil Mickelson,72.00,864,12
156,0,22046,Geoff Ogilvy,72.08,865,12
157,0,34563,Chesson Hadley,72.13,1082,15
158,0,46440,Smylie Kaufman,72.17,866,12
159,0,24494,Erik Compton,72.22,650,9
160,0,27064,Jhonattan Vegas,72.23,939,13
161,0,32618,Rhein Gibson,72.25,578,8
162,0,23325,Vaughn Taylor,72.29,1012,14
163,0,24490,George McNeill,72.30,723,10
164,0,36699,Patrick Rodgers,72.31,940,13
165,0,23353,J.J. Henry,72.33,868,12
166,0,10213,Dicky Pride,72.36,796,11
166,0,32150,Michael Thompson,72.36,796,11
168,0,20848,Ángel Cabrera,72.40,724,10
169,0,35532,Tom Hoge,72.42,869,12
170,0,25572,Graeme McDowell,72.43,507,7
171,0,45526,Abraham Ancer,72.50,725,10
172,0,37455,Si Woo Kim,72.60,1089,15
172,0,35891,Cameron Smith,72.60,726,10
172,0,30927,Brendon Todd,72.60,1089,15
175,0,29725,Tony Finau,72.64,799,11
176,0,20157,Retief Goosen,72.67,654,9
176,0,28092,D.H. Lee,72.67,654,9
176,0,26329,Louis Oosthuizen,72.67,654,9
179,0,35300,Andrew Loupe,72.76,1237,17
180,0,29420,Billy Horschel,72.82,801,11
181,0,31557,Jim Herman,72.85,947,13
182,0,31420,Anirban Lahiri,73.00,803,11
182,0,23621,Rory Sabbatini,73.00,657,9
184,0,29223,Sam Saunders,73.08,877,12
185,0,25274,Steven Bowditch,74.63,1194,16
